"Id","Name","Jigsaw","TYPE","SHIPPINGSTREET","WEBSITE","INDUSTRY","NUMBEROFEMPLOYEES","DESCRIPTION"
"0019000000oGELwAAO","GRUPO INDUSTRIAL MAQUINAS DE LIMPIE","AUTO_SAMPLE_DATA","Channel Partner / Reseller","345 Shoreline ParkMountain View, CA 94043USA","www.GRUPO INDUSTRIAL MAQUINAS DE LIMPIE.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELxAAO","IMPRESIONES DEL GOLFO SA DE CV","AUTO_SAMPLE_DATA","Prospect","Test acc 2157","www.IMPRESIONES DEL GOLFO SA DE CV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELyAAO","MACIAS JUAREZ ARMANDO","AUTO_SAMPLE_DATA","Channel Partner / Reseller","1301 Avenue of the Americas New York, NY 10019USA","www.MACIAS JUAREZ ARMANDO.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELzAAO","PLASTICOS Y SUMINISTROS DEL PACIFIC","AUTO_SAMPLE_DATA","Prospect","Test acc 2157","www.PLASTICOS Y SUMINISTROS DEL PACIFIC.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM0AAO","PROVEEDORA DE LLANTAS Y SERVICIOS","AUTO_SAMPLE_DATA","Installation Partner","1301 Avenue of the Americas New York, NY 10019USA","www.PROVEEDORA DE LLANTAS Y SERVICIOS.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM1AAO","SANCHEZ DEVANNY ESEVERRI SC","AUTO_SAMPLE_DATA","Installation Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.SANCHEZ DEVANNY ESEVERRI SC.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM2AAO","TOMACO SA DE CV","AUTO_SAMPLE_DATA","Prospect","2 Place Jussieu","www.TOMACO SA DE CV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM3AAO","MONTE XANIC S DE RL DE CV","AUTO_SAMPLE_DATA","Channel Partner / Reseller","1301 Hoch Drive","www.MONTE XANIC S DE RL DE CV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM4AAO","CONSORCIO EMPRESARIAL ALLEGRO SA DE CV","AUTO_SAMPLE_DATA","Channel Partner / Reseller","1301 Avenue of the Americas New York, NY 10019USA","www.CONSORCIO EMPRESARIAL ALLEGRO SA DE CV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000nFznoAAC","N/S Corp","AUTO_SAMPLE_DATA","Customer - Channel","Test acc 2157","www.PADAV Polska.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM5AAO","PADAV Polska","AUTO_SAMPLE_DATA","Customer - Channel","Test acc 2157","www.PADAV Polska.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM6AAO","Falken Tire Corporation","AUTO_SAMPLE_DATA","Other","CES081007NE0","www.Falken Tire Corporation.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM7AAO","JIN BALANCE LIMITED","AUTO_SAMPLE_DATA","Installation Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.JIN BALANCE LIMITED.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGEM8AAO","REFRIGERACION COMER AGROPECU","AUTO_SAMPLE_DATA","Prospect","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.REFRIGERACION COMER AGROPECU.com","Banking","23412341","World's third largest oil and gas company."
"0019000000nFzoBAAS","Family Magazine","AUTO_SAMPLE_DATA","Prospect","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.PROGRESSIVE AG PARTNERS.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEM9AAO","PROGRESSIVE AG PARTNERS","AUTO_SAMPLE_DATA","Prospect","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.PROGRESSIVE AG PARTNERS.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMAAA4","PRODUCTOS PALEY DE CHIHUAHUA SA DE CV","AUTO_SAMPLE_DATA","Technology Partner","CES081007NE0","www.PRODUCTOS PALEY DE CHIHUAHUA SA DE CV.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMBAA4","Akzo Nobel Coatings Inc.","AUTO_SAMPLE_DATA","Installation Partner","345 Shoreline ParkMountain View, CA 94043USA","www.Akzo Nobel Coatings Inc..com","Banking","23412341","World's third largest oil and gas company."
"0019000000nFzo4AAC","CADAM Inc.","AUTO_SAMPLE_DATA","Installation Partner","345 Shoreline ParkMountain View, CA 94043USA","www.Akzo Nobel Coatings Inc..com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMCAA4","ALMA JAYET BENCOMO LARA","AUTO_SAMPLE_DATA","Installation Partner","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.ALMA JAYET BENCOMO LARA.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMDAA4","CLUB DE GOLF DE YUCATAN A.C.","AUTO_SAMPLE_DATA","Other","CES081007NE0","www.CLUB DE GOLF DE YUCATAN A.C..com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMEAA4","FERMAN SILVA ESTEBAN","AUTO_SAMPLE_DATA","Channel Partner / Reseller","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.FERMAN SILVA ESTEBAN.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMFAA4","IMPRESOS PROFESIONALES DEL CENTRO S","AUTO_SAMPLE_DATA","Customer - Channel","Test acc 2157","www.IMPRESOS PROFESIONALES DEL CENTRO S.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMGAA4","MONTALVO CABRERA LENIN","AUTO_SAMPLE_DATA","Customer - Direct","DHE010828K6A","www.MONTALVO CABRERA LENIN.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMHAA4","MULTIEVENTOS DEL BAJIO","AUTO_SAMPLE_DATA","Installation Partner","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.MULTIEVENTOS DEL BAJIO.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMIAA4","NOVARTIS SALUD ANIMAL SA DE CV","AUTO_SAMPLE_DATA","Other","2 Place Jussieu","www.NOVARTIS SALUD ANIMAL SA DE CV.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMJAA4","TECNO UNIVERSO S.A DE C.V","AUTO_SAMPLE_DATA","Prospect","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.TECNO UNIVERSO S.A DE C.V.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMKAA4","DIQUISA SA DE CV","AUTO_SAMPLE_DATA","Technology Partner","2 Place Jussieu","www.DIQUISA SA DE CV.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMLAA4","Best Corporation Pty Ltd","AUTO_SAMPLE_DATA","Customer - Direct","2 Place Jussieu","www.Best Corporation Pty Ltd.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMMAA4","GRUPO OSMAR SA DE CV","AUTO_SAMPLE_DATA","Customer - Direct","Test acc 2157","www.GRUPO OSMAR SA DE CV.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMNAA4","NINGBO MOTO IMP AND EXP CO LTD","AUTO_SAMPLE_DATA","Other","1301 Avenue of the Americas New York, NY 10019USA","www.NINGBO MOTO IMP AND EXP CO LTD.com","Banking","23412341","World's third largest oil and gas company."
"0019000000oGEMOAA4","IG Accessories Ltd","AUTO_SAMPLE_DATA","Other","1301 Hoch Drive","www.IG Accessories Ltd.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMPAA4","DONGGUAN JINLIYI INDUSTRIAL CO LTD","AUTO_SAMPLE_DATA","Channel Partner / Reseller","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.DONGGUAN JINLIYI INDUSTRIAL CO LTD.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMQAA4","HAESONG CORPORATION LTD UNIT 2","AUTO_SAMPLE_DATA","Customer - Channel","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.HAESONG CORPORATION LTD UNIT 2.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMRAA4","ARGO ALMACENADORA SA DE CV","AUTO_SAMPLE_DATA","Channel Partner / Reseller","DHE010828K6A","www.ARGO ALMACENADORA SA DE CV.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMSAA4","DELGADO CAMPBELL SANTIAGO ALBERTO","AUTO_SAMPLE_DATA","Channel Partner / Reseller","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.DELGADO CAMPBELL SANTIAGO ALBERTO.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMTAA4","FIANZAS ATLAS SA","AUTO_SAMPLE_DATA","Channel Partner / Reseller","Test acc 2157","www.FIANZAS ATLAS SA.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMUAA4","GAGEMAK INTRA S DE RL DE CV","AUTO_SAMPLE_DATA","Customer - Direct","2 Place Jussieu","www.GAGEMAK INTRA S DE RL DE CV.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMVAA4","MARTINEZ PEREZ REGINA","AUTO_SAMPLE_DATA","Channel Partner / Reseller","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.MARTINEZ PEREZ REGINA.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMWAA4","NETTOYER SA DE CV","AUTO_SAMPLE_DATA","Customer - Direct","1301 Hoch Drive","www.NETTOYER SA DE CV.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMXAA4","POLIMERO Y MATERIAS PRIMAS INTERNACIONALES SA DE C","AUTO_SAMPLE_DATA","Installation Partner","DHE010828K6A","www.POLIMERO Y MATERIAS PRIMAS INTERNACIONALES SA DE C.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMYAA4","PRODUCTOS VETERINARIOS NACIONALES","AUTO_SAMPLE_DATA","Other","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.PRODUCTOS VETERINARIOS NACIONALES.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMZAA4","SISTEMAS ECONOMICOS DE LEVANTE","AUTO_SAMPLE_DATA","Customer - Direct","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.SISTEMAS ECONOMICOS DE LEVANTE.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMaAAO","TERMO PACK SA DE CV","AUTO_SAMPLE_DATA","Technology Partner","1301 Hoch Drive","www.TERMO PACK SA DE CV.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMbAAO","INDUSTRIAL MAXIMIR SA DE CV","AUTO_SAMPLE_DATA","Technology Partner","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.INDUSTRIAL MAXIMIR SA DE CV.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMcAAO","NOBLE AMERICAS CORP","AUTO_SAMPLE_DATA","Channel Partner / Reseller","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.NOBLE AMERICAS CORP.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMdAAO","ADRIAN CEPEDA MONTANTE","AUTO_SAMPLE_DATA","Prospect","Test acc 2157","www.ADRIAN CEPEDA MONTANTE.com","Finance","1234123","World's third largest oil and gas company."
"0019000000oGEMeAAO","CARHLUC CARROCERIAS Y REMOLQUES SA DE CV","AUTO_SAMPLE_DATA","Customer - Channel","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.CARHLUC CARROCERIAS Y REMOLQUES SA DE CV.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMfAAO","ELECTRICA SUMINISTROS Y SERVICIOS SA DE CV","AUTO_SAMPLE_DATA","Other","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.ELECTRICA SUMINISTROS Y SERVICIOS SA DE CV.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMgAAO","Eco-Energy Inc.","AUTO_SAMPLE_DATA","Customer - Channel","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.Eco-Energy Inc..com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000nFznsAAC","Oakland Carbide Engineering &","AUTO_SAMPLE_DATA","Customer - Channel","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.Eco-Energy Inc..com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMhAAO","Zhejiang Haosheng Textile Co Ltd","AUTO_SAMPLE_DATA","Other","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.Zhejiang Haosheng Textile Co Ltd.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMiAAO","Collecta International Limited","AUTO_SAMPLE_DATA","Customer - Channel","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.Collecta International Limited.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMjAAO","Clean Air Power Ltd","AUTO_SAMPLE_DATA","Customer - Channel","2 Place Jussieu","www.Clean Air Power Ltd.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMkAAO","AGENCIA SPHARTA SA DE CV","AUTO_SAMPLE_DATA","Installation Partner","1301 Hoch Drive","www.AGENCIA SPHARTA SA DE CV.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMlAAO","ASOCIACION DE TENIS PARA PERSONAS C","AUTO_SAMPLE_DATA","Customer - Direct","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.ASOCIACION DE TENIS PARA PERSONAS C.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMmAAO","COMPANIA EDITORA SUDCALIFORNIANA","AUTO_SAMPLE_DATA","Customer - Channel","1301 Avenue of the Americas New York, NY 10019USA","www.COMPANIA EDITORA SUDCALIFORNIANA.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMnAAO","COPAMEX CORRUGADOS SA DE CV","AUTO_SAMPLE_DATA","Installation Partner","345 Shoreline ParkMountain View, CA 94043USA","www.COPAMEX CORRUGADOS SA DE CV.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMoAAO","CORPORACION SIERRA MADRE SA DE CV","AUTO_SAMPLE_DATA","Installation Partner","CES081007NE0","www.CORPORACION SIERRA MADRE SA DE CV.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMpAAO","DAVILA PEREZ FERNANDO","AUTO_SAMPLE_DATA","Installation Partner","345 Shoreline ParkMountain View, CA 94043USA","www.DAVILA PEREZ FERNANDO.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMqAAO","DE LA TORRE CARDENAS JUAN MANUEL","AUTO_SAMPLE_DATA","Customer - Channel","1301 Avenue of the Americas New York, NY 10019USA","www.DE LA TORRE CARDENAS JUAN MANUEL.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMrAAO","GARZA ELIZONDO Y COMPANIA SA DE CV","AUTO_SAMPLE_DATA","Prospect","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.GARZA ELIZONDO Y COMPANIA SA DE CV.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMsAAO","GERMAN VEGA JULIAN ISIDORO","AUTO_SAMPLE_DATA","Channel Partner / Reseller","345 Shoreline ParkMountain View, CA 94043USA","www.GERMAN VEGA JULIAN ISIDORO.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMtAAO","ICYME SA DE CV","AUTO_SAMPLE_DATA","Customer - Direct","2 Place Jussieu","www.ICYME SA DE CV.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMuAAO","IDENTI SA DE CV","AUTO_SAMPLE_DATA","Installation Partner","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.IDENTI SA DE CV.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMvAAO","MARTINEZ CHAVEZ CESAR","AUTO_SAMPLE_DATA","Installation Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.MARTINEZ CHAVEZ CESAR.com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMwAAO","PRODUCTOS JM VILLEGAS SA. DE C.V.","AUTO_SAMPLE_DATA","Customer - Direct","DHE010828K6A","www.PRODUCTOS JM VILLEGAS SA. DE C.V..com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMxAAO","PROVEEDORES INDUSTRIALES S.A.","AUTO_SAMPLE_DATA","Customer - Direct","1301 Avenue of the Americas New York, NY 10019USA","www.PROVEEDORES INDUSTRIALES S.A..com","Transportation","456745","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
"0019000000oGEMyAAO","PROVSEGIND SA DE CV","AUTO_SAMPLE_DATA","Customer - Channel","2 Place Jussieu","www.PROVSEGIND SA DE CV.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEMzAAO","SMILE CLEAN  PACKING SA DE CV","AUTO_SAMPLE_DATA","Prospect","DHE010828K6A","www.SMILE CLEAN  PACKING SA DE CV.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEN0AAO","TODOPROMO SA DE CV","AUTO_SAMPLE_DATA","Technology Partner","DHE010828K6A","www.TODOPROMO SA DE CV.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEN1AAO","DIETA ASTERISCOS SA DE CV","AUTO_SAMPLE_DATA","Customer - Direct","1301 Hoch Drive","www.DIETA ASTERISCOS SA DE CV.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEN2AAO","MANTENIMIENTO Y SERVICIOS SVILLAR S","AUTO_SAMPLE_DATA","Prospect","Test acc 2157","www.MANTENIMIENTO Y SERVICIOS SVILLAR S.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
"0019000000oGEN3AAO","MERCADO DE ABASTOS ESTRELLA","AUTO_SAMPLE_DATA","Other","345 Shoreline ParkMountain View, CA 94043USA","www.MERCADO DE ABASTOS ESTRELLA.com","Telecommunications","456745","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"
