JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 11,ACCOUNTLEVEL,-1,87,37,143,23,206,2,367,668,2197
Adoption Test - Account 11,ACCOUNTLEVEL,0,12,42,51,131,131,41,140,8642,18508
Adoption Test - Account 12,ACCOUNTLEVEL,-13,74,16,68,65,156,42,794,7514,19081
Adoption Test - Account 12,ACCOUNTLEVEL,-12,27,37,138,69,201,13,959,9501,2375
Adoption Test - Account 12,ACCOUNTLEVEL,-11,33,16,170,69,182,42,758,9351,8774
Adoption Test - Account 12,ACCOUNTLEVEL,-10,51,26,144,119,164,26,137,1353,9423
Adoption Test - Account 12,ACCOUNTLEVEL,-9,36,49,103,27,201,36,396,6272,14610
Adoption Test - Account 12,ACCOUNTLEVEL,-8,81,19,89,2,159,53,367,9921,6770
Adoption Test - Account 12,ACCOUNTLEVEL,-7,9,12,189,118,232,52,388,9454,11489
Adoption Test - Account 12,ACCOUNTLEVEL,-6,81,16,122,76,127,7,826,6560,948
Adoption Test - Account 12,ACCOUNTLEVEL,-5,22,21,63,25,141,13,160,7027,18452
Adoption Test - Account 12,ACCOUNTLEVEL,-4,94,32,66,106,170,9,411,4952,19850
Adoption Test - Account 12,ACCOUNTLEVEL,-3,11,25,90,59,203,48,757,5592,11863
Adoption Test - Account 12,ACCOUNTLEVEL,-2,32,31,69,148,130,55,991,1770,1872
Adoption Test - Account 12,ACCOUNTLEVEL,-1,86,50,110,111,106,19,47,8114,1531
Adoption Test - Account 12,ACCOUNTLEVEL,0,92,20,73,117,201,39,544,646,8577
Adoption Test - Account 13,ACCOUNTLEVEL,-13,87,16,72,15,117,3,713,564,15013
Adoption Test - Account 13,ACCOUNTLEVEL,-12,39,10,109,37,187,55,953,6977,14179
Adoption Test - Account 13,ACCOUNTLEVEL,-11,22,40,124,53,128,38,938,1061,11621
Adoption Test - Account 13,ACCOUNTLEVEL,-10,84,30,76,135,159,15,527,9324,14889
Adoption Test - Account 13,ACCOUNTLEVEL,-9,65,38,140,134,207,48,806,2665,14198
Adoption Test - Account 13,ACCOUNTLEVEL,-8,77,46,182,114,103,10,85,2938,19404
Adoption Test - Account 13,ACCOUNTLEVEL,-7,34,46,176,8,247,14,854,349,10621
Adoption Test - Account 13,ACCOUNTLEVEL,-6,92,49,87,71,233,54,1000,3356,18275
Adoption Test - Account 13,ACCOUNTLEVEL,-5,27,30,73,145,117,15,862,2744,3593
Adoption Test - Account 13,ACCOUNTLEVEL,-4,1,41,196,132,223,5,860,9425,14526
Adoption Test - Account 13,ACCOUNTLEVEL,-3,46,48,51,25,179,22,352,5906,10574
Adoption Test - Account 13,ACCOUNTLEVEL,-2,68,33,67,118,121,55,912,6515,14574
Adoption Test - Account 13,ACCOUNTLEVEL,-1,84,24,79,23,128,54,554,9499,3444
Adoption Test - Account 13,ACCOUNTLEVEL,0,6,22,188,34,220,54,340,3226,1094
Adoption Test - Account 14,ACCOUNTLEVEL,-13,43,18,171,143,236,53,73,879,1734
Adoption Test - Account 14,ACCOUNTLEVEL,-12,71,15,76,96,175,33,627,8096,5758
Adoption Test - Account 14,ACCOUNTLEVEL,-11,52,19,142,136,115,47,195,8394,5294
Adoption Test - Account 14,ACCOUNTLEVEL,-10,96,49,57,31,215,27,511,8305,2618
Adoption Test - Account 14,ACCOUNTLEVEL,-9,60,34,198,71,225,8,244,4734,17693
Adoption Test - Account 14,ACCOUNTLEVEL,-8,94,38,58,135,177,17,537,1837,19583
Adoption Test - Account 14,ACCOUNTLEVEL,-7,69,16,200,81,243,5,234,5555,5512
Adoption Test - Account 14,ACCOUNTLEVEL,-6,72,36,57,58,151,55,848,1685,12862
Adoption Test - Account 14,ACCOUNTLEVEL,-5,79,19,87,77,216,20,444,836,1068
Adoption Test - Account 14,ACCOUNTLEVEL,-4,58,25,62,22,188,31,722,6671,14304
Adoption Test - Account 14,ACCOUNTLEVEL,-3,96,25,185,2,209,10,440,8419,735
Adoption Test - Account 14,ACCOUNTLEVEL,-2,66,31,116,15,228,22,362,2062,1930
Adoption Test - Account 14,ACCOUNTLEVEL,-1,18,15,113,61,239,52,805,1493,6776
Adoption Test - Account 14,ACCOUNTLEVEL,0,42,41,131,82,117,50,544,139,5996
Adoption Test - Account 15,ACCOUNTLEVEL,-13,76,43,50,37,127,38,716,7977,9927
Adoption Test - Account 15,ACCOUNTLEVEL,-12,75,19,88,78,189,21,9,7008,17335
Adoption Test - Account 15,ACCOUNTLEVEL,-11,33,24,118,92,152,28,579,2389,6661
Adoption Test - Account 15,ACCOUNTLEVEL,-10,39,36,72,69,139,55,398,4852,1075
Adoption Test - Account 15,ACCOUNTLEVEL,-9,21,17,125,5,181,58,770,3021,13926
Adoption Test - Account 15,ACCOUNTLEVEL,-8,4,35,104,72,127,60,504,7329,5090
Adoption Test - Account 15,ACCOUNTLEVEL,-7,82,50,173,42,170,30,450,7384,6796
Adoption Test - Account 15,ACCOUNTLEVEL,-6,71,12,54,46,180,52,716,273,1997
Adoption Test - Account 15,ACCOUNTLEVEL,-5,5,35,195,147,189,10,131,1242,1731
Adoption Test - Account 15,ACCOUNTLEVEL,-4,10,49,112,5,163,22,860,5677,16806
Adoption Test - Account 15,ACCOUNTLEVEL,-3,81,38,98,15,205,9,342,2842,1394
Adoption Test - Account 15,ACCOUNTLEVEL,-2,70,26,184,19,233,17,838,9260,10301
Adoption Test - Account 15,ACCOUNTLEVEL,-1,94,38,152,6,163,37,915,227,7551
Adoption Test - Account 15,ACCOUNTLEVEL,0,90,46,78,67,159,12,667,9072,9719
Adoption Test - Account 16,ACCOUNTLEVEL,-13,41,23,114,115,120,25,290,9707,6099
Adoption Test - Account 16,ACCOUNTLEVEL,-12,54,20,72,9,224,39,47,3485,13149
Adoption Test - Account 16,ACCOUNTLEVEL,-11,14,20,112,126,226,30,466,9440,6728
Adoption Test - Account 16,ACCOUNTLEVEL,-10,45,42,78,12,108,11,195,6960,1657
Adoption Test - Account 16,ACCOUNTLEVEL,-9,40,30,161,44,185,9,976,3452,18524
Adoption Test - Account 16,ACCOUNTLEVEL,-8,28,49,64,43,135,53,521,1010,13345
Adoption Test - Account 16,ACCOUNTLEVEL,-7,6,46,198,121,207,27,802,1490,3508
Adoption Test - Account 16,ACCOUNTLEVEL,-6,68,14,78,70,233,23,334,1223,7687
Adoption Test - Account 16,ACCOUNTLEVEL,-5,90,45,128,70,197,41,673,9638,19471
Adoption Test - Account 16,ACCOUNTLEVEL,-4,77,34,135,129,135,53,57,3772,1806
Adoption Test - Account 16,ACCOUNTLEVEL,-3,40,48,108,98,164,14,426,654,9487
Adoption Test - Account 16,ACCOUNTLEVEL,-2,37,37,184,58,152,19,150,3439,12863
Adoption Test - Account 16,ACCOUNTLEVEL,-1,41,49,50,122,196,17,762,8278,13708
Adoption Test - Account 16,ACCOUNTLEVEL,0,72,38,139,51,199,52,504,1529,17937
Adoption Test - Account 17,ACCOUNTLEVEL,-13,30,12,175,124,249,4,448,465,3841
Adoption Test - Account 17,ACCOUNTLEVEL,-12,0,22,81,114,106,21,923,1062,3743
Adoption Test - Account 17,ACCOUNTLEVEL,-11,58,32,90,4,227,23,550,1219,6593
Adoption Test - Account 17,ACCOUNTLEVEL,-10,50,18,158,21,107,47,964,6993,12597
Adoption Test - Account 17,ACCOUNTLEVEL,-9,38,12,198,144,121,1,836,5345,10199
Adoption Test - Account 17,ACCOUNTLEVEL,-8,86,11,150,33,127,46,240,2734,15062
Adoption Test - Account 17,ACCOUNTLEVEL,-7,35,45,73,12,105,59,794,8536,10818
Adoption Test - Account 17,ACCOUNTLEVEL,-6,90,34,130,38,107,12,491,3903,9231
Adoption Test - Account 17,ACCOUNTLEVEL,-5,55,11,97,82,165,48,844,3001,10519
Adoption Test - Account 17,ACCOUNTLEVEL,-4,8,41,145,29,194,39,839,9164,14363
Adoption Test - Account 17,ACCOUNTLEVEL,-3,25,45,101,126,202,50,549,7986,15603
Adoption Test - Account 17,ACCOUNTLEVEL,-2,4,38,182,86,125,22,56,6676,956
Adoption Test - Account 17,ACCOUNTLEVEL,-1,38,29,63,100,191,30,763,3367,1117
Adoption Test - Account 17,ACCOUNTLEVEL,0,36,39,50,87,183,39,824,8445,14670
Adoption Test - Account 18,ACCOUNTLEVEL,-13,50,15,193,57,250,15,914,7879,12247
Adoption Test - Account 18,ACCOUNTLEVEL,-12,21,39,182,12,121,3,422,5879,10794
Adoption Test - Account 18,ACCOUNTLEVEL,-11,53,13,193,18,120,19,132,9368,13293
Adoption Test - Account 18,ACCOUNTLEVEL,-10,11,12,198,121,206,12,307,5833,809
Adoption Test - Account 18,ACCOUNTLEVEL,-9,83,23,92,76,109,3,718,8683,19917
Adoption Test - Account 18,ACCOUNTLEVEL,-8,29,11,76,138,115,23,970,4356,2478
Adoption Test - Account 18,ACCOUNTLEVEL,-7,13,26,98,134,186,56,571,3516,16963
Adoption Test - Account 18,ACCOUNTLEVEL,-6,32,28,147,126,168,27,943,9285,12991
Adoption Test - Account 18,ACCOUNTLEVEL,-5,66,20,57,24,209,5,949,5832,17163
Adoption Test - Account 18,ACCOUNTLEVEL,-4,99,26,188,147,192,25,545,8464,19838
Adoption Test - Account 18,ACCOUNTLEVEL,-3,83,40,128,95,140,36,311,3729,3522
Adoption Test - Account 18,ACCOUNTLEVEL,-2,45,26,168,131,169,43,422,2691,10747
Adoption Test - Account 18,ACCOUNTLEVEL,-1,44,39,64,58,234,3,698,9088,3793
Adoption Test - Account 18,ACCOUNTLEVEL,0,43,39,125,30,127,34,196,5844,1077
Adoption Test - Account 19,ACCOUNTLEVEL,-13,22,12,83,20,227,43,149,971,13241
Adoption Test - Account 19,ACCOUNTLEVEL,-12,27,45,55,13,176,34,430,3088,9404
Adoption Test - Account 19,ACCOUNTLEVEL,-11,12,26,51,14,102,54,625,8612,17910
Adoption Test - Account 19,ACCOUNTLEVEL,-10,89,28,76,103,155,43,812,4544,4003
Adoption Test - Account 19,ACCOUNTLEVEL,-9,69,24,135,121,130,13,714,2510,3505
Adoption Test - Account 19,ACCOUNTLEVEL,-8,83,33,127,105,198,51,198,3312,10929
Adoption Test - Account 19,ACCOUNTLEVEL,-7,75,26,166,67,152,55,194,3462,10560
Adoption Test - Account 19,ACCOUNTLEVEL,-6,53,14,155,78,244,9,247,2310,4653
Adoption Test - Account 19,ACCOUNTLEVEL,-5,88,44,123,122,236,56,472,226,10330
Adoption Test - Account 19,ACCOUNTLEVEL,-4,9,19,106,134,163,54,847,3811,13913
Adoption Test - Account 19,ACCOUNTLEVEL,-3,95,33,57,22,246,49,499,976,12261
Adoption Test - Account 19,ACCOUNTLEVEL,-2,58,38,62,106,202,4,708,8797,3827
Adoption Test - Account 19,ACCOUNTLEVEL,-1,29,38,182,60,250,2,755,5166,1837
Adoption Test - Account 19,ACCOUNTLEVEL,0,37,40,191,94,143,51,996,898,6407
Adoption Test - Account 2,ACCOUNTLEVEL,-13,71,40,96,54,144,26,539,1322,9193
Adoption Test - Account 2,ACCOUNTLEVEL,-12,28,28,118,57,235,20,936,5078,17731
Adoption Test - Account 2,ACCOUNTLEVEL,-11,98,26,165,125,129,48,933,5789,15506
Adoption Test - Account 2,ACCOUNTLEVEL,-10,36,35,124,109,153,31,346,2047,18642
Adoption Test - Account 2,ACCOUNTLEVEL,-9,63,44,74,30,161,32,828,446,9348
Adoption Test - Account 2,ACCOUNTLEVEL,-8,8,30,116,108,147,13,936,7968,12259
Adoption Test - Account 2,ACCOUNTLEVEL,-7,13,33,83,37,246,7,206,4325,16552
Adoption Test - Account 2,ACCOUNTLEVEL,-6,72,36,128,12,172,28,739,9427,544
Adoption Test - Account 2,ACCOUNTLEVEL,-5,83,42,177,133,218,55,986,383,2786
Adoption Test - Account 2,ACCOUNTLEVEL,-4,50,21,146,95,192,40,22,6932,6837
Adoption Test - Account 2,ACCOUNTLEVEL,-3,99,37,138,100,111,2,89,7685,13773
Adoption Test - Account 2,ACCOUNTLEVEL,-2,13,17,96,148,193,10,557,5200,7132
Adoption Test - Account 2,ACCOUNTLEVEL,-1,44,12,127,84,165,18,362,7924,5535
Adoption Test - Account 2,ACCOUNTLEVEL,0,17,49,137,55,124,44,29,2114,3528
Adoption Test - Account 20,ACCOUNTLEVEL,-13,31,23,190,20,248,43,124,4358,8475
Adoption Test - Account 20,ACCOUNTLEVEL,-12,70,46,121,105,192,37,156,1637,3166
Adoption Test - Account 20,ACCOUNTLEVEL,-11,83,28,60,106,173,37,119,9247,9102
Adoption Test - Account 20,ACCOUNTLEVEL,-10,7,10,93,21,195,27,384,9307,7776
Adoption Test - Account 20,ACCOUNTLEVEL,-9,29,45,80,80,166,27,200,5491,1959
Adoption Test - Account 20,ACCOUNTLEVEL,-8,31,43,135,61,184,32,468,9184,8235
Adoption Test - Account 20,ACCOUNTLEVEL,-7,39,39,73,134,196,59,786,9774,1089
Adoption Test - Account 20,ACCOUNTLEVEL,-6,29,18,93,33,166,13,790,9579,17769
Adoption Test - Account 20,ACCOUNTLEVEL,-5,31,29,82,49,189,44,799,6761,7433
Adoption Test - Account 20,ACCOUNTLEVEL,-4,73,33,186,43,117,20,845,4803,11470
Adoption Test - Account 20,ACCOUNTLEVEL,-3,51,14,174,57,215,19,787,4556,13375
Adoption Test - Account 20,ACCOUNTLEVEL,-2,26,22,172,111,101,32,402,3579,13029
Adoption Test - Account 20,ACCOUNTLEVEL,-1,81,23,87,48,167,26,814,3897,6526
Adoption Test - Account 20,ACCOUNTLEVEL,0,59,13,130,22,107,4,646,3459,3459
Adoption Test - Account 21,ACCOUNTLEVEL,-13,38,27,100,79,192,14,678,1326,321
Adoption Test - Account 21,ACCOUNTLEVEL,-12,88,35,99,99,249,49,40,7938,6012
Adoption Test - Account 21,ACCOUNTLEVEL,-11,62,26,173,70,219,35,773,1020,14826
Adoption Test - Account 21,ACCOUNTLEVEL,-10,7,32,86,41,151,60,133,5130,18846
Adoption Test - Account 21,ACCOUNTLEVEL,-9,27,11,175,2,107,53,682,9054,10119
Adoption Test - Account 21,ACCOUNTLEVEL,-8,76,37,176,147,176,53,102,1950,8151
Adoption Test - Account 21,ACCOUNTLEVEL,-7,41,38,85,45,140,47,905,756,519
Adoption Test - Account 21,ACCOUNTLEVEL,-6,9,38,169,32,106,45,393,117,3202
Adoption Test - Account 21,ACCOUNTLEVEL,-5,89,12,141,27,136,20,687,46,15335
Adoption Test - Account 21,ACCOUNTLEVEL,-4,26,12,139,63,186,30,566,6385,12897
Adoption Test - Account 21,ACCOUNTLEVEL,-3,92,19,169,31,148,27,935,9192,12609
Adoption Test - Account 21,ACCOUNTLEVEL,-2,90,44,97,41,193,37,761,6464,10128
Adoption Test - Account 21,ACCOUNTLEVEL,-1,33,40,145,115,164,9,35,9685,11601
Adoption Test - Account 21,ACCOUNTLEVEL,0,32,49,90,117,140,18,607,7243,15934
Adoption Test - Account 22,ACCOUNTLEVEL,-13,92,24,60,2,193,5,707,8915,11705
Adoption Test - Account 22,ACCOUNTLEVEL,-12,19,27,105,87,114,47,347,9019,3348
Adoption Test - Account 22,ACCOUNTLEVEL,-11,19,49,150,144,108,49,802,6115,7778
Adoption Test - Account 22,ACCOUNTLEVEL,-10,26,18,149,48,152,5,85,476,16997
Adoption Test - Account 22,ACCOUNTLEVEL,-9,1,26,181,14,120,54,418,4814,17142
Adoption Test - Account 22,ACCOUNTLEVEL,-8,0,49,199,79,140,23,504,966,4742
Adoption Test - Account 22,ACCOUNTLEVEL,-7,83,16,182,16,217,5,246,1949,13222
Adoption Test - Account 22,ACCOUNTLEVEL,-6,9,44,52,145,100,34,729,6954,13348
Adoption Test - Account 22,ACCOUNTLEVEL,-5,91,11,52,79,192,33,283,6084,281
Adoption Test - Account 22,ACCOUNTLEVEL,-4,85,40,117,23,224,60,529,8690,14265
Adoption Test - Account 22,ACCOUNTLEVEL,-3,2,31,128,76,161,4,481,1347,10040
Adoption Test - Account 22,ACCOUNTLEVEL,-2,74,27,81,110,202,28,555,6014,13979
Adoption Test - Account 22,ACCOUNTLEVEL,-1,81,25,143,114,168,16,38,8662,12261
Adoption Test - Account 22,ACCOUNTLEVEL,0,38,19,104,7,227,57,268,8166,15184
Adoption Test - Account 23,ACCOUNTLEVEL,-13,70,41,96,60,244,49,133,3476,18830
Adoption Test - Account 23,ACCOUNTLEVEL,-12,10,16,175,87,173,41,373,2796,4891
Adoption Test - Account 23,ACCOUNTLEVEL,-11,79,45,82,59,232,29,123,7032,5275
Adoption Test - Account 23,ACCOUNTLEVEL,-10,86,18,105,88,192,46,584,6154,205
Adoption Test - Account 23,ACCOUNTLEVEL,-9,47,15,128,22,152,5,730,3052,1121
Adoption Test - Account 23,ACCOUNTLEVEL,-8,11,25,98,6,190,13,660,4642,14631
Adoption Test - Account 23,ACCOUNTLEVEL,-7,63,28,104,101,122,33,333,6714,4810
Adoption Test - Account 23,ACCOUNTLEVEL,-6,72,47,54,123,113,39,568,1187,3305
Adoption Test - Account 23,ACCOUNTLEVEL,-5,71,47,83,69,144,40,293,8140,2774
Adoption Test - Account 23,ACCOUNTLEVEL,-4,58,44,120,64,215,29,226,6153,16813
Adoption Test - Account 23,ACCOUNTLEVEL,-3,16,40,165,76,232,11,90,5650,19099
Adoption Test - Account 23,ACCOUNTLEVEL,-2,47,49,102,140,125,32,324,7428,6147
Adoption Test - Account 23,ACCOUNTLEVEL,-1,82,26,195,145,104,30,284,7340,13353
Adoption Test - Account 23,ACCOUNTLEVEL,0,47,13,184,109,157,2,521,2690,4453
Adoption Test - Account 24,ACCOUNTLEVEL,-13,77,47,146,40,203,11,425,8987,2586
Adoption Test - Account 24,ACCOUNTLEVEL,-12,49,42,75,145,214,60,422,7768,5432
Adoption Test - Account 24,ACCOUNTLEVEL,-11,42,33,69,121,135,33,638,3174,4240
Adoption Test - Account 24,ACCOUNTLEVEL,-10,73,12,165,6,140,14,501,5939,12329
Adoption Test - Account 24,ACCOUNTLEVEL,-9,3,47,168,125,185,13,223,6856,9865
Adoption Test - Account 24,ACCOUNTLEVEL,-8,46,10,94,13,167,9,163,1638,7158
Adoption Test - Account 24,ACCOUNTLEVEL,-7,43,23,64,124,198,56,414,3739,16064
Adoption Test - Account 24,ACCOUNTLEVEL,-6,43,27,162,77,175,12,913,4706,817
Adoption Test - Account 24,ACCOUNTLEVEL,-5,86,42,84,92,160,39,929,7857,3356
Adoption Test - Account 24,ACCOUNTLEVEL,-4,84,18,151,62,172,9,331,4133,10461
Adoption Test - Account 24,ACCOUNTLEVEL,-3,29,37,151,115,111,5,802,2993,14083
Adoption Test - Account 24,ACCOUNTLEVEL,-2,3,12,148,51,150,34,320,8259,14921
Adoption Test - Account 24,ACCOUNTLEVEL,-1,53,37,132,38,232,40,957,9070,9611
Adoption Test - Account 24,ACCOUNTLEVEL,0,46,19,159,131,157,6,81,7382,2429
Adoption Test - Account 25,ACCOUNTLEVEL,-13,50,38,129,132,137,26,66,5575,8230
Adoption Test - Account 25,ACCOUNTLEVEL,-12,76,44,119,61,155,38,113,7023,2130
Adoption Test - Account 25,ACCOUNTLEVEL,-11,3,10,155,94,113,9,947,8188,15571
Adoption Test - Account 25,ACCOUNTLEVEL,-10,92,16,164,145,167,11,270,3221,18382
Adoption Test - Account 25,ACCOUNTLEVEL,-9,89,44,182,127,163,14,823,3094,19406
Adoption Test - Account 25,ACCOUNTLEVEL,-8,100,43,176,130,141,3,933,9260,1344
Adoption Test - Account 25,ACCOUNTLEVEL,-7,23,50,199,128,200,20,428,7470,8613
Adoption Test - Account 25,ACCOUNTLEVEL,-6,44,12,77,89,248,47,35,5529,967
Adoption Test - Account 25,ACCOUNTLEVEL,-5,69,25,83,53,165,16,550,4127,7887
Adoption Test - Account 25,ACCOUNTLEVEL,-4,49,49,152,76,220,40,429,3164,8326
Adoption Test - Account 25,ACCOUNTLEVEL,-3,1,25,98,35,133,11,719,745,16472
Adoption Test - Account 25,ACCOUNTLEVEL,-2,50,49,90,17,203,31,856,4495,5124
Adoption Test - Account 25,ACCOUNTLEVEL,-1,83,46,139,65,246,32,129,1961,3370
Adoption Test - Account 25,ACCOUNTLEVEL,0,65,48,176,54,227,15,681,1233,15661
Adoption Test - Account 26,ACCOUNTLEVEL,-13,50,25,168,53,248,7,39,3620,9846
Adoption Test - Account 26,ACCOUNTLEVEL,-12,59,12,132,15,238,42,733,5879,5529
Adoption Test - Account 26,ACCOUNTLEVEL,-11,44,22,153,70,184,54,165,7103,11145
Adoption Test - Account 26,ACCOUNTLEVEL,-10,34,16,69,37,218,25,862,7175,4498
Adoption Test - Account 26,ACCOUNTLEVEL,-9,51,11,117,73,218,43,258,4529,10309
Adoption Test - Account 26,ACCOUNTLEVEL,-8,89,33,98,79,193,17,302,7883,7210
Adoption Test - Account 26,ACCOUNTLEVEL,-7,83,19,167,142,241,27,557,9087,5966
Adoption Test - Account 26,ACCOUNTLEVEL,-6,43,22,100,3,231,29,205,430,10383
Adoption Test - Account 26,ACCOUNTLEVEL,-5,71,27,171,6,219,46,219,6839,5181
Adoption Test - Account 26,ACCOUNTLEVEL,-4,69,24,109,92,136,38,862,4954,10942
Adoption Test - Account 26,ACCOUNTLEVEL,-3,39,16,110,98,110,50,736,4190,8313
Adoption Test - Account 26,ACCOUNTLEVEL,-2,96,37,99,8,163,52,180,8088,19431
Adoption Test - Account 26,ACCOUNTLEVEL,-1,59,10,105,97,168,23,518,4013,4202
Adoption Test - Account 26,ACCOUNTLEVEL,0,51,13,127,17,160,24,785,7353,14449
Adoption Test - Account 27,ACCOUNTLEVEL,-13,17,43,67,62,157,55,275,8073,7900
Adoption Test - Account 27,ACCOUNTLEVEL,-12,23,40,173,108,247,55,70,9644,15326
Adoption Test - Account 27,ACCOUNTLEVEL,-11,12,43,160,55,146,45,460,2223,12075
Adoption Test - Account 27,ACCOUNTLEVEL,-10,71,44,142,17,149,19,676,7271,15201
Adoption Test - Account 27,ACCOUNTLEVEL,-9,100,18,144,130,169,15,240,2040,1486
Adoption Test - Account 27,ACCOUNTLEVEL,-8,78,36,125,10,115,45,129,1300,19579
Adoption Test - Account 27,ACCOUNTLEVEL,-7,22,15,115,75,183,19,469,9736,17537
Adoption Test - Account 27,ACCOUNTLEVEL,-6,50,42,118,4,167,59,537,9067,11979
Adoption Test - Account 27,ACCOUNTLEVEL,-5,91,22,58,41,197,38,319,9295,19303
Adoption Test - Account 27,ACCOUNTLEVEL,-4,21,38,58,107,211,15,130,9446,14903
Adoption Test - Account 27,ACCOUNTLEVEL,-3,97,14,200,37,139,57,546,5398,18043
Adoption Test - Account 27,ACCOUNTLEVEL,-2,26,30,109,128,118,6,62,4321,12420
Adoption Test - Account 27,ACCOUNTLEVEL,-1,22,10,187,14,160,38,492,2175,712
Adoption Test - Account 27,ACCOUNTLEVEL,0,38,33,163,98,194,33,460,4546,5593
Adoption Test - Account 28,ACCOUNTLEVEL,-13,18,47,97,30,236,30,543,5899,5399
Adoption Test - Account 28,ACCOUNTLEVEL,-12,79,40,56,92,189,29,394,6017,9231
Adoption Test - Account 28,ACCOUNTLEVEL,-11,10,43,127,62,194,16,809,5366,18582
Adoption Test - Account 28,ACCOUNTLEVEL,-10,46,49,144,18,181,10,587,2346,13847
Adoption Test - Account 28,ACCOUNTLEVEL,-9,40,42,63,65,156,1,699,8034,929
Adoption Test - Account 28,ACCOUNTLEVEL,-8,61,40,57,132,126,24,195,5869,10360
Adoption Test - Account 28,ACCOUNTLEVEL,-7,45,26,190,3,238,17,256,5410,9570
Adoption Test - Account 28,ACCOUNTLEVEL,-6,65,31,91,30,164,22,332,8075,15401
