JBCXM__Account__r.Data_ExternalId__c,JBCXM__Users__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Comments__c
Adoption Test - Account 38,3432,stage2,ActiveCustomer,Adoption Test - Account 38 - stage2 - ActiveCustomer
Adoption Test - Account 39,45,stage3,InactiveCustomer,Adoption Test - Account 39 - stage3 - InactiveCustomer
Adoption Test - Account 40,45,stage4,ActiveCustomer,Adoption Test - Account 40 - stage4 - ActiveCustomer
Adoption Test - Account 41,523,stage5,InactiveCustomer,Adoption Test - Account 41 - stage5 - InactiveCustomer
Adoption Test - Account 42,4,stage6,ActiveCustomer,Adoption Test - Account 42 - stage6 - ActiveCustomer
Adoption Test - Account 43,124,stage1,InactiveCustomer,Adoption Test - Account 43 - stage1 - InactiveCustomer
Adoption Test - Account 44,32,stage2,ActiveCustomer,Adoption Test - Account 44 - stage2 - ActiveCustomer
Adoption Test - Account 45,534,stage3,InactiveCustomer,Adoption Test - Account 45 - stage3 - InactiveCustomer
Adoption Test - Account 46,5645,stage4,ActiveCustomer,Adoption Test - Account 46 - stage4 - ActiveCustomer
Adoption Test - Account 47,7,stage5,InactiveCustomer,Adoption Test - Account 47 - stage5 - InactiveCustomer
Adoption Test - Account 48,658,stage6,ActiveCustomer,Adoption Test - Account 48 - stage6 - ActiveCustomer
Adoption Test - Account 49,768,stage1,InactiveCustomer,Adoption Test - Account 49 - stage1 - InactiveCustomer
Adoption Test - Account 50,678,stage2,ActiveCustomer,Adoption Test - Account 50 - stage2 - ActiveCustomer
Adoption Test - Account 51,678,stage3,InactiveCustomer,Adoption Test - Account 51 - stage3 - InactiveCustomer
Adoption Test - Account 52,5456,stage4,ActiveCustomer,Adoption Test - Account 52 - stage4 - ActiveCustomer
Adoption Test - Account 53,32,stage5,InactiveCustomer,Adoption Test - Account 53 - stage5 - InactiveCustomer
Adoption Test - Account 54,53456,stage6,ActiveCustomer,Adoption Test - Account 54 - stage6 - ActiveCustomer
Adoption Test - Account 55,657,stage1,InactiveCustomer,Adoption Test - Account 55 - stage1 - InactiveCustomer
Adoption Test - Account 56,4564,stage2,ActiveCustomer,Adoption Test - Account 56 - stage2 - ActiveCustomer
Adoption Test - Account 57,4564,stage3,InactiveCustomer,Adoption Test - Account 57 - stage3 - InactiveCustomer
Adoption Test - Account 58,46,stage4,ActiveCustomer,Adoption Test - Account 58 - stage4 - ActiveCustomer
Adoption Test - Account 59,76,stage5,InactiveCustomer,Adoption Test - Account 59 - stage5 - InactiveCustomer
Adoption Test - Account 60,8,stage6,ActiveCustomer,Adoption Test - Account 60 - stage6 - ActiveCustomer
Adoption Test - Account 61,3,stage1,InactiveCustomer,Adoption Test - Account 61 - stage1 - InactiveCustomer
Adoption Test - Account 62,423,stage2,ActiveCustomer,Adoption Test - Account 62 - stage2 - ActiveCustomer
Adoption Test - Account 63,4346,stage3,InactiveCustomer,Adoption Test - Account 63 - stage3 - InactiveCustomer
Adoption Test - Account 64,140,stage4,ActiveCustomer,Adoption Test - Account 64 - stage4 - ActiveCustomer
Adoption Test - Account 65,7,stage5,InactiveCustomer,Adoption Test - Account 65 - stage5 - InactiveCustomer
Adoption Test - Account 66,69,stage6,ActiveCustomer,Adoption Test - Account 66 - stage6 - ActiveCustomer
Adoption Test - Account 67,68,stage1,InactiveCustomer,Adoption Test - Account 67 - stage1 - InactiveCustomer
Adoption Test - Account 68,789,stage2,ActiveCustomer,Adoption Test - Account 68 - stage2 - ActiveCustomer
Adoption Test - Account 69,7,stage3,InactiveCustomer,Adoption Test - Account 69 - stage3 - InactiveCustomer
Adoption Test - Account 70,85,stage4,ActiveCustomer,Adoption Test - Account 70 - stage4 - ActiveCustomer
Adoption Test - Account 71,46,stage5,InactiveCustomer,Adoption Test - Account 71 - stage5 - InactiveCustomer
Adoption Test - Account 72,34634,stage6,ActiveCustomer,Adoption Test - Account 72 - stage6 - ActiveCustomer
Adoption Test - Account 73,656,stage1,InactiveCustomer,Adoption Test - Account 73 - stage1 - InactiveCustomer
Adoption Test - Account 74,767,stage2,ActiveCustomer,Adoption Test - Account 74 - stage2 - ActiveCustomer
Adoption Test - Account 75,86,stage3,InactiveCustomer,Adoption Test - Account 75 - stage3 - InactiveCustomer
Adoption Test - Account 76,78,stage4,ActiveCustomer,Adoption Test - Account 76 - stage4 - ActiveCustomer
Adoption Test - Account 77,9767,stage5,InactiveCustomer,Adoption Test - Account 77 - stage5 - InactiveCustomer
Adoption Test - Account 78,45779,stage6,ActiveCustomer,Adoption Test - Account 78 - stage6 - ActiveCustomer
Adoption Test - Account 79,568,stage1,InactiveCustomer,Adoption Test - Account 79 - stage1 - InactiveCustomer
Adoption Test - Account 80,124,stage2,ActiveCustomer,Adoption Test - Account 80 - stage2 - ActiveCustomer
Adoption Test - Account 81,123423,stage3,InactiveCustomer,Adoption Test - Account 81 - stage3 - InactiveCustomer
Adoption Test - Account 82,534,stage4,ActiveCustomer,Adoption Test - Account 82 - stage4 - ActiveCustomer
Adoption Test - Account 83,6,stage5,InactiveCustomer,Adoption Test - Account 83 - stage5 - InactiveCustomer
Adoption Test - Account 84,2342,stage6,ActiveCustomer,Adoption Test - Account 84 - stage6 - ActiveCustomer
Adoption Test - Account 85,4346,stage1,InactiveCustomer,Adoption Test - Account 85 - stage1 - InactiveCustomer
Adoption Test - Account 86,456,stage2,ActiveCustomer,Adoption Test - Account 86 - stage2 - ActiveCustomer
Adoption Test - Account 87,23,stage3,InactiveCustomer,Adoption Test - Account 87 - stage3 - InactiveCustomer
Adoption Test - Account 88,4346,stage4,ActiveCustomer,Adoption Test - Account 88 - stage4 - ActiveCustomer
Adoption Test - Account 89,43,stage5,InactiveCustomer,Adoption Test - Account 89 - stage5 - InactiveCustomer
Adoption Test - Account 90,6324,stage6,ActiveCustomer,Adoption Test - Account 90 - stage6 - ActiveCustomer
Adoption Test - Account 91,1244,stage1,InactiveCustomer,Adoption Test - Account 91 - stage1 - InactiveCustomer
Adoption Test - Account 92,2323,stage2,ActiveCustomer,Adoption Test - Account 92 - stage2 - ActiveCustomer
Adoption Test - Account 93,234,stage3,InactiveCustomer,Adoption Test - Account 93 - stage3 - InactiveCustomer
Adoption Test - Account 94,234,stage4,ActiveCustomer,Adoption Test - Account 94 - stage4 - ActiveCustomer
Adoption Test - Account 95,5645,stage5,InactiveCustomer,Adoption Test - Account 95 - stage5 - InactiveCustomer
Adoption Test - Account 96,107,stage6,ActiveCustomer,Adoption Test - Account 96 - stage6 - ActiveCustomer
Adoption Test - Account 97,34,stage1,InactiveCustomer,Adoption Test - Account 97 - stage1 - InactiveCustomer
Adoption Test - Account 98,4345,stage2,ActiveCustomer,Adoption Test - Account 98 - stage2 - ActiveCustomer
Adoption Test - Account 99,2,stage3,InactiveCustomer,Adoption Test - Account 99 - stage3 - InactiveCustomer
Adoption Test - Account 100,4523,stage4,ActiveCustomer,Adoption Test - Account 100 - stage4 - ActiveCustomer
Adoption Test - Account 101,,stage5,InactiveCustomer,Adoption Test - Account 101 - stage5 - InactiveCustomer
Adoption Test - Account 102,,stage6,ActiveCustomer,Adoption Test - Account 102 - stage6 - ActiveCustomer
Adoption Test - Account 103,,stage1,InactiveCustomer,Adoption Test - Account 103 - stage1 - InactiveCustomer
Adoption Test - Account 104,,stage2,ActiveCustomer,Adoption Test - Account 104 - stage2 - ActiveCustomer
Adoption Test - Account 105,,stage3,InactiveCustomer,Adoption Test - Account 105 - stage3 - InactiveCustomer
Adoption Test - Account 106,,stage4,ActiveCustomer,Adoption Test - Account 106 - stage4 - ActiveCustomer
Adoption Test - Account 107,,stage5,InactiveCustomer,Adoption Test - Account 107 - stage5 - InactiveCustomer
Adoption Test - Account 108,,stage6,ActiveCustomer,Adoption Test - Account 108 - stage6 - ActiveCustomer
Adoption Test - Account 109,,stage1,InactiveCustomer,Adoption Test - Account 109 - stage1 - InactiveCustomer
Adoption Test - Account 110,,stage2,ActiveCustomer,Adoption Test - Account 110 - stage2 - ActiveCustomer
Adoption Test - Account 111,,stage3,InactiveCustomer,Adoption Test - Account 111 - stage3 - InactiveCustomer
Adoption Test - Account 112,,stage4,ActiveCustomer,Adoption Test - Account 112 - stage4 - ActiveCustomer
Adoption Test - Account 113,,stage5,InactiveCustomer,Adoption Test - Account 113 - stage5 - InactiveCustomer
Adoption Test - Account 114,,stage6,ActiveCustomer,Adoption Test - Account 114 - stage6 - ActiveCustomer
Adoption Test - Account 115,,stage1,InactiveCustomer,Adoption Test - Account 115 - stage1 - InactiveCustomer
Adoption Test - Account 116,,stage2,ActiveCustomer,Adoption Test - Account 116 - stage2 - ActiveCustomer
Adoption Test - Account 117,,stage3,InactiveCustomer,Adoption Test - Account 117 - stage3 - InactiveCustomer
Adoption Test - Account 118,,stage4,ActiveCustomer,Adoption Test - Account 118 - stage4 - ActiveCustomer
Adoption Test - Account 119,,stage1,InactiveCustomer,Adoption Test - Account 119 - stage1 - InactiveCustomer
Adoption Test - Account 120,,stage2,ActiveCustomer,Adoption Test - Account 120 - stage2 - ActiveCustomer
Adoption Test - Account 121,,stage3,InactiveCustomer,Adoption Test - Account 121 - stage3 - InactiveCustomer
Adoption Test - Account 122,,stage4,ActiveCustomer,Adoption Test - Account 122 - stage4 - ActiveCustomer
Adoption Test - Account 123,,stage5,InactiveCustomer,Adoption Test - Account 123 - stage5 - InactiveCustomer
Adoption Test - Account 124,,stage6,ActiveCustomer,Adoption Test - Account 124 - stage6 - ActiveCustomer
Adoption Test - Account 125,,stage1,InactiveCustomer,Adoption Test - Account 125 - stage1 - InactiveCustomer
Adoption Test - Account 126,,stage2,ActiveCustomer,Adoption Test - Account 126 - stage2 - ActiveCustomer
Adoption Test - Account 127,,stage3,InactiveCustomer,Adoption Test - Account 127 - stage3 - InactiveCustomer
Adoption Test - Account 128,,stage4,ActiveCustomer,Adoption Test - Account 128 - stage4 - ActiveCustomer
Adoption Test - Account 129,,stage5,InactiveCustomer,Adoption Test - Account 129 - stage5 - InactiveCustomer
Adoption Test - Account 130,,stage6,ActiveCustomer,Adoption Test - Account 130 - stage6 - ActiveCustomer
Adoption Test - Account 131,,stage1,InactiveCustomer,Adoption Test - Account 131 - stage1 - InactiveCustomer
Adoption Test - Account 132,,stage2,ActiveCustomer,Adoption Test - Account 132 - stage2 - ActiveCustomer
Adoption Test - Account 133,,stage3,InactiveCustomer,Adoption Test - Account 133 - stage3 - InactiveCustomer
Adoption Test - Account 134,,stage4,ActiveCustomer,Adoption Test - Account 134 - stage4 - ActiveCustomer
Adoption Test - Account 135,,stage5,InactiveCustomer,Adoption Test - Account 135 - stage5 - InactiveCustomer
Adoption Test - Account 136,,stage6,ActiveCustomer,Adoption Test - Account 136 - stage6 - ActiveCustomer
Adoption Test - Account 137,,stage1,InactiveCustomer,Adoption Test - Account 137 - stage1 - InactiveCustomer
Adoption Test - Account 138,,stage2,ActiveCustomer,Adoption Test - Account 138 - stage2 - ActiveCustomer
Adoption Test - Account 139,,stage3,InactiveCustomer,Adoption Test - Account 139 - stage3 - InactiveCustomer
Adoption Test - Account 140,,stage4,ActiveCustomer,Adoption Test - Account 140 - stage4 - ActiveCustomer
Adoption Test - Account 141,,stage5,InactiveCustomer,Adoption Test - Account 141 - stage5 - InactiveCustomer
Adoption Test - Account 142,,stage6,ActiveCustomer,Adoption Test - Account 142 - stage6 - ActiveCustomer
Adoption Test - Account 143,,stage1,InactiveCustomer,Adoption Test - Account 143 - stage1 - InactiveCustomer
Adoption Test - Account 144,,stage2,ActiveCustomer,Adoption Test - Account 144 - stage2 - ActiveCustomer
Adoption Test - Account 145,,stage3,InactiveCustomer,Adoption Test - Account 145 - stage3 - InactiveCustomer
Adoption Test - Account 146,,stage4,ActiveCustomer,Adoption Test - Account 146 - stage4 - ActiveCustomer
Adoption Test - Account 147,,stage5,InactiveCustomer,Adoption Test - Account 147 - stage5 - InactiveCustomer
Adoption Test - Account 148,,stage6,ActiveCustomer,Adoption Test - Account 148 - stage6 - ActiveCustomer
Adoption Test - Account 149,,stage1,InactiveCustomer,Adoption Test - Account 149 - stage1 - InactiveCustomer
Adoption Test - Account 150,,stage2,ActiveCustomer,Adoption Test - Account 150 - stage2 - ActiveCustomer
