JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 102,ACCOUNTLEVEL,-26,21,45,134,17,103,28,11,5390,12967
Adoption Test - Account 103,ACCOUNTLEVEL,-26,89,23,50,102,135,20,201,6833,8733
Adoption Test - Account 104,ACCOUNTLEVEL,-26,51,11,67,30,250,13,716,2130,14153
Adoption Test - Account 105,ACCOUNTLEVEL,-26,15,38,199,8,123,53,270,7644,14841
Adoption Test - Account 106,ACCOUNTLEVEL,-26,6,48,125,102,213,41,629,9649,16871
Adoption Test - Account 107,ACCOUNTLEVEL,-26,52,40,96,75,207,39,29,2945,967
Adoption Test - Account 108,ACCOUNTLEVEL,-26,66,23,180,40,107,33,716,4383,2741
Adoption Test - Account 109,ACCOUNTLEVEL,-26,46,40,144,7,158,10,461,694,7152
Adoption Test - Account 110,ACCOUNTLEVEL,-26,22,13,183,39,247,28,313,3315,16810
Adoption Test - Account 111,ACCOUNTLEVEL,-26,59,11,161,43,204,54,511,6014,19761
Adoption Test - Account 112,ACCOUNTLEVEL,-26,41,47,56,26,211,49,402,967,5252
Adoption Test - Account 113,ACCOUNTLEVEL,-26,58,36,139,71,203,24,626,7797,16739
Adoption Test - Account 114,ACCOUNTLEVEL,-26,66,32,176,46,240,48,334,7335,17829
Adoption Test - Account 115,ACCOUNTLEVEL,-26,2,23,160,26,210,37,806,9762,16341
Adoption Test - Account 116,ACCOUNTLEVEL,-26,96,22,167,71,141,52,243,667,18149
Adoption Test - Account 117,ACCOUNTLEVEL,-26,23,43,141,130,100,17,23,6517,9945
Adoption Test - Account 118,ACCOUNTLEVEL,-26,97,26,189,104,147,59,774,3524,782
Adoption Test - Account 1,ACCOUNTLEVEL,-25,16,21,169,16,236,52,750,5104,10108
Adoption Test - Account 2,ACCOUNTLEVEL,-25,100,28,53,117,238,8,943,3135,3382
Adoption Test - Account 3,ACCOUNTLEVEL,-25,46,41,96,46,188,40,680,1898,15533
Adoption Test - Account 4,ACCOUNTLEVEL,-25,21,22,169,9,118,31,685,6752,18435
Adoption Test - Account 5,ACCOUNTLEVEL,-25,8,21,100,38,216,45,688,4534,18578
Adoption Test - Account 6,ACCOUNTLEVEL,-25,84,15,58,119,199,32,51,7361,17458
Adoption Test - Account 7,ACCOUNTLEVEL,-25,58,47,178,109,189,24,781,8390,15732
Adoption Test - Account 8,ACCOUNTLEVEL,-25,93,33,51,124,203,56,815,1446,4850
Adoption Test - Account 9,ACCOUNTLEVEL,-25,15,24,176,96,176,29,58,2928,16414
Adoption Test - Account 10,ACCOUNTLEVEL,-25,40,50,87,57,114,33,661,1301,15654
Adoption Test - Account 11,ACCOUNTLEVEL,-25,47,12,169,63,203,7,886,9929,1923
Adoption Test - Account 12,ACCOUNTLEVEL,-25,65,20,147,34,124,25,600,4916,14467
Adoption Test - Account 13,ACCOUNTLEVEL,-25,49,39,95,123,151,29,840,9571,17484
Adoption Test - Account 14,ACCOUNTLEVEL,-25,14,31,51,105,221,41,807,6865,2762
Adoption Test - Account 15,ACCOUNTLEVEL,-25,2,19,142,95,157,2,987,9847,17208
Adoption Test - Account 16,ACCOUNTLEVEL,-25,2,15,144,6,151,53,846,6696,12205
Adoption Test - Account 17,ACCOUNTLEVEL,-25,83,15,73,133,192,46,640,6321,1475
Adoption Test - Account 18,ACCOUNTLEVEL,-25,93,13,183,47,231,8,434,4693,10131
Adoption Test - Account 19,ACCOUNTLEVEL,-25,72,14,68,136,221,39,701,5410,16268
Adoption Test - Account 20,ACCOUNTLEVEL,-25,95,14,200,73,103,6,500,1520,1995
Adoption Test - Account 21,ACCOUNTLEVEL,-25,16,42,103,82,229,7,121,216,16826
Adoption Test - Account 22,ACCOUNTLEVEL,-25,11,37,160,41,127,52,934,9106,10430
Adoption Test - Account 23,ACCOUNTLEVEL,-25,45,11,98,6,234,41,495,2243,2213
Adoption Test - Account 24,ACCOUNTLEVEL,-25,66,26,109,20,109,56,740,195,3260
Adoption Test - Account 25,ACCOUNTLEVEL,-25,67,45,166,83,226,53,723,7525,8278
Adoption Test - Account 26,ACCOUNTLEVEL,-25,83,21,91,120,228,19,605,1109,11406
Adoption Test - Account 27,ACCOUNTLEVEL,-25,64,46,112,13,197,14,467,5278,13243
Adoption Test - Account 28,ACCOUNTLEVEL,-25,77,23,124,2,146,3,565,2,13775
Adoption Test - Account 29,ACCOUNTLEVEL,-25,42,37,151,26,182,45,580,5461,2000
Adoption Test - Account 30,ACCOUNTLEVEL,-25,91,40,61,79,156,60,882,8322,4878
Adoption Test - Account 31,ACCOUNTLEVEL,-25,97,45,198,82,227,57,795,2169,5641
Adoption Test - Account 32,ACCOUNTLEVEL,-25,0,29,173,138,190,40,202,7608,13853
Adoption Test - Account 33,ACCOUNTLEVEL,-25,9,21,187,39,237,22,721,6218,19732
Adoption Test - Account 34,ACCOUNTLEVEL,-25,76,25,186,130,210,21,532,1338,6009
Adoption Test - Account 35,ACCOUNTLEVEL,-25,86,23,119,130,151,45,365,5539,7313
Adoption Test - Account 36,ACCOUNTLEVEL,-25,43,14,60,147,194,26,381,8927,5704
Adoption Test - Account 37,ACCOUNTLEVEL,-25,99,46,55,39,135,20,685,3691,11321
Adoption Test - Account 38,ACCOUNTLEVEL,-25,96,41,96,47,169,17,689,2631,6152
Adoption Test - Account 39,ACCOUNTLEVEL,-25,80,43,132,78,186,28,723,5098,7401
Adoption Test - Account 40,ACCOUNTLEVEL,-25,65,14,99,7,106,6,310,5473,7984
Adoption Test - Account 41,ACCOUNTLEVEL,-25,52,44,151,89,246,13,653,961,2271
Adoption Test - Account 42,ACCOUNTLEVEL,-25,66,23,99,58,126,32,596,3646,1358
Adoption Test - Account 43,ACCOUNTLEVEL,-25,95,33,161,89,115,39,929,6802,5653
Adoption Test - Account 44,ACCOUNTLEVEL,-25,52,13,75,50,113,10,265,9322,15654
Adoption Test - Account 45,ACCOUNTLEVEL,-25,13,29,186,97,170,38,876,5402,13185
Adoption Test - Account 46,ACCOUNTLEVEL,-25,87,44,57,138,121,25,613,5411,3813
Adoption Test - Account 47,ACCOUNTLEVEL,-25,59,24,51,112,200,6,797,4933,6599
Adoption Test - Account 48,ACCOUNTLEVEL,-25,80,45,141,100,225,23,368,871,11049
Adoption Test - Account 49,ACCOUNTLEVEL,-25,51,21,128,123,227,19,617,7183,2665
Adoption Test - Account 50,ACCOUNTLEVEL,-25,10,42,146,55,125,5,549,3381,1006
Adoption Test - Account 51,ACCOUNTLEVEL,-25,15,15,119,30,247,27,112,667,14682
Adoption Test - Account 52,ACCOUNTLEVEL,-25,95,15,71,98,101,30,547,7178,2745
Adoption Test - Account 53,ACCOUNTLEVEL,-25,24,35,152,105,150,27,367,6697,1558
Adoption Test - Account 54,ACCOUNTLEVEL,-25,25,28,135,46,247,6,793,702,16834
Adoption Test - Account 55,ACCOUNTLEVEL,-25,24,38,193,57,219,8,770,4376,12600
Adoption Test - Account 56,ACCOUNTLEVEL,-25,85,49,85,122,140,36,191,5202,9129
