JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 35,USERLEVEL,-13,User 1,76,43,100,136,150,56,504,6738,13049
Adoption Test - Account 36,USERLEVEL,-13,User 1,42,19,101,127,194,39,859,9438,14785
Adoption Test - Account 37,USERLEVEL,-13,User 1,71,36,87,115,235,3,154,3268,10291
Adoption Test - Account 38,USERLEVEL,-13,User 1,55,19,199,20,197,11,82,5484,17373
Adoption Test - Account 39,USERLEVEL,-13,User 1,18,40,180,84,118,24,526,4942,15564
Adoption Test - Account 40,USERLEVEL,-13,User 1,39,41,93,124,243,24,686,2994,9972
Adoption Test - Account 41,USERLEVEL,-13,User 1,38,21,76,122,196,36,108,7693,15745
Adoption Test - Account 42,USERLEVEL,-13,User 1,96,13,198,27,245,34,94,925,11039
Adoption Test - Account 43,USERLEVEL,-13,User 1,25,20,77,114,149,26,656,5221,3796
Adoption Test - Account 44,USERLEVEL,-13,User 1,28,16,189,0,137,50,511,7934,4562
Adoption Test - Account 45,USERLEVEL,-13,User 1,72,24,181,2,104,49,110,7304,4032
Adoption Test - Account 46,USERLEVEL,-13,User 1,74,34,59,55,245,27,71,6861,14754
Adoption Test - Account 47,USERLEVEL,-13,User 1,47,23,112,2,125,34,994,9135,4425
Adoption Test - Account 48,USERLEVEL,-13,User 1,35,25,113,18,241,49,380,7781,4196
Adoption Test - Account 49,USERLEVEL,-13,User 1,62,26,70,125,138,16,583,1426,7537
Adoption Test - Account 50,USERLEVEL,-13,User 1,61,15,66,137,249,49,916,3404,6558
Adoption Test - Account 51,USERLEVEL,-13,User 1,39,11,175,120,133,52,373,5778,6381
Adoption Test - Account 52,USERLEVEL,-13,User 1,96,46,183,32,184,48,973,7270,5870
Adoption Test - Account 53,USERLEVEL,-13,User 1,5,50,193,97,166,12,582,1736,1955
Adoption Test - Account 54,USERLEVEL,-13,User 1,12,37,88,97,205,10,885,3692,4946
Adoption Test - Account 55,USERLEVEL,-13,User 1,43,27,130,53,184,38,569,4143,19218
Adoption Test - Account 56,USERLEVEL,-13,User 1,4,30,63,131,149,53,431,6039,17487
Adoption Test - Account 57,USERLEVEL,-13,User 1,62,26,195,124,203,5,788,971,11672
Adoption Test - Account 58,USERLEVEL,-13,User 1,87,35,139,76,237,16,834,8785,2733
Adoption Test - Account 59,USERLEVEL,-13,User 1,46,35,134,46,210,4,557,2317,6149
Adoption Test - Account 60,USERLEVEL,-13,User 1,65,50,168,124,218,23,195,9024,16354
Adoption Test - Account 61,USERLEVEL,-13,User 1,46,37,188,18,128,13,853,6916,7067
Adoption Test - Account 62,USERLEVEL,-13,User 1,41,23,72,94,134,47,592,6964,18134
Adoption Test - Account 63,USERLEVEL,-13,User 1,88,11,128,86,216,51,795,6009,113
Adoption Test - Account 64,USERLEVEL,-13,User 1,85,42,61,33,198,9,266,8424,16933
Adoption Test - Account 65,USERLEVEL,-13,User 1,57,11,98,112,194,8,578,3247,10593
Adoption Test - Account 66,USERLEVEL,-13,User 1,53,14,191,127,156,12,588,4358,5376
Adoption Test - Account 67,USERLEVEL,-13,User 1,64,22,169,59,186,50,272,3562,17535
Adoption Test - Account 68,USERLEVEL,-13,User 1,98,38,109,77,226,9,23,2384,19675
Adoption Test - Account 69,USERLEVEL,-13,User 1,44,36,181,72,155,45,159,6109,3265
Adoption Test - Account 70,USERLEVEL,-13,User 1,35,16,140,145,207,17,229,1755,15216
Adoption Test - Account 71,USERLEVEL,-13,User 1,72,10,162,144,198,35,603,5781,2629
Adoption Test - Account 72,USERLEVEL,-13,User 1,63,40,164,116,200,25,409,6181,10455
Adoption Test - Account 73,USERLEVEL,-13,User 1,51,40,81,132,192,21,160,9987,3666
Adoption Test - Account 74,USERLEVEL,-13,User 1,12,27,81,92,154,4,512,9530,7487
Adoption Test - Account 75,USERLEVEL,-13,User 1,47,34,156,136,122,25,411,2767,10743
Adoption Test - Account 76,USERLEVEL,-13,User 1,86,10,146,60,181,27,325,3554,11218
Adoption Test - Account 77,USERLEVEL,-13,User 1,65,45,163,30,237,11,883,2527,16840
Adoption Test - Account 78,USERLEVEL,-13,User 1,56,25,100,94,137,1,531,385,10629
Adoption Test - Account 79,USERLEVEL,-13,User 1,95,20,135,24,224,7,771,797,5736
Adoption Test - Account 80,USERLEVEL,-13,User 1,83,37,69,132,128,41,373,7090,8335
Adoption Test - Account 81,USERLEVEL,-13,User 1,58,41,63,51,152,53,420,7109,133
Adoption Test - Account 82,USERLEVEL,-13,User 1,2,10,151,17,194,14,503,6920,18765
Adoption Test - Account 83,USERLEVEL,-13,User 1,29,12,152,49,216,21,644,4158,15362
Adoption Test - Account 84,USERLEVEL,-13,User 1,86,11,109,44,132,40,367,6669,16983
Adoption Test - Account 85,USERLEVEL,-13,User 1,87,29,126,122,137,11,300,2957,9958
Adoption Test - Account 86,USERLEVEL,-13,User 1,70,28,70,118,244,22,952,2359,16421
Adoption Test - Account 87,USERLEVEL,-13,User 1,61,30,79,34,220,52,809,4585,2936
Adoption Test - Account 88,USERLEVEL,-13,User 1,61,44,123,128,180,59,947,6661,15369
Adoption Test - Account 89,USERLEVEL,-13,User 1,83,37,127,132,195,21,905,5955,2132
Adoption Test - Account 90,USERLEVEL,-13,User 1,24,43,124,114,123,9,201,3315,5597
Adoption Test - Account 91,USERLEVEL,-13,User 1,40,25,136,85,241,55,813,2102,10823
Adoption Test - Account 92,USERLEVEL,-13,User 1,80,10,97,18,166,28,815,8267,12486
Adoption Test - Account 93,USERLEVEL,-13,User 1,49,12,160,71,140,54,884,8489,16536
Adoption Test - Account 94,USERLEVEL,-13,User 1,88,22,151,123,124,33,5,2235,14588
Adoption Test - Account 95,USERLEVEL,-13,User 1,91,24,129,6,100,26,336,6501,4016
Adoption Test - Account 96,USERLEVEL,-13,User 1,15,21,168,32,132,10,670,7486,9166
Adoption Test - Account 97,USERLEVEL,-13,User 1,33,14,175,104,250,45,882,2197,8627
Adoption Test - Account 98,USERLEVEL,-13,User 1,36,47,85,55,107,53,944,6513,1891
Adoption Test - Account 99,USERLEVEL,-13,User 1,11,32,115,43,225,28,576,5333,1568
Adoption Test - Account 100,USERLEVEL,-13,User 1,84,12,72,18,128,56,20,3476,4591
Adoption Test - Account 101,USERLEVEL,-13,User 1,81,42,194,101,138,15,559,6942,1562
Adoption Test - Account 102,USERLEVEL,-13,User 1,4,46,87,63,215,25,73,7850,1928
Adoption Test - Account 103,USERLEVEL,-13,User 1,25,14,166,53,116,38,259,5468,8301
Adoption Test - Account 104,USERLEVEL,-13,User 1,2,10,132,92,118,25,629,8532,11133
Adoption Test - Account 105,USERLEVEL,-13,User 1,27,27,57,68,216,22,276,234,5951
Adoption Test - Account 106,USERLEVEL,-13,User 1,56,30,190,132,158,52,525,7310,1634
Adoption Test - Account 107,USERLEVEL,-13,User 1,90,39,60,18,145,44,814,1518,2243
Adoption Test - Account 108,USERLEVEL,-13,User 1,87,37,187,56,132,44,271,8241,15684
Adoption Test - Account 109,USERLEVEL,-13,User 1,3,23,102,111,139,45,356,5133,16046
Adoption Test - Account 110,USERLEVEL,-13,User 1,38,18,167,125,162,52,811,2115,10867
Adoption Test - Account 111,USERLEVEL,-13,User 1,99,34,69,9,121,22,31,6423,14556
Adoption Test - Account 112,USERLEVEL,-13,User 1,83,16,114,58,101,43,199,8437,9806
Adoption Test - Account 113,USERLEVEL,-13,User 1,47,33,151,90,193,52,352,4523,6408
Adoption Test - Account 114,USERLEVEL,-13,User 1,89,31,61,4,176,57,197,1503,14209
Adoption Test - Account 115,USERLEVEL,-13,User 1,49,31,139,91,206,14,268,476,18911
Adoption Test - Account 116,USERLEVEL,-13,User 1,93,15,82,74,162,42,943,1338,18759
Adoption Test - Account 117,USERLEVEL,-13,User 1,28,45,55,137,220,7,288,8065,2039
Adoption Test - Account 118,USERLEVEL,-13,User 1,82,44,52,123,224,12,148,4007,12026
Adoption Test - Account 1,USERLEVEL,-12,User 1,44,39,72,129,250,16,517,3677,8597
Adoption Test - Account 2,USERLEVEL,-12,User 1,76,31,133,130,248,40,999,5937,16930
Adoption Test - Account 3,USERLEVEL,-12,User 1,84,23,82,60,145,29,75,9953,9256
Adoption Test - Account 4,USERLEVEL,-12,User 1,10,50,102,24,207,47,520,341,4369
Adoption Test - Account 5,USERLEVEL,-12,User 1,73,28,50,125,193,31,119,5639,4825
Adoption Test - Account 6,USERLEVEL,-12,User 1,57,28,112,28,143,57,356,8865,19331
Adoption Test - Account 7,USERLEVEL,-12,User 1,93,23,167,44,117,5,587,5888,5048
Adoption Test - Account 8,USERLEVEL,-12,User 1,20,10,112,72,247,36,887,449,1201
Adoption Test - Account 9,USERLEVEL,-12,User 1,81,34,129,87,118,47,170,3120,19653
Adoption Test - Account 10,USERLEVEL,-12,User 1,85,26,94,25,214,21,729,6740,2088
Adoption Test - Account 11,USERLEVEL,-12,User 1,12,31,65,59,159,7,586,4110,7890
Adoption Test - Account 12,USERLEVEL,-12,User 1,18,14,106,39,205,2,925,9645,2018
Adoption Test - Account 13,USERLEVEL,-12,User 1,8,49,71,73,242,50,720,5150,6842
Adoption Test - Account 14,USERLEVEL,-12,User 1,100,19,93,48,216,35,793,6640,4319
Adoption Test - Account 15,USERLEVEL,-12,User 1,90,14,104,26,217,21,1,6884,1711
Adoption Test - Account 16,USERLEVEL,-12,User 1,4,49,146,132,117,17,345,148,10863
Adoption Test - Account 17,USERLEVEL,-12,User 1,100,20,122,55,139,55,27,3719,12933
Adoption Test - Account 18,USERLEVEL,-12,User 1,2,23,132,136,200,50,155,7109,10330
Adoption Test - Account 19,USERLEVEL,-12,User 1,26,34,116,145,144,48,347,1742,16855
Adoption Test - Account 20,USERLEVEL,-12,User 1,78,47,90,104,233,33,469,3714,10268
Adoption Test - Account 21,USERLEVEL,-12,User 1,8,12,111,96,227,26,17,2913,7713
Adoption Test - Account 22,USERLEVEL,-12,User 1,53,16,85,34,103,8,973,3131,19535
Adoption Test - Account 23,USERLEVEL,-12,User 1,7,20,59,129,140,54,386,4608,16245
Adoption Test - Account 24,USERLEVEL,-12,User 1,85,14,141,150,120,35,732,6491,324
Adoption Test - Account 25,USERLEVEL,-12,User 1,22,45,89,10,228,6,341,585,7835
Adoption Test - Account 26,USERLEVEL,-12,User 1,96,30,179,113,130,33,356,9672,9639
Adoption Test - Account 27,USERLEVEL,-12,User 1,34,10,64,90,135,42,47,2775,15404
Adoption Test - Account 28,USERLEVEL,-12,User 1,85,36,118,62,151,23,101,2143,11769
Adoption Test - Account 29,USERLEVEL,-12,User 1,45,42,57,72,139,33,934,1975,14419
Adoption Test - Account 30,USERLEVEL,-12,User 1,16,28,51,136,120,44,595,6597,16057
Adoption Test - Account 31,USERLEVEL,-12,User 1,57,34,159,98,249,49,223,8118,17137
Adoption Test - Account 32,USERLEVEL,-12,User 1,45,10,121,13,120,15,339,8330,14365
Adoption Test - Account 33,USERLEVEL,-12,User 1,67,43,178,61,241,24,272,6319,10338
Adoption Test - Account 34,USERLEVEL,-12,User 1,86,10,100,74,186,29,185,7552,2442
Adoption Test - Account 35,USERLEVEL,-12,User 1,47,48,123,138,190,18,804,3241,12724
Adoption Test - Account 36,USERLEVEL,-12,User 1,81,26,198,8,177,13,18,7366,5233
Adoption Test - Account 37,USERLEVEL,-12,User 1,4,46,133,34,128,7,406,7716,1327
Adoption Test - Account 38,USERLEVEL,-12,User 1,40,24,149,83,102,12,204,7928,14772
Adoption Test - Account 39,USERLEVEL,-12,User 1,17,30,117,116,128,43,623,4435,10473
Adoption Test - Account 40,USERLEVEL,-12,User 1,25,13,137,140,247,14,548,8664,16758
Adoption Test - Account 41,USERLEVEL,-12,User 1,71,31,91,142,218,12,257,2796,15713
Adoption Test - Account 42,USERLEVEL,-12,User 1,64,23,59,89,210,24,986,9856,13117
Adoption Test - Account 43,USERLEVEL,-12,User 1,92,24,64,68,248,43,661,9393,5167
Adoption Test - Account 44,USERLEVEL,-12,User 1,25,27,200,100,145,3,940,375,6462
Adoption Test - Account 45,USERLEVEL,-12,User 1,77,37,182,29,194,34,990,8877,12448
Adoption Test - Account 46,USERLEVEL,-12,User 1,23,41,179,62,247,20,38,8129,16862
Adoption Test - Account 47,USERLEVEL,-12,User 1,47,39,146,45,164,41,980,3409,953
Adoption Test - Account 48,USERLEVEL,-12,User 1,17,29,103,57,145,60,206,5547,8980
Adoption Test - Account 49,USERLEVEL,-12,User 1,89,50,52,141,192,8,229,8385,16654
Adoption Test - Account 50,USERLEVEL,-12,User 1,54,32,85,145,215,25,511,2970,11025
Adoption Test - Account 51,USERLEVEL,-12,User 1,40,13,192,125,116,35,841,5546,19539
Adoption Test - Account 52,USERLEVEL,-12,User 1,74,49,192,60,158,53,22,6639,3476
Adoption Test - Account 53,USERLEVEL,-12,User 1,91,39,189,49,236,12,694,8663,2282
Adoption Test - Account 54,USERLEVEL,-12,User 1,37,45,129,12,148,8,606,5692,3935
Adoption Test - Account 55,USERLEVEL,-12,User 1,60,50,91,56,178,37,244,5794,8608
Adoption Test - Account 56,USERLEVEL,-12,User 1,79,20,133,51,165,42,107,7239,19060
Adoption Test - Account 57,USERLEVEL,-12,User 1,47,18,121,133,207,10,685,405,17348
Adoption Test - Account 58,USERLEVEL,-12,User 1,86,39,65,73,183,32,403,1576,4611
Adoption Test - Account 59,USERLEVEL,-12,User 1,69,26,85,139,183,23,809,8149,15640
Adoption Test - Account 60,USERLEVEL,-12,User 1,38,41,93,113,154,56,102,3371,13051
Adoption Test - Account 61,USERLEVEL,-12,User 1,75,39,103,47,144,27,467,9450,18458
Adoption Test - Account 62,USERLEVEL,-12,User 1,13,25,135,74,237,46,941,357,8769
Adoption Test - Account 63,USERLEVEL,-12,User 1,8,10,107,87,137,47,373,7568,5814
Adoption Test - Account 64,USERLEVEL,-12,User 1,77,27,143,37,158,33,311,7187,2901
Adoption Test - Account 65,USERLEVEL,-12,User 1,67,35,74,102,115,41,109,9642,17108
Adoption Test - Account 66,USERLEVEL,-12,User 1,7,32,135,100,197,52,828,8888,3107
Adoption Test - Account 67,USERLEVEL,-12,User 1,70,28,83,34,172,36,152,5765,5269
Adoption Test - Account 68,USERLEVEL,-12,User 1,26,31,99,109,140,5,964,6728,923
Adoption Test - Account 69,USERLEVEL,-12,User 1,26,49,155,104,125,51,402,179,2597
Adoption Test - Account 70,USERLEVEL,-12,User 1,19,43,185,96,107,58,299,1916,18077
Adoption Test - Account 71,USERLEVEL,-12,User 1,16,15,131,107,173,12,248,5959,17017
Adoption Test - Account 72,USERLEVEL,-12,User 1,99,40,184,61,206,33,139,7535,14097
Adoption Test - Account 73,USERLEVEL,-12,User 1,50,44,92,79,208,31,549,3539,240
Adoption Test - Account 74,USERLEVEL,-12,User 1,37,38,168,65,250,27,474,3374,14078
Adoption Test - Account 75,USERLEVEL,-12,User 1,37,22,165,50,198,13,674,676,5387
Adoption Test - Account 76,USERLEVEL,-12,User 1,83,11,141,78,182,11,21,7638,9923
Adoption Test - Account 77,USERLEVEL,-12,User 1,40,39,93,102,112,19,529,9426,19502
Adoption Test - Account 78,USERLEVEL,-12,User 1,43,45,106,72,102,14,105,7858,5134
Adoption Test - Account 79,USERLEVEL,-12,User 1,20,39,147,37,100,39,859,7259,3209
Adoption Test - Account 80,USERLEVEL,-12,User 1,82,18,164,65,233,34,716,4792,6577
Adoption Test - Account 81,USERLEVEL,-12,User 1,80,13,162,146,201,14,761,5386,786
Adoption Test - Account 82,USERLEVEL,-12,User 1,28,49,109,135,165,29,227,1904,10121
Adoption Test - Account 83,USERLEVEL,-12,User 1,6,38,87,138,229,30,301,9329,11257
Adoption Test - Account 84,USERLEVEL,-12,User 1,62,27,65,80,128,10,759,7581,7122
Adoption Test - Account 85,USERLEVEL,-12,User 1,22,25,195,16,117,47,448,2001,18325
Adoption Test - Account 86,USERLEVEL,-12,User 1,43,41,65,106,194,52,175,1090,11164
Adoption Test - Account 87,USERLEVEL,-12,User 1,16,21,103,3,122,22,482,4948,773
Adoption Test - Account 88,USERLEVEL,-12,User 1,19,26,191,15,207,26,539,8214,1037
Adoption Test - Account 89,USERLEVEL,-12,User 1,11,42,171,104,166,15,880,5465,1899
Adoption Test - Account 90,USERLEVEL,-12,User 1,39,23,131,114,188,40,90,7712,16626
Adoption Test - Account 91,USERLEVEL,-12,User 1,98,30,132,66,120,23,68,1876,16810
Adoption Test - Account 92,USERLEVEL,-12,User 1,82,16,184,112,132,11,421,4236,12121
Adoption Test - Account 93,USERLEVEL,-12,User 1,45,17,176,0,132,4,349,4698,1337
Adoption Test - Account 94,USERLEVEL,-12,User 1,42,31,90,69,117,42,690,1165,19023
Adoption Test - Account 95,USERLEVEL,-12,User 1,38,11,168,139,220,2,857,5947,9730
Adoption Test - Account 96,USERLEVEL,-12,User 1,48,36,153,124,145,46,603,1966,15583
Adoption Test - Account 97,USERLEVEL,-12,User 1,81,31,102,78,169,21,340,8872,18160
Adoption Test - Account 98,USERLEVEL,-12,User 1,32,25,91,86,220,33,959,8672,11515
Adoption Test - Account 99,USERLEVEL,-12,User 1,38,11,87,91,162,1,703,4626,5595
Adoption Test - Account 100,USERLEVEL,-12,User 1,79,20,155,20,140,9,782,5834,15216
Adoption Test - Account 101,USERLEVEL,-12,User 1,4,14,71,91,136,21,475,9034,6764
Adoption Test - Account 102,USERLEVEL,-12,User 1,9,17,89,12,159,29,565,5470,8361
Adoption Test - Account 103,USERLEVEL,-12,User 1,43,49,194,45,161,36,966,4266,10123
Adoption Test - Account 104,USERLEVEL,-12,User 1,62,23,159,139,103,58,475,4330,18646
Adoption Test - Account 105,USERLEVEL,-12,User 1,14,38,102,131,243,13,662,5424,6899
Adoption Test - Account 106,USERLEVEL,-12,User 1,96,17,173,144,115,34,721,4224,19611
Adoption Test - Account 107,USERLEVEL,-12,User 1,73,49,159,30,143,21,751,4434,12563
Adoption Test - Account 108,USERLEVEL,-12,User 1,45,40,66,0,241,59,307,6623,7060
Adoption Test - Account 109,USERLEVEL,-12,User 1,14,40,93,20,199,49,769,2889,19789
Adoption Test - Account 110,USERLEVEL,-12,User 1,9,26,154,101,210,12,85,411,5697
Adoption Test - Account 111,USERLEVEL,-12,User 1,12,22,178,104,132,26,413,8607,1693
Adoption Test - Account 112,USERLEVEL,-12,User 1,40,10,175,55,187,20,396,1529,9432
Adoption Test - Account 113,USERLEVEL,-12,User 1,18,49,84,106,218,53,61,6044,3804
Adoption Test - Account 114,USERLEVEL,-12,User 1,92,14,87,38,175,58,115,480,14281
Adoption Test - Account 115,USERLEVEL,-12,User 1,65,32,133,39,242,13,537,9013,11791
Adoption Test - Account 116,USERLEVEL,-12,User 1,87,26,90,55,196,30,76,3645,886
Adoption Test - Account 117,USERLEVEL,-12,User 1,11,40,141,20,128,40,996,6108,14215
Adoption Test - Account 118,USERLEVEL,-12,User 1,80,30,128,126,177,43,346,8570,443
Adoption Test - Account 1,USERLEVEL,-11,User 1,11,22,139,125,144,15,111,9178,10341
Adoption Test - Account 2,USERLEVEL,-11,User 1,4,47,123,97,232,13,147,1046,8310
Adoption Test - Account 3,USERLEVEL,-11,User 1,62,23,108,17,119,31,216,3125,10925
Adoption Test - Account 4,USERLEVEL,-11,User 1,36,42,153,56,207,50,125,491,14716
Adoption Test - Account 5,USERLEVEL,-11,User 1,72,25,96,124,187,10,960,3576,17541
Adoption Test - Account 6,USERLEVEL,-11,User 1,19,26,81,144,187,6,678,8276,5826
Adoption Test - Account 7,USERLEVEL,-11,User 1,17,44,83,19,211,12,374,7056,13165
Adoption Test - Account 8,USERLEVEL,-11,User 1,31,37,59,42,163,37,23,8448,9995
Adoption Test - Account 9,USERLEVEL,-11,User 1,80,41,111,138,237,8,576,3646,2604
Adoption Test - Account 10,USERLEVEL,-11,User 1,69,46,54,77,214,52,594,8149,10599
Adoption Test - Account 11,USERLEVEL,-11,User 1,28,28,89,15,237,49,878,453,10073
Adoption Test - Account 12,USERLEVEL,-11,User 1,91,19,150,50,169,14,483,2663,9245
Adoption Test - Account 13,USERLEVEL,-11,User 1,81,43,171,116,116,23,534,9224,2127
Adoption Test - Account 14,USERLEVEL,-11,User 1,44,50,176,92,228,7,354,2101,10954
Adoption Test - Account 15,USERLEVEL,-11,User 1,73,13,117,121,248,36,462,8389,16948
Adoption Test - Account 16,USERLEVEL,-11,User 1,30,35,69,4,151,54,102,1536,9593
Adoption Test - Account 17,USERLEVEL,-11,User 1,7,38,101,27,172,45,9,3496,15992
Adoption Test - Account 18,USERLEVEL,-11,User 1,28,46,182,101,206,35,840,8266,18195
Adoption Test - Account 19,USERLEVEL,-11,User 1,38,50,189,131,154,41,413,3003,1022
Adoption Test - Account 20,USERLEVEL,-11,User 1,47,21,127,136,157,56,394,610,11549
Adoption Test - Account 21,USERLEVEL,-11,User 1,59,26,80,71,153,19,592,1478,13157
Adoption Test - Account 22,USERLEVEL,-11,User 1,60,45,57,4,220,17,143,8483,18530
Adoption Test - Account 23,USERLEVEL,-11,User 1,28,23,178,139,215,29,139,3146,4162
Adoption Test - Account 24,USERLEVEL,-11,User 1,6,11,131,53,206,10,547,9560,16816
Adoption Test - Account 25,USERLEVEL,-11,User 1,64,14,89,8,156,20,360,1762,12483
Adoption Test - Account 26,USERLEVEL,-11,User 1,83,27,84,46,186,2,148,4082,11544
Adoption Test - Account 27,USERLEVEL,-11,User 1,77,10,89,141,148,31,925,6488,2203
Adoption Test - Account 28,USERLEVEL,-11,User 1,62,40,57,137,162,50,17,2052,11034
Adoption Test - Account 29,USERLEVEL,-11,User 1,42,43,133,38,192,30,479,6252,2339
Adoption Test - Account 30,USERLEVEL,-11,User 1,10,48,160,19,240,17,497,8519,5444
Adoption Test - Account 31,USERLEVEL,-11,User 1,59,37,110,137,211,52,805,1426,7034
Adoption Test - Account 32,USERLEVEL,-11,User 1,71,10,90,21,245,16,74,1068,16472
Adoption Test - Account 33,USERLEVEL,-11,User 1,86,43,172,116,100,25,987,3988,9816
Adoption Test - Account 34,USERLEVEL,-11,User 1,49,36,72,95,177,39,187,226,8008
Adoption Test - Account 35,USERLEVEL,-11,User 1,82,46,138,72,142,45,856,8633,3673
Adoption Test - Account 36,USERLEVEL,-11,User 1,33,46,149,17,153,31,581,8137,10054
Adoption Test - Account 37,USERLEVEL,-11,User 1,98,22,140,50,105,33,917,3304,17762
Adoption Test - Account 38,USERLEVEL,-11,User 1,51,41,160,94,139,55,296,766,17995
Adoption Test - Account 39,USERLEVEL,-11,User 1,25,11,181,76,114,20,64,9301,18051
Adoption Test - Account 40,USERLEVEL,-11,User 1,60,46,82,13,158,52,597,7684,12021
Adoption Test - Account 41,USERLEVEL,-11,User 1,29,24,141,99,189,30,974,8710,17844
Adoption Test - Account 42,USERLEVEL,-11,User 1,88,38,179,79,212,28,413,8437,13510
Adoption Test - Account 43,USERLEVEL,-11,User 1,3,29,70,130,102,14,775,8139,3533
Adoption Test - Account 44,USERLEVEL,-11,User 1,90,30,72,89,166,47,437,8212,9131
Adoption Test - Account 45,USERLEVEL,-11,User 1,27,22,98,145,169,13,711,2036,497
Adoption Test - Account 46,USERLEVEL,-11,User 1,64,40,93,3,215,22,810,2724,9974
Adoption Test - Account 47,USERLEVEL,-11,User 1,56,50,165,124,109,1,810,2474,17739
Adoption Test - Account 48,USERLEVEL,-11,User 1,44,28,174,25,175,25,670,4634,8055
Adoption Test - Account 49,USERLEVEL,-11,User 1,2,32,153,73,142,54,584,4725,5976
Adoption Test - Account 50,USERLEVEL,-11,User 1,96,23,50,150,193,54,452,2070,2051
Adoption Test - Account 51,USERLEVEL,-11,User 1,69,49,114,83,108,16,160,3376,8079
Adoption Test - Account 52,USERLEVEL,-11,User 1,75,32,135,9,239,18,781,7545,18596
Adoption Test - Account 53,USERLEVEL,-11,User 1,40,47,161,43,142,43,551,7119,6564
Adoption Test - Account 54,USERLEVEL,-11,User 1,95,36,128,33,170,37,381,137,19737
Adoption Test - Account 55,USERLEVEL,-11,User 1,9,18,149,36,189,60,791,6840,1292
Adoption Test - Account 56,USERLEVEL,-11,User 1,16,46,142,45,242,48,589,1057,275
Adoption Test - Account 57,USERLEVEL,-11,User 1,37,50,143,55,240,35,281,7090,1021
