JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Files_Downloaded__c,No_of_Report_Run__c,Page_Views__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,INSTANCELEVEL,-9,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,82,29,104,120,185,27,510,5445,8424
Adoption Test - Account 1,INSTANCELEVEL,-8,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,58,35,195,124,180,58,176,6330,8655
Adoption Test - Account 1,INSTANCELEVEL,-7,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,3,26,154,3,186,39,569,8589,6144
Adoption Test - Account 1,INSTANCELEVEL,-6,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,52,29,94,116,203,46,488,6071,5851
Adoption Test - Account 1,INSTANCELEVEL,-5,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,84,21,60,108,230,17,275,2487,19605
Adoption Test - Account 1,INSTANCELEVEL,-4,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,15,27,136,16,123,1,194,7900,14940
Adoption Test - Account 1,INSTANCELEVEL,-3,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,82,35,56,34,148,29,815,4427,3618
Adoption Test - Account 1,INSTANCELEVEL,-2,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,72,12,156,133,111,33,995,2161,17028
Adoption Test - Account 1,INSTANCELEVEL,-1,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,89,16,51,66,212,16,968,6878,7825
Adoption Test - Account 1,INSTANCELEVEL,0,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,71,23,113,13,186,51,282,1068,14582
Adoption Test - Account 1,INSTANCELEVEL,-13,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,11,16,176,59,227,44,183,1780,18683
Adoption Test - Account 1,INSTANCELEVEL,-12,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,38,21,83,79,135,12,311,9329,12534
Adoption Test - Account 1,INSTANCELEVEL,-11,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,73,16,68,2,196,14,446,5413,18809
Adoption Test - Account 1,INSTANCELEVEL,-10,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,48,48,195,22,220,58,384,1532,11182
Adoption Test - Account 1,INSTANCELEVEL,-9,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,71,18,169,9,125,34,6,5975,9070
Adoption Test - Account 1,INSTANCELEVEL,-8,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,59,39,156,37,172,6,632,5284,3135
Adoption Test - Account 1,INSTANCELEVEL,-7,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,100,29,142,141,155,27,667,8206,16118
Adoption Test - Account 1,INSTANCELEVEL,-6,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,38,15,101,59,211,29,746,3533,5650
Adoption Test - Account 1,INSTANCELEVEL,-5,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,40,32,193,133,164,25,832,250,1759
Adoption Test - Account 1,INSTANCELEVEL,-4,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,96,29,175,70,186,30,971,4930,914
Adoption Test - Account 1,INSTANCELEVEL,-3,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,73,29,151,65,223,56,80,5195,5700
Adoption Test - Account 1,INSTANCELEVEL,-2,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,95,50,156,57,212,14,763,7082,14580
Adoption Test - Account 1,INSTANCELEVEL,-1,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,84,37,121,54,114,37,884,4189,9041
Adoption Test - Account 1,INSTANCELEVEL,0,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,6,50,154,89,127,41,520,9456,19315
Adoption Test - Account 1,INSTANCELEVEL,-13,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,61,49,123,145,200,27,812,3244,2887
Adoption Test - Account 1,INSTANCELEVEL,-12,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,68,13,148,67,201,45,609,7953,8380
Adoption Test - Account 1,INSTANCELEVEL,-11,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,71,17,158,35,206,44,179,9846,10241
Adoption Test - Account 1,INSTANCELEVEL,-10,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,71,47,136,8,122,35,233,2296,6646
Adoption Test - Account 1,INSTANCELEVEL,-9,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,47,31,120,114,171,20,676,9823,17532
Adoption Test - Account 1,INSTANCELEVEL,-8,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,78,25,95,109,212,18,570,935,19975
Adoption Test - Account 1,INSTANCELEVEL,-7,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,51,10,193,80,205,5,812,5386,18846
Adoption Test - Account 1,INSTANCELEVEL,-6,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,91,42,129,28,197,16,211,7240,6058
Adoption Test - Account 1,INSTANCELEVEL,-5,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,94,34,140,19,143,48,834,6252,13664
Adoption Test - Account 1,INSTANCELEVEL,-4,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,26,30,102,17,227,53,688,2215,446
Adoption Test - Account 1,INSTANCELEVEL,-3,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,17,16,76,60,193,25,686,2613,14063
Adoption Test - Account 1,INSTANCELEVEL,-2,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,47,23,150,126,105,21,80,7295,4259
Adoption Test - Account 1,INSTANCELEVEL,-1,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,59,40,170,98,227,24,192,7583,108
Adoption Test - Account 1,INSTANCELEVEL,0,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,84,33,184,71,124,56,889,9981,19542
Adoption Test - Account 1,INSTANCELEVEL,-13,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,75,23,97,73,212,51,457,5019,6088
Adoption Test - Account 1,INSTANCELEVEL,-12,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,51,48,185,18,110,36,934,7653,15283
Adoption Test - Account 1,INSTANCELEVEL,-11,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,1,35,158,135,100,21,210,4501,16878
Adoption Test - Account 1,INSTANCELEVEL,-10,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,50,47,122,1,244,36,607,8181,15477
Adoption Test - Account 1,INSTANCELEVEL,-9,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,90,16,86,21,213,31,817,1794,17204
Adoption Test - Account 1,INSTANCELEVEL,-8,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,75,49,176,47,181,27,406,6617,15639
Adoption Test - Account 1,INSTANCELEVEL,-7,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,84,20,159,39,196,7,427,6497,13079
Adoption Test - Account 1,INSTANCELEVEL,-6,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,90,12,77,37,113,60,574,8197,12006
Adoption Test - Account 1,INSTANCELEVEL,-5,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,72,50,102,110,108,18,639,4839,13553
Adoption Test - Account 1,INSTANCELEVEL,-4,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,18,29,61,140,107,11,741,1907,3204
Adoption Test - Account 1,INSTANCELEVEL,-3,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,31,17,184,51,214,22,668,4033,1248
Adoption Test - Account 1,INSTANCELEVEL,-2,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,13,36,86,127,206,45,694,4512,13469
Adoption Test - Account 1,INSTANCELEVEL,-1,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,91,26,113,33,116,6,27,5518,950
Adoption Test - Account 1,INSTANCELEVEL,0,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,73,10,148,75,116,9,964,796,15093
Adoption Test - Account 10,INSTANCELEVEL,-27,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,70,50,187,144,136,49,837,6176,1760
Adoption Test - Account 10,INSTANCELEVEL,-26,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,21,24,193,27,126,47,658,4434,18387
Adoption Test - Account 10,INSTANCELEVEL,-25,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,14,39,109,52,223,54,208,2087,14898
Adoption Test - Account 10,INSTANCELEVEL,-24,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,6,11,56,90,125,49,399,267,2139
Adoption Test - Account 10,INSTANCELEVEL,-23,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,38,21,183,5,156,52,657,554,4465
Adoption Test - Account 10,INSTANCELEVEL,-22,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,31,40,65,27,236,55,57,1014,3163
Adoption Test - Account 10,INSTANCELEVEL,-21,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,98,32,141,68,216,59,395,5817,10653
Adoption Test - Account 10,INSTANCELEVEL,-20,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,77,15,91,67,201,24,921,9262,6128
Adoption Test - Account 10,INSTANCELEVEL,-19,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,59,47,93,67,199,34,663,2009,17316
Adoption Test - Account 10,INSTANCELEVEL,-18,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,30,24,116,1,145,28,971,628,17483
Adoption Test - Account 10,INSTANCELEVEL,-17,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,52,12,129,127,152,22,386,8577,9544
Adoption Test - Account 10,INSTANCELEVEL,-16,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,85,14,197,31,222,50,868,2347,9989
Adoption Test - Account 10,INSTANCELEVEL,-15,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,15,42,126,95,197,31,798,8713,1214
Adoption Test - Account 10,INSTANCELEVEL,-14,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,75,46,158,138,186,56,358,3551,11229
Adoption Test - Account 10,INSTANCELEVEL,-27,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,79,44,53,137,247,18,885,1443,1463
Adoption Test - Account 10,INSTANCELEVEL,-26,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,59,12,138,130,225,20,534,6463,13182
Adoption Test - Account 10,INSTANCELEVEL,-25,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,51,42,65,70,209,6,857,8077,6189
Adoption Test - Account 10,INSTANCELEVEL,-24,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,93,27,78,116,172,28,305,2189,8548
Adoption Test - Account 10,INSTANCELEVEL,-23,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,13,35,78,7,162,41,639,5949,7479
Adoption Test - Account 10,INSTANCELEVEL,-22,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,53,29,124,94,211,48,348,1595,17817
Adoption Test - Account 10,INSTANCELEVEL,-21,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,66,25,73,47,213,54,316,7059,16822
Adoption Test - Account 10,INSTANCELEVEL,-20,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,56,45,76,143,211,51,685,8537,18417
Adoption Test - Account 10,INSTANCELEVEL,-19,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,74,42,169,75,240,17,43,1873,1922
Adoption Test - Account 10,INSTANCELEVEL,-18,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,92,36,163,127,200,44,201,7457,10717
Adoption Test - Account 10,INSTANCELEVEL,-17,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,81,26,187,149,142,39,861,1638,5163
Adoption Test - Account 10,INSTANCELEVEL,-16,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,61,43,128,25,138,54,730,6849,7033
Adoption Test - Account 10,INSTANCELEVEL,-15,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,62,20,162,124,181,41,843,4444,6089
Adoption Test - Account 10,INSTANCELEVEL,-14,Production INDIA Instance,Adoption Test - Account 10 - Production INDIA Instance,9,42,107,117,147,47,14,2514,13817
Adoption Test - Account 10,INSTANCELEVEL,-27,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,5,30,156,118,170,56,16,7383,9013
Adoption Test - Account 10,INSTANCELEVEL,-26,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,66,41,71,64,189,48,385,9951,14823
Adoption Test - Account 10,INSTANCELEVEL,-25,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,13,36,157,106,145,37,663,8109,6552
Adoption Test - Account 10,INSTANCELEVEL,-24,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,86,47,178,10,166,34,723,2336,11470
Adoption Test - Account 10,INSTANCELEVEL,-23,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,56,38,96,129,136,28,276,2699,2424
Adoption Test - Account 10,INSTANCELEVEL,-22,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,95,20,126,129,143,18,146,1298,9363
Adoption Test - Account 10,INSTANCELEVEL,-21,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,13,34,81,9,104,44,831,2133,7420
Adoption Test - Account 10,INSTANCELEVEL,-20,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,20,18,163,67,166,5,577,8423,17892
Adoption Test - Account 10,INSTANCELEVEL,-19,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,40,21,57,4,108,37,568,6900,17744
Adoption Test - Account 10,INSTANCELEVEL,-18,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,91,35,185,42,166,55,244,9044,3788
Adoption Test - Account 10,INSTANCELEVEL,-17,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,65,20,156,6,161,37,480,2163,2649
Adoption Test - Account 10,INSTANCELEVEL,-16,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,45,24,194,30,190,51,333,4220,8324
Adoption Test - Account 10,INSTANCELEVEL,-15,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,24,38,87,127,241,47,997,6742,17235
Adoption Test - Account 10,INSTANCELEVEL,-14,Sandbox USA Instance,Adoption Test - Account 10 - Sandbox USA Instance,64,14,66,85,140,52,670,7298,12463
Adoption Test - Account 10,INSTANCELEVEL,-27,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,57,34,154,2,148,33,322,5875,6937
Adoption Test - Account 10,INSTANCELEVEL,-26,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,90,35,120,86,131,47,176,9495,11527
Adoption Test - Account 10,INSTANCELEVEL,-25,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,94,16,165,107,113,21,867,1662,14589
Adoption Test - Account 10,INSTANCELEVEL,-24,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,16,46,54,126,178,20,374,3598,11521
Adoption Test - Account 10,INSTANCELEVEL,-23,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,83,38,109,22,148,21,361,1899,4351
Adoption Test - Account 10,INSTANCELEVEL,-22,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,33,15,51,109,119,58,88,4365,9792
Adoption Test - Account 10,INSTANCELEVEL,-21,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,63,30,172,90,141,28,224,6691,19041
Adoption Test - Account 10,INSTANCELEVEL,-20,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,53,39,112,31,212,53,893,6761,5707
Adoption Test - Account 10,INSTANCELEVEL,-19,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,92,39,75,33,191,27,799,252,9835
Adoption Test - Account 10,INSTANCELEVEL,-18,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,60,29,128,7,111,48,703,9108,3839
Adoption Test - Account 10,INSTANCELEVEL,-17,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,10,28,133,109,241,18,308,8424,19452
Adoption Test - Account 10,INSTANCELEVEL,-16,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,7,26,107,134,169,37,39,3241,11948
Adoption Test - Account 10,INSTANCELEVEL,-15,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,25,40,155,132,179,6,288,307,817
Adoption Test - Account 10,INSTANCELEVEL,-14,Sandbox INDIA Instance,Adoption Test - Account 10 - Sandbox INDIA Instance,26,43,98,78,137,5,782,5997,16713
Adoption Test - Account 10,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,70,50,187,144,136,49,837,6176,1760
Adoption Test - Account 10,INSTANCELEVEL,-12,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,21,24,193,27,126,47,658,4434,18387
Adoption Test - Account 10,INSTANCELEVEL,-11,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,14,39,109,52,223,54,208,2087,14898
Adoption Test - Account 10,INSTANCELEVEL,-10,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,6,11,56,90,125,49,399,267,2139
