Name,Copilot_Account_ExternalID__c,Copilot_Account_Contact__r.Copilot_Contact_ExternalId__c,Copilot_Account_Contact_Obj2__r.Copilot_Contact_Obj2_ExternalID__c,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,PHONE,FAX,WEBSITE,ANNUALREVENUE,NUMBEROFEMPLOYEES,DESCRIPTION,SicDesc,INDUSTRY,TYPE,ACCOUNTSOURCE,Copilot_Account_Checkbox__c,Copilot_Account_Currency__c,Copilot_Account_DateTime__c,Copilot_Account_Date__c,Copilot_Account_MultiPicklist__c,Copilot_Account_Picklist__c,Copilot_Account_Number__c,Copilot_Account_Percent__c,Copilot_Account_PhoneNumber__c,Copilot_Account_Text__c,Copilot_Account_TextArea__c,Copilot_Account_TextAreaRich__c,Copilot_Account_TextEncrypted__c,Copilot_Account_URL__c,Copilot_Account_Email__c
IBM Corp Data Systems Div,Copilot_AccAuto011,CopilotAc011Con001,Copilot_ConObj2_001,500 12th Street,Oakland,CA,94607,US,5106445015,,www.chevrtestonfcu.org,5575,,,,Banks,Prospect,Web,false,660,1,1,MPvalue1,MPvalue2,5575,26,25,Pvalue3,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,IBMCorpDataCustom@automation.gainsighttest.com
Via Systems,Copilot_AccAuto012,CopilotAc012Con001,Copilot_ConObj2_002,1255 Wolf Hollow Lane #312,Salt Lake City,UT,84117,US,8016444497,,,1761,,,,,Prospect,Phone Inquiry,false,539,2,2,MPvalue1,MPvalue2,1761,75,26,Pvalue4,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,ViaSystemsCustom@automation.gainsighttest.com
IBIS Systems Inc.,Copilot_AccAuto013,CopilotAc013Con001,Copilot_ConObj2_003,54 St Johns Sq,London,Greater London,EC1V 4JL,GB,7515644371,,www.audiotestnetwork.com,1152,81,,,Media,Prospect,Other ,false,500,3,3,"MPvalue2,MPvalue5",MPvalue2,1152,81,27,Pvalue5,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,IBISSystemsCustom@automation.gainsighttest.com
Galbreath Co,Copilot_AccAuto014,CopilotAc014Con001,Copilot_ConObj2_004,Alexander Street Suite 320-611,Vancouver,BC,V6A1E1,Canada,+1 604 644 7979,,www.ttestagga.com,2094,15,"Tagga Media, Inc. provides cross-channel campaign management software and marketing services. It operates Tagga, a cloud-based platform that leverages Web, mobile, and social media to connect users with every member of their audience across the marketing mix. The company's platform enables clients to build, launch, monitor, and report campaign performance across various media. Its platform enables users to engage with their consumers by capturing their attention through mobile and social integration; building a custom campaign; and promoting the brand cross-channel. In addition, the company offers various services, such as strategy development, tactical plan development, and media buying and planning; application and landing page development for Facebook, mobile, and desktop; SMS, QR code, and email marketing campaigns; and design and development for mobile sites, media advertisements, and applications. Tagga Media, Inc. was founded in 2008 and is based in Vancouver, Canada.",Miscellaneous Publishing,Application Service Providers (ASPs),Prospect,Web,true,600,4,4,"MPvalue1,MPvalue2,MPvalue3",MPvalue2,2094,15,28,Pvalue6,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,GalbreathCustomCo@automation.gainsighttest.com
Back Stage Magazine,Copilot_AccAuto015,CopilotAc015Con001,Copilot_ConObj2_005,800 North Shoreline Drive Suite 300,Corpus Christi,TX,78401,US,3615644760,,,1034,,,,,Prospect,Phone Inquiry,false,887,5,5,MPvalue1,MPvalue2,1034,35,29,Pvalue7,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,BackStageMagazineCustom@automation.gainsighttest.com
Cadbury Beverages Div Cadbury,Copilot_AccAuto016,CopilotAc016Con001,Copilot_ConObj2_006,3219 7th Street South,Arlington,VA,22204,US,7036442606,,www.woltestterskluwer.com,3662,,,,Computer Software,Prospect,Other ,false,350,6,6,MPvalue1,MPvalue2,3662,35,30,Pvalue8,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,CadburyBeveragesCustom@automation.gainsighttest.com
Lafferty RF & Co Inc,Copilot_AccAuto017,CopilotAc017Con001,Copilot_ConObj2_007,300 CHESTER AVE SUITE 300,MOORESTOWN,NJ,8057,US,8563644377,,,3975,13,,,,Prospect,Phone Inquiry,true,409,7,7,MPvalue4,MPvalue2,3975,27,31,Pvalue9,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,LaffertyCustom@automation.gainsighttest.com
O-Cel-O Div General Mills Inc.,Copilot_AccAuto018,CopilotAc018Con001,Copilot_ConObj2_008,206 East 9th Street 18th Floor,Austin,TX,78701,United States,+1 512 644 2998,,,4587,8,"StackEngine, Inc. builds Docker management and automation software. The company operates a platform that allows organizations to deploy, manage, and scale resilient Docker applications. Its Docker software enables product teams to bootstrap Docker into production; discover, visualize, and manage small to large scale Docker deployments; and automate change and configuration management for containers. The company was incorporated in 2014 and is based in Austin, Texas.",Services-Prepackaged Software,Computer Software,Prospect,Other ,false,224,8,8,MPvalue1,MPvalue2,4587,46,32,Pvalue10,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,OcelODivGeneralCustom@automation.gainsighttest.com
Fedder RP Corp,Copilot_AccAuto019,CopilotAc019Con001,Copilot_ConObj2_009,"429 N. Pennsylvania St. 
Suite 401",Indianapolis,IN,46204,,(855) 644-6655,,www.doubletestmap.com,1700,50,,,Computer Software,Prospect,Web,false,375,9,9,"MPvalue4,MPvalue2",MPvalue2,1700,37,33,Pvalue11,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,FedderRPCorpCustom@automation.gainsighttest.com
Ferrara Foods & Confections,Copilot_AccAuto020,,Copilot_ConObj2_010,2215 Bridgepointe Parkway Suite 150,San Mateo,CA,94404,United States,(650) 644-3000,(650) 644-3010,www.athoctest.com,4500,55,"AtHoc is the pioneer and leading provider of enterprise-class, network-based mass notification systems for the security, life safety and defense sectors. As the #1 supplier to the U.S. Federal Government, AtHoc protects over 2 million personnel across U.S. Military, Homeland Security and other government agencies. Additional sectors served include healthcare, higher education, and large commercial organizations. AtHoc’s products are deployed within a cloud-based architecture and used for physical security, force protection, personnel accountability, recall and regulatory compliance. AtHoc has partnered with market leaders including Microsoft, Cisco, Harris, Northrop Grumman, MIR3, Lockheed Martin and others to bring these notification solutions to the public and commercial markets.",,Telecommunications,Prospect,Phone Inquiry,false,473,10,10,MPvalue1,MPvalue2,4500,20,34,Pvalue12,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,FerraraFoodsCustom@automation.gainsighttest.com
