ColumnList__c,AccountReference__c,BaseObject__c,Dimensions__c,FilterConditions__c,GraphType__c,IsRB__c,IsShown__c,IsStandard__c,Measures__c,Name,QueryOptions__c,ReportParams__c,ShowDefault__c,UITabName__c,Visibility__c,VisualType__c
"[{""name"":""Customer_Temp__c"",""label"":""Customer Temp"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""ASV__c"",""label"":""ASV"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Comments__c"",""label"":""Comments"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""TEXTAREA"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""NextRenewalDate__c"",""label"":""Renewal Date"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CustomerInfo__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""Customer_Temp__c"",""label"":""Customer Temp"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""PICKLIST"",""stacked"":false}]","[{""value"":""('a0Ro00000018oEREAY','a0Ro00000018oEJEAY','a0Ro00000018oEKEAY','a0Ro00000018oEMEAY')"",""objectName"":""CustomerInfo__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""Stage__c"",""operator"":""u"",""operatorLabel"":null},{""value"":""('a0Ro00000018oF6EAI')"",""objectName"":""CustomerInfo__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""Status__c"",""operator"":""u"",""operatorLabel"":null}]",,TRUE,TRUE,FALSE,"[{""objectName"":""CustomerInfo__c"",""name"":""ASV__c"",""label"":""Count of ASV"",""graphType"":""PIE"",""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""}]",Production customers by temperature,,[],FALSE,Customers,Public,Chart
"[{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""NPSScore__c"",""label"":""NPS Score"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Id"",""label"":""Id"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""ID"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""NPSScoreType__c"",""label"":""NPS Score Type"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""ResponseDate__c"",""label"":""Response Date"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""DATETIME"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""SurveyCode__r.Name"",""label"":""Survey Code Name"",""displayOrder"":6,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""SurveyParticipantId__r.Name"",""label"":""Survey Participant Name"",""displayOrder"":7,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""TEXT"",""isGroupable"":false,""hasJBCXMNS"":false}]",Account__c,SurveyResponse__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""CSM__r.Name"",""label"":""CSM Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""SurveyResponse__c"",""name"":""NPSScore__c"",""label"":""NPS Score"",""graphType"":""COLUMN"",""aggType"":""AVG"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""},{""objectName"":""SurveyResponse__c"",""name"":""Id"",""label"":""Responder Count"",""graphType"":""LINE"",""aggType"":""COUNT"",""aliasName"":""DS2"",""fieldType"":""ID""}]",NPS Survey Results by CSM,,[],FALSE,NPSSurvey Response,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Page_Views__c"",""label"":""Page Views"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Active_Users__c"",""label"":""Active_Users"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""AlertsCard__c"",""label"":""AlertsCard"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""AlertsList__c"",""label"":""AlertsList"",""displayOrder"":6,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""CustomerSuccess360__c"",""label"":""CustomerSuccess360"",""displayOrder"":7,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""ASV__c"",""label"":""ASV"",""displayOrder"":8,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":null,""objectName"":""UsageData__c"",""name"":""Account__r.Name"",""label"":""Account Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]","[{""value"":""('a0Ro00000018oEREAY','a0Ro00000018oEJEAY','a0Ro00000018oEKEAY','a0Ro00000018oEMEAY','a0Ro00000018oEOEAY','a0Ro00000018oEUEAY')"",""objectName"":""CustomerInfo__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""Stage__c"",""operator"":""u"",""operatorLabel"":null},{""value"":""('a0Ro00000018oF6EAI')"",""objectName"":""CustomerInfo__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""Status__c"",""operator"":""u"",""operatorLabel"":null},{""value"":""JBlastmonth"",""objectName"":""UsageData__c"",""fieldType"":""TIMEFRAMENORMALDATE"",""logicalOperator"":""AND"",""name"":""Date__c"",""operator"":""e"",""operatorLabel"":null}]",,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""Page_Views__c"",""label"":""Page Views"",""graphType"":""BAR"",""aggType"":""AVG"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""}]",Production usage,,[],FALSE,Usage Data,Public,Chart
"[{""name"":""NPSScore__c"",""label"":""NPS Score"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""SurveyCode__r.Name"",""label"":""Survey Code Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,SurveyResponse__c,"[{""summerizedBy"":null,""objectName"":""SurveyResponse__c"",""name"":""SurveyCode__r.Name"",""label"":""Survey Code Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""SurveyResponse__c"",""name"":""NPSScore__c"",""label"":""NPS Score"",""graphType"":""COLUMN"",""aggType"":""AVG"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""}]",NPS By Survey,,[],FALSE,NPSSurvey Response,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""OneTimeRevenue__c"",""label"":""One-time Rev"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Booking Date"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,"[{""summerizedBy"":""CM"",""objectName"":""TransHeader__c"",""name"":""Date__c"",""label"":""Booking Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]","[{""value"":""1"",""objectName"":""TransHeader__c"",""fieldType"":""CURRENCY"",""logicalOperator"":""AND"",""name"":""OneTimeRevenue__c"",""operator"":""g"",""operatorLabel"":null}]",,TRUE,TRUE,FALSE,"[{""objectName"":""TransHeader__c"",""name"":""OneTimeRevenue__c"",""label"":""Sum of One-time Rev"",""graphType"":""COLUMN"",""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""}]",Services booking by month,,[],FALSE,Transactions,Public,Chart
"[{""name"":""Stage__r.Name"",""label"":""Stage Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""NPSScoreText__c"",""label"":""NPS Score Text"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Customer_Temp__c"",""label"":""Customer Temp"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""NPSScore__c"",""label"":""NPS Score"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""UserEmail__c"",""label"":""User Email"",""displayOrder"":6,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""EMAIL"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""UserName__c"",""label"":""User Name"",""displayOrder"":7,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""UserRole__c"",""label"":""User Role"",""displayOrder"":8,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""NextRenewalDate__c"",""label"":""Renewal Date"",""displayOrder"":9,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,SurveyResponse__c,"[{""summerizedBy"":null,""objectName"":""SurveyResponse__c"",""name"":""NPSScoreText__c"",""label"":""NPS Score Text"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""STRING"",""stacked"":false},{""summerizedBy"":null,""objectName"":""Account"",""name"":""Customer_Temp__c"",""label"":""Customer Temp"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""PICKLIST"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""CustomerInfo__c"",""name"":""Stage__r.Name"",""label"":""Count of Stage Name"",""graphType"":""COLUMN"",""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""TEXT""}]",NPS Responses,,[],FALSE,NPSSurvey Response,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""NPSScore__c"",""label"":""NPS Score"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""SurveyResponse__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false}]",Account__c,SurveyResponse__c,"[{""summerizedBy"":null,""objectName"":""SurveyResponse__c"",""name"":""Account__r.Name"",""label"":""Account Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""SurveyResponse__c"",""name"":""NPSScore__c"",""label"":""Avg of NPS Score"",""graphType"":""COLUMN"",""aggType"":""AVG"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""}]",NPS by customer name,,[],FALSE,NPSSurvey Response,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Customer_Temp__c"",""label"":""Customer Temp"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""ASV__c"",""label"":""ASV"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""NextRenewalDate__c"",""label"":""Renewal Date"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CustomerInfo__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""Customer_Temp__c"",""label"":""Customer Temp"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""PICKLIST"",""stacked"":false}]","[{""value"":""('a0Ro00000018oF6EAI')"",""objectName"":""CustomerInfo__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""Status__c"",""operator"":""u"",""operatorLabel"":null},{""value"":""('a0Ro00000018oEMEAY')"",""objectName"":""CustomerInfo__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""Stage__c"",""operator"":""x"",""operatorLabel"":null}]",,TRUE,TRUE,FALSE,"[{""objectName"":""Account"",""name"":""Id"",""label"":""Count of Id"",""graphType"":""PIE"",""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""ID""}]",Customer temperature,,[],FALSE,Customers,Public,Chart
"[{""name"":""Account.Name"",""label"":""Account ID Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Case"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Type"",""label"":""Case Type"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Case"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",AccountId,Case,"[{""summerizedBy"":null,""objectName"":""Case"",""name"":""Type"",""label"":""Case Type"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""PICKLIST"",""stacked"":false},{""summerizedBy"":null,""objectName"":""Account"",""name"":""CSM__r.Name"",""label"":""CSM Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""TEXT"",""stacked"":false}]",[],AREA,TRUE,TRUE,FALSE,"[{""objectName"":""Case"",""name"":""Account.Name"",""label"":""Count of Account ID Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""TEXT""}]",Cases_AreaChart,,[],FALSE,Case,Public,Chart
"[{""name"":""ASVTotal__c"",""label"":""ASV"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""ASV__c"",""label"":""ASV Delta"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Booking Date"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,"[{""summerizedBy"":null,""objectName"":""TransHeader__c"",""name"":""Date__c"",""label"":""Booking Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],TABLE,TRUE,TRUE,FALSE,"[{""objectName"":""TransHeader__c"",""name"":""ASVTotal__c"",""label"":""Count of ASV"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""},{""objectName"":""TransHeader__c"",""name"":""ASV__c"",""label"":""Sum of ASV Delta"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""CURRENCY""}]",aaaa,,[],FALSE,Transactions,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Industry"",""label"":""Industry"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",ParentId,Account,,[],,TRUE,TRUE,FALSE,,Filters_LoadTest2,,"[{""value"":""AB"",""objectName"":""Account"",""fieldType"":""STRING"",""logicalOperator"":""OR"",""fieldName"":""Name"",""ctrlType"":""text"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""e\"",\""value\"":\""equals\""},{\""key\"":\""n\"",\""value\"":\""not equal to\""},{\""key\"":\""l\"",\""value\"":\""less than\""},{\""key\"":\""g\"",\""value\"":\""greater than\""},{\""key\"":\""m\"",\""value\"":\""less or equal\""},{\""key\"":\""h\"",\""value\"":\""greater or equal\""},{\""key\"":\""s\"",\""value\"":\""starts with\""},{\""key\"":\""c\"",\""value\"":\""contains\""},{\""key\"":\""k\"",\""value\"":\""does not contain\""}]"",""selectedOperator"":""c"",""label"":""Account Name""},{""value"":""B"",""objectName"":""Account"",""fieldType"":""STRING"",""logicalOperator"":""OR"",""fieldName"":""Name"",""ctrlType"":""text"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""e\"",\""value\"":\""equals\""},{\""key\"":\""n\"",\""value\"":\""not equal to\""},{\""key\"":\""l\"",\""value\"":\""less than\""},{\""key\"":\""g\"",\""value\"":\""greater than\""},{\""key\"":\""m\"",\""value\"":\""less or equal\""},{\""key\"":\""h\"",\""value\"":\""greater or equal\""},{\""key\"":\""s\"",\""value\"":\""starts with\""},{\""key\"":\""c\"",\""value\"":\""contains\""},{\""key\"":\""k\"",\""value\"":\""does not contain\""}]"",""selectedOperator"":""c"",""label"":""Account Name""},{""value"":""C"",""objectName"":""Account"",""fieldType"":""STRING"",""logicalOperator"":""AND"",""fieldName"":""Name"",""ctrlType"":""text"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""e\"",\""value\"":\""equals\""},{\""key\"":\""n\"",\""value\"":\""not equal to\""},{\""key\"":\""l\"",\""value\"":\""less than\""},{\""key\"":\""g\"",\""value\"":\""greater than\""},{\""key\"":\""m\"",\""value\"":\""less or equal\""},{\""key\"":\""h\"",\""value\"":\""greater or equal\""},{\""key\"":\""s\"",\""value\"":\""starts with\""},{\""key\"":\""c\"",\""value\"":\""contains\""},{\""key\"":\""k\"",\""value\"":\""does not contain\""}]"",""selectedOperator"":""c"",""label"":""Account Name""}]",FALSE,Account,Public,List
