"C_Text__c","C_TextArea__c","ActiveUsers__c","AccPercentage__c","C_Percent__c"
"RULESUI Account 2","238.0","-100.0","3400.0","80.0"
"RULESUI Account 2","236.0","-100.0","3400.0","80.0"
"RULESUI Account 2","234.0","-100.0","3400.0","180.0"
"RULESUI Account 2","232.0","-100.0","3400.0","280.0"
"RULESUI Account 2","230.0","-100.0","3400.0","380.0"
"RULESUI Account 2","228.0","-100.0","3400.0","480.0"
"RULESUI Account 2","226.0","-100.0","3400.0","80.0"
"RULESUI Account 2","234.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","232.0","-100.0","3400.0","380.0"
"RULESUI Account 2","230.0","-100.0","3400.0","480.0"
"RULESUI Account 2","228.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","226.0","-100.0","3400.0","80.0"
"RULESUI Account 2","224.0","-100.0","3400.0","180.0"
"RULESUI Account 2","222.0","-100.0","3400.0","280.0"
"RULESUI Account 2","220.0","-100.0","3400.0","380.0"
"RULESUI Account 2","218.0","-100.0","3400.0","480.0"
"RULESUI Account 2","216.0","-100.0","3400.0","80.0"
"RULESUI Account 2","214.0","-100.0","3400.0","80.0"
"RULESUI Account 2","212.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","210.0","-100.0","3400.0","280.0"
"RULESUI Account 2","208.0","-100.0","3400.0","380.0"
"RULESUI Account 2","206.0","-100.0","3400.0","480.0"
