"C_Text__c","ActiveUsers__c","C_Number__c"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 1","710.0","599.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
"RULESUI Account 2","683.0","597.0"
