Data_ExternalId__c,NAME,TYPE,WEBSITE,INDUSTRY,ANNUALREVENUE,NUMBEROFEMPLOYEES,DESCRIPTION,JIGSAW
001i0000007PEm2AAG,Grand Hotels & Resorts Ltd,Customer - Direct,www.grandhotels.com,Hospitality,5.00E+08,5600,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",AUTO_SAMPLE_DATA
001i0000007PEm3AAG,Express Logistics and Transport,Customer - Channel,www.expressl&t.net,Transportation,9.50E+08,12300,Commerical logistics and transportation company.,AUTO_SAMPLE_DATA
001i0000007PEm4AAG,University of Arizona,Customer - Direct,www.universityofarizona.com,Education,,39000,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",AUTO_SAMPLE_DATA
001i0000007PEm5AAG,United Oil & Gas Corp.,Customer - Direct,http://www.uos.com,Energy,5.60E+09,145000,World's third largest oil and gas company.,AUTO_SAMPLE_DATA
001i0000007PEm6AAG,sForce,,www.sforce.com,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEm7AAG,TEAC Corp. of America,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEm8AAG,Ziff-Davis Labs,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEm9AAG,Purity-Supreme Inc.,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmAAAW,IBIS Systems Inc.,,,Retail,,0,,AUTO_SAMPLE_DATA
001i0000007PEmBAAW,Galbreath Co,,,Government,,0,,AUTO_SAMPLE_DATA
001i0000007PEmCAAW,Back Stage Magazine,Customer - Direct,,Electronics,500000,0,,AUTO_SAMPLE_DATA
001i0000007PEmDAAW,Cadbury Beverages Div Cadbury,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEmEAAW,Lafferty RF & Co Inc,,,Engineering,,0,,AUTO_SAMPLE_DATA
001i0000007PEmFAAW,Fedder RP Corp,,,"Television Cable, & Broadcast Network",,0,,AUTO_SAMPLE_DATA
001i0000007PEmGAAW,Facebook,Customer - Direct,,Construction,,0,,AUTO_SAMPLE_DATA
001i0000007PEmHAAW,Ferrara Foods & Confections,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmIAAW,Halcyon Assoc,,,Education,,0,,AUTO_SAMPLE_DATA
001i0000007PEmJAAW,Fell David H & Company Inc,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEmKAAW,Hardy James G & Co,,,Medical Products,,0,,AUTO_SAMPLE_DATA
001i0000007PEmLAAW,R-F Industries Inc,,,Bakery Products,,0,,AUTO_SAMPLE_DATA
001i0000007PEmMAAW,Raleigh Co.,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEmNAAW,Westend Dealers,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEmOAAW,Hambro International Venture F,,,Medical & Dental Laboratories,,0,,AUTO_SAMPLE_DATA
001i0000007PEmPAAW,East Bay Brass Foundry,,,Government,,0,,AUTO_SAMPLE_DATA
001i0000007PEmQAAW,Baker & McKenzie,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEmRAAW,Success Factors,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEmSAAW,G-L Veneer Co Inc.,,,Chemicals,,0,,AUTO_SAMPLE_DATA
001i0000007PEmTAAW,OKeeffes Inc,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmUAAW,ICM Corp,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEmVAAW,Yesterday Productions Corp.,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmWAAW,G Group,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmXAAW,Quota Systems Inc.,,,Construction,,0,,AUTO_SAMPLE_DATA
001i0000007PEmYAAW,Star Markets,,,Machinery,,0,,AUTO_SAMPLE_DATA
001i0000007PEmZAAW,Abbett,,,Electronics,,0,,AUTO_SAMPLE_DATA
001i0000007PEmaAAG,Mall Side Sports,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEmbAAG,Saint Johns University Staten,,,Software & Programming,,0,,AUTO_SAMPLE_DATA
001i0000007PEmcAAG,Xerox,,,Others,,0,,AUTO_SAMPLE_DATA
001i0000007PEmdAAG,Bachman Information System Inc.,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEmeAAG,Lakeland Village,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEmfAAG,Balfour Maclaine International,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEmgAAG,Pace Press Inc,,,Hospitality,,0,,AUTO_SAMPLE_DATA
001i0000007PEmhAAG,State House Active Wear,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEmiAAG,Teradyne,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEmjAAG,Raceway Engines,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEmkAAG,Dai-Ichi Kangyo Bank,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmlAAG,Volga Boats,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEmmAAG,Ball & Socket Mfg Co,,,Chemicals,,0,,AUTO_SAMPLE_DATA
001i0000007PEmnAAG,Tapecon Inc,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEmoAAG,K & S Contractors Supply Co,,,Insurance,,0,,AUTO_SAMPLE_DATA
001i0000007PEmpAAG,IBK Capital Inc,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEmqAAG,Lexidata Corporation,,,Hospitality,,0,,AUTO_SAMPLE_DATA
001i0000007PEmrAAG,Abacus Programming Corporation,,,Software & Programming,,0,,AUTO_SAMPLE_DATA
001i0000007PEmsAAG,Eastman Kodak Company Health Sciences Division,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEmtAAG,Vyrex,,,Retail,,0,,AUTO_SAMPLE_DATA
001i0000007PEmuAAG,East/West Computers Inc,,,Shipping,,0,,AUTO_SAMPLE_DATA
001i0000007PEmvAAG,Vicor,,,Non-profit,,0,,AUTO_SAMPLE_DATA
001i0000007PEmwAAG,Tech Fire & Safety Company,,,Biotechnology,,0,,AUTO_SAMPLE_DATA
001i0000007PEmxAAG,La Costa Hotel & Spa,,,Utilities,,0,,AUTO_SAMPLE_DATA
001i0000007PEmyAAG,Abbey Press Inc,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEmzAAG,Dame Belts & Bag Co Inc,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEn0AAG,United Can Co.,,,Government,,0,,AUTO_SAMPLE_DATA
001i0000007PEn1AAG,Nash Direct,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEn2AAG,Queensborough Public Library,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEn3AAG,Caco-Pacific Corp.,,,Medical Equipment & Supplies,,0,,AUTO_SAMPLE_DATA
001i0000007PEn4AAG,TDA Industries Inc,,,Medical Devices,,0,,AUTO_SAMPLE_DATA
001i0000007PEn5AAG,Quadrex Corp,,,Telecommunications,,0,,AUTO_SAMPLE_DATA
001i0000007PEn6AAG,Harkavy Information Service,,,Agriculture,,0,,AUTO_SAMPLE_DATA
001i0000007PEn7AAG,Jadow B & Sons Inc,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEn8AAG,Cal-Pac Roofing Inc,,,Energy,,0,,AUTO_SAMPLE_DATA
001i0000007PEn9AAG,Nixdorf Computer,,,Government,,0,,AUTO_SAMPLE_DATA
001i0000007PEnAAAW,Magna Mill Products,,,Food & Beverage,,0,,AUTO_SAMPLE_DATA
001i0000007PEnBAAW,Eastern Municipal Water Distri,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEnCAAW,Majestic Entertainment,,,Agriculture,,0,,AUTO_SAMPLE_DATA
001i0000007PEnDAAW,Jaff Brothers Woodworks Inc,Customer - Direct,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnEAAW,Safeway Plumbing & Heating Inc,,,Consulting,,0,,AUTO_SAMPLE_DATA
001i0000007PEnFAAW,Ocean Sports Wear,,,Consumer Services,,0,,AUTO_SAMPLE_DATA
001i0000007PEnGAAW,Ralston Inc.,,,Transportation,,0,,AUTO_SAMPLE_DATA
001i0000007PEnHAAW,Daisy of California,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEnIAAW,Wyse Corp.,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEnJAAW,Ocean Sports,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnKAAW,Westinghouse Corporation,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnLAAW,Dana Marketing Inc,,,Finance,,0,,AUTO_SAMPLE_DATA
001i0000007PEnMAAW,Zoo Gift Shop,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnNAAW,N/S Corp,,,Oil & Gas Exploration & Production,,0,,AUTO_SAMPLE_DATA
001i0000007PEnOAAW,Jandel Scientific Inc.,,,Retail,,0,,AUTO_SAMPLE_DATA
001i0000007PEnPAAW,Karpen & Steel Products Inc,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnQAAW,Raleigh Active Wear,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnRAAW,Oakland Carbide Engineering &,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEnSAAW,Daley Business Forms,,,Chemicals,,0,,AUTO_SAMPLE_DATA
001i0000007PEnTAAW,Magma Power Co,,,Non-profit,,0,,AUTO_SAMPLE_DATA
001i0000007PEnUAAW,National Assn of Printing Ink,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnVAAW,Sabena-Belgian World Airlines,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnWAAW,P & C Food Markets Inc,,,Hospitality,,0,,AUTO_SAMPLE_DATA
001i0000007PEnXAAW,ImageTek Corp,,,Education,,0,,AUTO_SAMPLE_DATA
001i0000007PEnYAAW,Union Flights,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEnZAAW,Madonna Construction Co,,,Retail,,0,,AUTO_SAMPLE_DATA
001i0000007PEnaAAG,United Artists Theater Circuit,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEnbAAG,Japanese American Citizens Lea,,,Industrial Manufacturing & Services,,0,,AUTO_SAMPLE_DATA
001i0000007PEncAAG,Wallys World,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEndAAG,CADAM Inc.,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEneAAG,Gamblers Anonymous,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnfAAG,Lake County,,,Oil & Gas & Energy,,0,,AUTO_SAMPLE_DATA
001i0000007PEngAAG,Kahlert Assoc Inc,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEnhAAG,Wind & Rain,,,Others,,0,,AUTO_SAMPLE_DATA
001i0000007PEniAAG,Karabelas Furs Inc,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEnjAAG,Family Magazine,,,Service,,0,,AUTO_SAMPLE_DATA
001i0000007PEnkAAG,P.S.C.,,,Consulting,,0,,AUTO_SAMPLE_DATA
001i0000007PEnlAAG,Kaiser Steel Resources Inc,,,Retail,,0,,AUTO_SAMPLE_DATA
001i0000007PEnmAAG,Cahn Instruments Inc,,,Retail,,0,,AUTO_SAMPLE_DATA
001i0000007PEnnAAG,Quaker Fashions,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEnoAAG,Harken Marketing Co,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEnpAAG,Gallo Ernst & Julio Winery,,,Machinery,,0,,AUTO_SAMPLE_DATA
001i0000007PEnqAAG,Facts on File Newsletter,,,Apparel,,0,,AUTO_SAMPLE_DATA
001i0000007PEnrAAG,UniAmerica Inc,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i0000007PEnsAAG,PacDevco Inc,,,Telecommunications,,0,,AUTO_SAMPLE_DATA
001i0000007PEntAAG,Veritas Software,,,Non-profit,,0,,AUTO_SAMPLE_DATA
001i0000007PEnuAAG,UBAF Arab American Bank,,,Hospitality,,0,,AUTO_SAMPLE_DATA
001i0000007PEnvAAG,East Coast Traders,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnwAAG,IBM Corp Data Systems Div,,,Fish & Seafood,,0,,AUTO_SAMPLE_DATA
001i0000007PEnxAAG,Abberley Kooiman,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEnyAAG,Nardon Mfg Company Incorporated,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEnzAAG,Quinn/Brein Inc,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i0000007PEo0AAG,Via Systems,,,Telecommunications,,0,,AUTO_SAMPLE_DATA
001i0000007PEo1AAG,Tech Corp Americas,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEo2AAG,Seagate Travels,,,Technology,,0,,AUTO_SAMPLE_DATA
001i0000007PEo3AAG,JB Load Test,Customer - Direct,,Other,,0,,AUTO_SAMPLE_DATA
001i0000007PEo5AAG,Facebook,Customer - Direct,,Construction,,,,AUTO_SAMPLE_DATA
001i0000007PEoGAAW,National Instruments,Customer - Direct,,Electronics,,0,,AUTO_SAMPLE_DATA
001i000000Ji1QyAAJ,Arista,,,Technology,,0,,AUTO_SAMPLE_DATA
001i000000KvzDJAAZ,YapStone Inc.,,,Telecommunications,,0,,AUTO_SAMPLE_DATA
001i000000KvvsNAAR,Sony,,,Entertainment,,0,,AUTO_SAMPLE_DATA
001i000000KvutMAAR,American Eagle,,,Apparel,,0,,AUTO_SAMPLE_DATA
001i000000Kvz2GAAR,Stimulant,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i000000KvvVbAAJ,Nissan,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i000000KvvsXAAR,McDonalds,,,Food & Beverage,,0,,AUTO_SAMPLE_DATA
001i000000KvvsDAAR,PG&E,,,Energy,,0,,AUTO_SAMPLE_DATA
001i000000KvzBRAAZ,LFA Group,,,Electronics,,0,,AUTO_SAMPLE_DATA
001i000000KvvswAAB,Media,,,Entertainment,,0,,AUTO_SAMPLE_DATA
001i000000KvzAYAAZ,PowerSpeaking Inc.,,,Telecommunications,,0,,AUTO_SAMPLE_DATA
001i000000KvvoXAAR,MobiTV,,,Media,,0,,AUTO_SAMPLE_DATA
001i000000KvzC0AAJ,Xantrion Inc.,,,Software & Programming,,0,,AUTO_SAMPLE_DATA
001i000000Kvvs3AAB,Asus,,,Electronics,,0,,AUTO_SAMPLE_DATA
001i000000KvzB2AAJ,Aero Precision,,,Machinery,,0,,AUTO_SAMPLE_DATA
001i000000KvzE1AAJ,Vox Network Solutions,,,Technology,,0,,AUTO_SAMPLE_DATA
001i000000KvvroAAB,Consumer Goods,,,Manufacturing,,0,,AUTO_SAMPLE_DATA
001i000000KvvVNAAZ,Biomedical,,,Biotechnology,,0,,AUTO_SAMPLE_DATA
001i000000KvuZEAAZ,Healthcare First,,,Healthcare,,0,,AUTO_SAMPLE_DATA
001i000000KvvpLAAR,Ask.com,,,Technology,,0,,AUTO_SAMPLE_DATA
001i000000Kvvs9AAB,Ernst & Young,,,Finance,,0,,AUTO_SAMPLE_DATA
001i000000KvzA7AAJ,RenderSoft,,,Technology,,0,,AUTO_SAMPLE_DATA
001i000000KvtutAAB,CVPartners Inc.,,,Technology,,0,,AUTO_SAMPLE_DATA
