JBCXM__ACCOUNT__r.Data_ExternalId__c,JBCXM__STAGE__r.JBCXM__SystemName__c,JBCXM__STATUS__r.JBCXM__SystemName__c,JBCXM__CHURN__r.TransHeader_ExternalId__c,JBCXM__ASV__C,JBCXM__MRR__C,JBCXM__ONETIMEREVENUE__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ORIGINALCONTRACTDATE__C,JBCXM__USERS__C,JBCXM__OriginalContractNumber__c
001i0000007PEm6AAG,stage5,ChurnCustomer,a0Ni0000004brIoEAI,0,0,0,2014-04-14,2012-04-13,0,AUTO_SAMPLE_DATA
001i0000007PElwAAG,stage6,ChurnCustomer,a0Ni0000004brKLEAY,0,0,0,2011-11-05,2011-11-04,0,AUTO_SAMPLE_DATA
001i0000007PEm1AAG,stage4,ChurnCustomer,a0Ni0000004brJ3EAI,0,0,0,2013-01-10,2011-01-09,0,AUTO_SAMPLE_DATA
001i0000007FbsxAAC,stage5,ChurnCustomer,a0Ni0000004brIeEAI,0,0,0,2014-07-14,2012-07-13,0,AUTO_SAMPLE_DATA
001i000000KvtutAAB,stage1,ChurnCustomer,a0Ni0000004brHREAY,0,0,0,2014-07-07,2012-07-06,0,AUTO_SAMPLE_DATA
001i0000007PEnBAAW,stage4,ChurnCustomer,a0Ni0000004bzxdEAA,0,0,5472,2014-06-22,2013-06-22,0,AUTO_SAMPLE_DATA
001i000000Kvvs3AAB,stage3,ChurnCustomer,a0Ni0000004brJNEAY,0,0,0,2012-01-22,2012-01-21,0,AUTO_SAMPLE_DATA
001i0000007PEmlAAG,stage1,ChurnCustomer,a0Ni0000004c04hEAA,0,0,1080,2014-10-05,2013-04-05,0,AUTO_SAMPLE_DATA
001i0000007PEmQAAW,stage4,ChurnCustomer,a0Ni0000004c04cEAA,0,0,3780,2014-04-05,2013-04-04,0,AUTO_SAMPLE_DATA
001i000000Kvz2GAAR,stage6,ChurnCustomer,a0Ni0000004brJDEAY,0,0,0,2014-03-22,2012-03-21,0,AUTO_SAMPLE_DATA
001i000000KvvroAAB,stage6,ChurnCustomer,a0Ni0000004brKBEAY,0,0,0,2013-06-22,2011-06-21,0,AUTO_SAMPLE_DATA
001i000000KvvVbAAJ,stage1,ChurnCustomer,a0Ni0000004brH2EAI,-108000,-9000,0,2012-03-02,2011-03-01,-12,AUTO_SAMPLE_DATA
001i0000007PEn5AAG,stage1,ChurnCustomer,a0Ni0000004c0ImEAI,0,0,2160,2012-05-19,2011-05-19,0,AUTO_SAMPLE_DATA
001i0000007PEmBAAW,stage1,ChurnCustomer,a0Ni0000004bzwJEAQ,0,0,900,2014-01-15,2013-07-15,0,AUTO_SAMPLE_DATA
001i0000007PEnkAAG,stage1,ChurnCustomer,a0Ni0000004c04NEAQ,0,0,900,2014-07-11,2013-02-11,0,AUTO_SAMPLE_DATA
001i0000007PEnZAAW,stage1,ChurnCustomer,a0Ni0000004c0IVEAY,0,0,5760,2014-07-03,2013-11-03,0,AUTO_SAMPLE_DATA
001i0000007PEnsAAG,stage2,ChurnCustomer,a0Ni0000004c4epEAA,0,0,2160,2013-08-25,2012-08-24,0,AUTO_SAMPLE_DATA
001i0000007FbswAAC,stage3,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i0000007PEm3AAG,stage3,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i000000KvvoXAAR,stage5,ActiveCustomer,,3000,250,0,2013-08-26,2012-08-25,10,AUTO_SAMPLE_DATA
001i0000007PEm2AAG,stage4,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i0000007PEm5AAG,stage2,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i000000KvvsDAAR,stage6,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i0000007PEm4AAG,stage6,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i0000007PElxAAG,stage3,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i0000007PEo3AAG,stage2,ActiveCustomer,,0,0,,,,,AUTO_SAMPLE_DATA
001i000000KvutMAAR,stage1,ActiveCustomer,,30000,2500,0,2014-02-06,2012-12-12,5,AUTO_SAMPLE_DATA
001i000000Kvvs9AAB,stage1,ActiveCustomer,,20119.92,1676.66,123,2014-01-09,2012-07-08,20,AUTO_SAMPLE_DATA
001i000000KvuZEAAZ,stage1,ActiveCustomer,,-12000,-1000,0,2014-05-16,2012-08-16,-5,AUTO_SAMPLE_DATA
001i000000Ji1QyAAJ,stage3,ActiveCustomer,,240000,20000,0,2014-10-03,2013-07-22,32,AUTO_SAMPLE_DATA
001i0000007PEoGAAW,stage1,ActiveCustomer,,120000,10000,10000,2015-03-11,2013-03-08,100,AUTO_SAMPLE_DATA
001i0000007PEo5AAG,stage1,ActiveCustomer,,36000,3000,1000,2014-12-18,2013-12-18,212,AUTO_SAMPLE_DATA
001i0000007PEo2AAG,stage6,ActiveCustomer,,36000,3000,0,2013-05-31,2011-05-07,35,AUTO_SAMPLE_DATA
001i0000007PElyAAG,stage1,ActiveCustomer,,60000,5000,0,2014-02-14,2012-12-12,10,AUTO_SAMPLE_DATA
001i0000007FbsvAAC,stage1,ActiveCustomer,,12000,1000,0,2014-02-01,2013-01-31,30,AUTO_SAMPLE_DATA
001i0000007PEo1AAG,stage3,ActiveCustomer,,9999.96,833.33,3000,2014-03-01,2012-06-01,8,AUTO_SAMPLE_DATA
001i0000007PElzAAG,stage5,ActiveCustomer,,60000,5000,22000,2014-02-01,2013-02-01,15,AUTO_SAMPLE_DATA
001i0000007PEm0AAG,stage1,ActiveCustomer,,60000,5000,0,2014-07-12,2013-12-02,10,AUTO_SAMPLE_DATA
001i0000007PElvAAG,stage1,ActiveCustomer,,60000,5000,30000,2014-08-22,2013-08-22,40,AUTO_SAMPLE_DATA
001i0000007PEo0AAG,stage3,ActiveCustomer,,30000,2500,3600,2014-07-22,2012-04-22,50,AUTO_SAMPLE_DATA
001i0000007PEnzAAG,stage4,ActiveCustomer,,84999.96,7083.33,1368,2013-03-10,2011-09-09,35,AUTO_SAMPLE_DATA
001i0000007PEnyAAG,stage3,ActiveCustomer,,18000,1500,3940,2014-02-15,2012-02-15,30,AUTO_SAMPLE_DATA
001i0000007PEnxAAG,stage3,ActiveCustomer,,30000,2500,9000,2014-11-12,2011-05-12,50,AUTO_SAMPLE_DATA
001i0000007PEnwAAG,stage3,ActiveCustomer,,90000,7500,6840,2014-12-08,2011-12-08,40,AUTO_SAMPLE_DATA
001i0000007PEnvAAG,stage2,ActiveCustomer,,144000,12000,3600,2014-03-22,2012-03-22,75,AUTO_SAMPLE_DATA
001i0000007PEnuAAG,stage1,ActiveCustomer,,45600,3800,5472,2015-05-30,2011-06-01,35,AUTO_SAMPLE_DATA
001i0000007PEnrAAG,stage2,ActiveCustomer,,72000,6000,1440,2014-06-05,2012-12-05,40,AUTO_SAMPLE_DATA
001i0000007PEntAAG,stage2,ActiveCustomer,,36000,3000,1080,2014-05-15,2012-11-15,30,AUTO_SAMPLE_DATA
001i0000007PEnpAAG,stage2,ActiveCustomer,,120000,10000,1440,2014-06-27,2012-06-27,40,AUTO_SAMPLE_DATA
001i0000007PEnoAAG,stage4,ActiveCustomer,,12000,1000,2376,2015-09-27,2010-09-27,13,AUTO_SAMPLE_DATA
001i0000007PEnnAAG,stage2,ActiveCustomer,,15000,1250,900,2014-03-26,2012-09-26,30,AUTO_SAMPLE_DATA
001i0000007PEnqAAG,stage2,ActiveCustomer,,84000,7000,4104,2015-06-24,2011-12-24,42,AUTO_SAMPLE_DATA
001i0000007PEnmAAG,stage2,ActiveCustomer,,42000,3500,1260,2014-05-19,2011-11-19,35,AUTO_SAMPLE_DATA
001i0000007PEnfAAG,stage2,ActiveCustomer,,36000,3000,3240,2014-11-12,2013-12-14,30,AUTO_SAMPLE_DATA
001i0000007PEneAAG,stage3,ActiveCustomer,,79200,6600,7128,2014-12-24,2011-12-24,33,AUTO_SAMPLE_DATA
001i0000007PEndAAG,stage4,ActiveCustomer,,48000,4000,8640,2014-05-10,2010-05-10,40,AUTO_SAMPLE_DATA
001i0000007PEncAAG,stage3,ActiveCustomer,,79200,6600,5940,2015-06-22,2012-12-22,33,AUTO_SAMPLE_DATA
001i0000007PEnbAAG,stage2,ActiveCustomer,,150000,12500,1800,2014-11-26,2013-11-07,75,AUTO_SAMPLE_DATA
001i0000007PEnlAAG,stage1,ActiveCustomer,,168000,14000,7520,2013-04-11,2012-10-11,50,AUTO_SAMPLE_DATA
001i0000007PEnjAAG,stage3,ActiveCustomer,,61200,5100,3672,2014-03-10,2011-06-10,34,AUTO_SAMPLE_DATA
001i0000007PEniAAG,stage2,ActiveCustomer,,50000.04,4166.67,1080,2014-01-10,2012-09-10,25,AUTO_SAMPLE_DATA
001i0000007PEnhAAG,stage2,ActiveCustomer,,205200,17100,8208,2014-12-25,2012-12-25,150,AUTO_SAMPLE_DATA
001i0000007PEngAAG,stage4,ActiveCustomer,,331200,27600,5472,2014-09-24,2011-09-24,138,AUTO_SAMPLE_DATA
001i0000007PEnAAAW,stage3,ActiveCustomer,,42000,3500,5040,2014-02-15,2012-02-15,35,AUTO_SAMPLE_DATA
001i0000007PEn9AAG,stage2,ActiveCustomer,,151200,12600,3024,2014-09-16,2012-09-16,84,AUTO_SAMPLE_DATA
001i0000007PEn8AAG,stage3,ActiveCustomer,,18000,1500,1080,2014-06-30,2011-06-30,30,AUTO_SAMPLE_DATA
001i0000007PEn7AAG,stage2,ActiveCustomer,,42000,3500,6300,2014-10-18,2013-10-17,35,AUTO_SAMPLE_DATA
001i0000007PEn6AAG,stage3,ActiveCustomer,,45000,3750,6300,2014-03-14,2013-03-14,15,AUTO_SAMPLE_DATA
001i0000007PEn3AAG,stage3,ActiveCustomer,,54000,4500,9720,2014-06-22,2011-06-22,45,AUTO_SAMPLE_DATA
001i0000007PEn2AAG,stage3,ActiveCustomer,,96000,8000,2880,2014-03-12,2012-03-12,40,AUTO_SAMPLE_DATA
001i0000007PEnPAAW,stage3,ActiveCustomer,,48000,4000,7200,2014-07-17,2012-01-17,40,AUTO_SAMPLE_DATA
001i0000007PEnOAAW,stage1,ActiveCustomer,,38400,3200,5400,2014-09-17,2010-09-17,32,AUTO_SAMPLE_DATA
001i0000007PEnNAAW,stage2,ActiveCustomer,,15000,1250,1800,2014-04-25,2012-08-25,25,AUTO_SAMPLE_DATA
001i0000007PEnQAAW,stage4,ActiveCustomer,,75600,6300,6048,2014-03-12,2012-03-12,42,AUTO_SAMPLE_DATA
001i0000007PEnMAAW,stage3,ActiveCustomer,,144000,12000,7200,2014-11-13,2012-03-15,55,AUTO_SAMPLE_DATA
001i0000007PEnKAAW,stage1,ActiveCustomer,,72000,6000,7200,2014-10-10,2011-04-10,40,AUTO_SAMPLE_DATA
001i0000007PEnJAAW,stage2,ActiveCustomer,,136800,11400,5472,2014-03-31,2012-03-31,38,AUTO_SAMPLE_DATA
001i0000007PEnVAAW,stage3,ActiveCustomer,,42000,3500,3780,2014-09-12,2012-03-12,35,AUTO_SAMPLE_DATA
001i0000007PEnTAAW,stage2,ActiveCustomer,,45600,3800,5472,2014-08-10,2012-08-10,38,AUTO_SAMPLE_DATA
001i0000007PEnSAAW,stage2,ActiveCustomer,,91200,7600,8208,2014-12-12,2011-12-12,38,AUTO_SAMPLE_DATA
001i0000007PEnRAAW,stage1,ActiveCustomer,,72000,6000,4320,2014-08-15,2012-02-15,40,AUTO_SAMPLE_DATA
001i0000007PEnUAAW,stage1,ActiveCustomer,,81999.96,6833.33,1188,2014-12-06,2010-12-06,35,AUTO_SAMPLE_DATA
001i0000007PEnaAAG,stage4,ActiveCustomer,,61200,5100,2448,2014-04-18,2011-10-18,34,AUTO_SAMPLE_DATA
001i0000007PEnYAAW,stage3,ActiveCustomer,,68400,5700,2736,2014-06-21,2012-06-21,38,AUTO_SAMPLE_DATA
001i0000007PEnXAAW,stage1,ActiveCustomer,,45600,3800,6840,2015-01-24,2012-07-24,38,AUTO_SAMPLE_DATA
001i0000007PEnWAAW,stage4,ActiveCustomer,,18000,1500,3240,2014-08-24,2011-08-24,30,AUTO_SAMPLE_DATA
001i0000007PEnIAAW,stage3,ActiveCustomer,,61200,5100,6120,2014-12-22,2012-06-22,34,AUTO_SAMPLE_DATA
001i0000007PEnHAAW,stage1,ActiveCustomer,,80000.04,6666.67,2880,2012-12-18,2012-06-18,47,AUTO_SAMPLE_DATA
001i0000007PEnFAAW,stage3,ActiveCustomer,,65000.04,5416.67,8896,2014-12-26,2010-12-26,40,AUTO_SAMPLE_DATA
001i0000007PEnDAAW,stage3,ActiveCustomer,,36000,3000,6480,2014-02-15,2013-08-16,30,AUTO_SAMPLE_DATA
001i0000007PEnCAAW,stage4,ActiveCustomer,,26400,2200,5760,2014-08-14,2011-08-14,44,AUTO_SAMPLE_DATA
001i0000007PEmrAAG,stage2,ActiveCustomer,,39999.96,3333.33,4320,2014-11-14,2011-11-14,32,AUTO_SAMPLE_DATA
001i0000007PEmqAAG,stage4,ActiveCustomer,,67500,5625,8100,2014-03-13,2012-03-13,45,AUTO_SAMPLE_DATA
001i0000007PEmpAAG,stage2,ActiveCustomer,,72000,6000,5760,2014-01-15,2012-01-15,40,AUTO_SAMPLE_DATA
001i0000007PEn1AAG,stage4,ActiveCustomer,,120000,10000,5400,2014-09-14,2012-03-14,50,AUTO_SAMPLE_DATA
001i0000007PEn0AAG,stage1,ActiveCustomer,,15000,1250,1080,2014-06-26,2011-06-26,20,AUTO_SAMPLE_DATA
001i0000007PEmzAAG,stage3,ActiveCustomer,,84000,7000,7560,2014-06-03,2011-06-03,35,AUTO_SAMPLE_DATA
001i0000007PEmyAAG,stage1,ActiveCustomer,,12000,1000,2160,2014-05-18,2012-05-18,25,AUTO_SAMPLE_DATA
001i0000007PEmxAAG,stage4,ActiveCustomer,,45600,3800,2736,2014-01-24,2011-07-24,38,AUTO_SAMPLE_DATA
001i0000007PEmwAAG,stage3,ActiveCustomer,,50000.04,4166.67,2160,2014-04-11,2012-04-11,25,AUTO_SAMPLE_DATA
001i0000007PEmvAAG,stage4,ActiveCustomer,,90000,7500,1440,2014-04-18,2011-10-18,42,AUTO_SAMPLE_DATA
001i0000007PEmuAAG,stage3,ActiveCustomer,,99999.96,8333.33,7200,2014-12-10,2011-06-10,43,AUTO_SAMPLE_DATA
001i0000007PEmtAAG,stage2,ActiveCustomer,,20000.04,1666.67,1800,2014-11-25,2012-11-25,27,AUTO_SAMPLE_DATA
001i0000007PEmsAAG,stage1,ActiveCustomer,,99999.96,8333.33,2880,2014-06-17,2012-06-17,50,AUTO_SAMPLE_DATA
001i0000007PEmoAAG,stage3,ActiveCustomer,,96000,8000,4320,2014-07-07,2012-01-17,40,AUTO_SAMPLE_DATA
001i0000007PEmnAAG,stage4,ActiveCustomer,,252000,21000,7040,2014-03-31,2012-03-31,50,AUTO_SAMPLE_DATA
001i0000007PEmmAAG,stage2,ActiveCustomer,,75600,6300,7560,2014-05-14,2011-11-14,42,AUTO_SAMPLE_DATA
001i0000007PEmkAAG,stage4,ActiveCustomer,,108000,9000,10800,2013-05-15,2010-05-15,60,AUTO_SAMPLE_DATA
001i0000007PEmjAAG,stage3,ActiveCustomer,,79200,6600,3564,2014-06-10,2012-12-10,33,AUTO_SAMPLE_DATA
001i0000007PEmiAAG,stage4,ActiveCustomer,,54000,4500,2440,2014-04-11,2011-10-11,45,AUTO_SAMPLE_DATA
001i0000007PEmhAAG,stage3,ActiveCustomer,,91200,7600,6840,2014-09-20,2012-03-20,38,AUTO_SAMPLE_DATA
001i0000007PEmgAAG,stage3,ActiveCustomer,,30000,2500,5400,2014-09-02,2012-03-02,50,AUTO_SAMPLE_DATA
001i0000007PEmfAAG,stage1,ActiveCustomer,,79200,6600,4752,2014-05-18,2012-05-18,33,AUTO_SAMPLE_DATA
001i0000007PEmeAAG,stage3,ActiveCustomer,,61200,5100,7344,2015-02-05,2012-02-05,34,AUTO_SAMPLE_DATA
001i0000007PEmdAAG,stage2,ActiveCustomer,,99999.96,8333.33,5760,2014-11-14,2011-11-14,80,AUTO_SAMPLE_DATA
001i0000007PEmSAAW,stage4,ActiveCustomer,,216000,18000,3024,2014-12-23,2011-06-23,162,AUTO_SAMPLE_DATA
001i0000007PEmPAAW,stage1,ActiveCustomer,,200000.04,16666.67,2880,2014-06-19,2012-06-07,90,AUTO_SAMPLE_DATA
001i0000007PEmOAAW,stage1,ActiveCustomer,,60999.96,5083.33,1368,2014-06-10,2012-09-10,35,AUTO_SAMPLE_DATA
001i0000007PEmNAAW,stage4,ActiveCustomer,,113400,9450,9072,2014-12-29,2011-12-29,42,AUTO_SAMPLE_DATA
001i0000007PEmRAAW,stage1,ActiveCustomer,,36000,3000,2520,2014-02-08,2012-05-07,30,AUTO_SAMPLE_DATA
001i0000007PEmMAAW,stage1,ActiveCustomer,,54000,4500,4320,2014-09-10,2011-09-09,30,AUTO_SAMPLE_DATA
001i0000007PEmcAAG,stage4,ActiveCustomer,,72000,6000,8640,2014-03-31,2012-03-31,40,AUTO_SAMPLE_DATA
001i0000007PEmbAAG,stage1,ActiveCustomer,,120000,10000,9000,2014-05-18,2013-09-24,50,AUTO_SAMPLE_DATA
001i0000007PEmZAAW,stage4,ActiveCustomer,,264000,22000,5160,2014-06-01,2010-07-01,100,AUTO_SAMPLE_DATA
001i0000007PEmYAAW,stage2,ActiveCustomer,,96000,8000,8640,2015-12-20,2012-12-20,40,AUTO_SAMPLE_DATA
001i0000007PEmXAAW,stage1,ActiveCustomer,,84000,7000,1260,2014-02-12,2011-02-12,35,AUTO_SAMPLE_DATA
001i0000007PEmUAAW,stage4,ActiveCustomer,,48000,4000,7200,2014-06-07,2013-06-07,40,AUTO_SAMPLE_DATA
001i0000007PEmTAAW,stage3,ActiveCustomer,,24000,2000,5760,2014-02-15,2012-02-15,40,AUTO_SAMPLE_DATA
001i0000007PEmWAAW,stage3,ActiveCustomer,,24000,2000,4320,2014-02-10,2011-06-10,33,AUTO_SAMPLE_DATA
001i0000007PEmLAAW,stage2,ActiveCustomer,,45600,3800,4104,2014-05-13,2013-11-11,38,AUTO_SAMPLE_DATA
001i0000007PEmKAAW,stage2,ActiveCustomer,,61200,5100,2448,2013-07-10,2012-01-10,40,AUTO_SAMPLE_DATA
001i0000007PEmJAAW,stage1,ActiveCustomer,,180000,15000,1800,2014-06-27,2012-06-27,55,AUTO_SAMPLE_DATA
001i0000007PEmIAAW,stage4,ActiveCustomer,,72000,6000,8640,2014-09-17,2013-09-17,40,AUTO_SAMPLE_DATA
001i0000007PEmHAAW,stage2,ActiveCustomer,,24999.96,2083.33,5760,2014-12-24,2011-12-24,41,AUTO_SAMPLE_DATA
001i0000007PEmGAAW,stage4,ActiveCustomer,,30000,2500,5400,2015-09-16,2012-09-16,25,AUTO_SAMPLE_DATA
001i0000007PEmEAAW,stage1,ActiveCustomer,,24000,2000,8040,2014-04-21,2010-10-21,25,AUTO_SAMPLE_DATA
001i0000007PEmDAAW,stage1,ActiveCustomer,,45600,3800,8208,2015-05-18,2012-05-18,38,AUTO_SAMPLE_DATA
001i0000007PEm8AAG,stage2,ActiveCustomer,,24000,2000,720,2014-05-09,2011-11-09,30,AUTO_SAMPLE_DATA
001i0000007PEmAAAW,stage1,ActiveCustomer,,75600,6300,4536,2014-02-14,2012-08-14,42,AUTO_SAMPLE_DATA
001i0000007PEm9AAG,stage4,ActiveCustomer,,72000,6000,2880,2014-12-09,2011-09-09,50,AUTO_SAMPLE_DATA
001i0000007PEm7AAG,stage2,ActiveCustomer,,61200,5100,3672,2014-04-20,2012-10-20,34,AUTO_SAMPLE_DATA
