JBCXM__OrderNumber__r.TransHeader_ExternalID__c,JBCXM__TRANSACTIONLINES__r.TransTypes_ExternalID__c,JBCXM__ASV__C,JBCXM__BOOKING__C,JBCXM__ONETIMEREVENUE__C,JBCXM__MRR__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__DATE__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__USERS__C
a0Ni0000000KVWvEAO,a0Ri0000000I3XVEA0,60000,5000,0,5000,2014-07-12,2013-12-02,2014-07-11,2013-12-02,0
a0Ni0000000KVYjEAO,a0Ri0000000I3XTEA0,0,34,0,0,2014-04-20,2012-10-20,2014-04-19,2012-10-20,34
a0Ni0000000KVYjEAO,a0Ri0000000I3XSEA0,0,3672,3672,0,2014-04-20,2012-10-20,2014-04-19,2012-10-20,0
a0Ni0000000KVYjEAO,a0Ri0000000I3XVEA0,61200,5100,0,5100,2014-04-20,2012-10-20,2014-04-19,2012-10-20,0
a0Ni0000000KVXkEAO,a0Ri0000000I3XTEA0,0,20,0,0,2012-05-09,2011-11-09,2012-05-08,2011-11-09,20
a0Ni0000000KVXkEAO,a0Ri0000000I3XSEA0,0,720,720,0,2012-05-09,2011-11-09,2012-05-08,2011-11-09,0
a0Ni0000000KVXkEAO,a0Ri0000000I3XVEA0,12000,1000,0,1000,2012-05-09,2011-11-09,2012-05-08,2011-11-09,0
a0Ni0000000KVYPEA4,a0Ri0000000I3XTEA0,0,40,0,0,2012-12-09,2011-09-09,2012-12-08,2011-09-09,40
a0Ni0000000KVYPEA4,a0Ri0000000I3XSEA0,0,2880,2880,0,2012-12-09,2011-09-09,2012-12-08,2011-09-09,0
a0Ni0000000KVYPEA4,a0Ri0000000I3XVEA0,24000,2000,0,2000,2012-12-09,2011-09-09,2012-12-08,2011-09-09,0
a0Ni0000000KVYUEA4,a0Ri0000000I3XTEA0,0,42,0,0,2014-02-14,2012-08-14,2014-02-13,2012-08-14,42
a0Ni0000000KVWtEAO,a0Ri0000000I3XTEA0,0,40,0,0,2014-08-22,2013-08-22,2014-08-21,2013-08-22,40
a0Ni0000000KVWtEAO,a0Ri0000000I3XSEA0,0,30000,30000,0,2014-08-22,2013-08-22,2014-08-21,2013-08-22,0
a0Ni0000000KVWtEAO,a0Ri0000000I3XVEA0,60000,5000,0,5000,2014-08-22,2013-08-22,2014-08-21,2013-08-22,0
a0Ni0000000KVWuEAO,a0Ri0000000I3XTEA0,0,15,0,0,2014-02-01,2013-02-01,2014-01-31,2013-02-01,15
a0Ni0000000KVWuEAO,a0Ri0000000I3XSEA0,0,22000,22000,0,2014-02-01,2013-02-01,2014-01-31,2013-02-01,0
a0Ni0000000KVWuEAO,a0Ri0000000I3XVEA0,60000,5000,0,5000,2014-02-01,2013-02-01,2014-01-31,2013-02-01,0
a0Ni0000000KVYxEAO,a0Ri0000000I3XVEA0,-30000,1000,0,-2500,2013-04-21,2011-10-21,2013-04-20,2011-10-21,0
a0Ni0000000KVYxEAO,a0Ri0000000I3XUEA0,0,2520,2520,0,2013-04-21,2011-10-21,2013-04-20,2011-10-21,0
a0Ni0000000KVX1EAO,a0Ri0000000I3XTEA0,0,40,0,0,2012-10-02,2010-04-02,2012-10-01,2010-04-02,40
a0Ni0000000KVX1EAO,a0Ri0000000I3XSEA0,0,7200,7200,0,2012-10-02,2010-04-02,2012-10-01,2010-04-02,0
a0Ni0000000KVX1EAO,a0Ri0000000I3XVEA0,24000,2000,0,2000,2012-10-02,2010-04-02,2012-10-01,2010-04-02,0
a0Ni0000000KVYxEAO,a0Ri0000000I3XTEA0,0,15,0,0,2013-04-21,2011-10-21,2013-04-20,2011-10-21,-20
a0Ni0000000KVYIEA4,a0Ri0000000I3XSEA0,0,8208,8208,0,2015-05-18,2012-05-18,2015-05-17,2012-05-18,0
a0Ni0000000KVYIEA4,a0Ri0000000I3XVEA0,45600,3800,0,3800,2015-05-18,2012-05-18,2015-05-17,2012-05-18,0
a0Ni0000000KVX0EAO,a0Ri0000000I3XTEA0,0,35,0,0,2011-10-21,2010-10-21,2011-10-20,2010-10-21,35
a0Ni0000000KVX0EAO,a0Ri0000000I3XSEA0,0,2520,2520,0,2011-10-21,2010-10-21,2011-10-20,2010-10-21,0
a0Ni0000000KVX0EAO,a0Ri0000000I3XVEA0,42000,3500,0,3500,2011-10-21,2010-10-21,2011-10-20,2010-10-21,0
a0Ni0000000KVXgEAO,a0Ri0000000I3XTEA0,0,25,0,0,2015-09-16,2012-09-16,2015-09-15,2012-09-16,25
a0Ni0000000KVXgEAO,a0Ri0000000I3XSEA0,0,5400,5400,0,2015-09-16,2012-09-16,2015-09-15,2012-09-16,0
a0Ni0000000KVXgEAO,a0Ri0000000I3XVEA0,30000,2500,0,2500,2015-09-16,2012-09-16,2015-09-15,2012-09-16,0
a0Ni0000000KVXeEAO,a0Ri0000000I3XTEA0,0,40,0,0,2013-12-24,2011-12-24,2013-12-23,2011-12-24,40
a0Ni0000000KVXmEAO,a0Ri0000000I3XVEA0,72000,6000,0,6000,2014-09-17,2013-09-17,2014-09-16,2013-09-17,0
a0Ni0000000KVXeEAO,a0Ri0000000I3XSEA0,0,5760,5760,0,2013-12-24,2011-12-24,2013-12-23,2011-12-24,0
a0Ni0000000KVXeEAO,a0Ri0000000I3XVEA0,24000,2000,0,2000,2013-12-24,2011-12-24,2013-12-23,2011-12-24,0
a0Ni0000000KVXmEAO,a0Ri0000000I3XTEA0,0,40,0,0,2014-09-17,2013-09-17,2014-09-16,2013-09-17,40
a0Ni0000000KVXmEAO,a0Ri0000000I3XSEA0,0,8640,8640,0,2014-09-17,2013-09-17,2014-09-16,2013-09-17,0
a0Ni0000000KVYsEAO,a0Ri0000000I3XVEA0,2400,10200,0,200,2013-07-10,2012-07-10,2013-07-09,2012-07-10,0
a0Ni0000000KVYsEAO,a0Ri0000000I3XUEA0,0,1224,1224,0,2013-07-10,2012-07-10,2013-07-09,2012-07-10,0
a0Ni0000000KVYsEAO,a0Ri0000000I3XTEA0,0,40,0,0,2013-07-10,2012-07-10,2013-07-09,2012-07-10,6
a0Ni0000000KVYhEAO,a0Ri0000000I3XTEA0,0,38,0,0,2014-05-13,2013-11-11,2014-05-12,2013-11-11,38
a0Ni0000000KVYhEAO,a0Ri0000000I3XSEA0,0,4104,4104,0,2014-05-13,2013-11-11,2014-05-12,2013-11-11,0
a0Ni0000000KVYLEA4,a0Ri0000000I3XTEA0,0,34,0,0,2012-07-10,2012-01-10,2012-07-09,2012-01-10,34
a0Ni0000000KVYSEA4,a0Ri0000000I3XTEA0,0,50,0,0,2013-06-27,2012-06-27,2013-06-26,2012-06-27,50
a0Ni0000000KVYSEA4,a0Ri0000000I3XSEA0,0,1800,1800,0,2013-06-27,2012-06-27,2013-06-26,2012-06-27,0
a0Ni0000000KVYSEA4,a0Ri0000000I3XVEA0,150000,12500,0,12500,2013-06-27,2012-06-27,2013-06-26,2012-06-27,0
a0Ni0000000KVYLEA4,a0Ri0000000I3XSEA0,0,1224,1224,0,2012-07-10,2012-01-10,2012-07-09,2012-01-10,0
a0Ni0000000KVYLEA4,a0Ri0000000I3XVEA0,61200,5100,0,5100,2012-07-10,2012-01-10,2012-07-09,2012-01-10,0
a0Ni0000000KVY7EAO,a0Ri0000000I3XTEA0,0,30,0,0,2013-09-09,2011-09-09,2013-09-08,2011-09-09,30
a0Ni0000000KVYhEAO,a0Ri0000000I3XVEA0,45600,3800,0,3800,2014-05-13,2013-11-11,2014-05-12,2013-11-11,0
a0Ni0000000KVY7EAO,a0Ri0000000I3XSEA0,0,4320,4320,0,2013-09-09,2011-09-09,2013-09-08,2011-09-09,0
a0Ni0000000KVY7EAO,a0Ri0000000I3XVEA0,54000,4500,0,4500,2013-09-09,2011-09-09,2013-09-08,2011-09-09,0
a0Ni0000000KVYDEA4,a0Ri0000000I3XTEA0,0,42,0,0,2013-12-29,2011-12-29,2013-12-28,2011-12-29,42
a0Ni0000000KVYDEA4,a0Ri0000000I3XSEA0,0,9072,9072,0,2013-12-29,2011-12-29,2013-12-28,2011-12-29,0
a0Ni0000000KVYJEA4,a0Ri0000000I3XVEA0,240000,20000,0,20000,2013-06-07,2012-06-07,2013-06-06,2012-06-07,0
a0Ni0000000KVYFEA4,a0Ri0000000I3XSEA0,0,2520,2520,0,2013-05-08,2012-05-07,2013-05-07,2012-05-07,0
a0Ni0000000KVX3EAO,a0Ri0000000I3XTEA0,0,35,0,0,2014-04-05,2013-04-04,2014-04-04,2013-04-04,35
a0Ni0000000KVX3EAO,a0Ri0000000I3XSEA0,0,3780,3780,0,2014-04-05,2013-04-04,2014-04-04,2013-04-04,0
a0Ni0000000KVX3EAO,a0Ri0000000I3XVEA0,84000,7000,0,7000,2014-04-05,2013-04-04,2014-04-04,2013-04-04,0
a0Ni0000000KVYFEA4,a0Ri0000000I3XTEA0,0,35,0,0,2013-05-08,2012-05-07,2013-05-07,2012-05-07,35
a0Ni0000000KVYFEA4,a0Ri0000000I3XVEA0,42000,3500,0,3500,2013-05-08,2012-05-07,2013-05-07,2012-05-07,0
a0Ni0000000KVYDEA4,a0Ri0000000I3XVEA0,113400,9450,0,9450,2013-12-29,2011-12-29,2013-12-28,2011-12-29,0
a0Ni0000000KVXOEA4,a0Ri0000000I3XTEA0,0,38,0,0,2013-03-10,2012-09-10,2013-03-09,2012-09-10,38
a0Ni0000000KVXOEA4,a0Ri0000000I3XSEA0,0,1368,1368,0,2013-03-10,2012-09-10,2013-03-09,2012-09-10,0
a0Ni0000000KVXOEA4,a0Ri0000000I3XVEA0,68400,5700,0,5700,2013-03-10,2012-09-10,2013-03-09,2012-09-10,0
a0Ni0000000KVYJEA4,a0Ri0000000I3XTEA0,0,150,0,0,2013-06-07,2012-06-07,2013-06-06,2012-06-07,150
a0Ni0000000KVYJEA4,a0Ri0000000I3XSEA0,0,2880,2880,0,2013-06-07,2012-06-07,2013-06-06,2012-06-07,0
a0Ni0000000KVX8EAO,a0Ri0000000I3XVEA0,48000,4000,0,4000,2011-12-23,2011-06-23,2011-12-22,2011-06-23,0
a0Ni0000000KVX8EAO,a0Ri0000000I3XTEA0,0,42,0,0,2011-12-23,2011-06-23,2011-12-22,2011-06-23,42
a0Ni0000000KVX8EAO,a0Ri0000000I3XSEA0,0,1512,1512,0,2011-12-23,2011-06-23,2011-12-22,2011-06-23,0
a0Ni0000000KVYrEAO,a0Ri0000000I3XUEA0,0,1512,1512,0,2013-12-23,2011-12-23,2013-12-22,2011-12-23,0
a0Ni0000000KVYrEAO,a0Ri0000000I3XTEA0,0,162,0,0,2013-12-23,2011-12-23,2013-12-22,2011-12-23,120
a0Ni0000000KVXIEA4,a0Ri0000000I3XTEA0,0,40,0,0,2014-06-07,2013-06-07,2014-06-06,2013-06-07,40
a0Ni0000000KVYrEAO,a0Ri0000000I3XVEA0,168000,18000,0,14000,2013-12-23,2011-12-23,2013-12-22,2011-12-23,0
a0Ni0000000KVY2EAO,a0Ri0000000I3XTEA0,0,40,0,0,2014-02-15,2012-02-15,2014-02-14,2012-02-15,40
a0Ni0000000KVY2EAO,a0Ri0000000I3XSEA0,0,5760,5760,0,2014-02-15,2012-02-15,2014-02-14,2012-02-15,0
a0Ni0000000KVY2EAO,a0Ri0000000I3XVEA0,24000,2000,0,2000,2014-02-15,2012-02-15,2014-02-14,2012-02-15,0
a0Ni0000000KVXIEA4,a0Ri0000000I3XSEA0,0,7200,7200,0,2014-06-07,2013-06-07,2014-06-06,2013-06-07,0
a0Ni0000000KVXIEA4,a0Ri0000000I3XVEA0,48000,4000,0,4000,2014-06-07,2013-06-07,2014-06-06,2013-06-07,0
a0Ni0000000KVXHEA4,a0Ri0000000I3XSEA0,0,4320,4320,0,2013-06-10,2011-06-10,2013-06-09,2011-06-10,0
a0Ni0000000KVXHEA4,a0Ri0000000I3XTEA0,0,30,0,0,2013-06-10,2011-06-10,2013-06-09,2011-06-10,30
a0Ni0000000KVXBEA4,a0Ri0000000I3XTEA0,0,38,0,0,2012-10-15,2011-04-15,2012-10-14,2011-04-15,38
a0Ni0000000KVXBEA4,a0Ri0000000I3XSEA0,0,4104,4104,0,2012-10-15,2011-04-15,2012-10-14,2011-04-15,0
a0Ni0000000KVXBEA4,a0Ri0000000I3XVEA0,45600,3800,0,3800,2012-10-15,2011-04-15,2012-10-14,2011-04-15,0
a0Ni0000000KVYQEA4,a0Ri0000000I3XTEA0,0,35,0,0,2011-08-12,2011-02-12,2011-08-11,2011-02-12,35
a0Ni0000000KVXHEA4,a0Ri0000000I3XVEA0,18000,1500,0,1500,2013-06-10,2011-06-10,2013-06-09,2011-06-10,0
a0Ni0000000KVYQEA4,a0Ri0000000I3XSEA0,0,1260,1260,0,2011-08-12,2011-02-12,2011-08-11,2011-02-12,0
a0Ni0000000KVYQEA4,a0Ri0000000I3XVEA0,84000,7000,0,7000,2011-08-12,2011-02-12,2011-08-11,2011-02-12,0
a0Ni0000000KVYiEAO,a0Ri0000000I3XTEA0,0,40,0,0,2015-12-20,2012-12-20,2015-12-19,2012-12-20,40
a0Ni0000000KVXUEA4,a0Ri0000000I3XVEA0,96000,8000,0,8000,2013-11-14,2011-11-14,2013-11-13,2011-11-14,0
a0Ni0000000KVXuEAO,a0Ri0000000I3XTEA0,0,34,0,0,2015-02-05,2012-02-05,2015-02-04,2012-02-05,34
a0Ni0000000KVYiEAO,a0Ri0000000I3XVEA0,96000,8000,0,8000,2015-12-20,2012-12-20,2015-12-19,2012-12-20,0
a0Ni0000000KVYiEAO,a0Ri0000000I3XSEA0,0,8640,8640,0,2015-12-20,2012-12-20,2015-12-19,2012-12-20,0
a0Ni0000000KVXAEA4,a0Ri0000000I3XTEA0,0,30,0,0,2012-05-28,2010-11-30,2012-05-27,2010-11-30,30
a0Ni0000000KVXAEA4,a0Ri0000000I3XSEA0,0,3240,3240,0,2012-05-28,2010-11-30,2012-05-27,2010-11-30,0
a0Ni0000000KVXAEA4,a0Ri0000000I3XVEA0,18000,1500,0,1500,2012-05-28,2010-11-30,2012-05-27,2010-11-30,0
a0Ni0000000KVY9EAO,a0Ri0000000I3XTEA0,0,50,0,0,2014-05-18,2013-09-24,2014-05-17,2013-09-24,50
a0Ni0000000KVY9EAO,a0Ri0000000I3XSEA0,0,9000,9000,0,2014-05-18,2013-09-24,2014-05-17,2013-09-24,0
a0Ni0000000KVY9EAO,a0Ri0000000I3XVEA0,120000,10000,0,10000,2014-05-18,2013-09-24,2014-05-17,2013-09-24,0
a0Ni0000000KVYEEA4,a0Ri0000000I3XVEA0,72000,6000,0,6000,2014-03-31,2012-03-31,2014-03-30,2012-03-31,0
a0Ni0000000KVYEEA4,a0Ri0000000I3XTEA0,0,40,0,0,2014-03-31,2012-03-31,2014-03-30,2012-03-31,40
a0Ni0000000KVYEEA4,a0Ri0000000I3XSEA0,0,8640,8640,0,2014-03-31,2012-03-31,2014-03-30,2012-03-31,0
a0Ni0000000KVXUEA4,a0Ri0000000I3XTEA0,0,40,0,0,2013-11-14,2011-11-14,2013-11-13,2011-11-14,40
a0Ni0000000KVXUEA4,a0Ri0000000I3XSEA0,0,5760,5760,0,2013-11-14,2011-11-14,2013-11-13,2011-11-14,0
a0Ni0000000KVXuEAO,a0Ri0000000I3XSEA0,0,7344,7344,0,2015-02-05,2012-02-05,2015-02-04,2012-02-05,0
a0Ni0000000KVXuEAO,a0Ri0000000I3XVEA0,61200,5100,0,5100,2015-02-05,2012-02-05,2015-02-04,2012-02-05,0
a0Ni0000000KVYHEA4,a0Ri0000000I3XTEA0,0,33,0,0,2014-05-18,2012-05-18,2014-05-17,2012-05-18,33
a0Ni0000000KVYHEA4,a0Ri0000000I3XSEA0,0,4752,4752,0,2014-05-18,2012-05-18,2014-05-17,2012-05-18,0
a0Ni0000000KVYHEA4,a0Ri0000000I3XVEA0,79200,6600,0,6600,2014-05-18,2012-05-18,2014-05-17,2012-05-18,0
a0Ni0000000KVY4EAO,a0Ri0000000I3XSEA0,0,5400,5400,0,2013-09-02,2012-03-02,2013-09-01,2012-03-02,0
a0Ni0000000KVY4EAO,a0Ri0000000I3XVEA0,30000,2500,0,2500,2013-09-02,2012-03-02,2013-09-01,2012-03-02,0
a0Ni0000000KVYAEA4,a0Ri0000000I3XSEA0,0,6840,6840,0,2014-09-20,2012-03-20,2014-09-19,2012-03-20,0
a0Ni0000000KVYAEA4,a0Ri0000000I3XTEA0,0,38,0,0,2014-09-20,2012-03-20,2014-09-19,2012-03-20,38
a0Ni0000000KVYAEA4,a0Ri0000000I3XVEA0,91200,7600,0,7600,2014-09-20,2012-03-20,2014-09-19,2012-03-20,0
a0Ni0000000KVY4EAO,a0Ri0000000I3XTEA0,0,50,0,0,2013-09-02,2012-03-02,2013-09-01,2012-03-02,50
a0Ni0000000KVXQEA4,a0Ri0000000I3XTEA0,0,40,0,0,2012-04-11,2011-10-11,2012-04-10,2011-10-11,40
a0Ni0000000KVXQEA4,a0Ri0000000I3XSEA0,0,1440,1440,0,2012-04-11,2011-10-11,2012-04-10,2011-10-11,0
a0Ni0000000KVXQEA4,a0Ri0000000I3XVEA0,48000,4000,0,4000,2012-04-11,2011-10-11,2012-04-10,2011-10-11,0
a0Ni0000000KVYgEAO,a0Ri0000000I3XTEA0,0,33,0,0,2014-06-10,2012-12-10,2014-06-09,2012-12-10,33
a0Ni0000000KVYgEAO,a0Ri0000000I3XSEA0,0,3564,3564,0,2014-06-10,2012-12-10,2014-06-09,2012-12-10,0
a0Ni0000000KVXXEA4,a0Ri0000000I3XTEA0,0,60,0,0,2013-05-15,2010-05-15,2013-05-14,2010-05-15,60
a0Ni0000000KVXXEA4,a0Ri0000000I3XSEA0,0,10800,10800,0,2013-05-15,2010-05-15,2013-05-14,2010-05-15,0
a0Ni0000000KVXXEA4,a0Ri0000000I3XVEA0,120000,10000,0,10000,2013-05-15,2010-05-15,2013-05-14,2010-05-15,0
a0Ni0000000KVWwEAO,a0Ri0000000I3XTEA0,0,30,0,0,2014-10-05,2013-04-05,2014-10-04,2013-04-05,30
a0Ni0000000KVYgEAO,a0Ri0000000I3XVEA0,79200,6600,0,6600,2014-06-10,2012-12-10,2014-06-09,2012-12-10,0
a0Ni0000000KVWwEAO,a0Ri0000000I3XSEA0,0,1080,1080,0,2014-10-05,2013-04-05,2014-10-04,2013-04-05,0
a0Ni0000000KVWwEAO,a0Ri0000000I3XVEA0,18000,1500,0,1500,2014-10-05,2013-04-05,2014-10-04,2013-04-05,0
a0Ni0000000KVXVEA4,a0Ri0000000I3XTEA0,0,42,0,0,2014-05-14,2011-11-14,2014-05-13,2011-11-14,42
a0Ni0000000KVXVEA4,a0Ri0000000I3XSEA0,0,7560,7560,0,2014-05-14,2011-11-14,2014-05-13,2011-11-14,0
a0Ni0000000KVXVEA4,a0Ri0000000I3XVEA0,75600,6300,0,6300,2014-05-14,2011-11-14,2014-05-13,2011-11-14,0
a0Ni0000000KVYBEA4,a0Ri0000000I3XTEA0,0,35,0,0,2013-03-31,2012-03-31,2013-03-30,2012-03-31,35
a0Ni0000000KVYBEA4,a0Ri0000000I3XSEA0,0,5040,5040,0,2013-03-31,2012-03-31,2013-03-30,2012-03-31,0
a0Ni0000000KVYBEA4,a0Ri0000000I3XVEA0,168000,14000,0,14000,2013-03-31,2012-03-31,2013-03-30,2012-03-31,0
a0Ni0000000KVXtEAO,a0Ri0000000I3XTEA0,0,40,0,0,2013-07-17,2012-01-17,2013-07-16,2012-01-17,40
a0Ni0000000KVXtEAO,a0Ri0000000I3XSEA0,0,4320,4320,0,2013-07-17,2012-01-17,2013-07-16,2012-01-17,0
a0Ni0000000KVXtEAO,a0Ri0000000I3XVEA0,96000,8000,0,8000,2013-07-17,2012-01-17,2013-07-16,2012-01-17,0
a0Ni0000000KVXoEAO,a0Ri0000000I3XTEA0,0,40,0,0,2014-01-15,2012-01-15,2014-01-14,2012-01-15,40
a0Ni0000000KVXoEAO,a0Ri0000000I3XVEA0,72000,6000,0,6000,2014-01-15,2012-01-15,2014-01-14,2012-01-15,0
a0Ni0000000KVXvEAO,a0Ri0000000I3XTEA0,0,45,0,0,2014-03-13,2012-03-13,2014-03-12,2012-03-13,45
a0Ni0000000KVXvEAO,a0Ri0000000I3XSEA0,0,8100,8100,0,2014-03-13,2012-03-13,2014-03-12,2012-03-13,0
a0Ni0000000KVXoEAO,a0Ri0000000I3XSEA0,0,5760,5760,0,2014-01-15,2012-01-15,2014-01-14,2012-01-15,0
a0Ni0000000KVXSEA4,a0Ri0000000I3XSEA0,0,4320,4320,0,2013-11-14,2011-11-14,2013-11-13,2011-11-14,0
a0Ni0000000KVXSEA4,a0Ri0000000I3XVEA0,36000,3000,0,3000,2013-11-14,2011-11-14,2013-11-13,2011-11-14,0
a0Ni0000000KVXvEAO,a0Ri0000000I3XVEA0,67500,5625,0,5625,2014-03-13,2012-03-13,2014-03-12,2012-03-13,0
a0Ni0000000KVYREA4,a0Ri0000000I3XTEA0,0,40,0,0,2013-06-17,2012-06-17,2013-06-16,2012-06-17,40
a0Ni0000000KVYREA4,a0Ri0000000I3XSEA0,0,2880,2880,0,2013-06-17,2012-06-17,2013-06-16,2012-06-17,0
a0Ni0000000KVXSEA4,a0Ri0000000I3XTEA0,0,30,0,0,2013-11-14,2011-11-14,2013-11-13,2011-11-14,30
a0Ni0000000KVYmEAO,a0Ri0000000I3XTEA0,0,25,0,0,2013-11-25,2012-11-25,2013-11-24,2012-11-25,25
a0Ni0000000KVYmEAO,a0Ri0000000I3XSEA0,0,1800,1800,0,2013-11-25,2012-11-25,2013-11-24,2012-11-25,0
a0Ni0000000KVYmEAO,a0Ri0000000I3XVEA0,15000,1250,0,1250,2013-11-25,2012-11-25,2013-11-24,2012-11-25,0
a0Ni0000000KVXbEAO,a0Ri0000000I3XTEA0,0,40,0,0,2013-12-10,2011-06-10,2013-12-09,2011-06-10,40
a0Ni0000000KVYREA4,a0Ri0000000I3XVEA0,72000,6000,0,6000,2013-06-17,2012-06-17,2013-06-16,2012-06-17,0
a0Ni0000000KVXjEAO,a0Ri0000000I3XTEA0,0,40,0,0,2012-04-18,2011-10-18,2012-04-17,2011-10-18,40
a0Ni0000000KVXbEAO,a0Ri0000000I3XVEA0,96000,8000,0,8000,2013-12-10,2011-06-10,2013-12-09,2011-06-10,0
a0Ni0000000KVXjEAO,a0Ri0000000I3XSEA0,0,1440,1440,0,2012-04-18,2011-10-18,2012-04-17,2011-10-18,0
a0Ni0000000KVXjEAO,a0Ri0000000I3XVEA0,24000,2000,0,2000,2012-04-18,2011-10-18,2012-04-17,2011-10-18,0
a0Ni0000000KVXbEAO,a0Ri0000000I3XSEA0,0,7200,7200,0,2013-12-10,2011-06-10,2013-12-09,2011-06-10,0
a0Ni0000000KVXFEA4,a0Ri0000000I3XTEA0,0,30,0,0,2013-04-11,2012-04-11,2013-04-10,2012-04-11,30
a0Ni0000000KVXFEA4,a0Ri0000000I3XSEA0,0,2160,2160,0,2013-04-11,2012-04-11,2013-04-10,2012-04-11,0
a0Ni0000000KVXFEA4,a0Ri0000000I3XVEA0,54000,4500,0,4500,2013-04-11,2012-04-11,2013-04-10,2012-04-11,0
a0Ni0000000KVYNEA4,a0Ri0000000I3XTEA0,0,38,0,0,2012-07-24,2011-07-24,2012-07-23,2011-07-24,38
a0Ni0000000KVYNEA4,a0Ri0000000I3XSEA0,0,2736,2736,0,2012-07-24,2011-07-24,2012-07-23,2011-07-24,0
a0Ni0000000KVYNEA4,a0Ri0000000I3XVEA0,45600,3800,0,3800,2012-07-24,2011-07-24,2012-07-23,2011-07-24,0
a0Ni0000000KVYGEA4,a0Ri0000000I3XTEA0,0,30,0,0,2013-05-18,2012-05-18,2013-05-17,2012-05-18,30
a0Ni0000000KVYGEA4,a0Ri0000000I3XSEA0,0,2160,2160,0,2013-05-18,2012-05-18,2013-05-17,2012-05-18,0
a0Ni0000000KVYGEA4,a0Ri0000000I3XVEA0,18000,1500,0,1500,2013-05-18,2012-05-18,2013-05-17,2012-05-18,0
a0Ni0000000KVXZEA4,a0Ri0000000I3XTEA0,0,35,0,0,2014-06-03,2011-06-03,2014-06-02,2011-06-03,35
a0Ni0000000KVXZEA4,a0Ri0000000I3XSEA0,0,7560,7560,0,2014-06-03,2011-06-03,2014-06-02,2011-06-03,0
a0Ni0000000KVZ4EAO,a0Ri0000000I3XTEA0,0,20,0,0,2013-06-26,2012-06-26,2013-06-25,2012-06-26,-10
a0Ni0000000KVZ4EAO,a0Ri0000000I3XVEA0,-12000,1250,0,-1000,2013-06-26,2012-06-26,2013-06-25,2012-06-26,0
a0Ni0000000KVZ4EAO,a0Ri0000000I3XUEA0,0,0,0,0,2013-06-26,2012-06-26,2013-06-25,2012-06-26,0
a0Ni0000000KVXiEAO,a0Ri0000000I3XTEA0,0,50,0,0,2013-09-14,2012-03-14,2013-09-13,2012-03-14,50
a0Ni0000000KVXiEAO,a0Ri0000000I3XSEA0,0,5400,5400,0,2013-09-14,2012-03-14,2013-09-13,2012-03-14,0
a0Ni0000000KVXZEA4,a0Ri0000000I3XVEA0,84000,7000,0,7000,2014-06-03,2011-06-03,2014-06-02,2011-06-03,0
a0Ni0000000KVXDEA4,a0Ri0000000I3XTEA0,0,30,0,0,2012-06-26,2011-06-26,2012-06-25,2011-06-26,30
a0Ni0000000KVXDEA4,a0Ri0000000I3XSEA0,0,1080,1080,0,2012-06-26,2011-06-26,2012-06-25,2011-06-26,0
a0Ni0000000KVXDEA4,a0Ri0000000I3XVEA0,27000,2250,0,2250,2012-06-26,2011-06-26,2012-06-25,2011-06-26,0
a0Ni0000000KVXiEAO,a0Ri0000000I3XVEA0,120000,10000,0,10000,2013-09-14,2012-03-14,2013-09-13,2012-03-14,0
