"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","JBCXM__ACCOUNT__C","JBCXM__ASVTOTAL__C","JBCXM__ASV__C","JBCXM__ASSOCIATEDOBJECTDISPLAYVALUE__C","JBCXM__ASSOCIATEDOBJECTRECORDID__C","JBCXM__ASSOCIATEDOBJECTRECORDVALUE__C","JBCXM__BOOKINGNUMBER__C","JBCXM__CHURNREASON__C","JBCXM__COMMENT__C","JBCXM__CUSTOMERNAME__C","JBCXM__DATE__C","JBCXM__FCSTASV__C","JBCXM__FCSTBOOKINGDATE__C","JBCXM__FCSTMRR__C","JBCXM__FCSTUSER__C","JBCXM__MRRTOTAL__C","JBCXM__MRR__C","JBCXM__MAIN__C","JBCXM__NAME__C","JBCXM__NEXTRENEWALDATE__C","JBCXM__ONETIMEREVENUE__C","JBCXM__OPPORTUNITY__C","JBCXM__ORDERTYPE__C","JBCXM__ORIGINALCONTRACT__C","JBCXM__PARENTTRANSACTION__C","JBCXM__RENEWABLE__C","JBCXM__RENEWALOPPORTUNITY__C","JBCXM__RENEWALSTATUS__C","JBCXM__RENEWALTRANSACTION__C","JBCXM__REVRECENDDATE__C","JBCXM__REVRECSTARTDATE__C","JBCXM__SALESREP__C","JBCXM__TERM_FRACTIONAL__C","JBCXM__TERM__C","JBCXM__USERSTOTAL__C","JBCXM__USERS__C","DATA_LOAD_ID__C"
"a0Ni0000000KVXBEA4","false","Ord-000018","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmVAAW","45600.0","45600.0","","","","30","","New Business closed with the Following Products: ABC, DEF","Yesterday Productions Corp.","2011-04-15","45600.0","2012-07-15","3800.0","38.0","3800.0","3800.0","true","","2012-10-15","4104.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-10-14","2011-04-15","","18.0","0.0","38.0","38.0","a0Ni0000000Ap4bEAC"
"a0Ni0000000KVXCEA4","false","Ord-000019","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-29T18:28:54.000Z","005i0000000aHqzAAE","2014-01-29T18:28:54.000Z","001i0000007PEnHAAW","96000.0","96000.0","","","","114","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Daisy of California","2012-06-18","96000.0","2012-09-18","8000.0","40.0","8000.0","8000.0","true","","2012-12-18","1440.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-12-17","2012-06-18","","6.0","0.0","50.0","50.0","a0Ni0000000Ap4cEAC"
"a0Ni0000000KVX7EAO","false","Ord-000014","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-23T20:42:29.000Z","005i0000000aHqzAAE","2014-01-23T20:42:29.000Z","001i0000007PEn5AAG","18000.0","18000.0","","","","21","","New Business closed with the Following Products: ABC","Quadrex Corp","2011-05-19","18000.0","2011-10-19","1500.0","30.0","1500.0","1500.0","true","","2012-05-19","2160.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-05-18","2011-05-19","","12.0","0.0","30.0","30.0","a0Ni0000000Ap4XEAS"
"a0Ni0000000KVX8EAO","false","Ord-000015","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-10-16T23:23:48.000Z","005i0000000aHqzAAE","2013-10-16T23:23:48.000Z","001i0000007PEmSAAW","48000.0","48000.0","","","","42","","New Business closed with the Following Products: ABC, DEF,GHI","G-L Veneer Co Inc.","2011-06-23","75600.0","2011-09-23","6300.0","42.0","4000.0","4000.0","true","","2011-12-23","1512.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000000KVYrEAO","2011-12-22","2011-06-23","","6.0","0.0","42.0","42.0","a0Ni0000000Ap4YEAS"
"a0Ni0000000KVX9EAO","false","Ord-000016","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-23T19:33:17.000Z","005i0000000aHqzAAE","2014-01-23T19:33:17.000Z","001i0000007PEnkAAG","15000.0","15000.0","","","","19","","New Business closed with the Following Products: ABC","P.S.C.","2013-02-11","15000.0","2011-04-11","1250.0","25.0","1250.0","1250.0","true","","2014-07-11","900.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-07-10","2013-02-11","","17.0","0.0","25.0","25.0","a0Ni0000000Ap4ZEAS"
"a0Ni0000000KVX2EAO","false","Ord-000009","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmCAAW","91200.0","91200.0","","","","33","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Back Stage Magazine","2011-05-22","91200.0","2012-08-22","7600.0","38.0","7600.0","7600.0","true","","2012-11-22","4104.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-11-21","2011-05-22","","18.0","0.0","38.0","38.0","a0Ni0000000Ap4REAS"
"a0Ni0000000KVX3EAO","false","Ord-000010","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-23T19:34:46.000Z","005i0000000aHqzAAE","2014-01-23T19:34:46.000Z","001i0000007PEmQAAW","84000.0","84000.0","","","","2","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Baker & McKenzie","2013-04-04","84000.0","2011-07-04","7000.0","35.0","7000.0","7000.0","true","","2014-04-05","3780.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-04-04","2013-04-04","","12.0249","0.0","35.0","35.0","a0Ni0000000Ap4SEAS"
"a0Ni0000000KVX4EAO","false","Ord-000011","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-11-08T20:55:41.000Z","005i0000000aHqzAAE","2013-11-08T20:55:41.000Z","001i0000007PEnLAAW","15000.0","15000.0","","","","5","","New Business closed with the Following Products: ABC","Dana Marketing Inc","2013-05-12","15000.0","2011-03-12","1250.0","25.0","1250.0","1250.0","true","","2013-11-12","1800.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2013-11-11","2013-05-12","","6.0","0.0","25.0","25.0","a0Ni0000000Ap4TEAS"
"a0Ni0000000KVX5EAO","false","Ord-000012","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-23T19:14:03.000Z","005i0000000aHqzAAE","2014-01-23T19:14:03.000Z","001i0000007PEnBAAW","91200.0","91200.0","","","","6","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Eastern Municipal Water Distri","2013-06-22","91200.0","2012-03-22","7600.0","38.0","7600.0","7600.0","true","","2014-06-22","5472.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-06-21","2013-06-22","","12.0","0.0","38.0","38.0","a0Ni0000000Ap4UEAS"
"a0Ni0000000KVX6EAO","false","Ord-000013","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-23T19:10:10.000Z","005i0000000aHqzAAE","2014-01-23T19:10:10.000Z","001i0000007PEmBAAW","15000.0","15000.0","","","","8","","New Business closed with the Following Products: ABC","Galbreath Co","2013-07-15","15000.0","2010-10-15","1250.0","25.0","1250.0","1250.0","true","","2014-01-15","900.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-01-14","2013-07-15","","6.0","0.0","25.0","25.0","a0Ni0000000Ap4VEAS"
"a0Ni0000000KVXDEA4","false","Ord-000020","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEn0AAG","27000.0","27000.0","","","","26","","New Business closed with the Following Products: ABC, DEF,GHI","United Can Co.","2011-06-26","27000.0","2012-03-26","2250.0","30.0","2250.0","2250.0","true","","2012-06-26","1080.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2012-06-25","2011-06-26","","12.0","0.0","30.0","30.0","a0Ni0000000Ap4dEAC"
"a0Ni0000000KVXEEA4","false","Ord-000021","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEndAAG","48000.0","48000.0","","","","3","","New Business closed with the Following Products: ABC, DEF","CADAM Inc.","2010-05-10","48000.0","2013-02-10","4000.0","40.0","4000.0","4000.0","true","","2013-05-10","8640.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2013-05-09","2010-05-10","","36.0","0.0","40.0","40.0","a0Ni0000000Ap4eEAC"
"a0Ni0000000KVXFEA4","false","Ord-000022","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-29T19:29:54.000Z","005i0000000aHqzAAE","2014-01-29T19:29:54.000Z","001i0000007PEmwAAG","54000.0","54000.0","","","","105","","New Business closed with the Following Products: ABC, DEF,GHI","Tech Fire & Safety Company","2012-04-11","72000.0","2013-01-11","6000.0","45.0","4500.0","4500.0","true","","2013-04-11","2160.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000004cKLrEAM","2013-04-10","2012-04-11","","12.0","0.0","30.0","30.0","a0Ni0000000Ap4fEAC"
"a0Ni0000000KVXGEA4","false","Ord-000023","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-29T19:09:57.000Z","005i0000000aHqzAAE","2014-01-29T19:09:57.000Z","001i0000007PEnzAAG","91200.0","91200.0","","","","57","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Quinn/Brein Inc","2011-09-09","91200.0","2011-12-09","7600.0","38.0","7600.0","7600.0","true","","2012-03-09","1368.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000004cKJMEA2","2012-03-08","2011-09-09","","6.0","0.0","38.0","38.0","a0Ni0000000Ap4gEAC"
"a0Ni0000000KVXHEA4","false","Ord-000024","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-29T19:39:49.000Z","005i0000000aHqzAAE","2014-01-29T19:39:49.000Z","001i0000007PEmWAAW","18000.0","18000.0","","","","40","","New Business closed with the Following Products: ABC","G Group","2011-06-10","18000.0","2013-03-10","1500.0","30.0","1500.0","1500.0","true","","2013-06-10","4320.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000004cKMuEAM","2013-06-09","2011-06-10","","24.0","0.0","30.0","30.0","a0Ni0000000Ap4hEAC"
"a0Ni0000000KVXIEA4","false","Ord-000025","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-11-08T20:58:01.000Z","005i0000000aHqzAAE","2013-11-08T20:58:01.000Z","001i0000007PEmUAAW","48000.0","48000.0","","","","11","","New Business closed with the Following Products: ABC, DEF","ICM Corp","2013-06-07","48000.0","2012-12-07","4000.0","40.0","4000.0","4000.0","true","","2014-06-07","7200.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-06-06","2013-06-07","","12.0","0.0","40.0","40.0","a0Ni0000000Ap4iEAC"
"a0Ni0000000KVXJEA4","false","Ord-000026","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-12-20T00:25:01.000Z","005i0000000aHqzAAE","2013-12-20T00:25:01.000Z","001i0000007PEnKAAW","72000.0","72000.0","","","","29","","New Business closed with the Following Products: ABC, DEF,GHI","Westinghouse Corporation","2011-04-10","72000.0","2013-07-10","6000.0","40.0","6000.0","6000.0","true","","2013-10-10","7200.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000003dXi2EAE","2013-10-09","2011-04-10","","30.0","0.0","40.0","40.0","a0Ni0000000Ap4jEAC"
"a0Ni0000000KVXKEA4","false","Ord-000027","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEnoAAG","79200.0","79200.0","","","","10","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Harken Marketing Co","2010-09-27","79200.0","2011-06-27","6600.0","33.0","6600.0","6600.0","true","","2011-09-27","2376.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2011-09-26","2010-09-27","","12.0","0.0","33.0","33.0","a0Ni0000000Ap4kEAC"
"a0Ni0000000KVXLEA4","false","Ord-000028","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEngAAG","91200.0","91200.0","","","","47","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Kahlert Assoc Inc","2011-09-24","91200.0","2012-06-24","7600.0","38.0","7600.0","7600.0","true","","2012-09-24","2736.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2012-09-23","2011-09-24","","12.0","0.0","38.0","38.0","a0Ni0000000Ap4lEAC"
"a0Ni0000000KVXMEA4","false","Ord-000029","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEnPAAW","48000.0","48000.0","","","","88","","New Business closed with the Following Products: ABC, DEF","Karpen & Steel Products Inc","2012-01-17","48000.0","2014-04-17","4000.0","40.0","4000.0","4000.0","true","","2014-07-17","7200.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-07-16","2012-01-17","","30.0","0.0","40.0","40.0","a0Ni0000000Ap4mEAC"
"a0Ni0000000KVXNEA4","false","Ord-000030","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-11-08T22:52:47.000Z","005i0000000aHqzAAE","2013-11-08T22:52:47.000Z","001i0000007PEnMAAW","120000.0","120000.0","","","","31","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Zoo Gift Shop","2012-03-15","120000.0","2013-12-15","10000.0","50.0","10000.0","10000.0","true","","2013-11-08","7200.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni00000030dRdEAI","2013-11-07","2012-03-15","","19.8129","0.0","50.0","50.0","a0Ni0000000Ap4nEAC"
"a0Ni0000000KVXSEA4","false","Ord-000035","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-12-20T01:21:00.000Z","005i0000000aHqzAAE","2013-12-20T01:21:00.000Z","001i0000007PEmrAAG","36000.0","36000.0","","","","76","","New Business closed with the Following Products: ABC, DEF","Abacus Programming Corporation","2011-11-14","36000.0","2013-08-14","3000.0","30.0","3000.0","3000.0","true","","2013-11-14","4320.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000003dXiHEAU","2013-11-13","2011-11-14","","24.0","0.0","30.0","30.0","a0Ni0000000Ap4sEAC"
"a0Ni0000000KVXTEA4","false","Ord-000036","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-12-20T00:26:17.000Z","005i0000000aHqzAAE","2013-12-20T00:26:17.000Z","001i0000007PEnxAAG","30000.0","30000.0","","","","32","","New Business closed with the Following Products: ABCD","Abberley Kooiman","2011-05-12","30000.0","2013-08-12","2500.0","50.0","2500.0","2500.0","true","","2013-11-12","9000.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000003dXiCEAU","2013-11-11","2011-05-12","","30.0","0.0","50.0","50.0","a0Ni0000000Ap4tEAC"
"a0Ni0000000KVXREA4","false","Ord-000034","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEnaAAG","61200.0","61200.0","","","","69","","New Business closed with the Following Products: ABC, DEF,GHI","United Artists Theater Circuit","2011-10-18","61200.0","2012-07-18","5100.0","34.0","5100.0","5100.0","true","","2012-10-18","2448.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2012-10-17","2011-10-18","","12.0","0.0","34.0","34.0","a0Ni0000000Ap4rEAC"
"a0Ni0000000KVXOEA4","false","Ord-000031","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-29T18:56:38.000Z","005i0000000aHqzAAE","2014-01-29T18:56:38.000Z","001i0000007PEmOAAW","68400.0","68400.0","","","","125","","New Business closed with the Following Products: ABC, DEF,GHI","Hambro International Venture F","2012-09-10","68400.0","2012-12-10","5700.0","38.0","5700.0","5700.0","true","","2013-03-10","1368.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000004cKF5EAM","2013-03-09","2012-09-10","","6.0","0.0","38.0","38.0","a0Ni0000000Ap4oEAC"
"a0Ni0000000KVXPEA4","false","Ord-000032","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-11-08T21:06:22.000Z","005i0000000aHqzAAE","2013-11-08T21:06:22.000Z","001i0000007PEnfAAG","36000.0","36000.0","","","","134","","New Business closed with the Following Products: ABC, DEF","Lake County","2013-12-14","36000.0","2013-12-10","3000.0","30.0","3000.0","3000.0","true","","2014-11-12","3240.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-11-11","2013-12-14","","10.9407","0.0","30.0","30.0","a0Ni0000000Ap4pEAC"
"a0Ni0000000KVXQEA4","false","Ord-000033","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmiAAG","48000.0","48000.0","","","","66","","New Business closed with the Following Products: ABC, DEF","Teradyne","2011-10-11","48000.0","2012-01-11","4000.0","40.0","4000.0","4000.0","true","","2012-04-11","1440.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2012-04-10","2011-10-11","","6.0","0.0","40.0","40.0","a0Ni0000000Ap4qEAC"
"a0Ni0000000KVXUEA4","false","Ord-000037","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-02-14T01:08:12.000Z","005i0000000aHqzAAE","2014-02-14T01:08:12.000Z","001i0000007PEmdAAG","96000.0","96000.0","","","","74","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","Bachman Information System Inc.","2011-11-14","96000.0","2013-08-14","8000.0","40.0","8000.0","8000.0","true","","2013-11-14","5760.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000003dXiMEAU","2013-11-13","2011-11-14","","24.0","0.0","40.0","40.0","a0Ni0000000Ap4uEAC"
"a0Ni0000000KVXVEA4","false","Ord-000038","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmmAAG","75600.0","75600.0","","","","75","","New Business closed with the Following Products: ABC, DEF,GHI","Ball & Socket Mfg Co","2011-11-14","75600.0","2014-02-14","6300.0","42.0","6300.0","6300.0","true","","2014-05-14","7560.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-05-13","2011-11-14","","30.0","0.0","42.0","42.0","a0Ni0000000Ap4vEAC"
"a0Ni0000000KVXWEA4","false","Ord-000039","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEn3AAG","54000.0","54000.0","","","","34","","New Business closed with the Following Products: ABC, DEF","Caco-Pacific Corp.","2011-06-22","54000.0","2014-03-22","4500.0","45.0","4500.0","4500.0","true","","2014-06-22","9720.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-06-21","2011-06-22","","36.0","0.0","45.0","45.0","a0Ni0000000Ap4wEAC"
"a0Ni0000000KVXaEAO","false","Ord-000043","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-10-16T23:26:19.000Z","005i0000000aHqzAAE","2013-10-16T23:26:19.000Z","001i0000007PEnvAAG","108000.0","108000.0","","","","80","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","East Coast Traders","2012-03-22","120000.0","2012-12-22","10000.0","50.0","9000.0","9000.0","true","","2013-03-22","3600.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000000KVZwEAO","2013-03-21","2012-03-22","","12.0","0.0","50.0","50.0","a0Ni0000000Ap50EAC"
"a0Ni0000000KVXbEAO","false","Ord-000044","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-12-20T00:32:32.000Z","005i0000000aHqzAAE","2013-12-20T00:32:32.000Z","001i0000007PEmuAAG","96000.0","96000.0","","","","38","","New Business closed with the Following Products: ABC, DEF,GHI, JKL","East/West Computers Inc","2011-06-10","96000.0","2013-09-10","8000.0","40.0","8000.0","8000.0","true","","2013-12-10","7200.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","a0Ni0000003dXilEAE","2013-12-09","2011-06-10","","30.0","0.0","40.0","40.0","a0Ni0000000Ap51EAC"
