"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","JBCXM__ACTIVE__C","JBCXM__ADOPTIONMEASURE__C","JBCXM__ATTRIBUTE1__C","JBCXM__ATTRIBUTE2__C","JBCXM__ATTRIBUTE3__C","JBCXM__ATTRIBUTE4__C","JBCXM__CATEGORY__C","JBCXM__DISPLAYORDER__C","JBCXM__INCLUDEINWIDGET__C","JBCXM__SHORTNAME__C","JBCXM__SYSTEMDEFINED__C","JBCXM__SYSTEMNAME__C","JBCXM__USAGETRACKINGMEASURE__C","JBCXM__MAPTOBOOKINGTYPE__C"
"a0Di0000000Rx78EAC","005i0000000aHqzAAE","false","Login - Median","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-17T23:00:54.000Z","005i0000000aHqzAAE","2013-11-17T23:00:54.000Z","true","true","#00cd00","Benchmark","","false","Adoption Measure Types","80.0","false","","false","logins_median_cy","false",""
"a0Di0000000Rx79EAC","005i0000000aHqzAAE","false","Community Post","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#cccc00","Others","","false","Adoption Measure Types","10.0","false","Community Post","false","communitypost","true",""
"a0Di0000000Rx6cEAC","005i0000000aHqzAAE","false","Potential Churn","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#dcdf0c","","","false","Alert Type","1.0","true","Churn","false","Potential Churn","false",""
"a0Di0000000Rx6dEAC","005i0000000aHqzAAE","false","Seasoned Customer","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","4.0","false","Seas Cust","false","stage4","false",""
"a0Di0000000Rx6eEAC","005i0000000aHqzAAE","false","Support Issues","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#fe9900","","","false","Alert Reason","6.0","false","Support Issues","false","alertreason6","false",""
"a0Di0000000Rx6fEAC","005i0000000aHqzAAE","false","Downsell","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ff6600","","","false","Order Type","3.0","false","","true","Downsell","false","Downsell"
"a0Di0000000Rx6gEAC","005i0000000aHqzAAE","false","Churn","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Status","3.0","false","Churn","true","ChurnCustomer","false",""
"a0Di0000000Rx7FEAS","005i0000000aHqzAAE","false","Emails Sent","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-02-13T19:16:29.000Z","005i0000000aHqzAAE","2014-02-13T19:16:29.000Z","true","true","#fe9900","Adoption","","false","Adoption Measure Types","10.0","false","","false","emails_sent","false",""
"a0Di0000000Rx7HEAS","005i0000000aHqzAAE","false","Average Login - PY","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-17T20:18:22.000Z","005i0000000aHqzAAE","2013-11-17T20:18:22.000Z","true","true","#00ffcc","Benchmark","","false","Adoption Measure Types","85.0","false","Ent. Cohort","false","Avg_Logins_PY_c","false",""
"a0Di0000000Rx7IEAS","005i0000000aHqzAAE","false","Avg NPS Score","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","false","false","#ffffff","CSAT","","false","Adoption Measure Types","30.0","false","NPS","false","NPS","false",""
"a0Di0000000Rx7JEAS","005i0000000aHqzAAE","false","Really Really Long Stage","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","7.0","false","RRL Stage","false","stage7","false",""
"a0Di0000000Rx7KEAS","005i0000000aHqzAAE","false","2 - Engaged with the Customer","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-21T07:38:08.000Z","005i0000000aHqzAAE","2014-01-21T07:38:08.000Z","true","false","#663399","","","false","Alert Status","2.0","true","Engaged","false","Engaged with the Customer","false",""
"a0Di0000000Rx7AEAS","005i0000000aHqzAAE","false","Average Logins - CY","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#FF0000","Benchmark","","false","Adoption Measure Types","60.0","false","","false","averageloginscy_c","false",""
"a0Di0000000Rx7BEAS","005i0000000aHqzAAE","false","Training","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffffff","","","false","Milestones","6.0","false","Tr","false","training","false",""
"a0Di0000000Rx7CEAS","005i0000000aHqzAAE","false","Last Processed","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#008b00","","","false","Milestones","7.0","false","LP","false","lastprocessed","false",""
"a0Di0000000Rx7EEAS","005i0000000aHqzAAE","false","Power User Logins - CY","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#3266cc","Benchmark","","false","Adoption Measure Types","70.0","false","","false","PowerLogins_C","false",""
"a0Di0000000Rx6jEAC","005i0000000aHqzAAE","false","Payment Issues","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#99FF33","","","false","Alert Reason","1.0","false","Payment Issues","false","alertreason1","false",""
"a0Di0000000Rx6hEAC","005i0000000aHqzAAE","false","Expert","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","5.0","false","Expert","false","stage5","false",""
"a0Di0000000Rx6kEAC","005i0000000aHqzAAE","false","Churn","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#cd0000","","","false","Order Type","7.0","false","","true","Churn","false","Churn"
"a0Di0000000Rx6lEAC","005i0000000aHqzAAE","false","New Business","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#99ccff","","","false","Order Type","1.0","false","","true","New Business","false","New Business"
"a0Di0000000Rx6WEAS","005i0000000aHqzAAE","false","Weak Onboarding","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#fd9200","","","false","Alert Type","3.0","false","Onboarding","false","Weak Onboarding","false",""
"a0Di0000000Rx6XEAS","005i0000000aHqzAAE","false","Under Implementation","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","2.0","false","Under Imp/ Act","false","stage2","false",""
"a0Di0000000Rx6ZEAS","005i0000000aHqzAAE","false","Go Live","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","3.0","false","Go Live","false","stage3","false",""
"a0Di0000000Rx6bEAC","005i0000000aHqzAAE","false","1 - New","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-21T07:37:46.000Z","005i0000000aHqzAAE","2014-01-21T07:37:46.000Z","true","false","#FF0000","","","false","Alert Status","1.0","true","New","true","Active","false",""
"a0Di0000000Rx6JEAS","005i0000000aHqzAAE","false","New Sponsor","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#aaeeed","","","false","Churn Reason","4.0","false","New Sponsor","false","churnreason4","false",""
"a0Di0000000Rx6KEAS","005i0000000aHqzAAE","false","Competition","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-13T17:41:48.000Z","005i0000000aHqzAAE","2014-01-13T17:41:48.000Z","true","false","#55bf3b","","","false","Churn Reason","2.0","false","Competition","false","churnreason2","false",""
"a0Di0000000Rx6LEAS","005i0000000aHqzAAE","false","Support","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-13T17:42:29.000Z","005i0000000aHqzAAE","2014-01-13T17:42:29.000Z","true","false","#df5352","","","false","Churn Reason","3.0","false","Support","false","churnreason3","false",""
"a0Di0000000Rx6MEAS","005i0000000aHqzAAE","false","Potential Downsell","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffcc00","","","false","Alert Type","2.0","true","Reductions","false","Downsell Alert","false",""
"a0Di0000000Rx6NEAS","005i0000000aHqzAAE","false","Pricing","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-13T17:42:05.000Z","005i0000000aHqzAAE","2014-01-13T17:42:05.000Z","true","false","#7799bf","","","false","Churn Reason","1.0","false","Pricing","false","churnreason1","false",""
"a0Di0000000Rx6OEAS","005i0000000aHqzAAE","false","Red","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ff0000","","","false","Alert Severity","1.0","true","Red","true","redalert","false",""
"a0Di0000000Rx6PEAS","005i0000000aHqzAAE","false","Yellow","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffff00","","","false","Alert Severity","2.0","true","Yellow","true","orangealert","false",""
"a0Di0000000Rx7aEAC","005i0000000aHqzAAE","false","Customer Commitment","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","false","false","#33ccff","","","false","Alert Type","5.0","false","Commitments","false","CustomerCommitments","false",""
"a0Di0000000Rx7bEAC","005i0000000aHqzAAE","false","Payments","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#00cd00","","","false","Milestones","14.0","false","PMT","false","Payments","false",""
"a0Di0000000Rx7LEAS","005i0000000aHqzAAE","false","3 - Internal Escalation","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-21T07:38:20.000Z","005i0000000aHqzAAE","2014-01-21T07:38:20.000Z","true","false","#FF0000","","","false","Alert Status","3.0","true","Internal Escala","false","Internal Escalation","false",""
"a0Di0000000Rx7MEAS","005i0000000aHqzAAE","false","Go Live!","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#008b00","","","false","Milestones","8.0","false","GL","false","golive","false",""
"a0Di0000000Rx7NEAS","005i0000000aHqzAAE","false","Renewal!","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ff3333","","","false","Milestones","9.0","false","Renewal!","false","milestonerenewal","false",""
"a0Di0000000Rx7OEAS","005i0000000aHqzAAE","false","Files Shared","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#ff3333","Adoption","","true","Adoption Measure Types","10.0","false","","false","Searches","false",""
"a0Di0000000Rx7PEAS","005i0000000aHqzAAE","false","Storage Used","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#ffff00","Adoption","","false","Adoption Measure Types","10.0","false","","false","DataUsage","false",""
"a0Di0000000Rx7QEAS","005i0000000aHqzAAE","false","File Downloads","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#ff33ff","Adoption","","true","Adoption Measure Types","10.0","false","","false","NoofDocumentsViewed","false",""
"a0Di0000000Rx7REAS","005i0000000aHqzAAE","false","File Uploads","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-08T18:05:13.000Z","005i0000000aHqzAAE","2013-11-08T18:05:13.000Z","false","true","#cccc00","Adoption","","false","Adoption Measure Types","10.0","false","","false","NofReportsGenerated","false",""
"a0Di0000000Rx7SEAS","005i0000000aHqzAAE","false","File Views","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#008b00","Adoption","","true","Adoption Measure Types","10.0","false","","false","PageViewsAvg","false",""
"a0Di0000000Rx7TEAS","005i0000000aHqzAAE","false","Total Support Tickets","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","false","false","#660066","CSAT","","false","Adoption Measure Types","30.0","false","Total Cases","false","ActiveDays","false",""
"a0Di0000000Rx7UEAS","005i0000000aHqzAAE","false","Software Upgrade","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#3333ff","","","false","Milestones","10.0","false","Upgrade","false","Software Upgrade","false",""
"a0Di0000000Rx7VEAS","005i0000000aHqzAAE","false","Last Login","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffffff","","","false","Milestones","11.0","false","Login","false","Last Login","false",""
"a0Di0000000Rx7WEAS","005i0000000aHqzAAE","false","Red","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#FF0000","","","false","Milestones","12.0","false","Red","false","Red","false",""
"a0Di0000000Rx7XEAS","005i0000000aHqzAAE","false","Green","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#00cd00","","","false","Milestones","13.0","false","Green","false","Green","false",""
"a0Di0000000Rx7YEAS","005i0000000aHqzAAE","false","Training Issue","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#FF0000","","","false","Alert Reason","8.0","false","","false","Training Issue","false",""
"a0Di0000000Rx7ZEAS","005i0000000aHqzAAE","false","Potential Overage","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#FF0000","","","false","Alert Type","4.0","true","Upsell","false","Overage","false",""
"a0Di0000000Rx7cEAC","005i0000000aHqzAAE","false","Payments","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","14.0","false","","false","Payments1","false",""
"a0Di0000000Rx7eEAC","005i0000000aHqzAAE","false","OptOut option","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ff6600","","","false","Milestones","15.0","false","Opt","false","Option","false",""
"a0Di0000000Rx7fEAC","005i0000000aHqzAAE","false","Usage %","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffb951","Adoption","","false","Adoption Measure Types","40.0","false","","false","UsagePercentage","false",""
"a0Di0000004EmCGEA0","005i0000000aHqzAAE","false","Phone Call","2013-09-05T05:50:33.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffff00","","","false","Milestones","19.0","false","Call","false","Phone_Call","false",""
"a0Di0000003Kw8eEAC","005i0000000aHqzAAE","false","Quarterly Business Review","2013-07-23T17:20:45.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffff00","","","false","Milestones","16.0","false","QBR","false","Quarterly_Business_Review","false",""
"a0Di0000001a4kHEAQ","005i0000000aHqzAAE","false","% Profit","2013-07-02T17:20:15.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#FF0000","Attributes","","false","Adoption Measure Types","90.0","false","","false","Profit_pct__c","false",""
"a0Di0000001YkeQEAS","005i0000000aHqzAAE","false","Adoption Issues","2013-06-03T22:05:13.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#33ccff","","","false","Alert Reason","9.0","false","Adoption","false","Adoption_Issues","false",""
"a0Di0000001ZuwREAS","005i0000000aHqzAAE","false","Support Tickets - Severe","2013-06-27T20:17:27.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","false","false","#FF0000","CSAT","","false","Adoption Measure Types","30.0","false","Severe Cases","false","support_tickets","false",""
"a0Di0000001a2qWEAQ","005i0000000aHqzAAE","false","Days since last renewal","2013-07-01T21:38:44.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#00ffcc","Attributes","","false","Adoption Measure Types","90.0","false","","false","LastReviewDays_c","false",""
"a0Di0000001a2qHEAQ","005i0000000aHqzAAE","false","Days since Go Live","2013-07-01T21:32:24.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#ff9900","Attributes","","false","Adoption Measure Types","90.0","false","","false","GoLiveDays","false",""
"a0Di0000001a2qMEAQ","005i0000000aHqzAAE","false","Active Months","2013-07-01T21:34:43.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#00ee00","Attributes","","false","Adoption Measure Types","90.0","false","","false","Active_Months_c","false",""
