Name,Industry,Account_ExternalId__c
Ocean Sports Wear,Consumer Services,Ocean Sports Wear
OKeeffes Inc,Manufacturing,OKeeffes Inc
P & C Food Markets Inc,Hospitality,P & C Food Markets Inc
P.S.C.,Consulting,P.S.C.
PacDevco Inc,Telecommunications,PacDevco Inc
Pace Press Inc,Hospitality,Pace Press Inc
Purity-Supreme Inc.,Manufacturing,Purity-Supreme Inc.
Pyramid Construction Inc.,Construction,Pyramid Construction Inc.
Quadrex Corp,Telecommunications,Quadrex Corp
Quaker Fashions,Healthcare,Quaker Fashions
Queensborough Public Library,Manufacturing,Queensborough Public Library
Quinn/Brein Inc,Manufacturing,Quinn/Brein Inc
Quota Systems Inc.,Construction,Quota Systems Inc.
R-F Industries Inc,Bakery Products,R-F Industries Inc
Raceway Engines,Technology,Raceway Engines
Raleigh Active Wear,Manufacturing,Raleigh Active Wear
Raleigh Co.,Technology,Raleigh Co.
Ralston Inc.,Transportation,Ralston Inc.
Sabena-Belgian World Airlines,Manufacturing,Sabena-Belgian World Airlines
Safeway Plumbing & Heating Inc,Consulting,Safeway Plumbing & Heating Inc
Saint Johns University Staten,Software & Programming,Saint Johns University Staten
sForce,,sForce
Star Markets,Food & Beverage,Star Markets
State House Active Wear,Service,State House Active Wear
Tapecon Inc,Service,Tapecon Inc
TDA Industries Inc,Medical Devices,TDA Industries Inc
TEAC Corp. of America,Service,TEAC Corp. of America
Tech Fire & Safety Company,Biotechnology,Tech Fire & Safety Company
Teradyne,Finance,Teradyne
UBAF Arab American Bank,Hospitality,UBAF Arab American Bank
UniAmerica Inc,Healthcare,UniAmerica Inc
Union Flights,Technology,Union Flights
United Artists Theater Circuit,Service,United Artists Theater Circuit
United Can Co.,Government,United Can Co.
United Oil & Gas Corp.,Energy,United Oil & Gas Corp.
"United Oil & Gas, Singapore",Energy,"United Oil & Gas, Singapore"
"United Oil & Gas, UK",Energy,"United Oil & Gas, UK"
University of Arizona,Education,University of Arizona
Veritas Software,Non-profit,Veritas Software
Via Systems,Telecommunications,Via Systems
Vicor,Non-profit,Vicor
Volga Boats,Technology,Volga Boats
Vyrex,Retail,Vyrex
Wallys World,Technology,Wallys World
Westend Dealers,Service,Westend Dealers
Westinghouse Corporation,Manufacturing,Westinghouse Corporation
Wind & Rain,Others,Wind & Rain
Wyse Corp.,Technology,Wyse Corp.
Xerox,Others,Xerox
Yesterday Productions Corp.,Manufacturing,Yesterday Productions Corp.
Ziff-Davis Labs,Manufacturing,Ziff-Davis Labs
Zoo Gift Shop,Manufacturing,Zoo Gift Shop
