Industry,ProductCode,ProductName,Date,EventTimeStamp,Active,PageViews,PageVisits,FilesDownloaded,NoofReportsRun,NoofRulesTriggered,NoofSchedulesCreated,Date1,EventTimeStamp1,Date2,EventTimeStamp2,Date3,EventTimeStamp3,NoofMeetingsAttended
Healthcare,CODE014,REPORTINGUI Account 14,-13,-13,TRUE,63,65,65,90,183,36,-135,,-82,-166,-44,-118,14
Retail,CODE015,REPORTINGUI Account 15,-14,-14,FALSE,135,,66,181,56,47,-56,-127,-98,,-111,-153,39
Energy,CODE001,REPORTINGUI Account 16,-15,-15,TRUE,40,182,146,110,168,39,-70,-115,-138,-171,-195,-44,3
Manufacturing,CODE002,REPORTINGUI Account 17,-16,-16,FALSE,196,99,93,143,124,55,-93,-8,-191,-190,-181,-87,71
Technology,CODE003,REPORTINGUI Account 18,-17,-17,TRUE,200,53,179,110,105,85,-176,-53,-179,-164,-135,-13,92
Chemicals,CODE004,REPORTINGUI Account 19,-18,-18,FALSE,27,44,185,128,161,56,-107,-34,-48,-197,-142,-28,157
Manufacturing,,REPORTINGUI Account 20,-19,-19,TRUE,34,65,1,92,162,5,-87,-138,-52,-110,,-111,49
Finance,CODE006,REPORTINGUI Account 21,-20,-20,FALSE,,53,19,142,146,30,-84,-36,-2,-82,-46,-34,
Consulting,CODE007,REPORTINGUI Account 22,-21,-21,TRUE,48,31,53,,116,163,-112,-68,,-136,-143,-37,164
Government,CODE008,REPORTINGUI Account 23,-22,-22,FALSE,130,194,137,176,77,121,-103,-9,-67,-166,-157,-64,80
Manufacturing,CODE009,REPORTINGUI Account 24,-23,-23,TRUE,79,75,15,40,72,,-35,-123,-81,-52,-37,-58,148
Shipping,CODE010,REPORTINGUI Account 25,-24,-24,FALSE,191,45,47,69,26,147,-66,-100,-84,-122,-155,-160,69
Food & Beverage,CODE011,REPORTINGUI Account 26,-25,-25,FALSE,119,22,47,27,24,172,-28,-5,-77,-48,-194,-53,129
Healthcare,CODE012,REPORTINGUI Account 27,-26,-26,TRUE,149,179,,165,97,108,-139,-34,-149,-193,,-96,96
Electronics,CODE013,REPORTINGUI Account 28,-27,-27,FALSE,58,79,166,152,,126,-13,-68,-31,-84,-157,-186,54
Transportation,CODE014,REPORTINGUI Account 29,-28,-28,TRUE,39,190,102,171,161,75,-183,-102,-20,-43,-34,-30,114
Apparel,CODE015,REPORTINGUI Account 30,-29,,FALSE,36,2,163,187,154,140,-10,-38,-161,-34,-23,-131,150
Service,CODE001,REPORTINGUI Account 31,-30,-30,TRUE,124,,128,63,21,16,-153,-167,-199,-84,-16,-42,185
,CODE002,REPORTINGUI Account 32,-31,-31,FALSE,139,28,99,83,52,91,-134,-36,-67,-9,-157,,75
Finance,CODE003,REPORTINGUI Account 33,-32,-32,TRUE,170,75,129,141,190,91,-48,-16,-97,-53,-94,-37,49
Manufacturing,CODE004,REPORTINGUI Account 34,-33,-33,FALSE,10,67,78,131,168,,-158,-121,-16,-13,-78,-157,196
Manufacturing,CODE005,REPORTINGUI Account 35,-34,-34,TRUE,,132,120,190,185,146,-59,-172,-5,,-163,-12,176
Chemicals,CODE006,REPORTINGUI Account 36,-35,-35,FALSE,23,138,41,162,70,16,,-174,-22,-46,-90,-177,143
Government,CODE007,REPORTINGUI Account 37,-36,-36,TRUE,90,97,,130,71,148,-100,-18,-47,-136,-51,-19,17
Machinery,CODE008,REPORTINGUI Account 38,-37,-37,FALSE,88,45,170,27,50,29,-79,-157,-35,-108,-96,-150,77
Manufacturing,CODE009,REPORTINGUI Account 39,-38,-38,TRUE,166,188,59,34,21,78,-156,-72,,-94,-180,-124,195
Biotechnology,CODE010,REPORTINGUI Account 40,-39,-39,FALSE,24,168,158,16,82,33,-46,-120,-192,-103,-27,-83,168
Hospitality,CODE011,REPORTINGUI Account 41,-40,-40,TRUE,155,144,20,,188,48,-8,-42,-168,-64,-53,-9,152
Education,CODE012,REPORTINGUI Account 42,-41,-41,FALSE,85,74,27,149,118,142,-159,-102,-144,-66,-171,-190,99
Medical & Dental Laboratories,CODE013,REPORTINGUI Account 43,-42,-42,TRUE,89,,123,159,160,181,-91,,-113,-120,-117,-125,182
Medical Products,CODE014,REPORTINGUI Account 44,-43,-43,FALSE,68,117,48,122,,78,-65,-112,-178,-21,-51,-63,181
Agriculture,CODE015,REPORTINGUI Account 45,-44,-44,FALSE,197,103,35,67,92,72,-55,-81,-107,-79,-137,-170,89
Healthcare,CODE001,REPORTINGUI Account 46,-45,-45,TRUE,81,36,151,119,181,188,-143,-40,-12,-65,-20,-89,50
Retail,CODE002,REPORTINGUI Account 47,-46,-46,FALSE,151,85,106,111,83,9,-135,-147,-59,-45,-83,-23,
Service,CODE003,REPORTINGUI Account 48,-47,-47,TRUE,119,19,73,176,121,,-43,-56,-180,-83,-5,-89,123
,CODE004,REPORTINGUI Account 49,-48,-48,FALSE,1,97,,54,141,50,-138,-152,-112,-21,-70,-40,136
Finance,CODE005,REPORTINGUI Account 50,-49,-49,TRUE,2,141,141,24,15,37,-136,-78,-94,-31,-146,-162,177
Education,CODE006,REPORTINGUI Account 51,-50,-50,FALSE,189,17,66,13,23,4,-88,-73,-79,-142,-141,-192,46
Manufacturing,CODE007,REPORTINGUI Account 52,-51,-51,TRUE,,148,27,179,80,17,-51,-42,-47,-121,-79,-80,125
Food & Beverage,CODE008,REPORTINGUI Account 53,-52,-52,FALSE,124,164,99,157,146,109,-99,-188,-120,-56,-62,-111,162
Retail,CODE009,REPORTINGUI Account 54,-53,-53,,172,181,75,106,179,48,-164,-104,-48,-90,-29,-144,113
Industrial Manufacturing & Services,CODE010,REPORTINGUI Account 55,-54,-54,FALSE,190,,195,164,37,161,,-64,-35,-60,-82,-109,22
Insurance,CODE011,REPORTINGUI Account 56,-55,-55,TRUE,59,133,46,146,191,176,-146,-76,-189,-96,-90,-36,27
Healthcare,CODE012,REPORTINGUI Account 57,-56,-56,FALSE,179,56,84,136,166,187,-44,-136,-14,-2,-191,-78,161
Retail,CODE013,REPORTINGUI Account 58,-57,-57,TRUE,145,125,171,109,36,165,-159,-148,-24,-150,-45,-54,60
Healthcare,CODE014,REPORTINGUI Account 59,-58,-58,FALSE,132,103,190,,38,,-16,-114,-39,-4,-31,-84,15
Manufacturing,CODE015,REPORTINGUI Account 60,-59,-59,TRUE,90,76,56,133,131,174,-196,,-161,,-98,,57
Utilities,CODE001,REPORTINGUI Account 61,-60,-60,FALSE,56,78,7,71,80,50,-84,-57,-39,-27,-63,-146,121
Engineering,CODE002,REPORTINGUI Account 62,-61,-61,TRUE,107,184,42,12,94,173,-151,-141,-33,-33,-84,-134,185
Oil & Gas & Energy,CODE003,REPORTINGUI Account 63,-62,-62,FALSE,24,82,49,199,15,24,-35,-107,-144,-61,-60,-81,101
,CODE004,REPORTINGUI Account 64,-63,-63,FALSE,53,176,54,86,199,83,-47,-1,-101,-55,-184,-113,40
Hospitality,CODE005,REPORTINGUI Account 65,-64,-64,TRUE,4,57,24,182,178,10,-13,-16,,-90,-81,-81,193
Retail,CODE006,REPORTINGUI Account 66,-65,-65,FALSE,162,31,38,15,,114,-150,-85,-141,-43,,-80,80
Non-profit,CODE007,REPORTINGUI Account 67,-66,-66,TRUE,47,159,172,12,119,36,-47,-195,-107,-159,-104,-99,65
Food & Beverage,CODE008,REPORTINGUI Account 68,-67,-67,FALSE,33,167,134,3,102,24,-197,-13,-99,-192,-169,-147,
Agriculture,CODE009,REPORTINGUI Account 69,-68,-68,TRUE,58,143,119,190,81,170,-131,-94,-55,-97,-97,-150,75
Finance,CODE010,REPORTINGUI Account 70,-69,-69,FALSE,183,68,173,110,150,,-45,-172,-75,-140,-127,-166,179
Oil & Gas Exploration & Production,CODE011,REPORTINGUI Account 71,-70,-70,TRUE,,170,81,80,162,33,-73,-32,-72,-94,-144,-83,85
Manufacturing,CODE012,REPORTINGUI Account 72,-71,-71,FALSE,63,54,148,123,1,65,-137,-120,-170,-164,-10,-32,13
Manufacturing,CODE013,REPORTINGUI Account 73,-72,-72,TRUE,117,141,70,125,148,83,-125,-187,-145,-80,-110,-183,176
Manufacturing,CODE014,REPORTINGUI Account 74,-73,-73,FALSE,151,64,147,109,123,141,-90,-90,-12,-60,-76,-48,49
Government,CODE015,REPORTINGUI Account 75,-74,-74,TRUE,18,,48,81,86,139,-26,-60,-102,-146,-89,-128,193
Service,CODE001,REPORTINGUI Account 76,-75,-75,FALSE,133,63,104,31,77,143,-34,-63,-123,-88,-1,-90,123
Healthcare,CODE002,REPORTINGUI Account 77,-76,-76,,178,76,167,,187,183,-5,-15,-71,-166,-189,-3,61
Manufacturing,CODE003,REPORTINGUI Account 78,-77,-77,FALSE,60,40,149,48,32,177,-115,-171,-136,-93,-137,-101,114
,CODE004,REPORTINGUI Account 79,-78,-78,TRUE,63,13,,109,64,174,-92,-174,-59,-129,-102,,143
Manufacturing,,REPORTINGUI Account 80,-79,-79,FALSE,21,97,8,180,196,1,-154,-17,-43,-133,-196,-126,16
Hospitality,CODE006,REPORTINGUI Account 81,-80,-80,TRUE,12,89,6,175,101,151,-93,-83,-16,-155,-188,-173,55
Consulting,CODE007,REPORTINGUI Account 82,-81,-81,FALSE,99,116,152,59,190,117,-190,-46,-98,-80,-106,-37,127
Telecommunications,CODE008,REPORTINGUI Account 83,-82,-82,FALSE,22,136,184,36,91,61,-47,-5,-144,-149,-85,-78,113
Hospitality,CODE009,REPORTINGUI Account 84,-83,-83,TRUE,57,192,33,142,40,,-90,-133,-116,-171,-80,-165,16
Manufacturing,CODE010,REPORTINGUI Account 85,-84,-84,FALSE,200,169,37,168,9,70,-164,-81,-168,-8,-189,-27,41
Construction,CODE011,REPORTINGUI Account 86,-85,-85,TRUE,19,13,199,15,174,139,-189,-139,-135,-57,-183,-78,107
Telecommunications,CODE012,REPORTINGUI Account 87,-86,-86,FALSE,172,54,117,55,6,99,-150,-103,-35,-110,-46,-108,
Healthcare,CODE013,REPORTINGUI Account 88,-87,-87,TRUE,105,91,143,64,165,149,-77,-182,-111,-71,-188,-54,28
Manufacturing,CODE014,REPORTINGUI Account 89,-88,-88,FALSE,15,10,179,164,172,55,-52,-99,-127,-189,-121,-185,111
Manufacturing,CODE015,REPORTINGUI Account 90,-89,-89,TRUE,163,113,170,35,196,104,-196,-49,-146,-112,-62,-144,10
Construction,CODE001,REPORTINGUI Account 91,-90,-90,FALSE,123,69,92,131,133,29,-11,-98,-78,-15,-115,-104,90
Bakery Products,CODE002,REPORTINGUI Account 92,-91,-91,TRUE,76,17,36,58,,113,-129,-6,-44,-166,,-104,112
Technology,CODE003,REPORTINGUI Account 93,-92,-92,FALSE,53,,200,184,146,88,-3,-189,-152,-75,-23,-14,14
,CODE004,REPORTINGUI Account 94,-93,-93,TRUE,80,174,143,170,165,120,-176,-27,-8,-168,-57,-162,146
Technology,CODE005,REPORTINGUI Account 95,-94,-94,FALSE,66,48,165,32,157,48,-103,-80,-100,-2,-73,-198,174
Transportation,CODE006,REPORTINGUI Account 96,-95,-95,TRUE,64,158,143,200,42,32,-82,-32,-133,-84,-184,-53,67
Manufacturing,CODE007,REPORTINGUI Account 97,,-96,FALSE,120,177,157,130,13,64,-108,-79,-23,,-54,-90,158
Consulting,CODE008,REPORTINGUI Account 98,-97,-97,TRUE,11,7,42,151,191,80,-173,-152,-170,-33,-154,-22,49
Software & Programming,CODE009,REPORTINGUI Account 99,-98,-98,FALSE,116,49,106,71,138,180,-196,-35,-10,-155,-193,-172,130
,CODE010,REPORTINGUI Account 100,-99,-99,TRUE,,152,152,53,127,,-165,-194,-141,-18,-178,-121,
Food & Beverage,CODE011,REPORTINGUI Account 101,-100,-100,FALSE,63,24,199,104,2,64,-136,-161,-28,-111,-46,-174,107
Service,CODE012,REPORTINGUI Account 102,-101,-101,FALSE,154,3,75,109,169,3,-80,-74,-137,-90,-195,-86,47
Service,CODE013,REPORTINGUI Account 103,-102,-102,TRUE,61,38,,27,175,82,-113,-141,-142,-123,-196,-81,46
Medical Devices,,REPORTINGUI Account 104,-103,-103,FALSE,193,88,180,13,133,128,-89,-50,,-90,-54,-108,85
Service,CODE015,REPORTINGUI Account 105,-104,,TRUE,61,120,39,166,48,156,-181,-188,-24,-145,-95,-190,5
Biotechnology,CODE001,REPORTINGUI Account 106,-105,-105,FALSE,2,23,53,165,,112,-47,-18,-142,-135,-123,-55,29
Finance,CODE002,REPORTINGUI Account 107,-106,-106,TRUE,14,173,99,170,117,180,-17,-116,-29,-86,-101,-185,177
Hospitality,CODE003,REPORTINGUI Account 108,-107,-107,FALSE,33,109,74,164,108,164,-57,,-165,-48,-57,-85,153
Healthcare,CODE004,REPORTINGUI Account 109,-108,-108,TRUE,58,28,180,49,108,71,-172,-158,-174,-144,-105,-128,158
Technology,CODE005,REPORTINGUI Account 110,-109,-109,FALSE,60,142,108,190,60,167,-74,-177,-162,-157,-169,-24,184
Service,CODE006,REPORTINGUI Account 111,-110,-110,TRUE,58,185,144,79,145,114,-42,-129,-101,-28,-82,-68,51
Government,CODE007,REPORTINGUI Account 112,-111,-111,FALSE,,121,161,167,61,99,,-190,-89,-148,-142,-68,32
Energy,CODE008,REPORTINGUI Account 113,-112,-112,TRUE,49,158,13,103,80,115,-30,-196,-81,-183,-172,-199,9
Energy,CODE009,REPORTINGUI Account 114,-113,-113,FALSE,31,150,91,28,36,72,-132,-100,-34,-101,-175,-7,135
Energy,CODE010,REPORTINGUI Account 115,-114,-114,TRUE,198,132,55,150,106,100,-96,-182,-87,-126,-94,-98,11
Education,CODE011,REPORTINGUI Account 116,-115,-115,FALSE,110,112,125,52,,83,-12,-36,-9,-19,-131,-154,
Non-profit,CODE012,REPORTINGUI Account 117,-116,-116,TRUE,124,149,,197,39,187,-100,-101,-170,-38,-188,-146,164
Telecommunications,CODE013,REPORTINGUI Account 118,-117,-117,FALSE,187,113,162,102,161,11,-136,-148,-71,-26,-140,-88,95
Non-profit,CODE014,REPORTINGUI Account 119,-118,-118,TRUE,112,38,97,106,140,59,-120,-13,-158,-92,-50,-46,121
Technology,CODE015,REPORTINGUI Account 120,-119,-119,FALSE,35,177,130,46,158,27,-115,-153,-132,-137,-26,-166,109
Retail,CODE001,REPORTINGUI Account 121,-120,-120,FALSE,148,190,162,55,146,169,-93,-78,-192,-92,-117,-11,16
Technology,CODE002,REPORTINGUI Account 122,-121,-121,,7,87,65,76,110,192,,-161,-35,-187,-17,-80,119
Service,CODE003,REPORTINGUI Account 123,-122,-122,FALSE,2,114,89,195,171,,-132,-70,-9,-127,-57,-164,19
Manufacturing,CODE004,REPORTINGUI Account 124,-123,-123,TRUE,106,150,80,109,13,121,-103,-69,-109,-22,-170,-166,100
Others,CODE005,REPORTINGUI Account 125,-124,,FALSE,9,163,30,146,34,32,-34,-90,-142,-100,-177,-62,200
Technology,CODE006,REPORTINGUI Account 126,-125,-125,TRUE,200,90,200,93,109,176,-114,-159,-67,-70,-71,-184,65
Others,CODE007,REPORTINGUI Account 127,-126,-126,FALSE,49,61,10,185,103,177,-73,-125,-82,-188,-154,-40,186
Manufacturing,CODE008,REPORTINGUI Account 128,-127,-127,TRUE,115,140,117,92,195,168,-182,-161,-171,-165,-9,-102,106
Manufacturing,CODE009,REPORTINGUI Account 129,-128,-128,FALSE,103,131,125,10,130,58,-151,-52,-148,-157,-128,-128,34
Manufacturing,CODE010,REPORTINGUI Account 130,-129,-129,TRUE,,35,168,82,166,172,-123,-53,-83,-139,-14,-108,
Distribution,CODE011,REPORTINGUI Account 131,-130,-130,FALSE,163,154,116,55,198,94,-190,-134,-109,-55,-194,-29,25
Oil & Gas & Energy,CODE012,REPORTINGUI Account 132,-131,-131,TRUE,131,83,53,20,130,152,-76,-109,-65,-51,-49,-42,103
Technology,CODE013,REPORTINGUI Account 133,-132,-132,,178,47,102,134,20,191,-172,-16,-85,-6,-103,-185,96
Others,CODE014,REPORTINGUI Account 134,-133,-133,TRUE,5,114,121,33,124,157,-15,-177,-45,-133,-2,-16,67
Manufacturing,CODE015,REPORTINGUI Account 135,-134,-134,FALSE,136,9,68,79,,139,-165,-142,-94,-114,-105,-90,98
Finance,CODE001,REPORTINGUI Account 136,-135,-135,TRUE,194,187,45,185,145,137,,-167,-24,-62,-129,-13,145
Technology,CODE002,REPORTINGUI Account 137,-136,-136,FALSE,26,2,1,70,18,35,-133,-86,-120,-34,-116,-189,29
Technology,CODE003,REPORTINGUI Account 138,-137,-137,TRUE,191,143,188,148,6,125,-19,-31,-22,-107,-97,-148,90
Healthcare,CODE004,REPORTINGUI Account 139,-138,-138,FALSE,104,132,176,2,156,46,-183,-122,-92,-176,-111,-106,45
Chemicals,CODE005,REPORTINGUI Account 140,,-139,FALSE,138,199,10,170,113,4,-71,-118,-177,-66,-109,-192,194
Apparel,CODE006,REPORTINGUI Account 141,-140,-140,TRUE,120,98,178,99,134,,-183,-65,-140,-31,-84,-116,158
Medical Equipment & Supplies,CODE007,REPORTINGUI Account 142,-141,-141,FALSE,161,164,98,146,193,9,-88,-141,-45,-172,-50,-153,90
Manufacturing,CODE008,REPORTINGUI Account 143,-142,-142,TRUE,194,152,56,17,79,85,-53,-146,-189,-23,-135,-151,140
Healthcare,CODE009,REPORTINGUI Account 144,-143,-143,FALSE,37,169,75,80,88,2,-132,-7,-91,-12,-175,-5,39
Retail,CODE010,REPORTINGUI Account 145,-144,-144,TRUE,119,64,111,140,112,97,-170,-73,-154,-188,-170,-124,77
Energy,CODE011,REPORTINGUI Account 146,-145,-145,FALSE,180,1,80,58,167,75,-147,-77,-42,-196,-123,-74,50
Manufacturing,CODE012,REPORTINGUI Account 147,-146,-146,TRUE,86,28,200,28,133,28,-85,-6,-6,-187,-39,-78,62
Technology,CODE013,REPORTINGUI Account 148,-147,-147,FALSE,174,23,160,106,126,160,-25,-180,-33,-128,-194,-92,161
Chemicals,CODE014,REPORTINGUI Account 149,-148,-148,TRUE,99,91,161,200,40,110,-177,-188,-153,-164,-79,-86,130
Manufacturing,CODE015,REPORTINGUI Account 150,-149,-149,FALSE,138,76,166,174,75,54,-11,-2,-30,-99,-170,-97,110
Finance,CODE001,REPORTINGUI Account 151,-150,-150,TRUE,168,151,156,119,82,198,,-84,-169,-58,-89,-110,
Consulting,CODE002,REPORTINGUI Account 152,-151,-151,FALSE,45,45,13,94,153,1,-172,-133,-93,-2,-165,-82,69
Government,CODE003,REPORTINGUI Account 153,-152,-152,TRUE,59,9,3,72,,149,-126,-2,-180,-1,-161,-91,176
Manufacturing,CODE004,REPORTINGUI Account 154,-153,-153,,199,183,172,70,164,90,-132,-177,-7,-17,-15,-135,169
Shipping,CODE005,REPORTINGUI Account 155,-154,-154,TRUE,194,15,30,102,52,109,-143,-178,-22,-139,-178,-37,187
Food & Beverage,CODE006,REPORTINGUI Account 156,-155,-155,FALSE,76,168,170,47,147,120,-80,-171,-151,-91,-79,-96,152
Healthcare,CODE007,REPORTINGUI Account 157,,-156,TRUE,161,93,10,179,162,4,-198,-162,-22,-6,-120,-50,191
Electronics,CODE008,REPORTINGUI Account 158,-157,-157,FALSE,28,112,65,2,6,77,-24,-86,-53,-68,-30,-121,47
Transportation,CODE009,REPORTINGUI Account 159,-158,-158,FALSE,144,182,192,78,90,83,-1,-76,-38,-131,-127,-134,7
Apparel,CODE010,REPORTINGUI Account 160,-159,-159,TRUE,178,164,160,36,3,177,-124,-138,-187,-39,-96,-31,90
Service,CODE011,REPORTINGUI Account 161,-160,,FALSE,27,197,113,55,199,200,-3,-40,-95,-112,-10,-47,54
"Television Cable, & Broadcast Network",CODE012,REPORTINGUI Account 162,-161,-161,TRUE,86,,33,167,96,,-184,-122,-23,-156,-98,-7,114
Finance,CODE013,REPORTINGUI Account 163,-162,-162,FALSE,181,17,96,73,159,27,-118,,-126,-185,-18,-190,194
Manufacturing,CODE014,REPORTINGUI Account 164,-163,-163,TRUE,19,48,48,39,61,138,-64,-75,-111,-132,-178,-171,154
Manufacturing,CODE015,REPORTINGUI Account 165,-164,-164,FALSE,189,127,14,179,100,93,-79,-193,-47,-80,-47,-38,62
Chemicals,CODE001,REPORTINGUI Account 166,-165,-165,TRUE,109,178,124,134,27,116,-41,-192,-50,-14,-109,-123,60
Government,CODE002,REPORTINGUI Account 167,-166,-166,,16,114,125,86,108,55,-151,-182,-103,-127,-24,-158,179
Machinery,CODE003,REPORTINGUI Account 168,-167,-167,TRUE,,190,14,193,,41,-16,-10,-173,-92,-126,-194,97
Manufacturing,CODE004,REPORTINGUI Account 169,-168,-168,FALSE,185,141,69,52,162,93,-155,-153,-36,-127,-136,-161,158
Biotechnology,CODE005,REPORTINGUI Account 170,-169,-169,TRUE,61,154,189,150,118,155,-122,-89,-151,-68,-52,-163,98
Hospitality,CODE006,REPORTINGUI Account 171,-170,-170,FALSE,162,103,129,21,191,66,-139,-81,-178,-110,-80,-1,96
Education,CODE007,REPORTINGUI Account 172,-171,-171,TRUE,119,28,71,170,31,18,-69,-155,-75,-125,-173,-135,183
Medical & Dental Laboratories,CODE008,REPORTINGUI Account 173,,-172,FALSE,8,84,130,11,159,177,-84,-5,-93,-11,-133,-84,150
Medical Products,CODE009,REPORTINGUI Account 174,-173,-173,TRUE,57,92,5,8,23,150,-79,-187,-45,-180,-129,-197,23
Agriculture,CODE010,REPORTINGUI Account 175,-174,-174,FALSE,4,131,199,15,175,26,-64,-179,-139,-189,-159,-10,102
Healthcare,CODE011,REPORTINGUI Account 176,-175,-175,TRUE,146,93,22,169,9,138,-28,-28,-171,-34,-86,-2,
Retail,CODE012,REPORTINGUI Account 177,-176,-176,FALSE,8,50,53,98,144,61,-11,,,-181,-136,-68,80
Service,CODE013,REPORTINGUI Account 178,-177,-177,,168,13,85,189,70,33,-44,-71,-136,-167,-193,-25,122
Fish & Seafood,CODE014,REPORTINGUI Account 179,-178,-178,TRUE,155,140,135,64,114,192,-86,-40,-131,-169,-78,-126,64
Finance,CODE015,REPORTINGUI Account 180,-179,-179,FALSE,78,36,156,28,66,97,-100,-179,-22,-21,-123,-141,105
Education,CODE001,REPORTINGUI Account 181,-180,,TRUE,140,84,167,66,77,72,-115,-45,-84,,-108,-166,69
Manufacturing,CODE002,REPORTINGUI Account 182,-181,-181,FALSE,1,109,87,173,174,180,-123,-1,-84,-145,-176,,35
Food & Beverage,CODE003,REPORTINGUI Account 183,-182,-182,TRUE,22,9,,41,126,111,-172,-49,-60,-77,-74,-72,27
Retail,CODE004,REPORTINGUI Account 184,-183,-183,FALSE,109,172,179,161,6,49,-69,-135,-169,-33,-172,-91,11
Industrial Manufacturing & Services,CODE005,REPORTINGUI Account 185,-184,-184,TRUE,66,11,8,35,40,23,,-63,-167,-173,-75,-41,91
Insurance,CODE006,REPORTINGUI Account 186,-185,-185,FALSE,153,172,97,18,174,17,-50,-119,-122,-140,-6,-194,191
Healthcare,CODE007,REPORTINGUI Account 187,-186,-186,TRUE,71,93,16,8,145,141,-182,-192,-170,-97,-22,-161,30
Retail,CODE008,REPORTINGUI Account 188,-187,-187,FALSE,83,16,90,7,72,79,-104,-1,-127,-136,-196,-120,39
Healthcare,CODE009,REPORTINGUI Account 189,-188,-188,,7,93,15,85,44,6,-168,-72,-116,-75,,-148,181
Manufacturing,CODE010,REPORTINGUI Account 190,,-189,FALSE,40,80,112,109,123,6,-79,-97,-199,-180,-134,-100,107
Utilities,CODE011,REPORTINGUI Account 191,-190,-190,TRUE,92,39,192,125,91,29,-68,-43,,-134,-192,-116,45
Engineering,CODE012,REPORTINGUI Account 192,-191,-191,FALSE,52,141,85,103,200,107,-34,-3,-131,-168,-44,-186,65
Oil & Gas & Energy,CODE013,REPORTINGUI Account 193,-192,-192,TRUE,,30,92,103,83,110,-159,-69,-34,-62,-159,-185,
Service,CODE014,REPORTINGUI Account 194,-193,-193,FALSE,7,39,2,181,96,28,-133,-140,-156,-173,-140,-150,154
Hospitality,CODE015,REPORTINGUI Account 195,-194,-194,TRUE,162,176,39,52,138,171,-37,-30,-58,-110,-147,-53,200
Retail,CODE001,REPORTINGUI Account 196,-195,-195,FALSE,156,34,9,,91,51,-66,-179,-84,-32,-113,,167
Non-profit,CODE002,REPORTINGUI Account 197,-196,-196,FALSE,188,180,130,170,141,95,-134,-49,-46,-135,-65,-67,9
Food & Beverage,CODE003,REPORTINGUI Account 198,-197,-197,TRUE,3,80,69,101,147,193,-37,-29,-6,-172,-118,-42,177
Agriculture,CODE004,REPORTINGUI Account 199,-198,-198,FALSE,16,5,24,143,5,22,-156,-127,-145,-162,-83,-68,154
Finance,CODE005,REPORTINGUI Account 200,-199,-199,TRUE,133,61,42,42,159,122,-135,-115,-157,-16,-55,-59,174
