"Customer","Stage","Status","Comments","OriginalContractDate__c","NextRenewalDate__c"
"Vyrex","stage1","InactiveCustomer","Vyrex - stage1 - InactiveCustomer",,
"Wallys World","stage2","ActiveCustomer","Wallys World - stage2 - ActiveCustomer",,
"Westend Dealers","stage3","InactiveCustomer","Westend Dealers - stage3 - InactiveCustomer",,
"Westinghouse Corporation","stage4","ActiveCustomer","Westinghouse Corporation - stage4 - ActiveCustomer",,
"Wind & Rain","stage5","InactiveCustomer","Wind & Rain - stage5 - InactiveCustomer",,
"Wyse Corp.","stage6","ActiveCustomer","Wyse Corp. - stage6 - ActiveCustomer",,
"Xerox","stage1","InactiveCustomer","Xerox - stage1 - InactiveCustomer",,
"Yesterday Productions Corp.","stage2","ActiveCustomer","Yesterday Productions Corp. - stage2 - ActiveCustomer",,
"Ziff-Davis Labs","stage3","InactiveCustomer","Ziff-Davis Labs - stage3 - InactiveCustomer",,
"Zoo Gift Shop","stage4","ActiveCustomer","Zoo Gift Shop - stage4 - ActiveCustomer",,
"Test acc 0","stage1","InactiveCustomer","Test acc 0 - stage1 - InactiveCustomer","2011-01-11","2014-02-14"
"Test acc 1","stage2","ActiveCustomer","Test acc 1 - stage2 - ActiveCustomer","2011-02-11","2014-02-14"
"Test acc 10","stage3","InactiveCustomer","Test acc 10 - stage3 - InactiveCustomer","2011-03-11","2014-02-14"
"Test acc 100","stage4","ActiveCustomer","Test acc 100 - stage4 - ActiveCustomer","2011-04-11","2014-02-14"
"Test acc 1000","stage5","InactiveCustomer","Test acc 1000 - stage5 - InactiveCustomer","2011-05-11","2014-02-14"
"Test acc 1001","stage6","ActiveCustomer","Test acc 1001 - stage6 - ActiveCustomer","2011-06-11","2014-02-14"
"Test acc 1002","stage1","InactiveCustomer","Test acc 1002 - stage1 - InactiveCustomer","2011-07-11","2014-02-14"
"Test acc 1003","stage2","ActiveCustomer","Test acc 1003 - stage2 - ActiveCustomer","2011-08-11","2014-02-14"
"Test acc 1004","stage3","InactiveCustomer","Test acc 1004 - stage3 - InactiveCustomer","2011-09-11","2014-02-14"
"Test acc 1005","stage4","ActiveCustomer","Test acc 1005 - stage4 - ActiveCustomer","2011-10-11","2014-02-14"
"Test acc 1006","stage5","InactiveCustomer","Test acc 1006 - stage5 - InactiveCustomer","2011-11-11","2014-02-14"
"Test acc 1007","stage6","ActiveCustomer","Test acc 1007 - stage6 - ActiveCustomer","2011-12-11","2014-02-14"
"Test acc 1008","stage1","InactiveCustomer","Test acc 1008 - stage1 - InactiveCustomer","2011-01-11","2014-02-14"
"Test acc 1009","stage2","ActiveCustomer","Test acc 1009 - stage2 - ActiveCustomer","2011-02-11","2014-02-14"
"Test acc 101","stage3","InactiveCustomer","Test acc 101 - stage3 - InactiveCustomer","2011-03-11","2014-02-14"
"Test acc 1010","stage4","ActiveCustomer","Test acc 1010 - stage4 - ActiveCustomer","2011-04-11","2014-02-14"
"Test acc 1011","stage5","InactiveCustomer","Test acc 1011 - stage5 - InactiveCustomer","2011-05-11","2014-02-14"
"Test acc 1012","stage6","ActiveCustomer","Test acc 1012 - stage6 - ActiveCustomer","2011-06-11","2014-02-14"
"Test acc 1013","stage1","InactiveCustomer","Test acc 1013 - stage1 - InactiveCustomer","2011-07-11","2014-02-14"
"Test acc 1014","stage2","ActiveCustomer","Test acc 1014 - stage2 - ActiveCustomer","2011-08-11","2014-02-14"
"Test acc 1015","stage3","InactiveCustomer","Test acc 1015 - stage3 - InactiveCustomer","2011-09-11","2014-02-14"
"Test acc 1016","stage4","ActiveCustomer","Test acc 1016 - stage4 - ActiveCustomer","2011-10-11","2014-02-14"
"Test acc 1017","stage5","InactiveCustomer","Test acc 1017 - stage5 - InactiveCustomer","2011-11-11","2014-02-14"
"Test acc 1018","stage6","ActiveCustomer","Test acc 1018 - stage6 - ActiveCustomer","2011-12-11","2014-02-14"
"Test acc 1019","stage1","InactiveCustomer","Test acc 1019 - stage1 - InactiveCustomer","2011-01-11","2014-02-14"
"Test acc 102","stage2","ActiveCustomer","Test acc 102 - stage2 - ActiveCustomer","2011-02-11","2014-02-14"
"Test acc 1020","stage3","InactiveCustomer","Test acc 1020 - stage3 - InactiveCustomer","2011-03-11","2014-02-14"
"Test acc 1021","stage4","ActiveCustomer","Test acc 1021 - stage4 - ActiveCustomer","2011-04-11","2014-02-14"
"Test acc 1022","stage5","InactiveCustomer","Test acc 1022 - stage5 - InactiveCustomer","2011-05-11","2014-02-14"
"Test acc 1023","stage6","ActiveCustomer","Test acc 1023 - stage6 - ActiveCustomer","2011-06-11","2014-02-14"
"Test acc 1024","stage1","InactiveCustomer","Test acc 1024 - stage1 - InactiveCustomer","2011-07-11","2014-02-14"
"Test acc 1025","stage2","ActiveCustomer","Test acc 1025 - stage2 - ActiveCustomer","2010-01-10","2014-02-14"
"Test acc 1026","stage3","InactiveCustomer","Test acc 1026 - stage3 - InactiveCustomer","2010-02-10","2014-02-14"
"Test acc 1027","stage4","ActiveCustomer","Test acc 1027 - stage4 - ActiveCustomer","2010-03-10","2014-02-14"
"Test acc 1028","stage5","InactiveCustomer","Test acc 1028 - stage5 - InactiveCustomer","2010-04-10","2014-02-14"
"Test acc 1029","stage6","ActiveCustomer","Test acc 1029 - stage6 - ActiveCustomer","2010-05-10","2014-02-14"
"Test acc 103","stage1","InactiveCustomer","Test acc 103 - stage1 - InactiveCustomer","2010-06-10","2014-02-14"
"Test acc 1030","stage2","ActiveCustomer","Test acc 1030 - stage2 - ActiveCustomer","2010-07-10","2014-02-14"
"Test acc 1031","stage3","InactiveCustomer","Test acc 1031 - stage3 - InactiveCustomer","2010-08-10","2014-02-14"
"Test acc 1032","stage4","ActiveCustomer","Test acc 1032 - stage4 - ActiveCustomer","2010-09-10","2014-02-14"
"Test acc 1033","stage5","InactiveCustomer","Test acc 1033 - stage5 - InactiveCustomer","2010-10-10","2014-02-14"
"Test acc 1034","stage6","ActiveCustomer","Test acc 1034 - stage6 - ActiveCustomer","2010-11-10","2014-02-14"
"Test acc 1035","stage1","InactiveCustomer","Test acc 1035 - stage1 - InactiveCustomer","2010-12-10","2014-02-14"
"Test acc 1036","stage2","ActiveCustomer","Test acc 1036 - stage2 - ActiveCustomer","2010-01-10","2014-02-14"
"Test acc 1037","stage3","InactiveCustomer","Test acc 1037 - stage3 - InactiveCustomer","2010-02-10","2014-02-14"
"Test acc 1038","stage4","ActiveCustomer","Test acc 1038 - stage4 - ActiveCustomer","2010-03-10","2014-02-14"
"Test acc 1039","stage5","InactiveCustomer","Test acc 1039 - stage5 - InactiveCustomer","2010-04-10","2014-02-14"
"Test acc 104","stage6","ActiveCustomer","Test acc 104 - stage6 - ActiveCustomer","2010-05-10","2014-02-14"
"Test acc 1040","stage1","InactiveCustomer","Test acc 1040 - stage1 - InactiveCustomer","2010-06-10","2014-02-14"
"Test acc 1041","stage2","ActiveCustomer","Test acc 1041 - stage2 - ActiveCustomer","2010-07-10","2014-02-14"
"Test acc 1042","stage3","InactiveCustomer","Test acc 1042 - stage3 - InactiveCustomer","2010-08-10","2014-02-14"
"Test acc 1043","stage4","ActiveCustomer","Test acc 1043 - stage4 - ActiveCustomer","2010-09-10","2014-02-14"
"Test acc 1044","stage5","InactiveCustomer","Test acc 1044 - stage5 - InactiveCustomer","2010-10-10","2014-02-14"
"Test acc 1045","stage6","ActiveCustomer","Test acc 1045 - stage6 - ActiveCustomer","2010-11-10","2014-02-14"
"Test acc 1046","stage1","InactiveCustomer","Test acc 1046 - stage1 - InactiveCustomer","2010-12-10","2014-02-14"
"Test acc 1047","stage2","ActiveCustomer","Test acc 1047 - stage2 - ActiveCustomer","2010-01-10","2014-02-14"
"Test acc 1048","stage3","InactiveCustomer","Test acc 1048 - stage3 - InactiveCustomer","2010-02-10","2014-02-14"
"Test acc 1049","stage4","ActiveCustomer","Test acc 1049 - stage4 - ActiveCustomer","2010-03-10","2014-02-14"
"Test acc 105","stage5","InactiveCustomer","Test acc 105 - stage5 - InactiveCustomer","2010-04-10","2014-02-14"
"Test acc 1050","stage6","ActiveCustomer","Test acc 1050 - stage6 - ActiveCustomer","2010-05-10","2014-02-14"
"Test acc 1051","stage1","InactiveCustomer","Test acc 1051 - stage1 - InactiveCustomer","2010-06-10","2014-02-14"
"Test acc 1052","stage2","ActiveCustomer","Test acc 1052 - stage2 - ActiveCustomer","2010-07-10","2014-02-14"
"Test acc 1053","stage3","InactiveCustomer","Test acc 1053 - stage3 - InactiveCustomer","2012-01-12","2014-02-14"
"Test acc 1054","stage4","ActiveCustomer","Test acc 1054 - stage4 - ActiveCustomer","2012-02-12","2014-02-14"
"Test acc 1055","stage5","InactiveCustomer","Test acc 1055 - stage5 - InactiveCustomer","2012-03-12","2014-02-14"
"Test acc 1056","stage6","ActiveCustomer","Test acc 1056 - stage6 - ActiveCustomer","2012-04-12","2014-02-14"
"Test acc 1057","stage1","InactiveCustomer","Test acc 1057 - stage1 - InactiveCustomer","2012-05-12","2014-02-14"
"Test acc 1058","stage2","ActiveCustomer","Test acc 1058 - stage2 - ActiveCustomer","2012-06-12","2014-02-14"
"Test acc 1059","stage3","InactiveCustomer","Test acc 1059 - stage3 - InactiveCustomer","2012-07-12","2014-02-14"
"Test acc 106","stage4","ActiveCustomer","Test acc 106 - stage4 - ActiveCustomer","2012-08-12","2014-02-14"
"Test acc 1060","stage5","InactiveCustomer","Test acc 1060 - stage5 - InactiveCustomer","2012-09-12","2014-02-14"
"Test acc 1061","stage6","ActiveCustomer","Test acc 1061 - stage6 - ActiveCustomer","2012-10-12","2014-02-14"
"Test acc 1062","stage1","InactiveCustomer","Test acc 1062 - stage1 - InactiveCustomer","2012-11-12","2014-02-14"
"Test acc 1063","stage2","ActiveCustomer","Test acc 1063 - stage2 - ActiveCustomer","2012-12-12","2014-02-14"
"Test acc 1064","stage3","InactiveCustomer","Test acc 1064 - stage3 - InactiveCustomer","2012-01-12","2014-02-14"
"Test acc 1065","stage4","ActiveCustomer","Test acc 1065 - stage4 - ActiveCustomer","2012-02-12","2014-02-14"
"Test acc 1066","stage5","InactiveCustomer","Test acc 1066 - stage5 - InactiveCustomer","2012-03-12","2014-02-14"
"Test acc 1067","stage6","ActiveCustomer","Test acc 1067 - stage6 - ActiveCustomer","2012-04-12","2014-02-14"
"Test acc 1068","stage1","InactiveCustomer","Test acc 1068 - stage1 - InactiveCustomer","2012-05-12","2014-02-14"
"Test acc 1069","stage2","ActiveCustomer","Test acc 1069 - stage2 - ActiveCustomer","2012-06-12","2014-02-14"
"Test acc 107","stage3","InactiveCustomer","Test acc 107 - stage3 - InactiveCustomer","2012-07-12","2014-02-14"
"Test acc 1070","stage4","ActiveCustomer","Test acc 1070 - stage4 - ActiveCustomer","2012-08-12","2014-02-14"
"Test acc 1071","stage5","InactiveCustomer","Test acc 1071 - stage5 - InactiveCustomer","2012-09-12","2014-02-14"
"Test acc 1072","stage6","ActiveCustomer","Test acc 1072 - stage6 - ActiveCustomer","2012-10-12","2014-02-14"
"Test acc 1073","stage1","InactiveCustomer","Test acc 1073 - stage1 - InactiveCustomer","2012-11-12","2014-02-14"
"Test acc 1074","stage2","ActiveCustomer","Test acc 1074 - stage2 - ActiveCustomer","2012-12-12","2014-02-14"
"Test acc 1075","stage3","InactiveCustomer","Test acc 1075 - stage3 - InactiveCustomer","2012-01-12","2014-02-14"
"Test acc 1076","stage4","ActiveCustomer","Test acc 1076 - stage4 - ActiveCustomer","2012-02-12","2014-02-14"
"Test acc 1077","stage5","InactiveCustomer","Test acc 1077 - stage5 - InactiveCustomer","2012-03-12","2014-02-14"
"Test acc 1078","stage6","ActiveCustomer","Test acc 1078 - stage6 - ActiveCustomer","2012-04-12","2014-02-14"
"Test acc 1079","stage1","InactiveCustomer","Test acc 1079 - stage1 - InactiveCustomer","2012-05-12","2014-02-14"
"Test acc 108","stage2","ActiveCustomer","Test acc 108 - stage2 - ActiveCustomer","2012-06-12","2014-02-14"
"Test acc 1080","stage3","InactiveCustomer","Test acc 1080 - stage3 - InactiveCustomer","2012-07-12","2014-02-14"
"Test acc 1081","stage4","ActiveCustomer","Test acc 1081 - stage4 - ActiveCustomer","2011-01-11","2014-02-14"
"Test acc 1082","stage5","InactiveCustomer","Test acc 1082 - stage5 - InactiveCustomer","2011-02-11","2014-02-14"
"Test acc 1083","stage6","ActiveCustomer","Test acc 1083 - stage6 - ActiveCustomer","2011-03-11","2014-02-14"
"Test acc 1084","stage1","InactiveCustomer","Test acc 1084 - stage1 - InactiveCustomer","2011-04-11","2014-02-14"
"Test acc 1085","stage2","ActiveCustomer","Test acc 1085 - stage2 - ActiveCustomer","2011-05-11","2014-02-14"
"Test acc 1086","stage3","InactiveCustomer","Test acc 1086 - stage3 - InactiveCustomer","2011-06-11","2014-02-14"
"Test acc 1087","stage4","ActiveCustomer","Test acc 1087 - stage4 - ActiveCustomer","2011-07-11","2014-02-14"
"Test acc 1088","stage1","InactiveCustomer","Test acc 1088 - stage1 - InactiveCustomer","2011-08-11","2014-02-14"
"Test acc 1089","stage2","ActiveCustomer","Test acc 1089 - stage2 - ActiveCustomer","2011-09-11","2014-02-14"
"Test acc 109","stage3","InactiveCustomer","Test acc 109 - stage3 - InactiveCustomer","2011-10-11","2014-02-14"
"Test acc 1090","stage4","ActiveCustomer","Test acc 1090 - stage4 - ActiveCustomer","2011-11-11","2014-02-14"
"Test acc 1091","stage5","InactiveCustomer","Test acc 1091 - stage5 - InactiveCustomer","2011-12-11","2014-02-14"
"Test acc 1092","stage6","ActiveCustomer","Test acc 1092 - stage6 - ActiveCustomer","2011-01-11","2014-02-14"
"Test acc 1093","stage1","InactiveCustomer","Test acc 1093 - stage1 - InactiveCustomer","2011-02-11","2014-02-14"
"Test acc 1094","stage2","ActiveCustomer","Test acc 1094 - stage2 - ActiveCustomer","2011-03-11","2014-02-14"
"Test acc 1095","stage3","InactiveCustomer","Test acc 1095 - stage3 - InactiveCustomer","2011-04-11","2014-02-14"
"Test acc 1096","stage4","ActiveCustomer","Test acc 1096 - stage4 - ActiveCustomer","2011-05-11","2014-02-14"
"Test acc 1097","stage5","InactiveCustomer","Test acc 1097 - stage5 - InactiveCustomer","2011-06-11","2014-02-14"
"Test acc 1098","stage6","ActiveCustomer","Test acc 1098 - stage6 - ActiveCustomer","2011-07-11","2014-02-14"
"Test acc 1099","stage1","InactiveCustomer","Test acc 1099 - stage1 - InactiveCustomer","2011-08-11","2014-02-14"
"Test acc 11","stage2","ActiveCustomer","Test acc 11 - stage2 - ActiveCustomer","2011-09-11","2014-02-14"
"Test acc 110","stage3","InactiveCustomer","Test acc 110 - stage3 - InactiveCustomer","2011-10-11","2014-02-14"
"Test acc 1100","stage4","ActiveCustomer","Test acc 1100 - stage4 - ActiveCustomer","2011-11-11","2014-02-14"
"Test acc 1101","stage5","InactiveCustomer","Test acc 1101 - stage5 - InactiveCustomer","2011-12-11","2014-02-14"
"Test acc 1102","stage6","ActiveCustomer","Test acc 1102 - stage6 - ActiveCustomer","2011-01-11","2014-02-14"
"Test acc 1103","stage1","InactiveCustomer","Test acc 1103 - stage1 - InactiveCustomer","2011-02-11","2014-02-14"
"Test acc 1104","stage2","ActiveCustomer","Test acc 1104 - stage2 - ActiveCustomer","2011-03-11","2014-02-14"
"Test acc 1105","stage3","InactiveCustomer","Test acc 1105 - stage3 - InactiveCustomer","2011-04-11","2014-02-14"
"Test acc 1106","stage4","ActiveCustomer","Test acc 1106 - stage4 - ActiveCustomer","2011-05-11","2014-02-14"
"Test acc 1107","stage5","InactiveCustomer","Test acc 1107 - stage5 - InactiveCustomer","2011-06-11","2014-02-14"
"Test acc 1108","stage6","ActiveCustomer","Test acc 1108 - stage6 - ActiveCustomer","2011-07-11","2014-02-14"
"Test acc 1109","stage1","InactiveCustomer","Test acc 1109 - stage1 - InactiveCustomer","2010-01-10","2014-02-14"
"Test acc 111","stage2","ActiveCustomer","Test acc 111 - stage2 - ActiveCustomer","2010-02-10","2014-02-14"
"Test acc 1110","stage3","InactiveCustomer","Test acc 1110 - stage3 - InactiveCustomer","2010-03-10","2014-02-14"
"Test acc 1111","stage4","ActiveCustomer","Test acc 1111 - stage4 - ActiveCustomer","2010-04-10","2014-02-14"
"Test acc 1112","stage5","InactiveCustomer","Test acc 1112 - stage5 - InactiveCustomer","2010-05-10","2014-02-14"
"Test acc 1113","stage6","ActiveCustomer","Test acc 1113 - stage6 - ActiveCustomer","2010-06-10","2014-02-14"
"Test acc 1114","stage1","InactiveCustomer","Test acc 1114 - stage1 - InactiveCustomer","2010-07-10","2014-02-14"
