AccountName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumberWithDecimals1,CustomNumberWithDecimals2,BooleanField,CreatedDateTime
RULESUI Account 1,-37,566,334,400,100,TRUE,-37
RULESUI Account 1,-38,565,335,500,500,FALSE,-38
RULESUI Account 1,-39,564,336,,100,TRUE,-39
RULESUI Account 1,-40,563,337,100,100,FALSE,-40
RULESUI Account 1,-41,562,338,200,200,TRUE,-41
RULESUI Account 1,-42,561,339,300,300,FALSE,-42
RULESUI Account 1,-43,560,340,400,400,TRUE,-43
RULESUI Account 1,-44,559,341,500,500,FALSE,-44
RULESUI Account 1,-45,558,342,100,100,TRUE,-45
RULESUI Account 1,-46,557,343,100,100,FALSE,-46
RULESUI Account 1,-47,556,344,,100,TRUE,-47
RULESUI Account 1,-48,555,345,300,200,FALSE,-48
RULESUI Account 1,-49,554,346,400,300,TRUE,-49
RULESUI Account 1,-50,553,347,500,400,FALSE,-50
RULESUI Account 2,-3,700,350,,101,TRUE,-3
RULESUI Account 2,-4,599,503,200,200,FALSE,-4
RULESUI Account 2,-5,598,380,,,TRUE,-5
RULESUI Account 2,-6,597,303,400,400,FALSE,-6
RULESUI Account 2,-7,596,304,500,500,TRUE,-7
RULESUI Account 2,-8,595,305,100,100,FALSE,-8
RULESUI Account 2,-9,594,343,,100,TRUE,-9
RULESUI Account 2,-10,593,344,100,100,FALSE,-10
RULESUI Account 2,-11,592,339,200,200,TRUE,-11
RULESUI Account 2,-12,591,340,300,300,FALSE,-12
RULESUI Account 2,-13,590,341,400,100,TRUE,-13
RULESUI Account 2,-14,589,342,500,100,FALSE,-14
RULESUI Account 2,-15,588,343,100,200,TRUE,-15
RULESUI Account 2,-16,587,344,100,300,FALSE,-16
RULESUI Account 2,-17,586,345,,100,TRUE,-17
RULESUI Account 2,-18,585,346,300,200,FALSE,-18
RULESUI Account 2,-19,584,316,400,300,TRUE,-19
RULESUI Account 2,-20,583,317,500,400,FALSE,-20
RULESUI Account 2,-21,582,318,100,500,TRUE,-21
RULESUI Account 2,-22,581,319,100,100,FALSE,-22
RULESUI Account 2,-23,580,320,100,100,TRUE,-23
RULESUI Account 2,-24,579,321,200,200,FALSE,-24
RULESUI Account 2,-25,578,322,300,100,TRUE,-25
RULESUI Account 2,-26,577,333,400,100,FALSE,-26
RULESUI Account 2,-27,576,334,500,200,TRUE,-27
RULESUI Account 2,-28,575,335,100,300,FALSE,-28
RULESUI Account 2,-29,574,336,100,400,TRUE,-29
RULESUI Account 2,-30,573,337,100,500,FALSE,-30
RULESUI Account 2,-31,572,338,200,100,TRUE,-31
RULESUI Account 2,-32,571,339,300,100,FALSE,-32
RULESUI Account 2,-33,570,340,400,300,TRUE,-33
RULESUI Account 2,-34,569,341,500,400,FALSE,-34
RULESUI Account 2,-35,568,342,100,500,TRUE,-35
RULESUI Account 2,-36,567,333,,100,FALSE,-36
RULESUI Account 2,-37,566,334,400,100,TRUE,-37
RULESUI Account 2,-38,565,335,500,500,FALSE,-38
RULESUI Account 2,-39,564,336,,100,TRUE,-39
RULESUI Account 2,-40,563,337,100,100,FALSE,-40
RULESUI Account 2,-41,562,338,200,200,TRUE,-41
RULESUI Account 2,-42,561,339,300,300,FALSE,-42
RULESUI Account 2,-43,560,340,400,400,TRUE,-43
RULESUI Account 2,-44,559,341,500,500,FALSE,-44
RULESUI Account 2,-45,558,342,100,100,TRUE,-45
RULESUI Account 2,-46,557,343,100,100,FALSE,-46
RULESUI Account 2,-47,556,344,,100,TRUE,-47
RULESUI Account 2,-48,555,345,300,200,FALSE,-48
RULESUI Account 2,-49,554,346,400,300,TRUE,-49
RULESUI Account 2,-50,553,347,500,400,FALSE,-50
