JBCXM__Account__r.Data_ExternalID__c,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Name
Rule Account 11,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 11,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 11,-3,765,,567,,ACCOUNTLEVEL
Rule Account 11,-2,,,,790,ACCOUNTLEVEL
Rule Account 11,-1,555,500,455,888,ACCOUNTLEVEL
Rule Account 12 ,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 12 ,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 12 ,-3,765,,567,,ACCOUNTLEVEL
Rule Account 12 ,-2,,,,790,ACCOUNTLEVEL
Rule Account 12 ,-1,555,601,350,890,ACCOUNTLEVEL
Rule Account 13,-5,300,345,4233,200,ACCOUNTLEVEL
Rule Account 13,-4,300,345,199,301,ACCOUNTLEVEL
Rule Account 13,-3,300,654,299,299,ACCOUNTLEVEL
Rule Account 13,-2,300,345,289,499,ACCOUNTLEVEL
Rule Account 13,-1,300,324,99,302,ACCOUNTLEVEL
Rule Account 14,-5,300,345,4233,200,ACCOUNTLEVEL
Rule Account 14,-4,300,345,199,301,ACCOUNTLEVEL
Rule Account 14,-3,300,654,299,399,ACCOUNTLEVEL
Rule Account 14,-2,300,345,289,499,ACCOUNTLEVEL
Rule Account 14,-1,300,324,99,302,ACCOUNTLEVEL
Rule Account 15,-1,1000,2000,900,1100,ACCOUNTLEVEL
Rule Account 16,-1,500,600,490,510,ACCOUNTLEVEL
Rule Account 17,-5,800,700,,500,ACCOUNTLEVEL
Rule Account 17,-4,700,500,400,600,ACCOUNTLEVEL
Rule Account 17,-3,600,400,600,700,ACCOUNTLEVEL
Rule Account 17,-2,500,600,500,800,ACCOUNTLEVEL
Rule Account 17,-1,410,390,280,900,ACCOUNTLEVEL
Rule Account 18,-5,800,700,400,500,ACCOUNTLEVEL
Rule Account 18,-4,700,500,,600,ACCOUNTLEVEL
Rule Account 18,-3,600,400,600,700,ACCOUNTLEVEL
Rule Account 18,-2,500,600,500,800,ACCOUNTLEVEL
Rule Account 18,-1,850,700,745,900,ACCOUNTLEVEL
Rule Account 19,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 19,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 19,-3,600,345,46,777,ACCOUNTLEVEL
Rule Account 19,-2,450,23,45,444,ACCOUNTLEVEL
Rule Account 19,-1,550,565,547,656,ACCOUNTLEVEL
Rule Account 20,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 20,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 20,-3,600,345,46,777,ACCOUNTLEVEL
Rule Account 20,-2,450,23,45,444,ACCOUNTLEVEL
Rule Account 20,-1,550,565,547,656,ACCOUNTLEVEL
Rule Account 21,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 21,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 21,-3,700,,46,,ACCOUNTLEVEL
Rule Account 21,-2,,1,,,ACCOUNTLEVEL
Rule Account 21,-1,900,550,547,655,ACCOUNTLEVEL
Rule Account 22,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 22,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 22,-3,700,,46,,ACCOUNTLEVEL
Rule Account 22,-2,,,,,ACCOUNTLEVEL
Rule Account 22,-1,900,565,547,656,ACCOUNTLEVEL
Rule Account 23,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 23,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 23,-3,765,564,567,645,ACCOUNTLEVEL
Rule Account 23,-2,345,342,22,435,ACCOUNTLEVEL
Rule Account 23,-1,765,645,343,888,ACCOUNTLEVEL
Rule Account 24,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 24,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 24,-3,765,564,567,645,ACCOUNTLEVEL
Rule Account 24,-2,345,342,22,435,ACCOUNTLEVEL
Rule Account 24,-1,765,645,343,888,ACCOUNTLEVEL
Rule Account 25,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 25,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 25,-3,765,,567,,ACCOUNTLEVEL
Rule Account 25,-2,,,,790,ACCOUNTLEVEL
Rule Account 25,-1,555,500,455,888,ACCOUNTLEVEL
Rule Account 26,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 26,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 26,-3,765,,567,,ACCOUNTLEVEL
Rule Account 26,-2,,,,790,ACCOUNTLEVEL
Rule Account 26,-1,555,601,350,890,ACCOUNTLEVEL
Rule Account 27,-5,300,345,4233,200,ACCOUNTLEVEL
Rule Account 27,-4,300,345,199,301,ACCOUNTLEVEL
Rule Account 27,-3,300,654,299,299,ACCOUNTLEVEL
Rule Account 27,-2,300,345,289,499,ACCOUNTLEVEL
Rule Account 27,-1,300,324,99,302,ACCOUNTLEVEL
Rule Account 28,-5,300,345,4233,200,ACCOUNTLEVEL
Rule Account 28,-4,300,345,199,301,ACCOUNTLEVEL
Rule Account 28,-3,300,654,299,399,ACCOUNTLEVEL
Rule Account 28,-2,300,345,289,499,ACCOUNTLEVEL
Rule Account 28,-1,300,324,99,302,ACCOUNTLEVEL
Rule Account 29,-1,1000,2000,900,1100,ACCOUNTLEVEL
Rule Account 30,-1,500,600,490,510,ACCOUNTLEVEL
Rule Account 31,-5,800,700,,500,ACCOUNTLEVEL
Rule Account 31,-4,700,500,400,600,ACCOUNTLEVEL
Rule Account 31,-3,600,400,600,700,ACCOUNTLEVEL
Rule Account 31,-2,500,600,500,800,ACCOUNTLEVEL
Rule Account 31,-1,410,390,280,900,ACCOUNTLEVEL
Rule Account 32,-5,800,700,400,500,ACCOUNTLEVEL
Rule Account 32,-4,700,500,,600,ACCOUNTLEVEL
Rule Account 32,-3,600,400,600,700,ACCOUNTLEVEL
Rule Account 32,-2,500,600,500,800,ACCOUNTLEVEL
Rule Account 32,-1,850,700,745,900,ACCOUNTLEVEL
Rule Account 33,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 33,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 33,-3,600,345,46,777,ACCOUNTLEVEL
Rule Account 33,-2,450,23,45,444,ACCOUNTLEVEL
Rule Account 33,-1,550,565,547,656,ACCOUNTLEVEL
Rule Account 34,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 34,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 34,-3,600,345,46,777,ACCOUNTLEVEL
Rule Account 34,-2,450,23,45,444,ACCOUNTLEVEL
Rule Account 34,-1,550,565,547,656,ACCOUNTLEVEL
Rule Account 35,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 35,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 35,-3,700,,46,,ACCOUNTLEVEL
Rule Account 35,-2,,1,,,ACCOUNTLEVEL
Rule Account 35,-1,900,550,547,655,ACCOUNTLEVEL
