JBCXM__Account__r.Data_ExternalId__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Tag__c,JBCXM__ASV__c,JBCXM__MRR__c,JBCXM__OneTimeRevenue__c,JBCXM__Users__c,JBCXM__OriginalContractDate__c,JBCXM__NextRenewalDate__c,JBCXM__Comments__c
FcustomRule Account 24,stage6,ActiveCustomer,Up-sell,10000,9999,100000,0,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
GcustomRule Account 25,stage1,InactiveCustomer,Active,100000,99999,199.3,1000,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
HcustomRule Account 26,stage2,ChurnCustomer,Churned,0,0,12,100,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
HcustomRule Account 27,stage3,ActiveCustomer,Established,100,99,78.8,50,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
HcustomRule Account 28,stage4,InactiveCustomer,Inactive,1000,999,49.5,10,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
HcustomRule Account 29,stage5,ChurnCustomer,Onboarding,10000,9999,100000,5,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
IcustomRule Account 30,stage6,ActiveCustomer,Up-sell,100000,99999,199.3,0,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
IcustomRule Account 31,stage1,InactiveCustomer,Active,0,0,12,1000,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
IcustomRule Account 32,stage2,ChurnCustomer,Churned,100,99,78.8,100,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
IcustomRule Account 33,stage3,ActiveCustomer,Established,1000,999,49.5,50,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
JcustomRule Account 34,stage4,InactiveCustomer,Inactive,10000,9999,100000,10,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
JcustomRule Account 35,stage5,ChurnCustomer,Onboarding,100000,99999,199.3,5,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
JcustomRule Account 36,stage6,ActiveCustomer,Up-sell,0,0,12,0,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
JcustomRule Account 37,stage1,InactiveCustomer,Active,100,99,78.8,1000,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
KcustomRule Account 38,stage2,ChurnCustomer,Churned,1000,999,49.5,100,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
KcustomRule Account 39,stage3,ActiveCustomer,Established,10000,9999,100000,50,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
KcustomRule Account 40,stage4,InactiveCustomer,Inactive,100000,99999,199.3,10,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
KcustomRule Account 41,stage5,ChurnCustomer,Onboarding,0,0,12,5,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
LcustomRule Account 42,stage6,ActiveCustomer,Up-sell,100,99,78.8,0,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
LcustomRule Account 43,stage1,InactiveCustomer,Active,1000,999,49.5,1000,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
LcustomRule Account 44,stage2,ChurnCustomer,Churned,10000,9999,100000,100,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
LcustomRule Account 45,stage3,ActiveCustomer,Established,100000,99999,199.3,50,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
McustomRule Account 46,stage4,InactiveCustomer,Inactive,0,0,12,10,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
McustomRule Account 47,stage5,ChurnCustomer,Onboarding,100,99,78.8,5,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
McustomRule Account 48,stage6,ActiveCustomer,Up-sell,1000,999,49.5,0,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
McustomRule Account 49,stage1,InactiveCustomer,Active,10000,9999,100000,1000,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
NcustomRule Account 50,stage2,ChurnCustomer,Churned,100000,99999,199.3,100,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
NcustomRule Account 51,stage3,ActiveCustomer,Established,0,0,12,50,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
NcustomRule Account 52,stage4,InactiveCustomer,Inactive,100,99,78.8,10,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
NcustomRule Account 53,stage5,ChurnCustomer,Onboarding,1000,999,49.5,5,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
OcustomRule Account 54,stage6,ActiveCustomer,Up-sell,10000,9999,100000,0,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
OcustomRule Account 55,stage1,InactiveCustomer,Active,100000,99999,199.3,1000,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
OcustomRule Account 56,stage2,ChurnCustomer,Churned,0,0,12,100,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
OcustomRule Account 57,stage3,ActiveCustomer,Established,100,99,78.8,50,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
PcustomRule Account 58,stage4,InactiveCustomer,Inactive,1000,999,49.5,10,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
PcustomRule Account 59,stage5,ChurnCustomer,Onboarding,10000,9999,100000,5,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
PcustomRule Account 60,stage6,ActiveCustomer,Up-sell,100000,99999,199.3,0,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
PcustomRule Account 61,stage1,InactiveCustomer,Active,0,0,12,1000,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
QcustomRule Account 62,stage2,ChurnCustomer,Churned,100,99,78.8,100,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
QcustomRule Account 63,stage3,ActiveCustomer,Established,1000,999,49.5,50,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
QcustomRule Account 64,stage4,InactiveCustomer,Inactive,10000,9999,100000,10,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
QcustomRule Account 62,stage5,ChurnCustomer,Onboarding,100000,99999,199.3,5,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
RcustomRule Account 66,stage6,ActiveCustomer,Up-sell,0,0,12,0,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
RcustomRule Account 67,stage1,InactiveCustomer,Active,100,99,78.8,1000,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
RcustomRule Account 68,stage2,ChurnCustomer,Churned,1000,999,49.5,100,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
RcustomRule Account 69,stage3,ActiveCustomer,Established,10000,9999,100000,50,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
ScustomRule Account 70,stage4,InactiveCustomer,Inactive,100000,99999,199.3,10,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
TcustomRule Account 71,stage5,ChurnCustomer,Onboarding,0,0,12,5,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
UcustomRule Account 72,stage6,ActiveCustomer,Up-sell,100,99,78.8,0,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
VcustomRule Account 73,stage1,InactiveCustomer,Active,1000,999,49.5,1000,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
WcustomRule Account 74,stage2,ChurnCustomer,Churned,10000,9999,100000,100,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
XcustomRule Account 75,stage3,ActiveCustomer,Established,100000,99999,199.3,50,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
YcustomRule Account 76,stage4,InactiveCustomer,Inactive,0,0,12,10,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
ZcustomRule Account 77,stage5,ChurnCustomer,Onboarding,100,99,78.8,5,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
GcustomRule Account 78,stage6,ActiveCustomer,Up-sell,1000,999,49.5,0,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
GcustomRule Account 79,stage1,InactiveCustomer,Active,10000,9999,100000,1000,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
GcustomRule Account 80,stage2,ChurnCustomer,Churned,100000,99999,199.3,100,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
