JBCXM__OrderNumber__r.TransHeader_ExternalID__c,JBCXM__ASV__C,JBCXM__BOOKING__C,JBCXM__DATE__C,JBCXM__MRR__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ONETIMEREVENUE__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__TERM__C,JBCXM__TRANSACTIONLINES__r.TransTypes_ExternalID__c,JBCXM__USERS__C
a0i90000001JPQQAA4,,0,2013-04-12,,2013-05-12,0,2013-05-11,2013-04-12,0,a0m90000003DOupAAG,
a0i90000001JPRiAAO,-1800,150,2012-11-23,-150,,0,,2012-11-23,0,a0m90000003DOurAAG,
a0i90000001JPRiAAO,,2,2012-11-23,,,0,,2012-11-23,0,a0m90000003DOuqAAG,-2
a0i90000001JPRiAAO,,0,2012-11-23,,,0,,2012-11-23,0,a0m90000003DOusAAG,
a0i90000001JPRYAA4,,75,2012-07-23,,2012-12-24,0,2012-12-23,2012-07-23,0,a0m90000003DOuqAAG,75
a0i90000001JPRYAA4,,0,2012-07-23,,2012-12-24,0,2012-12-23,2012-07-23,0,a0m90000003DOupAAG,
a0i90000001JPRYAA4,91200,7600,2012-07-23,7600,2012-12-24,0,2012-12-23,2012-07-23,0,a0m90000003DOurAAG,
a0i90000001JPW9AAO,3600,300,2014-02-01,300,2014-11-01,0,2014-10-31,2014-02-01,0,a0m90000003DOurAAG,
a0i90000001JPW9AAO,,3,2014-02-01,,2014-11-01,0,2014-10-31,2014-02-01,0,a0m90000003DOuqAAG,3
a0i90000001JPW9AAO,,1200,2014-02-01,,2014-11-01,1200,2014-10-31,2014-02-01,0,a0m90000003DOusAAG,
a0i90000001JPQaAAO,-1188,99,2013-05-11,-99,,0,,2013-05-11,0,a0m90000003DOurAAG,
a0i90000001JPQaAAO,,1,2013-05-11,,,0,,2013-05-11,0,a0m90000003DOuqAAG,-1
a0i90000001JPQaAAO,,0,2013-05-11,,,0,,2013-05-11,0,a0m90000003DOusAAG,
a0i90000001JPQkAAO,0,8100,2008-06-12,0,2009-06-12,0,2009-06-11,2008-06-12,0,a0m90000003DOurAAG,
a0i90000001JPQkAAO,,50,2008-06-12,,2009-06-12,0,2009-06-11,2008-06-12,0,a0m90000003DOuqAAG,0
a0i90000001JPQkAAO,,0,2008-06-12,,2009-06-12,0,2009-06-11,2008-06-12,0,a0m90000003DOusAAG,
a0i90000001JPS2AAO,0,345,2010-09-25,0,2011-09-27,0,2011-09-26,2010-09-27,0,a0m90000003DOurAAG,
a0i90000001JPS2AAO,,25,2010-09-25,,2011-09-27,0,2011-09-26,2010-09-27,0,a0m90000003DOuqAAG,0
a0i90000001JPS2AAO,,0,2010-09-25,,2011-09-27,0,2011-09-26,2010-09-27,0,a0m90000003DOusAAG,
a0i90000001JPQVAA4,1188,99,2013-04-30,99,2013-05-30,0,2013-05-29,2013-04-30,0,a0m90000003DOurAAG,
a0i90000001JPQVAA4,,1,2013-04-30,,2013-05-30,0,2013-05-29,2013-04-30,0,a0m90000003DOuqAAG,1
a0i90000001JPQVAA4,,0,2013-04-30,,2013-05-30,0,2013-05-29,2013-04-30,0,a0m90000003DOupAAG,
a0i90000001JPN9AAO,-1188,99,2013-05-08,-99,,0,,2013-05-08,0,a0m90000003DOurAAG,
a0i90000001JPN9AAO,,1,2013-05-08,,,0,,2013-05-08,0,a0m90000003DOuqAAG,-1
a0i90000001JPN9AAO,,0,2013-05-08,,,0,,2013-05-08,0,a0m90000003DOusAAG,
a0i90000001JPN3AAO,97200,8100,2007-06-12,8100,2008-06-12,0,2008-06-11,2007-06-12,0,a0m90000003DOurAAG,
a0i90000001JPN3AAO,,50,2007-06-12,,2008-06-12,0,2008-06-11,2007-06-12,0,a0m90000003DOuqAAG,50
a0i90000001JPN3AAO,,6245,2007-06-12,,2008-06-12,6245,2008-06-11,2007-06-12,0,a0m90000003DOupAAG,
a0i90000001JPUhAAO,-30000,2500,2012-06-01,-2500,,0,,2012-06-01,0,a0m90000003DOurAAG,
a0i90000001JPUhAAO,,20,2012-06-01,,,0,,2012-06-01,0,a0m90000003DOuqAAG,-20
a0i90000001JPV1AAO,,0,2012-10-24,,2013-07-04,0,2013-07-03,2012-10-24,0,a0m90000003DOusAAG,
a0i90000001JPV1AAO,0,0,2012-10-24,0,2013-07-04,0,2013-07-03,2012-10-24,0,a0m90000003DOurAAG,
a0i90000001JPV1AAO,,0,2012-10-24,,2013-07-04,0,2013-07-03,2012-10-24,0,a0m90000003DOuqAAG,0
a0i90000001JPTyAAO,,2,2012-11-23,,,0,,2012-11-23,0,a0m90000003DOuqAAG,-2
a0i90000001JPTyAAO,-1800,150,2012-11-23,-150,,0,,2012-11-23,0,a0m90000003DOurAAG,
a0i90000001JPTyAAO,,0,2012-11-23,,,0,,2012-11-23,0,a0m90000003DOusAAG,
a0i90000001JPSlAAO,,0,2013-05-08,,,0,,2013-05-08,0,a0m90000003DOusAAG,
a0i90000001JPSlAAO,,1,2013-05-08,,,0,,2013-05-08,0,a0m90000003DOuqAAG,-1
a0i90000001JPSlAAO,-1188,99,2013-05-08,-99,,0,,2013-05-08,0,a0m90000003DOurAAG,
a0i90000001JPUhAAO,,1200,2012-06-01,,,-1200,,2012-06-01,0,a0m90000003DOusAAG,
a0i90000001JPTUAA4,,0,2009-12-30,,,0,,2009-12-30,0,a0m90000003DOuqAAG,0
a0i90000001JPTUAA4,0,0,2009-12-30,0,,0,,2009-12-30,0,a0m90000003DOurAAG,
a0i90000001JPTUAA4,,2176,2009-12-30,,,2176,,2009-12-30,0,a0m90000003DOusAAG,
a0i90000001JPSbAAO,1188,99,2013-04-12,99,2013-05-12,0,2013-05-11,2013-04-12,0,a0m90000003DOurAAG,
a0i90000001JPSqAAO,,1,2013-05-11,,,0,,2013-05-11,0,a0m90000003DOuqAAG,-1
a0i90000001JPSbAAO,,1,2013-04-12,,2013-05-12,0,2013-05-11,2013-04-12,0,a0m90000003DOuqAAG,1
a0i90000001JPSbAAO,,0,2013-04-12,,2013-05-12,0,2013-05-11,2013-04-12,0,a0m90000003DOupAAG,
a0i90000001JPSqAAO,,0,2013-05-11,,,0,,2013-05-11,0,a0m90000003DOusAAG,
a0i90000001JPSqAAO,-1188,99,2013-05-11,-99,,0,,2013-05-11,0,a0m90000003DOurAAG,
a0i90000001JPReAAO,,4,2012-10-23,,2012-12-24,0,2012-12-23,2012-10-23,0,a0m90000003DOuqAAG,4
a0i90000001JPTAAA4,,0,2008-08-31,,2009-06-12,0,2009-06-11,2008-08-31,0,a0m90000003DOusAAG,
a0i90000001JPReAAO,6600,550,2012-10-23,550,2012-12-24,0,2012-12-23,2012-10-23,0,a0m90000003DOurAAG,
a0i90000001JPReAAO,,0,2012-10-23,,2012-12-24,0,2012-12-23,2012-10-23,0,a0m90000003DOusAAG,
a0i90000001JPTAAA4,13704,1142,2008-08-31,1142,2009-06-12,0,2009-06-11,2008-08-31,0,a0m90000003DOurAAG,
a0i90000001JPTAAA4,,12,2008-08-31,,2009-06-12,0,2009-06-11,2008-08-31,0,a0m90000003DOuqAAG,12
a0i90000001JPSgAAO,1188,99,2013-04-30,99,2013-05-30,0,2013-05-29,2013-04-30,0,a0m90000003DOurAAG,
a0i90000001JPSgAAO,,1,2013-04-30,,2013-05-30,0,2013-05-29,2013-04-30,0,a0m90000003DOuqAAG,1
a0i90000001JPSgAAO,,0,2013-04-30,,2013-05-30,0,2013-05-29,2013-04-30,0,a0m90000003DOupAAG,
a0i90000001JPTKAA4,,0,2009-10-15,,,0,,2009-10-15,0,a0m90000003DOuqAAG,0
a0i90000001JPTKAA4,-7680,640,2009-10-15,-640,,0,,2009-10-15,0,a0m90000003DOurAAG,
a0i90000001JPTKAA4,,0,2009-10-15,,,0,,2009-10-15,0,a0m90000003DOusAAG,
a0i90000001JPTPAA4,,17,2009-12-30,,,0,,2009-12-30,0,a0m90000003DOuqAAG,-17
a0i90000001JPTPAA4,-4680,390,2009-12-30,-390,,0,,2009-12-30,0,a0m90000003DOurAAG,
a0i90000001JPTPAA4,,0,2009-12-30,,,0,,2009-12-30,0,a0m90000003DOusAAG,
a0i90000001JPUcAAO,,250,2012-05-15,,2014-05-15,0,2014-05-14,2012-05-15,0,a0m90000003DOuqAAG,250
a0i90000001JPUcAAO,,28500,2012-05-15,,2014-05-15,28500,2014-05-14,2012-05-15,0,a0m90000003DOupAAG,
a0i90000001JPUcAAO,52956,4413,2012-05-15,4413,2014-05-15,0,2014-05-14,2012-05-15,0,a0m90000003DOurAAG,
a0i90000001JPSRAA4,,1,2011-10-05,,2013-09-05,0,2013-09-04,2011-10-05,0,a0m90000003DOuqAAG,1
a0i90000001JPSRAA4,624,52,2011-10-05,52,2013-09-05,0,2013-09-04,2011-10-05,0,a0m90000003DOurAAG,
a0i90000001JPSRAA4,,0,2011-10-05,,2013-09-05,0,2013-09-04,2011-10-05,0,a0m90000003DOusAAG,
a0i90000001JPTFAA4,0,9242,2009-06-12,0,2010-06-12,0,2010-06-11,2009-06-12,0,a0m90000003DOurAAG,
a0i90000001JPTFAA4,,62,2009-06-12,,2010-06-12,0,2010-06-11,2009-06-12,0,a0m90000003DOuqAAG,0
a0i90000001JPTFAA4,,0,2009-06-12,,2010-06-12,0,2010-06-11,2009-06-12,0,a0m90000003DOusAAG,
a0i90000001JPVzAAO,3000,250,2013-12-01,250,2014-04-01,0,2014-03-31,2013-12-01,0,a0m90000003DOurAAG,
a0i90000001JPVzAAO,,2,2013-12-01,,2014-04-01,0,2014-03-31,2013-12-01,0,a0m90000003DOuqAAG,2
a0i90000001JPVzAAO,,0,2013-12-01,,2014-04-01,0,2014-03-31,2013-12-01,0,a0m90000003DOusAAG,
a0i90000001JPQLAA4,1188,99,2013-04-09,99,2013-05-09,0,2013-05-08,2013-04-09,0,a0m90000003DOurAAG,
a0i90000001JPQLAA4,,1,2013-04-09,,2013-05-09,0,2013-05-08,2013-04-09,0,a0m90000003DOuqAAG,1
a0i90000001JPQLAA4,,0,2013-04-09,,2013-05-09,0,2013-05-08,2013-04-09,0,a0m90000003DOupAAG,
a0i90000001JPR9AAO,-144,8200,2010-06-12,-12,2012-06-12,0,2012-06-11,2010-06-12,0,a0m90000003DOurAAG,
a0i90000001JPR9AAO,,45,2010-06-12,,2012-06-12,0,2012-06-11,2010-06-12,0,a0m90000003DOuqAAG,0
a0i90000001JPR9AAO,,0,2010-06-12,,2012-06-12,0,2012-06-11,2010-06-12,0,a0m90000003DOusAAG,
a0i90000001JPRJAA4,2400,200,2011-04-08,200,2012-06-12,0,2012-06-11,2011-04-08,0,a0m90000003DOurAAG,
a0i90000001JPRJAA4,,4,2011-04-08,,2012-06-12,0,2012-06-11,2011-04-08,0,a0m90000003DOuqAAG,4
a0i90000001JPRJAA4,,0,2011-04-08,,2012-06-12,0,2012-06-11,2011-04-08,0,a0m90000003DOusAAG,
a0i90000001JPNbAAO,18000,1500,2010-01-01,1500,2011-01-01,0,2010-12-31,2010-01-01,0,a0m90000003DOurAAG,
a0i90000001JPNbAAO,,30,2010-01-01,,2011-01-01,0,2010-12-31,2010-01-01,0,a0m90000003DOuqAAG,30
a0i90000001JPNbAAO,,12900,2010-01-01,,2011-01-01,12900,2010-12-31,2010-01-01,0,a0m90000003DOupAAG,
a0i90000001JPQzAAO,-4680,390,2009-12-30,-390,,0,,2009-12-30,0,a0m90000003DOurAAG,
a0i90000001JPQzAAO,,17,2009-12-30,,,0,,2009-12-30,0,a0m90000003DOuqAAG,-17
a0i90000001JPQzAAO,,0,2009-12-30,,,0,,2009-12-30,0,a0m90000003DOusAAG,
a0i90000001JPNvAAO,-6000,2500,2013-01-01,-500,2014-01-01,0,2013-12-31,2013-01-01,0,a0m90000003DOurAAG,
a0i90000001JPNvAAO,,50,2013-01-01,,2014-01-01,0,2013-12-31,2013-01-01,0,a0m90000003DOuqAAG,0
a0i90000001JPNvAAO,,0,2013-01-01,,2014-01-01,0,2013-12-31,2013-01-01,0,a0m90000003DOusAAG,
a0i90000001JPRTAA4,0,8200,2012-06-12,0,2013-06-12,0,2013-06-11,2012-06-12,0,a0m90000003DOurAAG,
a0i90000001JPRTAA4,,50,2012-06-12,,2013-06-12,0,2013-06-11,2012-06-12,0,a0m90000003DOuqAAG,5
a0i90000001JPRTAA4,,0,2012-06-12,,2013-06-12,0,2013-06-11,2012-06-12,0,a0m90000003DOusAAG,
a0i90000001JPR4AAO,0,0,2009-12-30,0,,0,,2009-12-30,0,a0m90000003DOurAAG,
a0i90000001JPR4AAO,,0,2009-12-30,,,0,,2009-12-30,0,a0m90000003DOuqAAG,0
a0i90000001JPR4AAO,,2176,2009-12-30,,,2176,,2009-12-30,0,a0m90000003DOusAAG,
a0i90000001JPTeAAO,,0,2010-09-09,,,0,,2010-09-09,0,a0m90000003DOuqAAG,0
a0i90000001JPTeAAO,0,0,2010-09-09,0,,0,,2010-09-09,0,a0m90000003DOurAAG,
a0i90000001JPTeAAO,,530,2010-09-09,,,530,,2010-09-09,0,a0m90000003DOusAAG,
a0i90000001JPVpAAO,-6000,500,2012-11-10,-500,,0,,2012-11-10,0,a0m90000003DOurAAG,
a0i90000001JPVpAAO,,5,2012-11-10,,,0,,2012-11-10,0,a0m90000003DOuqAAG,-5
a0i90000001JPOoAAO,16800,1400,2008-05-10,1400,2008-11-18,0,2008-11-17,2008-05-10,0,a0m90000003DOurAAG,
a0i90000001JPOoAAO,,10,2008-05-10,,2008-11-18,0,2008-11-17,2008-05-10,0,a0m90000003DOuqAAG,10
a0i90000001JPOoAAO,,0,2008-05-10,,2008-11-18,0,2008-11-17,2008-05-10,0,a0m90000003DOusAAG,
a0i90000001JPQuAAO,-7680,640,2009-10-15,-640,,0,,2009-10-15,0,a0m90000003DOurAAG,
a0i90000001JPQuAAO,,0,2009-10-15,,,0,,2009-10-15,0,a0m90000003DOuqAAG,0
a0i90000001JPQuAAO,,0,2009-10-15,,,0,,2009-10-15,0,a0m90000003DOusAAG,
a0i90000001JPVpAAO,,0,2012-11-10,,,0,,2012-11-10,0,a0m90000003DOusAAG,
a0i90000001JPOUAA4,-26400,2200,2011-12-24,-2200,,0,,2011-12-24,0,a0m90000003DOurAAG,
a0i90000001JPOUAA4,,11,2011-12-24,,,0,,2011-12-24,0,a0m90000003DOuqAAG,-11
a0i90000001JPOUAA4,,0,2011-12-24,,,0,,2011-12-24,0,a0m90000003DOusAAG,
a0i90000001JPRsAAO,2940,245,2009-09-27,245,2010-09-27,0,2010-09-26,2009-09-27,0,a0m90000003DOurAAG,
a0i90000001JPRsAAO,,20,2009-09-27,,2010-09-27,0,2010-09-26,2009-09-27,0,a0m90000003DOuqAAG,20
a0i90000001JPRsAAO,,1200,2009-09-27,,2010-09-27,1200,2010-09-26,2009-09-27,0,a0m90000003DOupAAG,
a0i90000001JPNMAA4,21000,1750,2009-10-02,1750,2010-08-14,0,2010-08-13,2009-10-02,0,a0m90000003DOurAAG,
a0i90000001JPNMAA4,,8,2009-10-02,,2010-08-14,0,2010-08-13,2009-10-02,0,a0m90000003DOuqAAG,8
a0i90000001JPNMAA4,,0,2009-10-02,,2010-08-14,0,2010-08-13,2009-10-02,0,a0m90000003DOusAAG,
a0i90000001JPS7AAO,,2,2010-10-12,,,0,,2010-10-12,0,a0m90000003DOuqAAG,-2
a0i90000001JPS7AAO,-540,45,2010-10-12,-45,,0,,2010-10-12,0,a0m90000003DOurAAG,
a0i90000001JPS7AAO,,0,2010-10-12,,,0,,2010-10-12,0,a0m90000003DOusAAG,
a0i90000001JPQ6AAO,12480,1040,2011-07-31,1040,2013-08-30,0,2013-08-29,2011-08-30,0,a0m90000003DOurAAG,
a0i90000001JPQ6AAO,,20,2011-07-31,,2013-08-30,0,2013-08-29,2011-08-30,0,a0m90000003DOuqAAG,20
a0i90000001JPQ6AAO,,0,2011-07-31,,2013-08-30,0,2013-08-29,2011-08-30,0,a0m90000003DOupAAG,
a0i90000001JPPSAA4,15840,17000,2010-04-22,1320,2011-04-22,0,2011-04-21,2010-04-22,0,a0m90000003DOurAAG,
a0i90000001JPPSAA4,,85,2010-04-22,,2011-04-22,0,2011-04-21,2010-04-22,0,a0m90000003DOuqAAG,0
a0i90000001JPPSAA4,,0,2010-04-22,,2011-04-22,0,2011-04-21,2010-04-22,0,a0m90000003DOusAAG,
a0i90000001JPOZAA4,64560,5380,2007-11-18,5380,2008-11-18,0,2008-11-17,2007-11-18,0,a0m90000003DOurAAG,
a0i90000001JPOZAA4,,25,2007-11-18,,2008-11-18,0,2008-11-17,2007-11-18,0,a0m90000003DOuqAAG,25
a0i90000001JPOZAA4,,2600,2007-11-18,,2008-11-18,2600,2008-11-17,2007-11-18,0,a0m90000003DOupAAG,
a0i90000001JPROAA4,-2400,200,2011-05-01,-200,,0,,2011-05-01,0,a0m90000003DOurAAG,
a0i90000001JPROAA4,,4,2011-05-01,,,0,,2011-05-01,0,a0m90000003DOuqAAG,-4
a0i90000001JPROAA4,,0,2011-05-01,,,0,,2011-05-01,0,a0m90000003DOusAAG,
a0i90000001JPVuAAO,1080,3500,2013-04-27,90,2014-04-27,0,2014-04-26,2013-04-27,0,a0m90000003DOurAAG,
a0i90000001JPVuAAO,,20,2013-04-27,,2014-04-27,0,2014-04-26,2013-04-27,0,a0m90000003DOuqAAG,2
a0i90000001JPVuAAO,,0,2013-04-27,,2014-04-27,0,2014-04-26,2013-04-27,0,a0m90000003DOusAAG,
a0i90000001JPQGAA4,624,52,2011-10-05,52,2013-09-05,0,2013-09-04,2011-10-05,0,a0m90000003DOurAAG,
a0i90000001JPQGAA4,,1,2011-10-05,,2013-09-05,0,2013-09-04,2011-10-05,0,a0m90000003DOuqAAG,1
a0i90000001JPQGAA4,,0,2011-10-05,,2013-09-05,0,2013-09-04,2011-10-05,0,a0m90000003DOusAAG,
a0i90000001JPPrAAO,1200,100,2010-01-10,100,2010-09-27,0,2010-09-26,2010-01-27,0,a0m90000003DOurAAG,
a0i90000001JPPrAAO,,5,2010-01-10,,2010-09-27,0,2010-09-26,2010-01-27,0,a0m90000003DOuqAAG,5
a0i90000001JPPrAAO,,0,2010-01-10,,2010-09-27,0,2010-09-26,2010-01-27,0,a0m90000003DOusAAG,
a0i90000001JPPcAAO,-29400,2450,2010-10-23,-2450,,0,,2010-10-23,0,a0m90000003DOurAAG,
a0i90000001JPPcAAO,,25,2010-10-23,,,0,,2010-10-23,0,a0m90000003DOuqAAG,-25
a0i90000001JPPcAAO,,0,2010-10-23,,,0,,2010-10-23,0,a0m90000003DOusAAG,
a0i90000001JPQ1AAO,-540,45,2010-10-12,-45,,0,,2010-10-12,0,a0m90000003DOurAAG,
a0i90000001JPQ1AAO,,2,2010-10-12,,,0,,2010-10-12,0,a0m90000003DOuqAAG,-2
a0i90000001JPQ1AAO,,0,2010-10-12,,,0,,2010-10-12,0,a0m90000003DOusAAG,
a0i90000001JPOyAAO,-3000,250,2008-06-02,-250,,0,,2008-06-02,0,a0m90000003DOurAAG,
a0i90000001JPOyAAO,,2,2008-06-02,,,0,,2008-06-02,0,a0m90000003DOuqAAG,-2
a0i90000001JPOyAAO,,0,2008-06-02,,,0,,2008-06-02,0,a0m90000003DOusAAG,
a0i90000001JPQBAA4,1248,104,2011-09-27,104,2013-08-30,0,2013-08-29,2011-09-27,0,a0m90000003DOurAAG,
a0i90000001JPQBAA4,,2,2011-09-27,,2013-08-30,0,2013-08-29,2011-09-27,0,a0m90000003DOuqAAG,2
a0i90000001JPQBAA4,,0,2011-09-27,,2013-08-30,0,2013-08-29,2011-09-27,0,a0m90000003DOusAAG,
a0i90000001JPO0AAO,8400,700,2012-10-01,700,2014-10-01,0,2014-09-30,2012-10-01,0,a0m90000003DOurAAG,
a0i90000001JPO0AAO,,10,2012-10-01,,2014-10-01,0,2014-09-30,2012-10-01,0,a0m90000003DOuqAAG,10
a0i90000001JPO0AAO,,2800,2012-10-01,,2014-10-01,2800,2014-09-30,2012-10-01,0,a0m90000003DOupAAG,
a0i90000001JPQpAAO,13704,1142,2008-08-31,1142,2009-06-12,0,2009-06-11,2008-08-31,0,a0m90000003DOurAAG,
a0i90000001JPQpAAO,,12,2008-08-31,,2009-06-12,0,2009-06-11,2008-08-31,0,a0m90000003DOuqAAG,12
a0i90000001JPQpAAO,,0,2008-08-31,,2009-06-12,0,2009-06-11,2008-08-31,0,a0m90000003DOusAAG,
a0i90000001JPQqAAO,0,9242,2009-06-12,0,2010-06-12,0,2010-06-11,2009-06-12,0,a0m90000003DOurAAG,
a0i90000001JPQqAAO,,62,2009-06-12,,2010-06-12,0,2010-06-11,2009-06-12,0,a0m90000003DOuqAAG,0
a0i90000001JPQqAAO,,0,2009-06-12,,2010-06-12,0,2010-06-11,2009-06-12,0,a0m90000003DOusAAG,
a0i90000001JPOKAA4,26400,2200,2011-10-24,2200,2012-10-24,0,2012-10-23,2011-10-24,0,a0m90000003DOurAAG,
a0i90000001JPOKAA4,,11,2011-10-24,,2012-10-24,0,2012-10-23,2011-10-24,0,a0m90000003DOuqAAG,11
a0i90000001JPOKAA4,,0,2011-10-24,,2012-10-24,0,2012-10-23,2011-10-24,0,a0m90000003DOusAAG,
a0i90000001JPMYAA4,0,3700,2012-09-02,0,2013-09-02,0,2013-09-01,2012-09-15,0,a0m90000003DOurAAG,
a0i90000001JPMYAA4,,0,2012-09-02,,2013-09-02,0,2013-09-01,2012-09-15,0,a0m90000003DOuqAAG,-19
a0i90000001JPMYAA4,,0,2012-09-02,,2013-09-02,0,2013-09-01,2012-09-15,0,a0m90000003DOusAAG,
a0i90000001JPLzAAO,68400,5700,2009-07-03,5700,2010-07-03,0,2010-07-02,2009-07-03,0,a0m90000003DOurAAG,
a0i90000001JPLzAAO,,45,2009-07-03,,2010-07-03,0,2010-07-02,2009-07-03,0,a0m90000003DOuqAAG,45
a0i90000001JPLzAAO,,14300,2009-07-03,,2010-07-03,14300,2010-07-02,2009-07-03,0,a0m90000003DOupAAG,
a0i90000001JPPNAA4,11400,950,2009-10-03,950,2010-02-03,0,2010-02-02,2009-10-03,0,a0m90000003DOurAAG,
a0i90000001JPPNAA4,,3,2009-10-03,,2010-02-03,0,2010-02-02,2009-10-03,0,a0m90000003DOuqAAG,3
a0i90000001JPPNAA4,,0,2009-10-03,,2010-02-03,0,2010-02-02,2009-10-03,0,a0m90000003DOusAAG,
a0i90000001JPLpAAO,28200,2350,2012-03-05,2350,2013-04-01,0,2013-03-31,2012-04-01,0,a0m90000003DOurAAG,
a0i90000001JPLpAAO,,24,2012-03-05,,2013-04-01,0,2013-03-31,2012-04-01,0,a0m90000003DOuqAAG,24
a0i90000001JPLpAAO,,7800,2012-03-05,,2013-04-01,7800,2013-03-31,2012-04-01,0,a0m90000003DOupAAG,
a0i90000001JPLuAAO,5400,2800,2013-01-01,450,2014-04-01,0,2014-03-31,2013-04-01,0,a0m90000003DOurAAG,
a0i90000001JPLuAAO,,28,2013-01-01,,2014-04-01,0,2014-03-31,2013-04-01,0,a0m90000003DOuqAAG,4
a0i90000001JPLuAAO,,1200,2013-01-01,,2014-04-01,1200,2014-03-31,2013-04-01,0,a0m90000003DOusAAG,
a0i90000001JPNqAAO,6000,3000,2012-01-01,500,2013-01-01,0,2012-12-31,2012-01-01,0,a0m90000003DOurAAG,
a0i90000001JPNqAAO,,50,2012-01-01,,2013-01-01,0,2012-12-31,2012-01-01,0,a0m90000003DOuqAAG,0
a0i90000001JPNqAAO,,0,2012-01-01,,2013-01-01,0,2012-12-31,2012-01-01,0,a0m90000003DOusAAG,
a0i90000001JPNWAA4,39000,21500,2010-09-01,3250,2011-09-01,0,2011-08-31,2010-09-01,0,a0m90000003DOurAAG,
a0i90000001JPNWAA4,,70,2010-09-01,,2011-09-01,0,2011-08-31,2010-09-01,0,a0m90000003DOuqAAG,2
a0i90000001JPNWAA4,,0,2010-09-01,,2011-09-01,0,2011-08-31,2010-09-01,0,a0m90000003DOusAAG,
a0i90000001JPPDAA4,-14400,10500,2009-02-03,-1200,2010-02-03,0,2010-02-02,2009-02-03,0,a0m90000003DOurAAG,
a0i90000001JPPDAA4,,70,2009-02-03,,2010-02-03,0,2010-02-02,2009-02-03,0,a0m90000003DOuqAAG,-7
a0i90000001JPPDAA4,,0,2009-02-03,,2010-02-03,0,2010-02-02,2009-02-03,0,a0m90000003DOusAAG,
a0i90000001JPNlAAO,2400,2500,2011-01-01,200,2012-01-01,0,2011-12-31,2011-01-01,0,a0m90000003DOurAAG,
a0i90000001JPNlAAO,,50,2011-01-01,,2012-01-01,0,2011-12-31,2011-01-01,0,a0m90000003DOuqAAG,10
a0i90000001JPNlAAO,,0,2011-01-01,,2012-01-01,0,2011-12-31,2011-01-01,0,a0m90000003DOusAAG,
a0i90000001JPPwAAO,0,345,2010-09-25,0,2011-09-27,0,2011-09-26,2010-09-27,0,a0m90000003DOurAAG,
a0i90000001JPPwAAO,,25,2010-09-25,,2011-09-27,0,2011-09-26,2010-09-27,0,a0m90000003DOuqAAG,0
