TransHeader_ExternalId__c,JBCXM__ACCOUNT__R.Data_ExternalId__c,JBCXM__ASVTOTAL__C,JBCXM__ASV__C,JBCXM__CHURNREASON__r.Picklist_ExternalId__c,JBCXM__COMMENT__C,JBCXM__DATE__C,JBCXM__MRRTOTAL__C,JBCXM__MRR__C,JBCXM__MAIN__C,JBCXM__NAME__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ONETIMEREVENUE__C,JBCXM__ORDERTYPE__r.Picklist_ExternalId__c,JBCXM__ORIGINALCONTRACT__C,JBCXM__RENEWABLE__C,JBCXM__RENEWALSTATUS__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__TERM_FRACTIONAL__C,JBCXM__TERM__C,JBCXM__USERSTOTAL__C,JBCXM__USERS__C
a0i90000001JPN9AAO,CADAM Inc.,-1188,-1188,,,2013-05-08,-99,-99,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2013-05-08,,0,-1,-1
a0i90000001JPQVAA4,CADAM Inc.,1188,1188,,,2013-04-30,99,99,TRUE,,2013-05-30,0,a0L9000000Ct9wREAR,,TRUE,Open,2013-05-29,2013-04-30,1,0,1,1
a0i90000001JPN3AAO,Cadbury Beverages Div Cadbury,97200,97200,,,2007-06-12,8100,8100,TRUE,,2008-06-12,6245,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2008-06-11,2007-06-12,12,0,50,50
a0i90000001JPUhAAO,Dame Belts & Bag Co Inc,-30000,-30000,,,2012-06-01,-2500,-2500,FALSE,,,-1200,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2012-06-01,,0,-20,-20
a0i90000001JPSvAAO,Dai-Ichi Kangyo Bank,-1188,-1188,,,2013-05-29,-99,-99,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2013-05-29,,0,-1,-1
a0i90000001JPV1AAO,Dame Belts & Bag Co Inc,0,0,,Reconciled by Gainsight 7/30/13,2012-10-24,0,0,FALSE,,2013-07-04,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2013-07-03,2012-10-24,8.3123,0,0,0
a0i90000001JPTyAAO,Daisy of California,-1800,-1800,,,2012-11-23,-150,-150,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2012-11-23,,0,-2,-2
a0i90000001JPSlAAO,Dai-Ichi Kangyo Bank,-1188,-1188,,Reconciled by Gainsight 7/29/13,2013-05-08,-99,-99,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2013-05-08,,0,-1,-1
a0i90000001JPTUAA4,Daisy of California,0,0,,New Oppty for New BU's with existing customer ISO...,2009-12-30,0,0,FALSE,,,2176,a0L9000000Ct9xIEAR,,FALSE,Not renewable,,2009-12-30,,0,0,0
a0i90000001JPSbAAO,Dai-Ichi Kangyo Bank,1188,1188,,,2013-04-12,99,99,TRUE,,2013-05-12,0,a0L9000000Ct9wREAR,,TRUE,Open,2013-05-11,2013-04-12,1,0,1,1
a0i90000001JPSqAAO,Dai-Ichi Kangyo Bank,-1188,-1188,,Reconciled by Gainsight Aug13,2013-05-11,-99,-99,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2013-05-11,,0,-1,-1
a0i90000001JPReAAO,Daisy of California,6600,6600,,,2012-10-23,550,550,FALSE,,2012-12-24,0,a0L9000000Ct9xIEAR,,FALSE,Not renewable,2012-12-23,2012-10-23,2.037,0,4,4
a0i90000001JPUcAAO,Dame Belts & Bag Co Inc,52956,52956,,,2012-05-15,4413,4413,TRUE,,2014-05-15,28500,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2014-05-14,2012-05-15,24,0,250,250
a0i90000001JPTAAA4,Daisy of California,13704,13704,,,2008-08-31,1142,1142,FALSE,,2009-06-12,0,a0L9000000Ct9xIEAR,,FALSE,Not renewable,2009-06-11,2008-08-31,9.3636,0,12,12
a0i90000001JPSgAAO,Dai-Ichi Kangyo Bank,1188,1188,,,2013-04-30,99,99,TRUE,,2013-05-30,0,a0L9000000Ct9wREAR,,TRUE,Open,2013-05-29,2013-04-30,1,0,1,1
a0i90000001JPTKAA4,Daisy of California,-7680,-7680,,,2009-10-15,-640,-640,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2009-10-15,,0,0,0
a0i90000001JPTPAA4,Daisy of California,-4680,-4680,,,2009-12-30,-390,-390,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2009-12-30,,0,-17,-17
a0i90000001JPSRAA4,Cal-Pac Roofing Inc,624,624,,,2011-10-05,52,52,FALSE,,2013-09-05,0,a0L9000000Ct9xIEAR,,TRUE,Open,2013-09-04,2011-10-05,23,0,1,1
a0i90000001JPTFAA4,Daisy of California,110904,0,,,2009-06-12,9242,0,TRUE,,2010-06-12,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2010-06-11,2009-06-12,12,0,62,0
a0i90000001JPQLAA4,CADAM Inc.,1188,1188,,,2013-04-09,99,99,TRUE,,2013-05-09,0,a0L9000000Ct9wREAR,,FALSE,Closed - Will not renew,2013-05-08,2013-04-09,1,0,1,1
a0i90000001JPVzAAO,Daley Business Forms,3000,3000,,,2013-12-01,250,250,FALSE,,2014-04-01,0,a0L9000000Ct9wXEAR,,TRUE,Closed - Co-Termed,2014-03-31,2013-12-01,4,0,2,2
a0i90000001JPR9AAO,Cadbury Beverages Div Cadbury,98400,-144,,,2010-06-12,8200,-12,TRUE,,2012-06-12,0,a0L9000000Ct9w8EAB,,TRUE,Closed - Renewed,2012-06-11,2010-06-12,24,0,45,0
a0i90000001JPRJAA4,Cadbury Beverages Div Cadbury,2400,2400,,,2011-04-08,200,200,FALSE,,2012-06-12,0,a0L9000000Ct9wXEAR,,FALSE,Closed - Will not renew,2012-06-11,2011-04-08,14.1605,0,4,4
a0i90000001JPNbAAO,Bachman Information System Inc.,18000,18000,,,2010-01-01,1500,1500,TRUE,,2011-01-01,12900,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-12-31,2010-01-01,12,0,30,30
a0i90000001JPQzAAO,Cadbury Beverages Div Cadbury,-4680,-4680,,,2009-12-30,-390,-390,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2009-12-30,,0,-17,-17
a0i90000001JPNvAAO,Bachman Information System Inc.,30000,-6000,,,2013-01-01,2500,-500,TRUE,,2014-01-01,0,a0L9000000Ct9w8EAB,,TRUE,Open,2013-12-31,2013-01-01,12,0,50,0
a0i90000001JPRTAA4,Cadbury Beverages Div Cadbury,98400,0,,,2012-06-12,8200,0,TRUE,,2013-06-12,0,a0L9000000Ct9wYEAR,,TRUE,Open,2013-06-11,2012-06-12,12,0,50,5
a0i90000001JPR4AAO,Cadbury Beverages Div Cadbury,0,0,,,2009-12-30,0,0,FALSE,,,2176,a0L9000000Ct9wXEAR,,FALSE,Not renewable,,2009-12-30,,0,0,0
a0i90000001JPTeAAO,Daisy of California,0,0,,,2010-09-09,0,0,FALSE,,,530,a0L9000000Ct9xIEAR,,FALSE,Not renewable,,2010-09-09,,0,0,0
a0i90000001JPVpAAO,Daley Business Forms,-6000,-6000,,,2012-11-10,-500,-500,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2012-11-10,,0,-5,-5
a0i90000001JPOoAAO,Balfour Maclaine International,16800,16800,,,2008-05-10,1400,1400,FALSE,,2008-11-18,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2008-11-17,2008-05-10,6.3081,0,10,10
a0i90000001JPQuAAO,Cadbury Beverages Div Cadbury,-7680,-7680,,,2009-10-15,-640,-640,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2009-10-15,,0,0,0
a0i90000001JPOUAA4,Baker & McKenzie,-26400,-26400,,,2011-12-24,-2200,-2200,FALSE,,,0,a0L9000000Ct9vyEAB,,FALSE,Not renewable,,2011-12-24,,0,-11,-11
a0i90000001JPRsAAO,Cahn Instruments Inc,2940,2940,,,2009-09-27,245,245,TRUE,,2010-09-27,1200,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-09-26,2009-09-27,12,0,20,20
a0i90000001JPNMAA4,Abbey Press Inc,21000,21000,,,2009-10-02,1750,1750,FALSE,,2010-08-14,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-08-13,2009-10-02,10.3821,0,8,8
a0i90000001JPQ6AAO,Caco-Pacific Corp.,12480,12480,,,2011-07-31,1040,1040,TRUE,,2013-08-30,0,a0L9000000Ct9wREAR,,TRUE,Open,2013-08-29,2011-08-30,24,0,20,20
a0i90000001JPS7AAO,Cahn Instruments Inc,-540,-540,,,2010-10-12,-45,-45,FALSE,,,0,a0L9000000Ct9xJEAR,,FALSE,Not renewable,,2010-10-12,,0,-2,-2
a0i90000001JPPSAA4,Balfour Maclaine International,204000,15840,,,2010-04-22,17000,1320,TRUE,,2011-04-22,0,a0L9000000Ct9wYEAR,,TRUE,Open,2011-04-21,2010-04-22,12,0,85,0
a0i90000001JPOZAA4,Balfour Maclaine International,64560,64560,,,2007-11-18,5380,5380,TRUE,,2008-11-18,2600,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2008-11-17,2007-11-18,12,0,25,25
a0i90000001JPROAA4,Cadbury Beverages Div Cadbury,-2400,-2400,,,2011-05-01,-200,-200,FALSE,,,0,a0L9000000Ct9vyEAB,,FALSE,Not renewable,,2011-05-01,,0,-4,-4
a0i90000001JPVuAAO,Daley Business Forms,42000,1080,,,2013-04-27,3500,90,TRUE,,2014-04-27,0,a0L9000000Ct9wYEAR,,TRUE,Open,2014-04-26,2013-04-27,12,0,20,2
a0i90000001JPQGAA4,Caco-Pacific Corp.,624,624,,,2011-10-05,52,52,FALSE,,2013-09-05,0,a0L9000000Ct9wXEAR,,TRUE,Open,2013-09-04,2011-10-05,23,0,1,1
a0i90000001JPPrAAO,Ball & Socket Mfg Co,1200,1200,,,2010-01-10,100,100,FALSE,,2010-09-27,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-09-26,2010-01-27,8,0,5,5
a0i90000001JPPcAAO,Balfour Maclaine International,-29400,-29400,,,2010-10-23,-2450,-2450,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2010-10-23,,0,-25,-25
a0i90000001JPQ1AAO,Ball & Socket Mfg Co,-540,-540,,,2010-10-12,-45,-45,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2010-10-12,,0,-2,-2
a0i90000001JPOyAAO,Balfour Maclaine International,-3000,-3000,,,2008-06-02,-250,-250,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2008-06-02,,0,-2,-2
a0i90000001JPQBAA4,Caco-Pacific Corp.,1248,1248,,,2011-09-27,104,104,FALSE,,2013-08-30,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2013-08-29,2011-09-27,23.097,0,2,2
a0i90000001JPO0AAO,Back Stage Magazine,8400,8400,,,2012-10-01,700,700,TRUE,,2014-10-01,2800,a0L9000000Ct9wREAR,,TRUE,Open,2014-09-30,2012-10-01,24,0,10,10
a0i90000001JPQpAAO,Cadbury Beverages Div Cadbury,13704,13704,,,2008-08-31,1142,1142,FALSE,,2009-06-12,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2009-06-11,2008-08-31,9.3636,0,12,12
a0i90000001JPQqAAO,Cadbury Beverages Div Cadbury,110904,0,,,2009-06-12,9242,0,TRUE,,2010-06-12,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2010-06-11,2009-06-12,12,0,62,0
a0i90000001JPOKAA4,Baker & McKenzie,26400,26400,,,2011-10-24,2200,2200,FALSE,,2012-10-24,0,a0L9000000Ct9wXEAR,,FALSE,Closed - Will not renew,2012-10-23,2011-10-24,12,0,11,11
a0i90000001JPMYAA4,Abberley Kooiman,44400,0,,,2012-09-02,3700,0,TRUE,,2013-09-02,0,a0L9000000Ct9w8EAB,,TRUE,Closed - Renewed,2013-09-01,2012-09-15,11.5649,0,0,-19
a0i90000001JPLzAAO,Abacus Programming Corporation,68400,68400,,,2009-07-03,5700,5700,TRUE,,2010-07-03,14300,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-07-02,2009-07-03,12,0,45,45
a0i90000001JPPNAA4,Balfour Maclaine International,11400,11400,,,2009-10-03,950,950,FALSE,,2010-02-03,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-02-02,2009-10-03,4,0,3,3
a0i90000001JPLpAAO,AAR Corp Hardware Abscoa Division,28200,28200,,,2012-03-05,2350,2350,TRUE,,2013-04-01,7800,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2013-03-31,2012-04-01,12,0,24,24
a0i90000001JPLuAAO,AAR Corp Hardware Abscoa Division,33600,5400,,,2013-01-01,2800,450,TRUE,,2014-04-01,1200,a0L9000000Ct9wYEAR,,TRUE,Open,2014-03-31,2013-04-01,12,0,28,4
a0i90000001JPNqAAO,Bachman Information System Inc.,36000,6000,,,2012-01-01,3000,500,TRUE,,2013-01-01,0,a0L9000000Ct9wYEAR,,TRUE,Closed - Renewed,2012-12-31,2012-01-01,12,0,50,0
a0i90000001JPNWAA4,Abbey Press Inc,258000,39000,,,2010-09-01,21500,3250,TRUE,,2011-09-01,0,a0L9000000Ct9wYEAR,,TRUE,Open,2011-08-31,2010-09-01,12,0,70,2
a0i90000001JPPDAA4,Balfour Maclaine International,126000,-14400,,,2009-02-03,10500,-1200,TRUE,,2010-02-03,0,a0L9000000Ct9w8EAB,,TRUE,Closed - Renewed,2010-02-02,2009-02-03,12,0,70,-7
a0i90000001JPNlAAO,Bachman Information System Inc.,30000,2400,,,2011-01-01,2500,200,TRUE,,2012-01-01,0,a0L9000000Ct9wYEAR,,TRUE,Closed - Renewed,2011-12-31,2011-01-01,12,0,50,10
a0i90000001JPPwAAO,Ball & Socket Mfg Co,4140,0,,,2010-09-25,345,0,TRUE,,2011-09-27,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2011-09-26,2010-09-27,12,0,25,0
a0i90000001JPPxAAO,Ball & Socket Mfg Co,3720,120,,,2011-09-20,310,10,TRUE,,2012-09-27,0,a0L9000000Ct9wYEAR,,TRUE,Open,2012-09-26,2011-09-27,12,0,25,2
a0i90000001JPMdAAO,Abberley Kooiman,44400,0,,,2013-08-15,3700,0,TRUE,,2014-09-01,0,a0L9000000Ct9wAEAR,,TRUE,Open,2014-08-31,2013-09-01,12,0,0,0
a0i90000001JPNRAA4,Abbey Press Inc,129600,-600,,,2010-02-12,10800,-50,TRUE,,2011-02-12,0,a0L9000000Ct9w8EAB,,TRUE,Closed - Renewed,2011-02-11,2010-02-12,12,0,40,-2
a0i90000001JPMnAAO,Abbett Electric Corp,43200,43200,,,2010-08-02,3600,3600,FALSE,,2011-08-02,2900,a0L9000000Ct9wXEAR,,TRUE,Closed - Co-Termed,2011-08-01,2010-08-02,12,0,12,12
a0i90000001JPMoAAO,Abbett Electric Corp,210540,0,,,2012-05-17,17545,0,TRUE,,2013-05-18,0,a0L9000000Ct9wAEAR,,TRUE,Open,2013-05-17,2012-05-17,12.0249,0,125,0
a0i90000001JPMEAA4,Abacus Programming Corporation,96000,6000,,,2011-07-02,8000,500,TRUE,,2012-07-03,12800,a0L9000000Ct9wYEAR,,TRUE,Closed - Renewed,2012-07-02,2011-07-03,12,0,68,11
a0i90000001JPSHAA4,Cal-Pac Roofing Inc,12480,12480,,,2011-07-31,1040,1040,TRUE,,2013-08-30,0,a0L9000000Ct9wREAR,,TRUE,Open,2013-08-29,2011-08-30,24,0,20,20
a0i90000001JPMOAA4,Abacus Programming Corporation,102000,7200,,,2013-07-02,8500,600,TRUE,,2014-07-03,0,a0L9000000Ct9wYEAR,,TRUE,Open,2014-07-02,2013-07-03,12,0,70,2
a0i90000001JPPmAAO,Ball & Socket Mfg Co,2940,2940,,,2009-09-27,245,245,TRUE,,2010-09-27,1200,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-09-26,2009-09-27,12,0,20,20
a0i90000001JPPIAA4,Balfour Maclaine International,50760,50760,,,2009-04-23,4230,4230,TRUE,,2010-04-23,780,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-04-22,2009-04-23,12,0,12,12
a0i90000001JPNCAA4,Abbey Press Inc,-13800,-13800,,,2009-04-11,-1150,-1150,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2009-04-11,,0,-4,-4
a0i90000001JPPhAAO,Balfour Maclaine International,43800,43800,,,2010-12-20,3650,3650,FALSE,,2011-05-20,0,a0L9000000Ct9wXEAR,,TRUE,Open,2011-05-19,2010-12-20,5,0,0,0
a0i90000001JPOtAAO,Balfour Maclaine International,-15120,-15120,,,2008-05-31,-1260,-1260,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2008-05-31,,0,-2,-2
a0i90000001JPMJAA4,Abacus Programming Corporation,94800,-1200,,,2012-07-03,7900,-100,TRUE,,2013-07-03,0,a0L9000000Ct9w8EAB,,TRUE,Closed - Renewed,2013-07-02,2012-07-03,12,0,68,0
a0i90000001JPOAAA4,Back Stage Magazine,-7200,-7200,a0L9000000Ct9vzEAB,,2014-09-30,-600,-600,FALSE,,,0,a0L9000000Ct9wSEAR,,FALSE,Not renewable,,2014-09-30,,0,-5,-5
a0i90000001JPOPAA4,Baker & McKenzie,42000,672,,,2012-06-13,3500,56,TRUE,,2013-06-13,0,a0L9000000Ct9wYEAR,,TRUE,Open,2013-06-12,2012-06-13,12,0,70,7
a0i90000001JPMsAAO,Abbett Electric Corp,154140,0,,,2011-05-18,12845,0,TRUE,,2012-05-18,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2012-05-17,2011-05-18,12,0,86,0
a0i90000001JPN7AAO,Abbey Press Inc,73200,73200,,,2009-03-14,6100,6100,FALSE,,2010-03-14,1700,a0L9000000Ct9wXEAR,,TRUE,Closed - Co-Termed,2010-03-13,2009-03-14,12,0,18,18
a0i90000001JPN8AAO,Baker & McKenzie,15120,15120,,,2011-12-13,1260,1260,FALSE,,2012-06-13,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2012-06-12,2011-12-13,6,0,21,21
a0i90000001JPMxAAO,Abbett Electric Corp,56400,56400,,,2011-06-22,4700,4700,TRUE,,2012-06-22,2100,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2012-06-21,2011-06-22,12,0,39,39
a0i90000001JPOeAAO,Balfour Maclaine International,52560,52560,,,2008-02-02,4380,4380,TRUE,,2009-02-02,2100,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2009-02-01,2008-02-02,12,0,31,31
a0i90000001JPOFAA4,Baker & McKenzie,26208,26208,,,2011-06-13,2184,2184,TRUE,,2012-06-13,7500,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2012-06-12,2011-06-13,12,0,42,42
a0i90000001JPOjAAO,Balfour Maclaine International,22200,22200,,,2008-02-03,1850,1850,FALSE,,2008-08-03,1200,a0L9000000Ct9wXEAR,,TRUE,Closed - Co-Termed,2008-08-02,2008-02-03,6,0,12,12
a0i90000001JPM4AAO,Abacus Programming Corporation,21600,21600,,,2009-12-24,1800,1800,FALSE,,2010-07-03,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-07-02,2009-12-24,6.2753,0,12,12
a0i90000001JPM9AAO,Abacus Programming Corporation,90000,0,,,2010-07-01,7500,0,TRUE,,2011-07-03,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2011-07-02,2010-07-03,12,0,57,0
a0i90000001JPN2AAO,Abbey Press Inc,70800,70800,,,2009-02-12,5900,5900,TRUE,,2010-02-12,3800,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-02-11,2009-02-12,12,0,28,28
a0i90000001JPNHAA4,Abbey Press Inc,68400,68400,,,2009-08-14,5700,5700,TRUE,,2010-08-14,3900,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-08-13,2009-08-14,12,0,20,20
a0i90000001JPMiAAO,Abbett Electric Corp,110940,110940,,,2010-05-18,9245,9245,TRUE,,2011-05-18,14600,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2011-05-17,2010-05-18,12,0,74,74
a0i90000001JPP3AAO,Balfour Maclaine International,20400,1200,,,2008-08-02,1700,100,TRUE,,2009-02-04,0,a0L9000000Ct9wYEAR,,TRUE,Closed - Renewed,2009-02-03,2008-08-02,6.111,0,12,2
a0i90000001JPNgAAO,Bachman Information System Inc.,9600,9600,,,2010-07-01,800,800,FALSE,,2011-01-01,2100,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-12-31,2010-07-01,6,0,10,10
a0i90000001JPO5AAO,Back Stage Magazine,-1200,-1200,,,2012-11-23,-100,-100,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2012-11-23,,0,-5,-5
a0i90000001JPMTAA4,Abberley Kooiman,44400,44400,,,2011-06-24,3700,3700,TRUE,,2012-06-02,5100,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2012-06-01,2011-06-26,11.2364,0,19,19
a0i90000001JPP8AAO,Balfour Maclaine International,120000,1200,,,2008-11-17,10000,100,TRUE,,2009-11-17,0,a0L9000000Ct9wYEAR,,TRUE,Closed - Renewed,2009-11-16,2008-11-17,12,0,65,1
a0i90000001JPToAAO,Daisy of California,-2400,-2400,,,2011-05-01,-200,-200,FALSE,,,0,a0L9000000Ct9xKEAR,,FALSE,Not renewable,,2011-05-01,,0,-4,-4
a0i90000001JPSWAA4,Dai-Ichi Kangyo Bank,1188,1188,,,2013-04-09,99,99,TRUE,,2013-05-09,0,a0L9000000Ct9wREAR,,TRUE,Open,2013-05-08,2013-04-09,1,0,1,1
a0i90000001JPT5AAO,Daisy of California,97200,0,,,2008-06-12,8100,0,TRUE,,2009-06-12,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2009-06-11,2008-06-12,12,0,50,0
a0i90000001JPQfAAO,CADAM Inc.,-1188,-1188,,,2013-05-29,-99,-99,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2013-05-29,,0,-1,-1
a0i90000001JPTjAAO,Daisy of California,2400,2400,,,2011-04-08,200,200,FALSE,,2012-06-12,0,a0L9000000Ct9xIEAR,,TRUE,Open,2012-06-11,2011-04-08,14.1605,0,4,4
a0i90000001JPTZAA4,Daisy of California,98400,-144,,,2010-06-12,8200,-12,TRUE,,2012-06-12,0,a0L9000000Ct9w8EAB,,TRUE,Closed - Renewed,2012-06-11,2010-06-12,24,0,45,0
a0i90000001JPSMAA4,Cal-Pac Roofing Inc,1248,1248,,,2011-09-27,104,104,FALSE,,2013-08-30,0,a0L9000000Ct9xIEAR,,FALSE,Not renewable,2013-08-29,2011-09-27,23.097,0,2,2
a0i90000001JPT0AAO,Daisy of California,97200,97200,,,2007-06-12,8100,8100,TRUE,,2008-06-12,6245,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2008-06-11,2007-06-12,12,0,50,50
a0i90000001JPU3AAO,Daisy of California,-194400,-194400,a0L9000000Ct9w0EAB,,2012-12-31,-16200,-16200,FALSE,,,0,a0L9000000Ct9wSEAR,,FALSE,Not renewable,,2012-12-31,,0,-127,-127
