Picklist_ExternalId__c,NAME,JBCXM__ACTIVE__C,JBCXM__ADOPTIONMEASURE__C,JBCXM__ATTRIBUTE1__C,JBCXM__ATTRIBUTE2__C,JBCXM__ATTRIBUTE3__C,JBCXM__ATTRIBUTE4__C,JBCXM__CATEGORY__C,JBCXM__DISPLAYORDER__C,JBCXM__INCLUDEINWIDGET__C,JBCXM__SHORTNAME__C,JBCXM__SYSTEMDEFINED__C,JBCXM__SYSTEMNAME__C,JBCXM__USAGETRACKINGMEASURE__C,JBCXM__MAPTOBOOKINGTYPE__C
a0L9000000Ct9w4EAB,Downsell,TRUE,FALSE,#36ea40,,,FALSE,Alert Type,2,TRUE,Downsell,FALSE,Downsell Alert,FALSE,
a0L9000000Ct9w5EAB,High,TRUE,FALSE,#dc3812,,,FALSE,Alert Severity,1,TRUE,High,TRUE,alertseverity1,FALSE,
a0L9000000Ct9w6EAB,Medium,TRUE,FALSE,#fe9900,,,FALSE,Alert Severity,2,FALSE,Medium,TRUE,alertseverity2,FALSE,
a0L9000000Ct9w7EAB,Low,TRUE,FALSE,#3266cc,,,FALSE,Alert Severity,3,FALSE,Low,TRUE,alertseverity3,FALSE,
a0L9000000Ct9w8EAB,Renewal with Downsell,TRUE,FALSE,#FF6600,,,FALSE,Order Type,6,FALSE,RWD,TRUE,Renewal with Downsell,FALSE,Renewal with Downsell
a0L9000000Ct9w9EAB,Watched,TRUE,FALSE,#55bf3b,,,FALSE,Alert Severity,4,FALSE,Watched,TRUE,alertseverity4,FALSE,
a0L9000000Ct9wAEAR,Renewal,TRUE,FALSE,#00FF00,,,FALSE,Order Type,4,FALSE,Renewal,TRUE,Renewal,FALSE,Renewal
a0L9000000Ct9wBEAR,Closed,TRUE,FALSE,#55bf3b,,,FALSE,Alert Status,2,FALSE,Closed,TRUE,Closed,FALSE,
a0L9000000Ct9wCEAR,Customer Concern,TRUE,FALSE,#22ceff,,,FALSE,Alert Type,3,FALSE,Cust Concern,FALSE,Customer Concern,FALSE,
a0L9000000Ct9wDEAR,Under Implementation / Activation,TRUE,FALSE,,,,FALSE,Customer Stage,2,FALSE,Under Imp/ Act,FALSE,stage2,FALSE,
a0L9000000Ct9wEEAR,Expectations Mismatch,TRUE,FALSE,#3266cc,,,FALSE,Alert Reason,4,FALSE,Exp Mismatch,FALSE,alertreason4,FALSE,
a0L9000000Ct9wFEAR,Potential Churn,TRUE,FALSE,#dcdf0c,,,FALSE,Alert Type,1,TRUE,Poten Churn,FALSE,Potential Churn,FALSE,
a0L9000000Ct9wGEAR,Active,TRUE,FALSE,#dc3812,,,FALSE,Alert Status,1,TRUE,Active,TRUE,Active,FALSE,
a0L9000000Ct9wHEAR,Go Live,TRUE,FALSE,,,,FALSE,Customer Stage,3,FALSE,Go Live,FALSE,stage3,FALSE,
a0L9000000Ct9wIEAR,Services Issues,TRUE,FALSE,#dc3812,,,FALSE,Alert Reason,5,FALSE,Services Issues,FALSE,alertreason5,FALSE,
a0L9000000Ct9wJEAR,Support Issues,TRUE,FALSE,#fe9900,,,FALSE,Alert Reason,6,FALSE,Support Issues,FALSE,alertreason6,FALSE,
a0L9000000Ct9wKEAR,Seasoned Customer,TRUE,FALSE,,,,FALSE,Customer Stage,4,FALSE,Seas Cust,FALSE,stage4,FALSE,
a0L9000000Ct9wLEAR,Others - Uncategorized,TRUE,FALSE,#dcdf0c,,,FALSE,Alert Reason,7,FALSE,Oth-Uncat,FALSE,alertreason7,FALSE,
a0L9000000Ct9wMEAR,Expert,TRUE,FALSE,,,,FALSE,Customer Stage,5,FALSE,Expert,FALSE,stage5,FALSE,
a0L9000000Ct9wNEAR,Churn,TRUE,FALSE,,,,FALSE,Customer Status,3,FALSE,Churn,TRUE,ChurnCustomer,FALSE,
a0L9000000Ct9wOEAR,Downsell,TRUE,FALSE,#FF6600,,,FALSE,Order Type,3,FALSE,Downsell,TRUE,Downsell,FALSE,Downsell
a0L9000000Ct9wPEAR,Product Issues,TRUE,FALSE,#99FF33,,,FALSE,Alert Reason,1,FALSE,Product Issues,FALSE,alertreason1,FALSE,
a0L9000000Ct9wQEAR,Functionality Mismatch,TRUE,FALSE,#55bf3b,,,FALSE,Alert Reason,2,FALSE,FunctMismatch,FALSE,alertreason2,FALSE,
a0L9000000Ct9wREAR,New Business,TRUE,FALSE,#00FF00,,,FALSE,Order Type,1,FALSE,New Business,TRUE,New Business,FALSE,New Business
a0L9000000Ct9wSEAR,Churn,TRUE,FALSE,#FF0000,,,FALSE,Order Type,7,FALSE,Churn,TRUE,Churn,FALSE,Churn
a0L9000000Ct9wTEAR,Product Performance Issues,TRUE,FALSE,#7799bf,,,FALSE,Alert Reason,3,FALSE,PerformIssues,FALSE,alertreason3,FALSE,
a0L9000000Ct9wUEAR,New Business,TRUE,FALSE,,,,FALSE,Customer Stage,1,FALSE,New Business,FALSE,stage1,FALSE,
a0L9000000Ct9wVEAR,Need to watch,TRUE,FALSE,,,,FALSE,Customer Stage,6,FALSE,Watch,FALSE,stage6,FALSE,
a0L9000000Ct9wWEAR,Active,TRUE,FALSE,,,,FALSE,Customer Status,1,FALSE,Active,TRUE,ActiveCustomer,FALSE,
a0L9000000Ct9wXEAR,Upsell,TRUE,FALSE,#CCFF33,,,FALSE,Order Type,2,FALSE,Upsell,TRUE,Upsell,FALSE,Upsell
a0L9000000Ct9wYEAR,Renewal with Upsell,TRUE,FALSE,#CCFF33,,,FALSE,Order Type,5,FALSE,RWU,TRUE,Renewal with Upsell,FALSE,Renewal with Upsell
a0L9000000Ct9xIEAR,CustomUpsell,TRUE,FALSE,#ffff00,,,FALSE,Order Type,8,FALSE,CustomUpsell,FALSE,CustomUpsell,FALSE,Upsell
a0L9000000Ct9xJEAR,CustomDownsell,TRUE,FALSE,#ff9900,,,FALSE,Order Type,9,FALSE,CustomDownsell,FALSE,CustomDownsell,FALSE,Downsell
a0L9000000Ct9xKEAR,CustomDebook,TRUE,FALSE,#3333ff,,,FALSE,Order Type,10,FALSE,CustomDebook,FALSE,CustomDebook,FALSE,Debook
