Account,Name,Number Date,Date,InstanceId,InstanceName,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
COORPORATIVO ALME SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,10100,1161,3308,6792
CORPORACION MEXICANA DE POLIMEROS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,3875,0,3875,0
CORTES GARCIA ALEJANDRO CESAR,INSTANCELEVEL,-24,10/01/2011,Production,Production,67837,14350,27226,40611
CRAFT INSTRUMENTOS CIENTIFICOS,INSTANCELEVEL,-24,10/01/2011,Production,Production,39800,3309,26669,13131
CRIBAS Y ARRENDAMIENTOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,488094,44782,389383,98711
D NOVO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,2,0,2,0
Dai-Ichi Kangyo Bank,INSTANCELEVEL,-24,10/01/2011,Production,Production,832057,0,821996,10061
Darta NV,INSTANCELEVEL,-24,10/01/2011,Production,Production,263678,9761,243113,20565
DE LAS FUENTES MARTINEZ JESUS ALBER,INSTANCELEVEL,-24,10/01/2011,Production,Production,588,0,577,11
DELGADO CAMPBELL SANTIAGO ALBERTO,INSTANCELEVEL,-24,10/01/2011,Production,Production,30388,1406,25743,4645
DEX DEL NOROESTE SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,10501,0,10501,0
DIKEN HERMOSILLO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,377935,0,377935,0
DISTRIBUCION DE MADERA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,197944,14137,160849,37095
DISTRIBUIDORA DE SUMINISTROS GENERA,INSTANCELEVEL,-24,10/01/2011,Production,Production,711347,131,711333,14
DISTRIBUIDORA SAJOR SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,1.29E+07,328743,89387,1.28E+07
DONGGUAN JINLIYI INDUSTRIAL CO LTD,INSTANCELEVEL,-24,10/01/2011,Production,Production,35,0,34,1
DOW QUIMICA MEXICANA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,24950,0,24950,0
DURAN LIZARRAGA ROMEL ALBERTO,INSTANCELEVEL,-24,10/01/2011,Production,Production,957057,79181,427191,529866
East Bay Brass Foundry,INSTANCELEVEL,-24,10/01/2011,Production,Production,13464,0,13464,0
Eastman Kodak Company Health Sciences Division,INSTANCELEVEL,-24,10/01/2011,Production,Production,703846,11320,646221,57625
ECOCAMIONES DEL NOROESTE SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,673945,1933,668190,5755
EDMUNDO CEBALLOS SALDANA,INSTANCELEVEL,-24,10/01/2011,Production,Production,161938,12330,115417,46521
ELANTAS PDG INC,INSTANCELEVEL,-24,10/01/2011,Production,Production,26,0,25,1
ELIAS ABELARDO AMARO VILLAMIL,INSTANCELEVEL,-24,10/01/2011,Production,Production,20637,1668,467,20170
EMPACADORA Y PROCESADORA DE MONTERR,INSTANCELEVEL,-24,10/01/2011,Production,Production,237323,0,237317,6
ENLACES NACIONALES DE AGRONEGOCIOS,INSTANCELEVEL,-24,10/01/2011,Production,Production,289963,0,289952,11
ERNESTO GALVAN GARCIA,INSTANCELEVEL,-24,10/01/2011,Production,Production,253562,0,253559,3
ESPINOSA FLORES LILIANA,INSTANCELEVEL,-24,10/01/2011,Production,Production,1275,0,1267,8
EURO CARE S DE RL DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,63205,16969,27466,35739
EXELCO SUPPLY MANAGEMENT SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,0,0,0,0
FABRICA DE POLIETILENO LA CIMA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,3143094,24178,3058345,84749
FARMERS COOP OF RAVENNA,INSTANCELEVEL,-24,10/01/2011,Production,Production,8720422,0,8720421,1
FERMAN SILVA ESTEBAN,INSTANCELEVEL,-24,10/01/2011,Production,Production,17602,2230,6661,10941
FIANZAS ATLAS SA,INSTANCELEVEL,-24,10/01/2011,Production,Production,1426428,159034,201397,1225031
FITCH MEXICO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,29360,1140,25053,4307
FLORES SALAZAR ROSA ISABEL,INSTANCELEVEL,-24,10/01/2011,Production,Production,83,0,83,0
FPL Group Ltd,INSTANCELEVEL,-24,10/01/2011,Production,Production,61270,5219,49003,12267
FRIGORIFICA CONTRERAS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,0,0,0,0
FURISON ELECTRIC COMPONENT CON LTD,INSTANCELEVEL,-24,10/01/2011,Production,Production,0,0,0,0
G-L Veneer Co Inc.,INSTANCELEVEL,-24,10/01/2011,Production,Production,1256148,0,1256148,0
GALASS BODAS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,162632,2269,158977,3655
GARCIA PEREZ AMELIA,INSTANCELEVEL,-24,10/01/2011,Production,Production,11084,0,11084,0
GATEWAY FS,INSTANCELEVEL,-24,10/01/2011,Production,Production,172124,0,172124,0
GenePoint,INSTANCELEVEL,-24,10/01/2011,Production,Production,56412,18043,14728,41684
GERMAN VEGA JULIAN ISIDORO,INSTANCELEVEL,-24,10/01/2011,Production,Production,34253,570,32817,1436
GMC Hardwoods Inc,INSTANCELEVEL,-24,10/01/2011,Production,Production,38654,4703,16902,21752
GOMEZ MUNOZ ERIKA,INSTANCELEVEL,-24,10/01/2011,Production,Production,33,0,33,0
GONZALEZ GONZALEZ JULIO ENRIQUE,INSTANCELEVEL,-24,10/01/2011,Production,Production,237076,28816,216224,20852
GRANJA RAB SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,1677298,409515,972410,704888
GRUPO BAJO CERO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,41258,261,19492,21766
GRUPO INDUSTRIAL MAQUINAS DE LIMPIE,INSTANCELEVEL,-24,10/01/2011,Production,Production,77684,9719,9993,67691
GRUPO PRECISION CONTROL SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,46708,3680,33234,13474
AAM Freudenberg NOK General Partnership,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,180870,49939,45742,135128
Abbett Electric Corp,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,155,1623,0,155
ABOYTES AGUILAR GABRIEL,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,921,420,24,897
ACONDICIONAMIENTOS Y SERVICIOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
AGENCE PRESSE,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
AGROPECUARIA  A.D.L.T. S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,9177,0,9177,0
Akzenta Vertriebs GmbH,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,2292999,163637,1796895,496104
Alcatel-Lucent Nederland BV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,418170,6954,393380,24790
ALIMENTOS CALIDAD OPTIMA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,405811,24565,338564,67247
Alltech Automotive LLC,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,68128,5072,55357,12771
Alpha Stamping Company,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,234227,26395,180949,53278
AMECAR AC,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,7306,1676,12,7294
ANGLO CORP S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,76067,3873,62167,13900
AP DE MEXICO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,5885,0,5860,25
ARGO ALMACENADORA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,22832,8319,6817,16015
ARTICULOS SELECTOS Y JUEGOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,17802,0,17802,0
ASOC. LOC. CENTRAL ABAST. VER.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,23661,1523,20437,3224
ASOCIACION NACIONAL PRO SUPERACION,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,374651,53952,221245,153406
AUTELIN SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1701460,0,1701161,299
AUTOTEC DESARROLLO Y SUMINISTROS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,31055,49,30506,549
BABILON LANGUAGE COACHING SC,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,383667,236,378928,4739
Bachman Information System Inc.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,10991,0,10991,0
BALEROS BANDAS Y TORNILLOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,307470,21975,247553,59917
BARRERA MORENO FRANCISCO,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,187436,663,88895,98541
BEBIDAS CRISTAL S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,323184,0,323184,0
BICIMOTOS S.A.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,155022,461,148429,6593
blah1,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,22,44,20,2
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,19495,3796,9764,9731
BRINK GRAIN,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,543007,0,543007,0
BUSTOS MELCHOR ROBERTA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,59760,6839,40258,19502
CAMACHO CENTENO MERINO,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1172144,0,1172144,0
Cape Australia Onshore Pty Ltd,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,100309,47,99129,1180
CARLOS ALBERTO GOMEZ HUERTA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1392864,136843,516509,876355
CARRILLO BELTRAN JUAN MANUEL,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,27368,10304,2822,24546
CASTILLO ORTIZ MARIO ALBERTO,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,694483,1734,646921,47562
CENTRAL FLETERA QUERETANA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,67785,3280,56490,11295
CH ROBINSON COMPANY,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,39,19,30,9
CHEP MEXICO S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,173726,28380,41479,132247
CIL TEXTILES PVT LTD,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,5917,6579,1176,4741
CLEAN DEL PACIFICO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,125592,1941,121604,3988
COMARK GRAIN MARKETING,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
COMERCIALIZADORA DE EQUIPO INDUSTRI,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,29743,195,10,29733
COMERCIALIZADORA RIMATOM SA de CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,156765,355,155320,1445
COMERGALV SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,59613,0,59613,0
COMPANIA FERNANDEZ DE MERIDA S.A.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
CONDUCTORES Y DERIVADOS ROSS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,16102,5398,3838,12264
CONSORCIO EMPRESARIAL ALLEGRO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
CONSTRUCTIO ET STRUCTURA ROMAN SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,15591,0,15591,0
COORPORATIVO ALME SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,240391,63597,88185,152206
CORPORACION MEXICANA DE POLIMEROS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,69282,103,69228,54
CORTES GARCIA ALEJANDRO CESAR,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,37560,0,37556,4
CRAFT INSTRUMENTOS CIENTIFICOS,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,339339,17736,298038,41301
CRIBAS Y ARRENDAMIENTOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,38946,4308,24645,14301
D NOVO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,98300,15474,44751,53549
Dai-Ichi Kangyo Bank,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,78,0,61,17
Darta NV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,9318,538,6543,2775
DE LAS FUENTES MARTINEZ JESUS ALBER,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,5,0,4,1
DELGADO CAMPBELL SANTIAGO ALBERTO,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,9142,0,9142,0
DEX DEL NOROESTE SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1206195,61882,1034014,172181
DIKEN HERMOSILLO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
DISTRIBUCION DE MADERA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,39578,2083,34850,4728
DISTRIBUIDORA DE SUMINISTROS GENERA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,9817,888,7306,2511
DISTRIBUIDORA SAJOR SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,19041,2283,10126,8915
DONGGUAN JINLIYI INDUSTRIAL CO LTD,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,765451,14562,210098,555353
DOW QUIMICA MEXICANA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,182593,6055,168704,13889
DURAN LIZARRAGA ROMEL ALBERTO,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,497650,48630,176502,321148
East Bay Brass Foundry,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,203,0,202,1
Eastman Kodak Company Health Sciences Division,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1043,299,115,928
ECOCAMIONES DEL NOROESTE SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,362287,22442,256781,105506
EDMUNDO CEBALLOS SALDANA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,31188,2685,19244,11944
ELANTAS PDG INC,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,829988,131933,654182,175806
ELIAS ABELARDO AMARO VILLAMIL,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,91,0,36,55
EMPACADORA Y PROCESADORA DE MONTERR,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,76515,2876,69533,6982
ENLACES NACIONALES DE AGRONEGOCIOS,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,311800,48828,205327,106473
ERNESTO GALVAN GARCIA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
ESPINOSA FLORES LILIANA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,20927,1037,17225,3702
EURO CARE S DE RL DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,6,0,6,0
EXELCO SUPPLY MANAGEMENT SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1,0,1,0
FABRICA DE POLIETILENO LA CIMA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,106146,0,106142,4
FARMERS COOP OF RAVENNA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,457271,273161,94024,363247
FERMAN SILVA ESTEBAN,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,1224033,17437,1128102,95931
FIANZAS ATLAS SA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,17061,3729,11119,5942
FITCH MEXICO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,0,0,0,0
FLORES SALAZAR ROSA ISABEL,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,145257,88815,25846,119411
FPL Group Ltd,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,64564,0,64564,0
FRIGORIFICA CONTRERAS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,51559,3781,42124,9435
FURISON ELECTRIC COMPONENT CON LTD,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,273246,10224,230824,42422
G-L Veneer Co Inc.,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,26429,5976,10931,15498
GALASS BODAS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,120356,12426,92447,27909
GARCIA PEREZ AMELIA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,225034,0,225031,3
GATEWAY FS,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,16652,415,12742,3910
GenePoint,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,30468,20929,14,30454
GERMAN VEGA JULIAN ISIDORO,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,597424,106814,265159,332265
GMC Hardwoods Inc,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,38792,1862,27966,10826
GOMEZ MUNOZ ERIKA,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,42583,4313,32297,10286
GONZALEZ GONZALEZ JULIO ENRIQUE,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,2900167,511629,1496745,1403422
GRANJA RAB SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,4753727,6435,1370867,3382860
GRUPO BAJO CERO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,176401,10137,135417,40984
GRUPO INDUSTRIAL MAQUINAS DE LIMPIE,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,2024119,12037,1991011,33108
GRUPO PRECISION CONTROL SA DE CV,INSTANCELEVEL,-24,10/01/2011,Sandbox,Sandbox,65004,494,55183,9821
AAM Freudenberg NOK General Partnership,INSTANCELEVEL,-23,09/02/2011,Production,Production,18959,0,3185,15774
Abbett Electric Corp,INSTANCELEVEL,-23,09/02/2011,Production,Production,312758,92930,43275,269483
ABOYTES AGUILAR GABRIEL,INSTANCELEVEL,-23,09/02/2011,Production,Production,17,0,16,1
ACONDICIONAMIENTOS Y SERVICIOS SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,63007,18956,6892,56115
AGENCE PRESSE,INSTANCELEVEL,-23,09/02/2011,Production,Production,100000,0,100000,0
AGROPECUARIA  A.D.L.T. S.A. DE C.V.,INSTANCELEVEL,-23,09/02/2011,Production,Production,7684,53,7677,7
Akzenta Vertriebs GmbH,INSTANCELEVEL,-23,09/02/2011,Production,Production,239570,14461,184671,54899
Alcatel-Lucent Nederland BV,INSTANCELEVEL,-23,09/02/2011,Production,Production,371897,1636,362469,9428
ALIMENTOS CALIDAD OPTIMA SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,87896,14140,13787,74109
Alltech Automotive LLC,INSTANCELEVEL,-23,09/02/2011,Production,Production,65788,4595,45348,20440
Alpha Stamping Company,INSTANCELEVEL,-23,09/02/2011,Production,Production,4234354,0,4215534,18820
AMECAR AC,INSTANCELEVEL,-23,09/02/2011,Production,Production,27395,0,27395,0
ANGLO CORP S.A. DE C.V.,INSTANCELEVEL,-23,09/02/2011,Production,Production,30314,82,30299,15
AP DE MEXICO SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,40236,3572,21435,18801
ARGO ALMACENADORA SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,329420,29345,234469,94951
ARTICULOS SELECTOS Y JUEGOS SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,43306,4447,18142,25164
ASOC. LOC. CENTRAL ABAST. VER.,INSTANCELEVEL,-23,09/02/2011,Production,Production,193790,120704,57838,135952
ASOCIACION NACIONAL PRO SUPERACION,INSTANCELEVEL,-23,09/02/2011,Production,Production,59081,51166,238,58843
AUTELIN SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,3,0,3,0
AUTOTEC DESARROLLO Y SUMINISTROS SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,0,0,0,0
BABILON LANGUAGE COACHING SC,INSTANCELEVEL,-23,09/02/2011,Production,Production,58022,15939,36672,21350
Bachman Information System Inc.,INSTANCELEVEL,-23,09/02/2011,Production,Production,0,0,0,0
BALEROS BANDAS Y TORNILLOS SA DE CV,INSTANCELEVEL,-23,09/02/2011,Production,Production,83,0,82,1
BARRERA MORENO FRANCISCO,INSTANCELEVEL,-23,09/02/2011,Production,Production,196630,14579,149414,47216
BEBIDAS CRISTAL S.A. DE C.V.,INSTANCELEVEL,-23,09/02/2011,Production,Production,21815,745,6720,15095
BICIMOTOS S.A.,INSTANCELEVEL,-23,09/02/2011,Production,Production,21154,1869,16041,5113
blah1,INSTANCELEVEL,-23,09/02/2011,Production,Production,58289,5925,36115,22174
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-23,09/02/2011,Production,Production,102485,0,102485,0
BRINK GRAIN,INSTANCELEVEL,-23,09/02/2011,Production,Production,41,0,41,0
BUSTOS MELCHOR ROBERTA,INSTANCELEVEL,-23,09/02/2011,Production,Production,12,0,11,1
CAMACHO CENTENO MERINO,INSTANCELEVEL,-23,09/02/2011,Production,Production,21384,958,19907,1477
Cape Australia Onshore Pty Ltd,INSTANCELEVEL,-23,09/02/2011,Production,Production,2304172,765012,1365795,938377
