Account,Name,Date,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-25,11961,2259,7836,17454,591,618,293,1166,1619
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-25,15127,17407,5053,17463,436,657,351,1112,2316
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-25,15015,4961,8450,3883,447,613,152,1130,1649
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-25,6356,7338,14841,17394,789,785,230,1401,1934
Triumph Tool NC Inc,ACCOUNTLEVEL,-25,13938,9624,6997,664,512,801,204,1540,2421
Darta NV,ACCOUNTLEVEL,-25,6391,9109,12880,14603,738,929,175,1743,2218
COTY UK LTD,ACCOUNTLEVEL,-25,7204,7414,7302,13522,659,650,370,1271,1536
Deal Partners Limited,ACCOUNTLEVEL,-25,14085,5488,17515,12046,523,1005,178,1304,2377
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-25,13145,10400,10536,10995,519,803,269,1727,1999
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-25,4977,12334,18324,8680,619,789,122,1865,1679
GKN Sinter Metals,ACCOUNTLEVEL,-25,4124,8691,9541,7457,626,870,192,1321,1746
AGENCE PRESSE,ACCOUNTLEVEL,-25,6333,2491,3003,3026,594,843,252,1543,1868
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-25,15013,6303,16459,12356,753,652,381,1782,2046
AUREA SOFTWARE INC,ACCOUNTLEVEL,-25,3069,2756,15360,14681,315,1014,226,1093,2127
Ocean Sports Wear,ACCOUNTLEVEL,-25,14374,15698,6062,14704,789,1002,137,1586,1722
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-25,4147,16406,8597,9915,798,675,363,1167,1926
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-25,9981,5178,492,18027,439,633,166,1034,2306
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-25,4366,6520,10712,8829,544,713,451,1563,2380
UNIFOODS SA DE CV,ACCOUNTLEVEL,-25,7667,3753,13307,15508,723,981,378,1399,2171
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-25,7575,3375,1657,9852,395,1068,217,1807,2377
JARDINS DE NORTENE,ACCOUNTLEVEL,-25,15141,18422,15260,13716,733,621,66,1220,2423
Terry Store age spa,ACCOUNTLEVEL,-25,16175,234,5758,7396,341,747,67,1689,2151
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-25,6860,14740,7457,1607,763,818,216,1074,1590
ST. CLAIR SERVICE,ACCOUNTLEVEL,-25,17888,16969,4806,2161,504,1023,232,1066,2037
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-25,17436,7673,1104,3350,627,603,119,1844,1997
CARNES KM SA DE CV,ACCOUNTLEVEL,-25,9812,13066,5881,11096,474,1037,44,1295,1639
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-25,17131,9533,9808,423,690,807,253,1239,1882
COMNET SA DE CV,ACCOUNTLEVEL,-25,8096,17115,17680,4651,311,735,468,1232,1549
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-25,11415,4782,9123,18993,358,963,314,1377,2213
FRUITCORP SA DE CV,ACCOUNTLEVEL,-25,1856,14392,11474,10335,433,844,217,1157,2423
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-25,17498,9080,6877,4621,411,984,146,1524,1775
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-25,4548,16060,15005,18068,358,719,344,1954,1958
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-25,7483,9316,8174,12742,461,913,489,1474,1973
K & S Contractors Supply Co,ACCOUNTLEVEL,-25,5410,9058,1036,15480,306,879,423,1407,2431
Tioga Hardwoods Inc,ACCOUNTLEVEL,-25,3709,4293,14152,13319,452,799,190,1009,2196
GHCL Limited,ACCOUNTLEVEL,-25,2269,8836,8954,13537,781,1038,86,1122,1763
Motion Industries Inc.,ACCOUNTLEVEL,-25,1329,7704,14022,13444,765,836,231,1521,1506
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-25,683,7978,15908,10845,431,1063,341,1855,1537
Quantum Foods,ACCOUNTLEVEL,-25,2390,724,12543,8092,348,789,273,1087,2447
Family Magazine,ACCOUNTLEVEL,-25,18202,7977,17399,6275,327,678,69,1708,2083
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-25,7850,7465,15592,2482,668,826,311,1331,2051
Innovative Laser Inc,ACCOUNTLEVEL,-25,8881,10751,15355,16050,796,783,353,1945,2273
Addis Housewares Ltd,ACCOUNTLEVEL,-25,8841,18202,7426,6684,477,692,66,1718,2141
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-25,15561,13555,13315,9157,362,839,44,1541,2495
APLNG,ACCOUNTLEVEL,-25,4871,3848,2099,7662,618,1098,367,1246,2048
Quince Hungary Kft,ACCOUNTLEVEL,-25,15352,3311,7745,3206,357,607,19,1093,1944
Jandel Scientific Inc.,ACCOUNTLEVEL,-25,4535,7902,823,9234,355,754,23,1429,1801
Viking Tool & Steel,ACCOUNTLEVEL,-25,11932,10150,11959,10147,464,1025,321,1700,1588
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-25,7278,15200,208,15105,682,989,14,1455,2271
MAPE USA,ACCOUNTLEVEL,-25,5506,7947,16323,2931,304,1098,127,1222,1642
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-25,14237,16099,1949,5691,693,901,285,1256,2197
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-25,1581,3938,14813,12157,497,866,19,1783,1820
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-25,14355,10883,17885,5542,334,985,132,1428,1938
M&M SERVICE CO,ACCOUNTLEVEL,-25,3813,3306,6712,2424,668,1083,271,1899,2453
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-25,6055,9541,14313,10249,412,659,352,1816,1869
L and P Financial Services Co,ACCOUNTLEVEL,-25,16793,2980,1228,5088,472,712,186,1316,2404
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-25,12379,8339,18536,17438,500,755,169,1466,2155
CATMADER SL,ACCOUNTLEVEL,-25,2225,17218,5613,10948,738,845,79,1394,2117
Tekno Inc,ACCOUNTLEVEL,-25,2266,6896,700,14487,351,647,41,1367,1569
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-25,10732,4169,4852,318,469,872,47,1356,1847
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-25,17423,7591,9600,5751,720,1021,405,1674,1958
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-25,7856,367,1074,17424,598,986,144,1490,1855
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-25,8280,11967,2821,10629,789,923,243,1064,2113
COMERGALV SA DE CV,ACCOUNTLEVEL,-25,6411,16721,11560,12785,485,1002,104,1772,2073
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-25,15621,5226,11391,7269,757,635,197,1387,2441
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-25,10719,3448,10916,11947,339,1091,124,1517,1585
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-25,1956,962,18838,6019,383,899,186,1128,1703
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-25,4847,2472,10214,1546,706,829,390,1888,2311
TERENTRO SA DE CV,ACCOUNTLEVEL,-25,1588,5686,9823,11682,708,768,303,1803,1668
FUNTASTIC LIMITED,ACCOUNTLEVEL,-25,13799,5829,5583,7832,586,710,11,1063,2184
DeeTag USA,ACCOUNTLEVEL,-25,8432,4493,4113,6253,324,1003,126,1136,2349
Lakeland Village,ACCOUNTLEVEL,-25,13294,13597,4010,2788,530,802,424,1631,2449
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-25,9107,16299,7020,11616,721,862,43,1388,1728
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-25,17666,6758,5842,2123,618,1084,417,1124,2212
Do not Use1,ACCOUNTLEVEL,-25,13487,10182,2182,7505,550,1008,68,1208,1899
Oil Chem Research Corp,ACCOUNTLEVEL,-25,18377,17616,3751,15287,781,1006,295,1593,2006
LICK ELEVATOR,ACCOUNTLEVEL,-25,8437,5486,18478,1631,653,629,491,1662,2234
Quanex Screens LLC,ACCOUNTLEVEL,-25,4765,5554,18249,4369,690,1069,465,1504,2135
A and T unlimit Limited,ACCOUNTLEVEL,-24,895,18942,1449,15152,402,744,414,1073,1751
Sienna Gold Ltd,ACCOUNTLEVEL,-24,17150,15796,13529,5268,350,823,265,1737,1644
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-24,8017,11246,13974,12330,531,634,381,1156,1963
Murex N.A. Ltd,ACCOUNTLEVEL,-24,3957,3821,9149,1158,796,817,371,1075,1930
Via Systems,ACCOUNTLEVEL,-24,5032,9843,4730,15181,457,838,474,1915,1637
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-24,5604,7259,18671,6892,562,984,27,1881,1658
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-24,11736,16146,16802,6445,543,957,407,1174,1622
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-24,1408,13716,14185,9238,480,609,147,1242,2010
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-24,8143,1635,6478,3007,326,741,8,1274,2447
Anunay Fab Ltd,ACCOUNTLEVEL,-24,6112,18215,681,3209,518,730,218,1927,1925
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-24,8828,7229,16339,18348,534,1052,250,1130,2021
Jadow B & Sons Inc,ACCOUNTLEVEL,-24,15851,5946,9835,9945,636,965,329,1366,1943
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-24,8071,15477,18665,14809,520,671,319,1586,2258
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-24,5871,9174,8619,13539,414,1084,374,1568,1868
Alltech Automotive LLC,ACCOUNTLEVEL,-24,10045,1831,11564,7945,518,664,265,1093,1551
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-24,9078,9913,14827,16081,457,843,450,1483,1512
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-24,16465,6927,6267,18365,655,1100,364,1861,1505
ATTEBURY GRAIN,ACCOUNTLEVEL,-24,6387,6222,9590,4215,662,629,458,1740,1743
Vicor,ACCOUNTLEVEL,-24,18144,18897,10695,15536,325,1082,63,1709,2273
Baja Inc,ACCOUNTLEVEL,-24,11418,5292,1451,7708,781,918,449,1157,2289
National Assn of Printing Ink,ACCOUNTLEVEL,-24,12296,2002,11437,1109,382,962,12,1859,2457
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-24,14409,6306,4139,15524,476,976,350,1433,1992
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-24,916,18175,4985,10058,730,1075,148,1164,2358
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-24,9010,13173,9330,6213,643,1100,236,1348,1503
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-24,16081,7054,7555,17023,748,635,470,1147,1810
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-24,8983,16579,16082,4953,720,819,253,1024,2208
Triumph Tool NC Inc,ACCOUNTLEVEL,-24,4417,6199,8787,7560,579,645,367,1950,2368
Darta NV,ACCOUNTLEVEL,-24,16918,12592,9411,18927,573,1083,67,1624,2428
COTY UK LTD,ACCOUNTLEVEL,-24,8572,2617,12431,12114,356,764,381,1782,2459
Deal Partners Limited,ACCOUNTLEVEL,-24,16773,927,146,10916,518,756,160,1497,1772
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-24,7797,10467,16790,16797,631,1029,147,1444,2011
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-24,13854,5111,1788,9125,458,787,80,1419,2070
GKN Sinter Metals,ACCOUNTLEVEL,-24,18092,16641,1437,6367,748,801,150,1934,2182
AGENCE PRESSE,ACCOUNTLEVEL,-24,6521,4728,6262,18400,387,604,474,1792,2171
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-24,2535,6681,2309,13000,588,949,255,1193,1944
AUREA SOFTWARE INC,ACCOUNTLEVEL,-24,7850,12106,8595,1862,588,973,48,1231,1710
Ocean Sports Wear,ACCOUNTLEVEL,-24,9135,10972,3989,8916,789,988,424,1953,2341
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-24,18086,11805,4620,394,762,833,498,1946,1721
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-24,3570,2836,16384,4737,554,1096,281,1284,1611
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-24,17230,3637,94,13319,559,712,330,1322,2482
UNIFOODS SA DE CV,ACCOUNTLEVEL,-24,16964,9749,11266,14225,522,840,276,1294,2065
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-24,6671,15647,6623,18301,428,762,314,1569,1772
JARDINS DE NORTENE,ACCOUNTLEVEL,-24,3608,13892,16926,159,381,977,163,1845,1820
Terry Store age spa,ACCOUNTLEVEL,-24,7626,8620,12255,190,445,911,298,1481,1895
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-24,3180,5,4992,8365,404,911,278,1077,2255
ST. CLAIR SERVICE,ACCOUNTLEVEL,-24,11587,17370,14816,11193,388,777,186,1390,1628
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-24,5895,8765,15678,580,498,740,251,1629,1727
CARNES KM SA DE CV,ACCOUNTLEVEL,-24,18628,2823,12792,9872,518,1070,51,1202,1687
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-24,5548,4429,10683,14648,413,953,239,1495,2123
COMNET SA DE CV,ACCOUNTLEVEL,-24,15497,3680,553,5401,618,1089,213,1770,1889
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-24,10673,14916,12350,12966,390,849,194,1552,2262
FRUITCORP SA DE CV,ACCOUNTLEVEL,-24,13557,14156,2569,1276,389,1078,431,1411,1610
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-24,205,3303,17909,16851,391,910,259,1444,1807
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-24,16559,3309,11673,15453,396,833,41,1369,2094
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-24,4723,7735,12405,6873,721,790,75,1420,1987
K & S Contractors Supply Co,ACCOUNTLEVEL,-24,18507,18524,18103,14810,505,982,344,1056,2049
Tioga Hardwoods Inc,ACCOUNTLEVEL,-24,11030,18970,7513,1141,573,1070,307,1598,1997
GHCL Limited,ACCOUNTLEVEL,-24,9094,13711,9961,7738,340,991,330,1270,1574
Motion Industries Inc.,ACCOUNTLEVEL,-24,16307,7987,3295,17915,342,815,184,1241,2192
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-24,12121,854,2660,7476,773,905,480,1105,2071
Quantum Foods,ACCOUNTLEVEL,-24,13155,17121,18545,17962,606,967,124,1307,2045
Family Magazine,ACCOUNTLEVEL,-24,2572,2608,841,418,391,802,13,1387,2500
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-24,7620,10543,2996,11130,340,616,376,1400,1773
Innovative Laser Inc,ACCOUNTLEVEL,-24,7050,13417,14101,13810,559,676,85,1340,2266
Addis Housewares Ltd,ACCOUNTLEVEL,-24,1865,8277,13424,4158,636,1011,337,1430,1923
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-24,4356,4657,13509,8550,577,671,176,1440,2365
APLNG,ACCOUNTLEVEL,-24,14479,7096,16152,9542,363,715,472,1958,1883
Quince Hungary Kft,ACCOUNTLEVEL,-24,18138,859,1078,13197,579,720,332,1287,2046
Jandel Scientific Inc.,ACCOUNTLEVEL,-24,11794,3424,9069,17372,785,769,0,1485,2123
Viking Tool & Steel,ACCOUNTLEVEL,-24,14536,9272,1675,6695,397,788,2,1748,2195
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-24,10885,5247,4691,7004,318,944,104,1613,2437
MAPE USA,ACCOUNTLEVEL,-24,14935,1599,2410,1784,344,938,406,1200,1518
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-24,8545,11800,16858,6862,303,905,253,1942,2025
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-24,12884,16627,15187,4523,428,839,152,1279,2488
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-24,5878,215,12640,18810,531,834,35,1891,1754
M&M SERVICE CO,ACCOUNTLEVEL,-24,13918,18731,11510,2767,327,925,8,1580,2046
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-24,7920,918,11690,3898,515,999,148,1445,1561
L and P Financial Services Co,ACCOUNTLEVEL,-24,7559,9594,9974,15511,347,639,249,1193,1533
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-24,7000,17479,5264,2310,333,819,254,1562,2368
CATMADER SL,ACCOUNTLEVEL,-24,11969,18943,1487,17756,665,900,329,1055,2433
Tekno Inc,ACCOUNTLEVEL,-24,7803,12689,8268,8359,335,818,111,1562,2061
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-24,18712,7006,18021,8299,709,675,499,1593,1670
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-24,7688,16243,1278,8272,741,1041,101,1856,1801
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-24,2322,8152,17905,5653,367,1028,291,1888,2348
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-24,9608,12964,17039,928,681,737,255,1031,1631
COMERGALV SA DE CV,ACCOUNTLEVEL,-24,18272,9154,4096,615,408,771,482,1367,1586
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-24,12232,1899,10449,5341,613,959,129,1854,2484
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-24,483,16835,7676,13780,693,782,2,1809,1782
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-24,12461,1580,1025,1061,654,928,443,1721,2499
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-24,3284,14723,10870,11876,595,924,159,1373,1702
TERENTRO SA DE CV,ACCOUNTLEVEL,-24,12926,9488,249,15888,328,882,289,1061,2347
FUNTASTIC LIMITED,ACCOUNTLEVEL,-24,4147,6057,18957,16492,499,1069,373,1466,2422
DeeTag USA,ACCOUNTLEVEL,-24,14357,7591,11315,18981,673,616,267,1960,1545
Lakeland Village,ACCOUNTLEVEL,-24,772,14024,11779,16628,367,1031,226,1600,1548
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-24,10491,14159,2425,17203,485,866,280,1346,2245
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-24,14214,1236,12934,10545,692,958,268,1908,2071
Do not Use1,ACCOUNTLEVEL,-24,18907,13819,16800,10206,333,787,328,1092,2061
Oil Chem Research Corp,ACCOUNTLEVEL,-24,15634,10276,17603,17844,604,833,159,1882,1544
LICK ELEVATOR,ACCOUNTLEVEL,-24,14977,16042,4032,11396,415,791,475,1794,1545
Quanex Screens LLC,ACCOUNTLEVEL,-24,4383,17379,8594,4980,767,876,472,1286,1913
A and T unlimit Limited,ACCOUNTLEVEL,-23,14293,12128,5343,8395,785,889,286,1976,1531
Sienna Gold Ltd,ACCOUNTLEVEL,-23,2045,2618,14457,4654,565,809,487,1620,1811
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-23,4847,16159,11676,17030,668,1096,348,1385,2316
Murex N.A. Ltd,ACCOUNTLEVEL,-23,2753,680,4753,6367,592,745,276,1765,1805
Via Systems,ACCOUNTLEVEL,-23,13169,18708,1056,2980,571,664,439,1135,2332
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-23,8012,15099,7579,428,664,916,178,1133,2118
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-23,15790,17007,2878,2702,311,695,39,1409,1926
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-23,11896,10268,17186,3988,471,693,32,1426,1636
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-23,16132,6697,5082,14394,739,734,417,1628,1767
Anunay Fab Ltd,ACCOUNTLEVEL,-23,18018,10136,6599,37,657,1045,160,1523,2087
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-23,18378,10554,17676,8168,665,607,34,1559,1714
Jadow B & Sons Inc,ACCOUNTLEVEL,-23,2406,16564,16642,14671,800,880,410,1478,2476
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-23,12592,4720,16769,17730,333,668,327,1997,2285
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-23,658,17693,4167,766,625,673,178,1329,2397
Alltech Automotive LLC,ACCOUNTLEVEL,-23,4528,4079,2390,7121,334,609,228,1061,1580
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-23,6425,864,11833,17475,712,646,372,1750,2020
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-23,17654,7401,11219,17238,685,980,156,1118,1609
ATTEBURY GRAIN,ACCOUNTLEVEL,-23,7534,8453,2299,4908,726,889,103,1196,1674
Vicor,ACCOUNTLEVEL,-23,13618,18860,4686,12800,691,766,292,1996,1654
Baja Inc,ACCOUNTLEVEL,-23,3814,4560,4667,9645,410,847,276,1175,2162
National Assn of Printing Ink,ACCOUNTLEVEL,-23,13019,14020,9051,13804,727,1043,325,1800,1522
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-23,12496,13695,13697,9981,548,670,436,1805,1515
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-23,16851,4012,5556,14393,526,994,314,1958,2162
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-23,17315,12086,8638,9330,502,1040,358,1695,1697
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-23,7398,8106,13247,6862,579,1015,350,1836,1523
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-23,10403,14756,6323,9039,605,1090,484,1847,2288
Triumph Tool NC Inc,ACCOUNTLEVEL,-23,12870,2176,15724,15445,741,1031,450,1698,1531
Darta NV,ACCOUNTLEVEL,-23,11390,17396,8437,4147,615,700,425,1764,2263
COTY UK LTD,ACCOUNTLEVEL,-23,12765,16786,8480,13211,459,1100,254,1671,1544
Deal Partners Limited,ACCOUNTLEVEL,-23,12050,11041,18918,11335,326,1057,55,1567,2117
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-23,1870,17379,2122,10037,687,833,236,1958,2469
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-23,14844,13925,18943,11725,795,1010,19,1699,1713
GKN Sinter Metals,ACCOUNTLEVEL,-23,6041,15906,12726,13271,434,861,316,1965,2393
AGENCE PRESSE,ACCOUNTLEVEL,-23,17461,18450,4021,12932,491,714,489,1789,2239
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-23,16384,2931,472,12760,362,951,392,2000,2457
AUREA SOFTWARE INC,ACCOUNTLEVEL,-23,7310,18630,13203,7095,631,1017,276,1384,2217
Ocean Sports Wear,ACCOUNTLEVEL,-23,13920,2796,2597,1963,440,768,446,1365,1557
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-23,13,9848,11846,5283,641,1022,187,1370,2048
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-23,4157,6204,8519,7855,742,975,149,1641,1991
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-23,12256,2174,12482,1915,450,744,216,1583,2245
UNIFOODS SA DE CV,ACCOUNTLEVEL,-23,862,12251,8670,14837,306,833,221,1502,1743
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-23,11501,1105,12650,10842,463,1062,34,1474,2229
JARDINS DE NORTENE,ACCOUNTLEVEL,-23,13013,3881,7946,5073,493,624,463,1084,1752
Terry Store age spa,ACCOUNTLEVEL,-23,1799,8397,12227,7233,535,643,367,1809,2459
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-23,2092,3916,13231,9894,753,665,191,1376,1892
