Account,Name,Date,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
COTY UK LTD,ACCOUNTLEVEL,-25,14959,11544,2921,7105,659,650,370,1271,1536
Deal Partners Limited,ACCOUNTLEVEL,-25,6826,1980,217,4608,523,1005,178,1304,2377
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-25,3856,9220,14031,12209,519,803,269,1727,1999
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-25,12950,3692,1563,4830,619,789,122,1865,1679
GKN Sinter Metals,ACCOUNTLEVEL,-25,10203,6848,579,1630,626,870,192,1321,1746
AGENCE PRESSE,ACCOUNTLEVEL,-25,6054,14103,10529,9220,594,843,252,1543,1868
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-25,13374,12810,14496,13821,753,652,381,1782,2046
AUREA SOFTWARE INC,ACCOUNTLEVEL,-25,2242,4293,3285,1614,315,1014,226,1093,2127
Ocean Sports Wear,ACCOUNTLEVEL,-25,3544,2291,13065,14217,789,1002,137,1586,1722
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-25,8902,13277,3847,7415,798,675,363,1167,1926
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-25,12356,374,9277,7439,439,633,166,1034,2306
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-25,11751,12621,7960,6726,544,713,451,1563,2380
UNIFOODS SA DE CV,ACCOUNTLEVEL,-25,5645,3790,921,4907,723,981,378,1399,2171
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-25,13036,14680,1411,14281,395,1068,217,1807,2377
JARDINS DE NORTENE,ACCOUNTLEVEL,-25,10057,412,9598,11284,733,621,66,1220,2423
Terry Store age spa,ACCOUNTLEVEL,-25,1413,12481,6638,13805,341,747,67,1689,2151
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-25,1783,6116,10030,6172,763,818,216,1074,1590
ST. CLAIR SERVICE,ACCOUNTLEVEL,-25,13051,7208,8716,6452,504,1023,232,1066,2037
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-25,6337,8682,2053,6479,627,603,119,1844,1997
CARNES KM SA DE CV,ACCOUNTLEVEL,-25,9211,7516,781,13973,474,1037,44,1295,1639
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-25,10691,13300,10073,10286,690,807,253,1239,1882
COMNET SA DE CV,ACCOUNTLEVEL,-25,7266,8601,5868,6061,311,735,468,1232,1549
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-25,14766,8291,1196,11149,358,963,314,1377,2213
FRUITCORP SA DE CV,ACCOUNTLEVEL,-25,9938,8323,12591,4971,433,844,217,1157,2423
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-25,11224,5329,5764,474,411,984,146,1524,1775
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-25,9653,4445,4369,9343,358,719,344,1954,1958
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-25,14949,1344,1577,9194,461,913,489,1474,1973
K & S Contractors Supply Co,ACCOUNTLEVEL,-25,6265,10673,4633,5903,306,879,423,1407,2431
Tioga Hardwoods Inc,ACCOUNTLEVEL,-25,10259,11151,1221,11514,452,799,190,1009,2196
GHCL Limited,ACCOUNTLEVEL,-25,12954,8369,13415,5761,781,1038,86,1122,1763
Motion Industries Inc.,ACCOUNTLEVEL,-25,9239,13821,12568,875,765,836,231,1521,1506
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-25,227,4183,11951,7850,431,1063,341,1855,1537
Quantum Foods,ACCOUNTLEVEL,-25,3907,9198,4554,9246,348,789,273,1087,2447
Family Magazine,ACCOUNTLEVEL,-25,3018,13126,3347,5958,327,678,69,1708,2083
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-25,11490,3963,7744,8031,668,826,311,1331,2051
Innovative Laser Inc,ACCOUNTLEVEL,-25,10670,6521,3000,10435,796,783,353,1945,2273
Addis Housewares Ltd,ACCOUNTLEVEL,-25,10283,7420,11346,2880,477,692,66,1718,2141
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-25,2745,8499,100,13054,362,839,44,1541,2495
APLNG,ACCOUNTLEVEL,-25,3674,10992,1468,6750,618,1098,367,1246,2048
Quince Hungary Kft,ACCOUNTLEVEL,-25,8331,7139,4531,430,357,607,19,1093,1944
Jandel Scientific Inc.,ACCOUNTLEVEL,-25,424,7303,439,14643,355,754,23,1429,1801
Viking Tool & Steel,ACCOUNTLEVEL,-25,347,7475,13787,7899,464,1025,321,1700,1588
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-25,11736,11259,173,9213,682,989,14,1455,2271
MAPE USA,ACCOUNTLEVEL,-25,7856,12058,2806,7949,304,1098,127,1222,1642
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-25,13538,1095,10184,9437,693,901,285,1256,2197
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-25,12609,13404,8679,13962,497,866,19,1783,1820
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-25,11618,12528,44,2679,334,985,132,1428,1938
M&M SERVICE CO,ACCOUNTLEVEL,-25,5131,4617,10632,2254,668,1083,271,1899,2453
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-25,7088,13479,14384,5954,412,659,352,1816,1869
L and P Financial Services Co,ACCOUNTLEVEL,-25,1260,12873,924,9875,472,712,186,1316,2404
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-25,7412,10791,13280,4232,500,755,169,1466,2155
CATMADER SL,ACCOUNTLEVEL,-25,8373,7495,1162,14996,738,845,79,1394,2117
Tekno Inc,ACCOUNTLEVEL,-25,3085,13104,12690,7405,351,647,41,1367,1569
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-25,11704,961,1008,5958,469,872,47,1356,1847
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-25,7945,13569,2075,12512,720,1021,405,1674,1958
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-25,11793,8323,8610,13315,598,986,144,1490,1855
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-25,7605,4290,12657,6107,789,923,243,1064,2113
COMERGALV SA DE CV,ACCOUNTLEVEL,-25,2423,14103,6371,6587,485,1002,104,1772,2073
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-25,12538,10556,5766,999,757,635,197,1387,2441
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-25,3352,3157,6817,10890,339,1091,124,1517,1585
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-25,11454,10094,10335,14241,383,899,186,1128,1703
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-25,6699,5379,6532,9855,706,829,390,1888,2311
TERENTRO SA DE CV,ACCOUNTLEVEL,-25,12422,3154,1469,4067,708,768,303,1803,1668
FUNTASTIC LIMITED,ACCOUNTLEVEL,-25,10998,7532,7841,2823,586,710,11,1063,2184
DeeTag USA,ACCOUNTLEVEL,-25,10022,4750,2290,1852,324,1003,126,1136,2349
Lakeland Village,ACCOUNTLEVEL,-25,4339,4101,9038,9765,530,802,424,1631,2449
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-25,2916,8400,9768,12108,721,862,43,1388,1728
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-25,301,9649,2945,10827,618,1084,417,1124,2212
Do not Use1,ACCOUNTLEVEL,-25,14572,9585,1998,2462,550,1008,68,1208,1899
Oil Chem Research Corp,ACCOUNTLEVEL,-25,12330,6251,5046,6060,781,1006,295,1593,2006
LICK ELEVATOR,ACCOUNTLEVEL,-25,3900,7053,7346,7598,653,629,491,1662,2234
Quanex Screens LLC,ACCOUNTLEVEL,-25,8222,12449,13976,6162,690,1069,465,1504,2135
A and T unlimit Limited,ACCOUNTLEVEL,-24,11524,9985,12855,6805,402,744,414,1073,1751
Sienna Gold Ltd,ACCOUNTLEVEL,-24,5875,8132,8971,7857,350,823,265,1737,1644
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-24,14466,4216,11879,12138,531,634,381,1156,1963
Murex N.A. Ltd,ACCOUNTLEVEL,-24,7795,9608,40,7830,796,817,371,1075,1930
Via Systems,ACCOUNTLEVEL,-24,13671,12252,8156,11435,457,838,474,1915,1637
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-24,1620,591,54,1744,562,984,27,1881,1658
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-24,10831,8645,14914,775,543,957,407,1174,1622
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-24,3074,313,12555,5282,480,609,147,1242,2010
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-24,12725,12465,11173,743,326,741,8,1274,2447
Anunay Fab Ltd,ACCOUNTLEVEL,-24,10406,8067,5460,72,518,730,218,1927,1925
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-24,13403,7629,10999,14188,534,1052,250,1130,2021
Jadow B & Sons Inc,ACCOUNTLEVEL,-24,12658,5645,2609,3462,636,965,329,1366,1943
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-24,13266,13833,12761,2155,520,671,319,1586,2258
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-24,14681,14856,1393,11889,414,1084,374,1568,1868
Alltech Automotive LLC,ACCOUNTLEVEL,-24,9427,14180,3638,9083,518,664,265,1093,1551
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-24,11676,6920,4217,3207,457,843,450,1483,1512
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-24,9397,10526,12193,4830,655,1100,364,1861,1505
ATTEBURY GRAIN,ACCOUNTLEVEL,-24,7659,10659,12442,13391,662,629,458,1740,1743
Vicor,ACCOUNTLEVEL,-24,8793,3786,8229,12620,325,1082,63,1709,2273
Baja Inc,ACCOUNTLEVEL,-24,13901,1477,14128,12775,781,918,449,1157,2289
National Assn of Printing Ink,ACCOUNTLEVEL,-24,1027,3669,10239,1018,382,962,12,1859,2457
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-24,1342,3250,1614,8663,476,976,350,1433,1992
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-24,2745,6587,3293,9111,730,1075,148,1164,2358
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-24,13623,1376,2201,10125,643,1100,236,1348,1503
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-24,4043,2405,14477,6192,748,635,470,1147,1810
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-24,8748,5816,14301,11833,720,819,253,1024,2208
Triumph Tool NC Inc,ACCOUNTLEVEL,-24,6900,532,2095,10112,579,645,367,1950,2368
Darta NV,ACCOUNTLEVEL,-24,243,10440,9090,13998,573,1083,67,1624,2428
COTY UK LTD,ACCOUNTLEVEL,-24,6891,11203,1564,7977,356,764,381,1782,2459
Deal Partners Limited,ACCOUNTLEVEL,-24,1679,6435,10022,1121,518,756,160,1497,1772
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-24,11149,12930,1440,5898,631,1029,147,1444,2011
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-24,12298,14040,8272,12934,458,787,80,1419,2070
GKN Sinter Metals,ACCOUNTLEVEL,-24,11258,4897,5047,9757,748,801,150,1934,2182
AGENCE PRESSE,ACCOUNTLEVEL,-24,1618,4604,8258,7432,387,604,474,1792,2171
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-24,6149,1899,5581,9416,588,949,255,1193,1944
AUREA SOFTWARE INC,ACCOUNTLEVEL,-24,9209,4888,2684,6028,588,973,48,1231,1710
Ocean Sports Wear,ACCOUNTLEVEL,-24,4465,4326,4391,12938,789,988,424,1953,2341
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-24,388,1568,654,4961,762,833,498,1946,1721
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-24,10928,13408,1181,1154,554,1096,281,1284,1611
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-24,4670,9062,2243,2452,559,712,330,1322,2482
UNIFOODS SA DE CV,ACCOUNTLEVEL,-24,5254,14247,12908,7227,522,840,276,1294,2065
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-24,5805,3948,10644,9950,428,762,314,1569,1772
JARDINS DE NORTENE,ACCOUNTLEVEL,-24,7302,13516,9008,439,381,977,163,1845,1820
Terry Store age spa,ACCOUNTLEVEL,-24,2546,10210,6467,2618,445,911,298,1481,1895
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-24,9563,589,7614,2312,404,911,278,1077,2255
ST. CLAIR SERVICE,ACCOUNTLEVEL,-24,8105,563,11490,7061,388,777,186,1390,1628
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-24,2870,14554,14203,4453,498,740,251,1629,1727
CARNES KM SA DE CV,ACCOUNTLEVEL,-24,729,12161,13631,9,518,1070,51,1202,1687
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-24,2458,4995,12354,9310,413,953,239,1495,2123
COMNET SA DE CV,ACCOUNTLEVEL,-24,10500,6332,13899,9013,618,1089,213,1770,1889
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-24,4648,578,12268,5533,390,849,194,1552,2262
FRUITCORP SA DE CV,ACCOUNTLEVEL,-24,214,14743,308,6837,389,1078,431,1411,1610
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-24,13925,13077,7476,13986,391,910,259,1444,1807
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-24,2822,4059,2405,10270,396,833,41,1369,2094
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-24,13056,13948,12509,6643,721,790,75,1420,1987
K & S Contractors Supply Co,ACCOUNTLEVEL,-24,1623,9012,4328,6785,505,982,344,1056,2049
Tioga Hardwoods Inc,ACCOUNTLEVEL,-24,11827,4196,14509,14410,573,1070,307,1598,1997
GHCL Limited,ACCOUNTLEVEL,-24,14988,12009,334,10507,340,991,330,1270,1574
Motion Industries Inc.,ACCOUNTLEVEL,-24,8664,6844,13942,8271,342,815,184,1241,2192
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-24,5897,5481,977,10855,773,905,480,1105,2071
Quantum Foods,ACCOUNTLEVEL,-24,13106,13729,1176,2498,606,967,124,1307,2045
Family Magazine,ACCOUNTLEVEL,-24,6572,10458,14900,2108,391,802,13,1387,2500
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-24,5077,2996,14871,1968,340,616,376,1400,1773
Innovative Laser Inc,ACCOUNTLEVEL,-24,9994,2758,6658,13079,559,676,85,1340,2266
Addis Housewares Ltd,ACCOUNTLEVEL,-24,1335,2367,5591,2702,636,1011,337,1430,1923
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-24,6069,14404,3581,13429,577,671,176,1440,2365
APLNG,ACCOUNTLEVEL,-24,14370,2867,12565,8396,363,715,472,1958,1883
Quince Hungary Kft,ACCOUNTLEVEL,-24,2657,11739,5746,12581,579,720,332,1287,2046
Jandel Scientific Inc.,ACCOUNTLEVEL,-24,10157,11988,10826,20,785,769,0,1485,2123
Viking Tool & Steel,ACCOUNTLEVEL,-24,3467,14576,9510,6485,397,788,2,1748,2195
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-24,371,3241,11798,7417,318,944,104,1613,2437
MAPE USA,ACCOUNTLEVEL,-24,13487,14327,6715,5882,344,938,406,1200,1518
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-24,14231,12189,135,1539,303,905,253,1942,2025
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-24,14044,3287,7332,13104,428,839,152,1279,2488
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-24,8789,7730,5258,8242,531,834,35,1891,1754
M&M SERVICE CO,ACCOUNTLEVEL,-24,9728,4245,5709,2924,327,925,8,1580,2046
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-24,4134,7107,4250,14036,515,999,148,1445,1561
L and P Financial Services Co,ACCOUNTLEVEL,-24,13486,7221,12466,6001,347,639,249,1193,1533
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-24,9841,115,142,14294,333,819,254,1562,2368
CATMADER SL,ACCOUNTLEVEL,-24,1244,14188,14022,3281,665,900,329,1055,2433
Tekno Inc,ACCOUNTLEVEL,-24,14732,593,11239,7766,335,818,111,1562,2061
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-24,7663,3491,3634,11106,709,675,499,1593,1670
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-24,10169,10876,4921,4833,741,1041,101,1856,1801
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-24,12993,2380,9228,4025,367,1028,291,1888,2348
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-24,13236,6128,7464,2962,681,737,255,1031,1631
COMERGALV SA DE CV,ACCOUNTLEVEL,-24,14884,11632,1996,9697,408,771,482,1367,1586
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-24,1646,9140,5402,4293,613,959,129,1854,2484
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-24,10175,7323,5820,900,693,782,2,1809,1782
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-24,2481,12927,12785,8800,654,928,443,1721,2499
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-24,4412,12286,6602,14413,595,924,159,1373,1702
TERENTRO SA DE CV,ACCOUNTLEVEL,-24,8814,1923,2410,2143,328,882,289,1061,2347
FUNTASTIC LIMITED,ACCOUNTLEVEL,-24,11472,14635,90,12886,499,1069,373,1466,2422
DeeTag USA,ACCOUNTLEVEL,-24,2375,13107,3732,7120,673,616,267,1960,1545
Lakeland Village,ACCOUNTLEVEL,-24,3355,10701,7780,8520,367,1031,226,1600,1548
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-24,2163,11304,11850,10151,485,866,280,1346,2245
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-24,10685,5104,5817,12696,692,958,268,1908,2071
Do not Use1,ACCOUNTLEVEL,-24,10041,11280,3546,10037,333,787,328,1092,2061
Oil Chem Research Corp,ACCOUNTLEVEL,-24,7051,2009,6820,14223,604,833,159,1882,1544
LICK ELEVATOR,ACCOUNTLEVEL,-24,1732,1686,7990,2304,415,791,475,1794,1545
Quanex Screens LLC,ACCOUNTLEVEL,-24,2696,9303,10318,11972,767,876,472,1286,1913
A and T unlimit Limited,ACCOUNTLEVEL,-23,6304,6699,3000,4899,785,889,286,1976,1531
Sienna Gold Ltd,ACCOUNTLEVEL,-23,6321,9083,3742,10705,565,809,487,1620,1811
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-23,6988,4553,7784,8298,668,1096,348,1385,2316
Murex N.A. Ltd,ACCOUNTLEVEL,-23,2250,4528,11905,4080,592,745,276,1765,1805
Via Systems,ACCOUNTLEVEL,-23,2430,10041,13511,13207,571,664,439,1135,2332
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-23,13313,12538,6325,474,664,916,178,1133,2118
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-23,10479,7600,8121,284,311,695,39,1409,1926
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-23,2749,12180,8267,13289,471,693,32,1426,1636
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-23,14536,12744,8290,3610,739,734,417,1628,1767
Anunay Fab Ltd,ACCOUNTLEVEL,-23,11868,5776,12761,9234,657,1045,160,1523,2087
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-23,7425,5300,12409,14436,665,607,34,1559,1714
Jadow B & Sons Inc,ACCOUNTLEVEL,-23,12997,14042,13289,13135,800,880,410,1478,2476
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-23,12557,6945,6201,4663,333,668,327,1997,2285
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-23,13959,14457,8464,4525,625,673,178,1329,2397
Alltech Automotive LLC,ACCOUNTLEVEL,-23,8280,1812,11789,1634,334,609,228,1061,1580
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-23,11965,2000,14264,4773,712,646,372,1750,2020
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-23,10266,13290,9082,3706,685,980,156,1118,1609
ATTEBURY GRAIN,ACCOUNTLEVEL,-23,5275,13697,9425,10254,726,889,103,1196,1674
Vicor,ACCOUNTLEVEL,-23,7792,2006,812,13070,691,766,292,1996,1654
Baja Inc,ACCOUNTLEVEL,-23,10007,7278,8115,6959,410,847,276,1175,2162
National Assn of Printing Ink,ACCOUNTLEVEL,-23,6528,11095,8844,1895,727,1043,325,1800,1522
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-23,11418,8812,1873,13457,548,670,436,1805,1515
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-23,14037,5389,10901,4475,526,994,314,1958,2162
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-23,1748,13525,11172,245,502,1040,358,1695,1697
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-23,8545,8989,12081,235,579,1015,350,1836,1523
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-23,713,1479,10766,3971,605,1090,484,1847,2288
Triumph Tool NC Inc,ACCOUNTLEVEL,-23,7365,2728,7958,9886,741,1031,450,1698,1531
Darta NV,ACCOUNTLEVEL,-23,10612,11553,2361,14900,615,700,425,1764,2263
COTY UK LTD,ACCOUNTLEVEL,-23,1888,13251,7949,9131,459,1100,254,1671,1544
Deal Partners Limited,ACCOUNTLEVEL,-23,10687,5878,9935,1845,326,1057,55,1567,2117
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-23,1410,5420,10263,8523,687,833,236,1958,2469
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-23,14815,10707,3903,9569,795,1010,19,1699,1713
GKN Sinter Metals,ACCOUNTLEVEL,-23,10230,8757,3975,9926,434,861,316,1965,2393
AGENCE PRESSE,ACCOUNTLEVEL,-23,944,8756,6916,8875,491,714,489,1789,2239
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-23,3268,5265,4520,13771,362,951,392,2000,2457
AUREA SOFTWARE INC,ACCOUNTLEVEL,-23,9402,8301,13650,10358,631,1017,276,1384,2217
Ocean Sports Wear,ACCOUNTLEVEL,-23,11787,8942,290,2254,440,768,446,1365,1557
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-23,6813,10188,14979,4236,641,1022,187,1370,2048
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-23,11157,178,1154,12749,742,975,149,1641,1991
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-23,5783,6677,9005,13286,450,744,216,1583,2245
UNIFOODS SA DE CV,ACCOUNTLEVEL,-23,12093,9587,5073,1283,306,833,221,1502,1743
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-23,1359,9166,10529,2872,463,1062,34,1474,2229
JARDINS DE NORTENE,ACCOUNTLEVEL,-23,8175,10293,14392,10355,493,624,463,1084,1752
Terry Store age spa,ACCOUNTLEVEL,-23,11641,1445,2187,4816,535,643,367,1809,2459
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-23,6111,242,10867,5384,753,665,191,1376,1892
