JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 15,INSTANCELEVEL,-27,Production Instance -1,Cal-Pac Roofing Inc - Production Instance -1,72,23,166,16,200,30,271,7929,16315
Adoption Test - Account 16,INSTANCELEVEL,-27,Production Instance -1,Dai-Ichi Kangyo Bank - Production Instance -1,57,29,128,137,189,38,886,9639,3756
Adoption Test - Account 17,INSTANCELEVEL,-27,Production Instance -1,Daisy of California - Production Instance -1,19,29,144,78,135,26,441,9928,8381
Adoption Test - Account 18,INSTANCELEVEL,-27,Production Instance -1,Daley Business Forms - Production Instance -1,52,42,111,104,220,36,205,1850,14975
Adoption Test - Account 19,INSTANCELEVEL,-27,Production Instance -1,Dame Belts & Bag Co Inc - Production Instance -1,93,38,150,22,240,3,962,5440,17786
Adoption Test - Account 20,INSTANCELEVEL,-27,Production Instance -1,Dana Marketing Inc - Production Instance -1,58,18,165,126,170,35,361,5665,19974
Adoption Test - Account 21,INSTANCELEVEL,-27,Production Instance -1,East Bay Brass Foundry - Production Instance -1,0,14,121,91,141,29,791,538,15189
Adoption Test - Account 22,INSTANCELEVEL,-27,Production Instance -1,East Coast Traders - Production Instance -1,82,11,156,3,249,16,179,6179,9814
Adoption Test - Account 23,INSTANCELEVEL,-27,Production Instance -1,East/West Computers Inc - Production Instance -1,71,39,82,2,193,8,263,2527,18170
Adoption Test - Account 24,INSTANCELEVEL,-27,Production Instance -1,Eastern Municipal Water Distri - Production Instance -1,85,44,169,124,147,45,253,2230,1466
Adoption Test - Account 25,INSTANCELEVEL,-27,Production Instance -1,Eastman Kodak Company Health Sciences Division - Production Instance -1,1,32,70,46,153,23,270,8375,10511
Adoption Test - Account 26,INSTANCELEVEL,-27,Production Instance -1,Facts on File Newsletter - Production Instance -1,16,44,56,126,216,12,522,418,15726
Adoption Test - Account 27,INSTANCELEVEL,-27,Production Instance -1,Family Magazine - Production Instance -1,17,49,113,132,188,29,265,5910,14036
Adoption Test - Account 28,INSTANCELEVEL,-27,Production Instance -1,Fedder RP Corp - Production Instance -1,17,44,83,106,227,16,365,8508,6824
Adoption Test - Account 29,INSTANCELEVEL,-27,Production Instance -1,Fell David H & Company Inc - Production Instance -1,23,21,168,60,234,55,429,418,14308
Adoption Test - Account 30,INSTANCELEVEL,-27,Production Instance -1,Ferrara Foods & Confections - Production Instance -1,35,32,200,63,111,4,436,1175,15321
Adoption Test - Account 31,INSTANCELEVEL,-27,Production Instance -1,G Group - Production Instance -1,31,46,51,32,219,57,42,7291,17652
Adoption Test - Account 32,INSTANCELEVEL,-27,Production Instance -1,G-L Veneer Co Inc. - Production Instance -1,94,39,192,40,168,47,475,9346,7718
Adoption Test - Account 33,INSTANCELEVEL,-27,Production Instance -1,Galbreath Co - Production Instance -1,42,36,114,92,132,19,377,866,9176
Adoption Test - Account 34,INSTANCELEVEL,-27,Production Instance -1,Gallo Ernst & Julio Winery - Production Instance -1,72,27,60,123,122,4,20,3910,14185
Adoption Test - Account 35,INSTANCELEVEL,-27,Production Instance -1,Gamblers Anonymous - Production Instance -1,100,26,86,50,229,31,391,2768,10340
Adoption Test - Account 36,INSTANCELEVEL,-27,Production Instance -1,Halcyon Assoc - Production Instance -1,91,11,101,148,236,48,738,9113,12128
Adoption Test - Account 37,INSTANCELEVEL,-27,Production Instance -1,Hambro International Venture F - Production Instance -1,32,24,73,99,120,23,591,6924,9056
Adoption Test - Account 38,INSTANCELEVEL,-27,Production Instance -1,Hardy James G & Co - Production Instance -1,98,45,191,5,204,38,587,356,658
Adoption Test - Account 39,INSTANCELEVEL,-27,Production Instance -1,Harkavy Information Service - Production Instance -1,62,12,65,65,155,42,520,2932,15315
Adoption Test - Account 40,INSTANCELEVEL,-27,Production Instance -1,Harken Marketing Co - Production Instance -1,55,11,110,147,237,2,422,3565,13650
Adoption Test - Account 41,INSTANCELEVEL,-27,Production Instance -1,IBIS Systems Inc. - Production Instance -1,29,36,98,122,207,5,356,1967,11415
Adoption Test - Account 42,INSTANCELEVEL,-27,Production Instance -1,IBK Capital Inc - Production Instance -1,13,14,91,67,133,30,24,1584,8431
Adoption Test - Account 43,INSTANCELEVEL,-27,Production Instance -1,IBM Corp Data Systems Div - Production Instance -1,34,23,198,54,144,16,359,1869,18925
Adoption Test - Account 44,INSTANCELEVEL,-27,Production Instance -1,ICM Corp - Production Instance -1,68,11,140,1,172,40,834,7226,15391
Adoption Test - Account 45,INSTANCELEVEL,-27,Production Instance -1,ImageTek Corp - Production Instance -1,96,33,73,51,188,22,118,9947,16752
Adoption Test - Account 46,INSTANCELEVEL,-27,Production Instance -1,Jadow B & Sons Inc - Production Instance -1,74,10,168,106,193,54,506,4536,5324
Adoption Test - Account 47,INSTANCELEVEL,-27,Production Instance -1,Jaff Brothers Woodworks Inc - Production Instance -1,54,38,189,0,137,19,302,1432,19955
Adoption Test - Account 48,INSTANCELEVEL,-27,Production Instance -1,Jandel Scientific Inc. - Production Instance -1,16,15,117,64,120,43,358,6480,727
Adoption Test - Account 49,INSTANCELEVEL,-27,Production Instance -1,Japanese American Citizens Lea - Production Instance -1,65,27,79,133,101,59,436,4258,13382
Adoption Test - Account 50,INSTANCELEVEL,-27,Production Instance -1,K & S Contractors Supply Co - Production Instance -1,10,44,192,142,140,52,447,6682,11523
Adoption Test - Account 51,INSTANCELEVEL,-27,Production Instance -1,Kahlert Assoc Inc - Production Instance -1,10,12,91,91,215,30,835,7914,12681
Adoption Test - Account 52,INSTANCELEVEL,-27,Production Instance -1,Kaiser Steel Resources Inc - Production Instance -1,26,50,105,63,190,5,952,5050,9767
Adoption Test - Account 53,INSTANCELEVEL,-27,Production Instance -1,Karabelas Furs Inc - Production Instance -1,33,41,144,9,216,6,688,9356,3135
Adoption Test - Account 54,INSTANCELEVEL,-27,Production Instance -1,Karpen & Steel Products Inc - Production Instance -1,27,15,155,15,224,5,949,2883,568
Adoption Test - Account 55,INSTANCELEVEL,-27,Production Instance -1,La Costa Hotel & Spa - Production Instance -1,10,35,177,119,111,5,75,1373,3403
Adoption Test - Account 56,INSTANCELEVEL,-27,Production Instance -1,Lafferty RF & Co Inc - Production Instance -1,29,18,184,83,192,7,349,3996,18764
Adoption Test - Account 57,INSTANCELEVEL,-27,Production Instance -1,Lake County - Production Instance -1,18,50,80,27,221,56,793,2208,15936
Adoption Test - Account 58,INSTANCELEVEL,-27,Production Instance -1,Lakeland Village - Production Instance -1,27,35,160,128,148,50,712,3668,15443
Adoption Test - Account 59,INSTANCELEVEL,-27,Production Instance -1,Lexidata Corporation - Production Instance -1,71,42,183,94,231,25,908,4629,10795
Adoption Test - Account 60,INSTANCELEVEL,-27,Production Instance -1,Madonna Construction Co - Production Instance -1,77,16,176,46,136,51,428,145,4935
Adoption Test - Account 61,INSTANCELEVEL,-27,Production Instance -1,Magma Power Co - Production Instance -1,94,42,98,141,184,40,773,4359,14210
Adoption Test - Account 62,INSTANCELEVEL,-27,Production Instance -1,Magna Mill Products - Production Instance -1,23,26,143,54,121,24,433,2065,2615
Adoption Test - Account 63,INSTANCELEVEL,-27,Production Instance -1,Majestic Entertainment - Production Instance -1,97,33,99,111,219,35,907,7369,2153
Adoption Test - Account 64,INSTANCELEVEL,-27,Production Instance -1,Mall Side Sports - Production Instance -1,31,31,170,124,126,17,654,3384,10050
Adoption Test - Account 65,INSTANCELEVEL,-27,Production Instance -1,N/S Corp - Production Instance -1,68,38,143,89,205,43,818,6236,16845
Adoption Test - Account 66,INSTANCELEVEL,-27,Production Instance -1,Nardon Mfg Company Incorporated - Production Instance -1,3,29,98,0,196,34,780,8525,8431
Adoption Test - Account 67,INSTANCELEVEL,-27,Production Instance -1,Nash Direct - Production Instance -1,65,29,65,23,195,48,840,6512,15483
Adoption Test - Account 68,INSTANCELEVEL,-27,Production Instance -1,National Assn of Printing Ink - Production Instance -1,36,29,61,46,147,19,677,9711,1515
Adoption Test - Account 69,INSTANCELEVEL,-27,Production Instance -1,Nixdorf Computer - Production Instance -1,66,34,145,80,230,47,980,4219,1734
Adoption Test - Account 70,INSTANCELEVEL,-27,Production Instance -1,O-Cel-O Div General Mills Inc. - Production Instance -1,32,26,72,126,129,13,780,2794,16670
Adoption Test - Account 71,INSTANCELEVEL,-27,Production Instance -1,Oakland Carbide Engineering & - Production Instance -1,49,19,139,70,128,26,519,8828,7972
Adoption Test - Account 72,INSTANCELEVEL,-27,Production Instance -1,Ocean Sports - Production Instance -1,1,41,145,4,141,23,993,6609,11066
Adoption Test - Account 73,INSTANCELEVEL,-27,Production Instance -1,Ocean Sports Wear - Production Instance -1,5,31,105,31,153,1,590,3434,8765
Adoption Test - Account 74,INSTANCELEVEL,-27,Production Instance -1,OKeeffes Inc - Production Instance -1,73,49,188,62,130,21,24,537,475
Adoption Test - Account 75,INSTANCELEVEL,-27,Production Instance -1,P & C Food Markets Inc - Production Instance -1,100,47,74,148,244,20,940,9893,17830
Adoption Test - Account 76,INSTANCELEVEL,-27,Production Instance -1,P.S.C. - Production Instance -1,17,38,136,47,156,1,897,4456,18111
Adoption Test - Account 77,INSTANCELEVEL,-27,Production Instance -1,PacDevco Inc - Production Instance -1,13,28,110,134,230,41,250,1827,15076
Adoption Test - Account 78,INSTANCELEVEL,-27,Production Instance -1,Pace Press Inc - Production Instance -1,17,29,95,18,113,14,678,9775,4162
Adoption Test - Account 79,INSTANCELEVEL,-27,Production Instance -1,Purity-Supreme Inc. - Production Instance -1,20,40,114,13,117,24,980,8228,17523
Adoption Test - Account 80,INSTANCELEVEL,-27,Production Instance -1,Quadrex Corp - Production Instance -1,77,30,107,140,181,24,346,6249,4738
Adoption Test - Account 81,INSTANCELEVEL,-27,Production Instance -1,Quaker Fashions - Production Instance -1,3,31,64,31,174,54,54,4323,18004
Adoption Test - Account 82,INSTANCELEVEL,-27,Production Instance -1,Queensborough Public Library - Production Instance -1,22,18,83,46,113,20,161,1053,6149
Adoption Test - Account 83,INSTANCELEVEL,-27,Production Instance -1,Quinn/Brein Inc - Production Instance -1,5,35,133,122,150,27,571,4103,760
Adoption Test - Account 84,INSTANCELEVEL,-27,Production Instance -1,Quota Systems Inc. - Production Instance -1,15,45,114,67,189,48,838,3463,2950
Adoption Test - Account 85,INSTANCELEVEL,-27,Production Instance -1,R-F Industries Inc - Production Instance -1,45,50,180,41,238,11,370,2280,9768
Adoption Test - Account 86,INSTANCELEVEL,-27,Production Instance -1,Raceway Engines - Production Instance -1,36,38,199,65,164,28,924,9590,4087
Adoption Test - Account 87,INSTANCELEVEL,-27,Production Instance -1,Raleigh Active Wear - Production Instance -1,79,17,141,77,214,43,558,5818,3667
Adoption Test - Account 88,INSTANCELEVEL,-27,Production Instance -1,Raleigh Co. - Production Instance -1,65,23,124,116,219,31,869,8944,14132
Adoption Test - Account 89,INSTANCELEVEL,-27,Production Instance -1,Ralston Inc. - Production Instance -1,18,22,199,39,191,47,609,3925,19668
Adoption Test - Account 90,INSTANCELEVEL,-27,Production Instance -1,Sabena-Belgian World Airlines - Production Instance -1,98,28,65,8,123,51,570,1143,5059
Adoption Test - Account 91,INSTANCELEVEL,-27,Production Instance -1,Safeway Plumbing & Heating Inc - Production Instance -1,39,16,183,27,139,46,947,13,2920
Adoption Test - Account 92,INSTANCELEVEL,-27,Production Instance -1,Saint Johns University Staten - Production Instance -1,69,22,120,131,230,22,277,160,13197
Adoption Test - Account 93,INSTANCELEVEL,-27,Production Instance -1,Star Markets - Production Instance -1,14,23,88,17,124,25,433,3026,19660
Adoption Test - Account 94,INSTANCELEVEL,-27,Production Instance -1,State House Active Wear - Production Instance -1,45,30,143,146,172,36,530,5814,5711
Adoption Test - Account 95,INSTANCELEVEL,-27,Production Instance -1,Tapecon Inc - Production Instance -1,90,22,125,140,104,55,243,6525,17351
Adoption Test - Account 96,INSTANCELEVEL,-27,Production Instance -1,TDA Industries Inc - Production Instance -1,65,30,72,23,161,13,809,289,14119
Adoption Test - Account 97,INSTANCELEVEL,-27,Production Instance -1,TEAC Corp. of America - Production Instance -1,79,41,119,94,193,26,982,6130,4869
Adoption Test - Account 98,INSTANCELEVEL,-27,Production Instance -1,Tech Fire & Safety Company - Production Instance -1,62,19,63,105,100,20,99,5088,672
Adoption Test - Account 99,INSTANCELEVEL,-27,Production Instance -1,Teradyne - Production Instance -1,7,41,75,43,225,19,56,3867,5392
Adoption Test - Account 100,INSTANCELEVEL,-27,Production Instance -1,UBAF Arab American Bank - Production Instance -1,27,21,115,22,184,49,933,2006,13095
Adoption Test - Account 101,INSTANCELEVEL,-27,Production Instance -1,UniAmerica Inc - Production Instance -1,89,39,66,23,228,6,309,9476,9944
Adoption Test - Account 102,INSTANCELEVEL,-27,Production Instance -1,Union Flights - Production Instance -1,75,21,145,129,230,35,856,9600,14600
Adoption Test - Account 103,INSTANCELEVEL,-27,Production Instance -1,United Artists Theater Circuit - Production Instance -1,28,43,121,19,100,34,222,9989,17334
Adoption Test - Account 104,INSTANCELEVEL,-27,Production Instance -1,United Can Co. - Production Instance -1,75,46,109,147,123,7,808,4110,17365
Adoption Test - Account 105,INSTANCELEVEL,-27,Production Instance -1,Veritas Software - Production Instance -1,17,49,128,0,100,22,645,7281,480
Adoption Test - Account 106,INSTANCELEVEL,-27,Production Instance -1,Via Systems - Production Instance -1,77,29,192,16,122,3,564,3093,10251
Adoption Test - Account 107,INSTANCELEVEL,-27,Production Instance -1,Vicor - Production Instance -1,72,36,94,12,103,17,614,1718,16942
Adoption Test - Account 108,INSTANCELEVEL,-27,Production Instance -1,Volga Boats - Production Instance -1,24,15,135,67,221,23,905,9114,2799
Adoption Test - Account 109,INSTANCELEVEL,-27,Production Instance -1,Vyrex - Production Instance -1,44,24,155,1,189,44,383,1810,3915
Adoption Test - Account 110,INSTANCELEVEL,-27,Production Instance -1,Wallys World - Production Instance -1,72,27,167,45,181,22,566,2987,13301
Adoption Test - Account 111,INSTANCELEVEL,-27,Production Instance -1,Westend Dealers - Production Instance -1,86,36,50,16,233,38,362,3132,17685
Adoption Test - Account 112,INSTANCELEVEL,-27,Production Instance -1,Westinghouse Corporation - Production Instance -1,23,36,194,145,170,58,903,9277,18035
Adoption Test - Account 113,INSTANCELEVEL,-27,Production Instance -1,Wind & Rain - Production Instance -1,5,35,90,43,148,48,100,2535,16199
Adoption Test - Account 114,INSTANCELEVEL,-27,Production Instance -1,Wyse Corp. - Production Instance -1,62,18,155,6,107,12,838,8690,15519
Adoption Test - Account 115,INSTANCELEVEL,-27,Production Instance -1,Xerox - Production Instance -1,65,20,105,41,243,58,822,541,12609
Adoption Test - Account 116,INSTANCELEVEL,-27,Production Instance -1,Yesterday Productions Corp. - Production Instance -1,75,14,123,80,121,36,593,6723,3145
Adoption Test - Account 117,INSTANCELEVEL,-27,Production Instance -1,Ziff-Davis Labs - Production Instance -1,90,24,114,2,185,9,458,5007,12955
Adoption Test - Account 118,INSTANCELEVEL,-27,Production Instance -1,Zoo Gift Shop - Production Instance -1,24,10,81,0,231,30,310,7024,4794
Adoption Test - Account 1,INSTANCELEVEL,-26,Production Instance -1,AAR Corp Hardware Abscoa Division - Production Instance -1,26,46,73,46,213,35,796,7665,1532
Adoption Test - Account 2,INSTANCELEVEL,-26,Production Instance -1,Abacus Programming Corporation - Production Instance -1,22,28,122,60,104,11,12,5441,3820
Adoption Test - Account 3,INSTANCELEVEL,-26,Production Instance -1,Abberley Kooiman - Production Instance -1,38,11,79,42,128,31,523,3265,950
Adoption Test - Account 4,INSTANCELEVEL,-26,Production Instance -1,Abbett Electric Corp - Production Instance -1,69,45,80,125,134,44,378,9522,7669
Adoption Test - Account 5,INSTANCELEVEL,-26,Production Instance -1,Abbey Press Inc - Production Instance -1,78,48,187,123,151,50,243,8084,18294
Adoption Test - Account 6,INSTANCELEVEL,-26,Production Instance -1,Bachman Information System Inc. - Production Instance -1,55,39,121,24,132,5,257,8578,14420
Adoption Test - Account 7,INSTANCELEVEL,-26,Production Instance -1,Back Stage Magazine - Production Instance -1,89,33,61,1,163,36,319,7042,19229
Adoption Test - Account 8,INSTANCELEVEL,-26,Production Instance -1,Baker & McKenzie - Production Instance -1,46,18,115,147,214,21,880,4249,16855
Adoption Test - Account 9,INSTANCELEVEL,-26,Production Instance -1,Balfour Maclaine International - Production Instance -1,93,19,181,121,131,58,751,6438,2596
Adoption Test - Account 10,INSTANCELEVEL,-26,Production Instance -1,Ball & Socket Mfg Co - Production Instance -1,39,49,105,126,179,56,595,2284,17757
Adoption Test - Account 11,INSTANCELEVEL,-26,Production Instance -1,Caco-Pacific Corp. - Production Instance -1,62,18,60,48,198,12,649,3123,19164
Adoption Test - Account 12,INSTANCELEVEL,-26,Production Instance -1,CADAM Inc. - Production Instance -1,51,16,122,114,247,33,520,7331,4426
Adoption Test - Account 13,INSTANCELEVEL,-26,Production Instance -1,Cadbury Beverages Div Cadbury - Production Instance -1,77,43,71,31,227,18,77,8430,1777
Adoption Test - Account 14,INSTANCELEVEL,-26,Production Instance -1,Cahn Instruments Inc - Production Instance -1,13,23,96,43,159,1,717,9158,14433
Adoption Test - Account 15,INSTANCELEVEL,-26,Production Instance -1,Cal-Pac Roofing Inc - Production Instance -1,60,19,60,69,153,13,163,1657,15242
Adoption Test - Account 16,INSTANCELEVEL,-26,Production Instance -1,Dai-Ichi Kangyo Bank - Production Instance -1,49,31,81,45,173,59,624,7083,6336
Adoption Test - Account 17,INSTANCELEVEL,-26,Production Instance -1,Daisy of California - Production Instance -1,89,47,131,4,200,25,866,4444,5515
Adoption Test - Account 18,INSTANCELEVEL,-26,Production Instance -1,Daley Business Forms - Production Instance -1,96,38,67,116,179,18,415,3057,4431
Adoption Test - Account 19,INSTANCELEVEL,-26,Production Instance -1,Dame Belts & Bag Co Inc - Production Instance -1,24,13,145,85,222,51,631,7273,4566
Adoption Test - Account 20,INSTANCELEVEL,-26,Production Instance -1,Dana Marketing Inc - Production Instance -1,34,40,145,120,190,59,889,7455,8894
Adoption Test - Account 21,INSTANCELEVEL,-26,Production Instance -1,East Bay Brass Foundry - Production Instance -1,62,39,144,130,181,5,273,8008,3055
Adoption Test - Account 22,INSTANCELEVEL,-26,Production Instance -1,East Coast Traders - Production Instance -1,51,33,62,86,174,10,743,2804,6123
Adoption Test - Account 23,INSTANCELEVEL,-26,Production Instance -1,East/West Computers Inc - Production Instance -1,46,16,152,53,187,41,524,3128,9206
Adoption Test - Account 24,INSTANCELEVEL,-26,Production Instance -1,Eastern Municipal Water Distri - Production Instance -1,18,38,197,143,101,28,456,3788,14930
Adoption Test - Account 25,INSTANCELEVEL,-26,Production Instance -1,Eastman Kodak Company Health Sciences Division - Production Instance -1,87,39,87,79,194,21,876,1028,5397
Adoption Test - Account 26,INSTANCELEVEL,-26,Production Instance -1,Facts on File Newsletter - Production Instance -1,53,15,95,126,124,39,344,2134,5003
Adoption Test - Account 27,INSTANCELEVEL,-26,Production Instance -1,Family Magazine - Production Instance -1,67,20,168,70,247,40,775,8327,6908
Adoption Test - Account 28,INSTANCELEVEL,-26,Production Instance -1,Fedder RP Corp - Production Instance -1,60,38,62,89,174,26,595,9390,18341
Adoption Test - Account 29,INSTANCELEVEL,-26,Production Instance -1,Fell David H & Company Inc - Production Instance -1,99,43,176,25,210,28,960,1564,6547
Adoption Test - Account 30,INSTANCELEVEL,-26,Production Instance -1,Ferrara Foods & Confections - Production Instance -1,5,11,51,101,180,40,273,1454,10664
Adoption Test - Account 31,INSTANCELEVEL,-26,Production Instance -1,G Group - Production Instance -1,93,16,72,100,205,51,453,7973,2850
Adoption Test - Account 32,INSTANCELEVEL,-26,Production Instance -1,G-L Veneer Co Inc. - Production Instance -1,26,15,192,92,126,27,117,8087,9977
Adoption Test - Account 33,INSTANCELEVEL,-26,Production Instance -1,Galbreath Co - Production Instance -1,94,33,160,136,203,35,438,7933,16382
Adoption Test - Account 34,INSTANCELEVEL,-26,Production Instance -1,Gallo Ernst & Julio Winery - Production Instance -1,28,25,65,8,172,43,375,7220,18526
Adoption Test - Account 35,INSTANCELEVEL,-26,Production Instance -1,Gamblers Anonymous - Production Instance -1,21,32,100,137,155,21,704,2324,4784
Adoption Test - Account 36,INSTANCELEVEL,-26,Production Instance -1,Halcyon Assoc - Production Instance -1,5,12,182,23,103,59,234,3846,927
Adoption Test - Account 37,INSTANCELEVEL,-26,Production Instance -1,Hambro International Venture F - Production Instance -1,90,26,64,101,167,47,649,2975,784
Adoption Test - Account 38,INSTANCELEVEL,-26,Production Instance -1,Hardy James G & Co - Production Instance -1,20,38,110,33,126,57,7,4062,19639
Adoption Test - Account 39,INSTANCELEVEL,-26,Production Instance -1,Harkavy Information Service - Production Instance -1,77,50,146,14,126,59,924,3161,15545
Adoption Test - Account 40,INSTANCELEVEL,-26,Production Instance -1,Harken Marketing Co - Production Instance -1,73,35,152,97,202,14,75,9137,1715
Adoption Test - Account 41,INSTANCELEVEL,-26,Production Instance -1,IBIS Systems Inc. - Production Instance -1,55,20,60,27,162,20,419,1091,5469
Adoption Test - Account 42,INSTANCELEVEL,-26,Production Instance -1,IBK Capital Inc - Production Instance -1,25,48,188,11,228,21,349,9599,19527
Adoption Test - Account 43,INSTANCELEVEL,-26,Production Instance -1,IBM Corp Data Systems Div - Production Instance -1,25,34,90,49,195,25,842,6201,10790
Adoption Test - Account 44,INSTANCELEVEL,-26,Production Instance -1,ICM Corp - Production Instance -1,64,19,54,128,202,60,685,4968,2541
Adoption Test - Account 45,INSTANCELEVEL,-26,Production Instance -1,ImageTek Corp - Production Instance -1,52,24,66,44,181,8,257,4914,10153
Adoption Test - Account 46,INSTANCELEVEL,-26,Production Instance -1,Jadow B & Sons Inc - Production Instance -1,42,27,194,74,201,47,749,5705,6943
Adoption Test - Account 47,INSTANCELEVEL,-26,Production Instance -1,Jaff Brothers Woodworks Inc - Production Instance -1,49,26,183,18,217,56,601,7423,6583
Adoption Test - Account 48,INSTANCELEVEL,-26,Production Instance -1,Jandel Scientific Inc. - Production Instance -1,1,39,150,60,156,29,969,5669,7640
Adoption Test - Account 49,INSTANCELEVEL,-26,Production Instance -1,Japanese American Citizens Lea - Production Instance -1,70,43,162,5,229,11,564,4142,17231
Adoption Test - Account 50,INSTANCELEVEL,-26,Production Instance -1,K & S Contractors Supply Co - Production Instance -1,5,34,60,44,190,56,838,2539,528
Adoption Test - Account 51,INSTANCELEVEL,-26,Production Instance -1,Kahlert Assoc Inc - Production Instance -1,58,47,70,38,240,23,510,1537,13823
Adoption Test - Account 52,INSTANCELEVEL,-26,Production Instance -1,Kaiser Steel Resources Inc - Production Instance -1,61,14,159,8,166,49,242,2517,2157
Adoption Test - Account 53,INSTANCELEVEL,-26,Production Instance -1,Karabelas Furs Inc - Production Instance -1,56,17,70,2,160,10,664,8792,15191
Adoption Test - Account 54,INSTANCELEVEL,-26,Production Instance -1,Karpen & Steel Products Inc - Production Instance -1,0,42,93,60,107,13,724,6188,3650
Adoption Test - Account 55,INSTANCELEVEL,-26,Production Instance -1,La Costa Hotel & Spa - Production Instance -1,55,22,159,30,231,35,468,5372,660
Adoption Test - Account 56,INSTANCELEVEL,-26,Production Instance -1,Lafferty RF & Co Inc - Production Instance -1,79,34,84,43,199,40,566,1771,8394
Adoption Test - Account 57,INSTANCELEVEL,-26,Production Instance -1,Lake County - Production Instance -1,40,17,184,60,175,2,621,683,18036
Adoption Test - Account 58,INSTANCELEVEL,-26,Production Instance -1,Lakeland Village - Production Instance -1,68,19,54,137,222,30,985,680,14642
Adoption Test - Account 59,INSTANCELEVEL,-26,Production Instance -1,Lexidata Corporation - Production Instance -1,76,40,90,115,160,27,981,8882,4522
Adoption Test - Account 60,INSTANCELEVEL,-26,Production Instance -1,Madonna Construction Co - Production Instance -1,49,44,64,146,199,40,37,5850,16726
Adoption Test - Account 61,INSTANCELEVEL,-26,Production Instance -1,Magma Power Co - Production Instance -1,35,22,142,114,176,24,603,9222,12321
Adoption Test - Account 62,INSTANCELEVEL,-26,Production Instance -1,Magna Mill Products - Production Instance -1,98,13,67,72,222,49,329,5832,17715
Adoption Test - Account 63,INSTANCELEVEL,-26,Production Instance -1,Majestic Entertainment - Production Instance -1,63,25,150,69,223,56,589,3568,4838
Adoption Test - Account 64,INSTANCELEVEL,-26,Production Instance -1,Mall Side Sports - Production Instance -1,91,35,84,20,249,29,254,8916,12334
Adoption Test - Account 65,INSTANCELEVEL,-26,Production Instance -1,N/S Corp - Production Instance -1,56,44,137,42,114,11,917,2988,16174
Adoption Test - Account 66,INSTANCELEVEL,-26,Production Instance -1,Nardon Mfg Company Incorporated - Production Instance -1,31,18,92,43,188,22,439,2746,16541
Adoption Test - Account 67,INSTANCELEVEL,-26,Production Instance -1,Nash Direct - Production Instance -1,58,26,164,43,127,28,643,275,4893
Adoption Test - Account 68,INSTANCELEVEL,-26,Production Instance -1,National Assn of Printing Ink - Production Instance -1,3,46,164,124,239,11,755,7549,3253
Adoption Test - Account 69,INSTANCELEVEL,-26,Production Instance -1,Nixdorf Computer - Production Instance -1,70,26,128,78,149,24,341,5950,9967
Adoption Test - Account 70,INSTANCELEVEL,-26,Production Instance -1,O-Cel-O Div General Mills Inc. - Production Instance -1,92,32,53,83,143,54,262,2466,5667
