JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
P.S.C.,ACCOUNTLEVEL,-13,User 1,86,10,146,60,181,27,325,3554,11218
PacDevco Inc,ACCOUNTLEVEL,-13,User 1,65,45,163,30,237,11,883,2527,16840
Pace Press Inc,ACCOUNTLEVEL,-13,User 1,56,25,100,94,137,1,531,385,10629
Purity-Supreme Inc.,ACCOUNTLEVEL,-13,User 1,95,20,135,24,224,7,771,797,5736
Quadrex Corp,ACCOUNTLEVEL,-13,User 1,83,37,69,132,128,41,373,7090,8335
Quaker Fashions,ACCOUNTLEVEL,-13,User 1,58,41,63,51,152,53,420,7109,133
Queensborough Public Library,ACCOUNTLEVEL,-13,User 1,2,10,151,17,194,14,503,6920,18765
Quinn/Brein Inc,ACCOUNTLEVEL,-13,User 1,29,12,152,49,216,21,644,4158,15362
Quota Systems Inc.,ACCOUNTLEVEL,-13,User 1,86,11,109,44,132,40,367,6669,16983
R-F Industries Inc,ACCOUNTLEVEL,-13,User 1,87,29,126,122,137,11,300,2957,9958
Raceway Engines,ACCOUNTLEVEL,-13,User 1,70,28,70,118,244,22,952,2359,16421
Raleigh Active Wear,ACCOUNTLEVEL,-13,User 1,61,30,79,34,220,52,809,4585,2936
Raleigh Co.,ACCOUNTLEVEL,-13,User 1,61,44,123,128,180,59,947,6661,15369
Ralston Inc.,ACCOUNTLEVEL,-13,User 1,83,37,127,132,195,21,905,5955,2132
Sabena-Belgian World Airlines,ACCOUNTLEVEL,-13,User 1,24,43,124,114,123,9,201,3315,5597
Safeway Plumbing & Heating Inc,ACCOUNTLEVEL,-13,User 1,40,25,136,85,241,55,813,2102,10823
Saint Johns University Staten,ACCOUNTLEVEL,-13,User 1,80,10,97,18,166,28,815,8267,12486
Star Markets,ACCOUNTLEVEL,-13,User 1,49,12,160,71,140,54,884,8489,16536
State House Active Wear,ACCOUNTLEVEL,-13,User 1,88,22,151,123,124,33,5,2235,14588
Tapecon Inc,ACCOUNTLEVEL,-13,User 1,91,24,129,6,100,26,336,6501,4016
TDA Industries Inc,ACCOUNTLEVEL,-13,User 1,15,21,168,32,132,10,670,7486,9166
TEAC Corp. of America,ACCOUNTLEVEL,-13,User 1,33,14,175,104,250,45,882,2197,8627
Tech Fire & Safety Company,ACCOUNTLEVEL,-13,User 1,36,47,85,55,107,53,944,6513,1891
Teradyne,ACCOUNTLEVEL,-13,User 1,11,32,115,43,225,28,576,5333,1568
UBAF Arab American Bank,ACCOUNTLEVEL,-13,User 1,84,12,72,18,128,56,20,3476,4591
UniAmerica Inc,ACCOUNTLEVEL,-13,User 1,81,42,194,101,138,15,559,6942,1562
Union Flights,ACCOUNTLEVEL,-13,User 1,4,46,87,63,215,25,73,7850,1928
United Artists Theater Circuit,ACCOUNTLEVEL,-13,User 1,25,14,166,53,116,38,259,5468,8301
United Can Co.,ACCOUNTLEVEL,-13,User 1,2,10,132,92,118,25,629,8532,11133
Veritas Software,ACCOUNTLEVEL,-13,User 1,27,27,57,68,216,22,276,234,5951
Via Systems,ACCOUNTLEVEL,-13,User 1,56,30,190,132,158,52,525,7310,1634
Vicor,ACCOUNTLEVEL,-13,User 1,90,39,60,18,145,44,814,1518,2243
Volga Boats,ACCOUNTLEVEL,-13,User 1,87,37,187,56,132,44,271,8241,15684
Vyrex,ACCOUNTLEVEL,-13,User 1,3,23,102,111,139,45,356,5133,16046
Wallys World,ACCOUNTLEVEL,-13,User 1,38,18,167,125,162,52,811,2115,10867
Westend Dealers,ACCOUNTLEVEL,-13,User 1,99,34,69,9,121,22,31,6423,14556
Westinghouse Corporation,ACCOUNTLEVEL,-13,User 1,83,16,114,58,101,43,199,8437,9806
Wind & Rain,ACCOUNTLEVEL,-13,User 1,47,33,151,90,193,52,352,4523,6408
Wyse Corp.,ACCOUNTLEVEL,-13,User 1,89,31,61,4,176,57,197,1503,14209
Xerox,ACCOUNTLEVEL,-13,User 1,49,31,139,91,206,14,268,476,18911
Yesterday Productions Corp.,ACCOUNTLEVEL,-13,User 1,93,15,82,74,162,42,943,1338,18759
Ziff-Davis Labs,ACCOUNTLEVEL,-13,User 1,28,45,55,137,220,7,288,8065,2039
Zoo Gift Shop,ACCOUNTLEVEL,-13,User 1,82,44,52,123,224,12,148,4007,12026
AAR Corp Hardware Abscoa Division,ACCOUNTLEVEL,-12,User 1,44,39,72,129,250,16,517,3677,8597
Abacus Programming Corporation,ACCOUNTLEVEL,-12,User 1,76,31,133,130,248,40,999,5937,16930
Abberley Kooiman,ACCOUNTLEVEL,-12,User 1,84,23,82,60,145,29,75,9953,9256
Abbett Electric Corp,ACCOUNTLEVEL,-12,User 1,10,50,102,24,207,47,520,341,4369
Abbey Press Inc,ACCOUNTLEVEL,-12,User 1,73,28,50,125,193,31,119,5639,4825
Bachman Information System Inc.,ACCOUNTLEVEL,-12,User 1,57,28,112,28,143,57,356,8865,19331
Back Stage Magazine,ACCOUNTLEVEL,-12,User 1,93,23,167,44,117,5,587,5888,5048
Baker & McKenzie,ACCOUNTLEVEL,-12,User 1,20,10,112,72,247,36,887,449,1201
Balfour Maclaine International,ACCOUNTLEVEL,-12,User 1,81,34,129,87,118,47,170,3120,19653
Ball & Socket Mfg Co,ACCOUNTLEVEL,-12,User 1,85,26,94,25,214,21,729,6740,2088
Caco-Pacific Corp.,ACCOUNTLEVEL,-12,User 1,12,31,65,59,159,7,586,4110,7890
CADAM Inc.,ACCOUNTLEVEL,-12,User 1,18,14,106,39,205,2,925,9645,2018
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-12,User 1,8,49,71,73,242,50,720,5150,6842
Cahn Instruments Inc,ACCOUNTLEVEL,-12,User 1,100,19,93,48,216,35,793,6640,4319
Cal-Pac Roofing Inc,ACCOUNTLEVEL,-12,User 1,90,14,104,26,217,21,1,6884,1711
Dai-Ichi Kangyo Bank,ACCOUNTLEVEL,-12,User 1,4,49,146,132,117,17,345,148,10863
Daisy of California,ACCOUNTLEVEL,-12,User 1,100,20,122,55,139,55,27,3719,12933
Daley Business Forms,ACCOUNTLEVEL,-12,User 1,2,23,132,136,200,50,155,7109,10330
Dame Belts & Bag Co Inc,ACCOUNTLEVEL,-12,User 1,26,34,116,145,144,48,347,1742,16855
Dana Marketing Inc,ACCOUNTLEVEL,-12,User 1,78,47,90,104,233,33,469,3714,10268
East Bay Brass Foundry,ACCOUNTLEVEL,-12,User 1,8,12,111,96,227,26,17,2913,7713
East Coast Traders,ACCOUNTLEVEL,-12,User 1,53,16,85,34,103,8,973,3131,19535
East/West Computers Inc,ACCOUNTLEVEL,-12,User 1,7,20,59,129,140,54,386,4608,16245
Eastern Municipal Water Distri,ACCOUNTLEVEL,-12,User 1,85,14,141,150,120,35,732,6491,324
Eastman Kodak Company Health Sciences Division,ACCOUNTLEVEL,-12,User 1,22,45,89,10,228,6,341,585,7835
Facts on File Newsletter,ACCOUNTLEVEL,-12,User 1,96,30,179,113,130,33,356,9672,9639
Family Magazine,ACCOUNTLEVEL,-12,User 1,34,10,64,90,135,42,47,2775,15404
Fedder RP Corp,ACCOUNTLEVEL,-12,User 1,85,36,118,62,151,23,101,2143,11769
Fell David H & Company Inc,ACCOUNTLEVEL,-12,User 1,45,42,57,72,139,33,934,1975,14419
Ferrara Foods & Confections,ACCOUNTLEVEL,-12,User 1,16,28,51,136,120,44,595,6597,16057
G Group,ACCOUNTLEVEL,-12,User 1,57,34,159,98,249,49,223,8118,17137
G-L Veneer Co Inc.,ACCOUNTLEVEL,-12,User 1,45,10,121,13,120,15,339,8330,14365
Galbreath Co,ACCOUNTLEVEL,-12,User 1,67,43,178,61,241,24,272,6319,10338
Gallo Ernst & Julio Winery,ACCOUNTLEVEL,-12,User 1,86,10,100,74,186,29,185,7552,2442
Gamblers Anonymous,ACCOUNTLEVEL,-12,User 1,47,48,123,138,190,18,804,3241,12724
Halcyon Assoc,ACCOUNTLEVEL,-12,User 1,81,26,198,8,177,13,18,7366,5233
Hambro International Venture F,ACCOUNTLEVEL,-12,User 1,4,46,133,34,128,7,406,7716,1327
Hardy James G & Co,ACCOUNTLEVEL,-12,User 1,40,24,149,83,102,12,204,7928,14772
Harkavy Information Service,ACCOUNTLEVEL,-12,User 1,17,30,117,116,128,43,623,4435,10473
Harken Marketing Co,ACCOUNTLEVEL,-12,User 1,25,13,137,140,247,14,548,8664,16758
IBIS Systems Inc.,ACCOUNTLEVEL,-12,User 1,71,31,91,142,218,12,257,2796,15713
IBK Capital Inc,ACCOUNTLEVEL,-12,User 1,64,23,59,89,210,24,986,9856,13117
IBM Corp Data Systems Div,ACCOUNTLEVEL,-12,User 1,92,24,64,68,248,43,661,9393,5167
ICM Corp,ACCOUNTLEVEL,-12,User 1,25,27,200,100,145,3,940,375,6462
ImageTek Corp,ACCOUNTLEVEL,-12,User 1,77,37,182,29,194,34,990,8877,12448
Jadow B & Sons Inc,ACCOUNTLEVEL,-12,User 1,23,41,179,62,247,20,38,8129,16862
Jaff Brothers Woodworks Inc,ACCOUNTLEVEL,-12,User 1,47,39,146,45,164,41,980,3409,953
Jandel Scientific Inc.,ACCOUNTLEVEL,-12,User 1,17,29,103,57,145,60,206,5547,8980
Japanese American Citizens Lea,ACCOUNTLEVEL,-12,User 1,89,50,52,141,192,8,229,8385,16654
K & S Contractors Supply Co,ACCOUNTLEVEL,-12,User 1,54,32,85,145,215,25,511,2970,11025
Kahlert Assoc Inc,ACCOUNTLEVEL,-12,User 1,40,13,192,125,116,35,841,5546,19539
Kaiser Steel Resources Inc,ACCOUNTLEVEL,-12,User 1,74,49,192,60,158,53,22,6639,3476
Karabelas Furs Inc,ACCOUNTLEVEL,-12,User 1,91,39,189,49,236,12,694,8663,2282
Karpen & Steel Products Inc,ACCOUNTLEVEL,-12,User 1,37,45,129,12,148,8,606,5692,3935
La Costa Hotel & Spa,ACCOUNTLEVEL,-12,User 1,60,50,91,56,178,37,244,5794,8608
Lafferty RF & Co Inc,ACCOUNTLEVEL,-12,User 1,79,20,133,51,165,42,107,7239,19060
Lake County,ACCOUNTLEVEL,-12,User 1,47,18,121,133,207,10,685,405,17348
Lakeland Village,ACCOUNTLEVEL,-12,User 1,86,39,65,73,183,32,403,1576,4611
Lexidata Corporation,ACCOUNTLEVEL,-12,User 1,69,26,85,139,183,23,809,8149,15640
Madonna Construction Co,ACCOUNTLEVEL,-12,User 1,38,41,93,113,154,56,102,3371,13051
Magma Power Co,ACCOUNTLEVEL,-12,User 1,75,39,103,47,144,27,467,9450,18458
Magna Mill Products,ACCOUNTLEVEL,-12,User 1,13,25,135,74,237,46,941,357,8769
Majestic Entertainment,ACCOUNTLEVEL,-12,User 1,8,10,107,87,137,47,373,7568,5814
Mall Side Sports,ACCOUNTLEVEL,-12,User 1,77,27,143,37,158,33,311,7187,2901
N/S Corp,ACCOUNTLEVEL,-12,User 1,67,35,74,102,115,41,109,9642,17108
Nardon Mfg Company Incorporated,ACCOUNTLEVEL,-12,User 1,7,32,135,100,197,52,828,8888,3107
Nash Direct,ACCOUNTLEVEL,-12,User 1,70,28,83,34,172,36,152,5765,5269
National Assn of Printing Ink,ACCOUNTLEVEL,-12,User 1,26,31,99,109,140,5,964,6728,923
Nixdorf Computer,ACCOUNTLEVEL,-12,User 1,26,49,155,104,125,51,402,179,2597
O-Cel-O Div General Mills Inc.,ACCOUNTLEVEL,-12,User 1,19,43,185,96,107,58,299,1916,18077
Oakland Carbide Engineering &,ACCOUNTLEVEL,-12,User 1,16,15,131,107,173,12,248,5959,17017
Ocean Sports,ACCOUNTLEVEL,-12,User 1,99,40,184,61,206,33,139,7535,14097
Ocean Sports Wear,ACCOUNTLEVEL,-12,User 1,50,44,92,79,208,31,549,3539,240
OKeeffes Inc,ACCOUNTLEVEL,-12,User 1,37,38,168,65,250,27,474,3374,14078
P & C Food Markets Inc,ACCOUNTLEVEL,-12,User 1,37,22,165,50,198,13,674,676,5387
P.S.C.,ACCOUNTLEVEL,-12,User 1,83,11,141,78,182,11,21,7638,9923
PacDevco Inc,ACCOUNTLEVEL,-12,User 1,40,39,93,102,112,19,529,9426,19502
Pace Press Inc,ACCOUNTLEVEL,-12,User 1,43,45,106,72,102,14,105,7858,5134
Purity-Supreme Inc.,ACCOUNTLEVEL,-12,User 1,20,39,147,37,100,39,859,7259,3209
Quadrex Corp,ACCOUNTLEVEL,-12,User 1,82,18,164,65,233,34,716,4792,6577
Quaker Fashions,ACCOUNTLEVEL,-12,User 1,80,13,162,146,201,14,761,5386,786
Queensborough Public Library,ACCOUNTLEVEL,-12,User 1,28,49,109,135,165,29,227,1904,10121
Quinn/Brein Inc,ACCOUNTLEVEL,-12,User 1,6,38,87,138,229,30,301,9329,11257
Quota Systems Inc.,ACCOUNTLEVEL,-12,User 1,62,27,65,80,128,10,759,7581,7122
R-F Industries Inc,ACCOUNTLEVEL,-12,User 1,22,25,195,16,117,47,448,2001,18325
Raceway Engines,ACCOUNTLEVEL,-12,User 1,43,41,65,106,194,52,175,1090,11164
Raleigh Active Wear,ACCOUNTLEVEL,-12,User 1,16,21,103,3,122,22,482,4948,773
Raleigh Co.,ACCOUNTLEVEL,-12,User 1,19,26,191,15,207,26,539,8214,1037
Ralston Inc.,ACCOUNTLEVEL,-12,User 1,11,42,171,104,166,15,880,5465,1899
Sabena-Belgian World Airlines,ACCOUNTLEVEL,-12,User 1,39,23,131,114,188,40,90,7712,16626
Safeway Plumbing & Heating Inc,ACCOUNTLEVEL,-12,User 1,98,30,132,66,120,23,68,1876,16810
Saint Johns University Staten,ACCOUNTLEVEL,-12,User 1,82,16,184,112,132,11,421,4236,12121
Star Markets,ACCOUNTLEVEL,-12,User 1,45,17,176,0,132,4,349,4698,1337
State House Active Wear,ACCOUNTLEVEL,-12,User 1,42,31,90,69,117,42,690,1165,19023
Tapecon Inc,ACCOUNTLEVEL,-12,User 1,38,11,168,139,220,2,857,5947,9730
TDA Industries Inc,ACCOUNTLEVEL,-12,User 1,48,36,153,124,145,46,603,1966,15583
TEAC Corp. of America,ACCOUNTLEVEL,-12,User 1,81,31,102,78,169,21,340,8872,18160
Tech Fire & Safety Company,ACCOUNTLEVEL,-12,User 1,32,25,91,86,220,33,959,8672,11515
Teradyne,ACCOUNTLEVEL,-12,User 1,38,11,87,91,162,1,703,4626,5595
UBAF Arab American Bank,ACCOUNTLEVEL,-12,User 1,79,20,155,20,140,9,782,5834,15216
UniAmerica Inc,ACCOUNTLEVEL,-12,User 1,4,14,71,91,136,21,475,9034,6764
Union Flights,ACCOUNTLEVEL,-12,User 1,9,17,89,12,159,29,565,5470,8361
United Artists Theater Circuit,ACCOUNTLEVEL,-12,User 1,43,49,194,45,161,36,966,4266,10123
United Can Co.,ACCOUNTLEVEL,-12,User 1,62,23,159,139,103,58,475,4330,18646
Veritas Software,ACCOUNTLEVEL,-12,User 1,14,38,102,131,243,13,662,5424,6899
Via Systems,ACCOUNTLEVEL,-12,User 1,96,17,173,144,115,34,721,4224,19611
Vicor,ACCOUNTLEVEL,-12,User 1,73,49,159,30,143,21,751,4434,12563
Volga Boats,ACCOUNTLEVEL,-12,User 1,45,40,66,0,241,59,307,6623,7060
Vyrex,ACCOUNTLEVEL,-12,User 1,14,40,93,20,199,49,769,2889,19789
Wallys World,ACCOUNTLEVEL,-12,User 1,9,26,154,101,210,12,85,411,5697
Westend Dealers,ACCOUNTLEVEL,-12,User 1,12,22,178,104,132,26,413,8607,1693
Westinghouse Corporation,ACCOUNTLEVEL,-12,User 1,40,10,175,55,187,20,396,1529,9432
Wind & Rain,ACCOUNTLEVEL,-12,User 1,18,49,84,106,218,53,61,6044,3804
Wyse Corp.,ACCOUNTLEVEL,-12,User 1,92,14,87,38,175,58,115,480,14281
Xerox,ACCOUNTLEVEL,-12,User 1,65,32,133,39,242,13,537,9013,11791
Yesterday Productions Corp.,ACCOUNTLEVEL,-12,User 1,87,26,90,55,196,30,76,3645,886
Ziff-Davis Labs,ACCOUNTLEVEL,-12,User 1,11,40,141,20,128,40,996,6108,14215
Zoo Gift Shop,ACCOUNTLEVEL,-12,User 1,80,30,128,126,177,43,346,8570,443
AAR Corp Hardware Abscoa Division,ACCOUNTLEVEL,-11,User 1,11,22,139,125,144,15,111,9178,10341
Abacus Programming Corporation,ACCOUNTLEVEL,-11,User 1,4,47,123,97,232,13,147,1046,8310
Abberley Kooiman,ACCOUNTLEVEL,-11,User 1,62,23,108,17,119,31,216,3125,10925
Abbett Electric Corp,ACCOUNTLEVEL,-11,User 1,36,42,153,56,207,50,125,491,14716
Abbey Press Inc,ACCOUNTLEVEL,-11,User 1,72,25,96,124,187,10,960,3576,17541
Bachman Information System Inc.,ACCOUNTLEVEL,-11,User 1,19,26,81,144,187,6,678,8276,5826
Back Stage Magazine,ACCOUNTLEVEL,-11,User 1,17,44,83,19,211,12,374,7056,13165
Baker & McKenzie,ACCOUNTLEVEL,-11,User 1,31,37,59,42,163,37,23,8448,9995
Balfour Maclaine International,ACCOUNTLEVEL,-11,User 1,80,41,111,138,237,8,576,3646,2604
Ball & Socket Mfg Co,ACCOUNTLEVEL,-11,User 1,69,46,54,77,214,52,594,8149,10599
Caco-Pacific Corp.,ACCOUNTLEVEL,-11,User 1,28,28,89,15,237,49,878,453,10073
CADAM Inc.,ACCOUNTLEVEL,-11,User 1,91,19,150,50,169,14,483,2663,9245
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-11,User 1,81,43,171,116,116,23,534,9224,2127
Cahn Instruments Inc,ACCOUNTLEVEL,-11,User 1,44,50,176,92,228,7,354,2101,10954
Cal-Pac Roofing Inc,ACCOUNTLEVEL,-11,User 1,73,13,117,121,248,36,462,8389,16948
Dai-Ichi Kangyo Bank,ACCOUNTLEVEL,-11,User 1,30,35,69,4,151,54,102,1536,9593
Daisy of California,ACCOUNTLEVEL,-11,User 1,7,38,101,27,172,45,9,3496,15992
Daley Business Forms,ACCOUNTLEVEL,-11,User 1,28,46,182,101,206,35,840,8266,18195
Dame Belts & Bag Co Inc,ACCOUNTLEVEL,-11,User 1,38,50,189,131,154,41,413,3003,1022
Dana Marketing Inc,ACCOUNTLEVEL,-11,User 1,47,21,127,136,157,56,394,610,11549
East Bay Brass Foundry,ACCOUNTLEVEL,-11,User 1,59,26,80,71,153,19,592,1478,13157
East Coast Traders,ACCOUNTLEVEL,-11,User 1,60,45,57,4,220,17,143,8483,18530
East/West Computers Inc,ACCOUNTLEVEL,-11,User 1,28,23,178,139,215,29,139,3146,4162
Eastern Municipal Water Distri,ACCOUNTLEVEL,-11,User 1,6,11,131,53,206,10,547,9560,16816
Eastman Kodak Company Health Sciences Division,ACCOUNTLEVEL,-11,User 1,64,14,89,8,156,20,360,1762,12483
Facts on File Newsletter,ACCOUNTLEVEL,-11,User 1,83,27,84,46,186,2,148,4082,11544
Family Magazine,ACCOUNTLEVEL,-11,User 1,77,10,89,141,148,31,925,6488,2203
Fedder RP Corp,ACCOUNTLEVEL,-11,User 1,62,40,57,137,162,50,17,2052,11034
Fell David H & Company Inc,ACCOUNTLEVEL,-11,User 1,42,43,133,38,192,30,479,6252,2339
Ferrara Foods & Confections,ACCOUNTLEVEL,-11,User 1,10,48,160,19,240,17,497,8519,5444
G Group,ACCOUNTLEVEL,-11,User 1,59,37,110,137,211,52,805,1426,7034
G-L Veneer Co Inc.,ACCOUNTLEVEL,-11,User 1,71,10,90,21,245,16,74,1068,16472
Galbreath Co,ACCOUNTLEVEL,-11,User 1,86,43,172,116,100,25,987,3988,9816
Gallo Ernst & Julio Winery,ACCOUNTLEVEL,-11,User 1,49,36,72,95,177,39,187,226,8008
Gamblers Anonymous,ACCOUNTLEVEL,-11,User 1,82,46,138,72,142,45,856,8633,3673
Halcyon Assoc,ACCOUNTLEVEL,-11,User 1,33,46,149,17,153,31,581,8137,10054
