JBCXM__Account__r.Data_ExternalId__c,JBCXM__Users__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Comments__c
Adoption Test - Account 75,8,stage3,InactiveCustomer,Adoption Test - Account 75 - stage3 - InactiveCustomer
Adoption Test - Account 76,52,stage4,ActiveCustomer,Adoption Test - Account 76 - stage4 - ActiveCustomer
Adoption Test - Account 77,116,stage5,InactiveCustomer,Adoption Test - Account 77 - stage5 - InactiveCustomer
Adoption Test - Account 78,114,stage6,ActiveCustomer,Adoption Test - Account 78 - stage6 - ActiveCustomer
Adoption Test - Account 79,147,stage1,InactiveCustomer,Adoption Test - Account 79 - stage1 - InactiveCustomer
Adoption Test - Account 80,150,stage2,ActiveCustomer,Adoption Test - Account 80 - stage2 - ActiveCustomer
Adoption Test - Account 81,49,stage3,InactiveCustomer,Adoption Test - Account 81 - stage3 - InactiveCustomer
Adoption Test - Account 82,110,stage4,ActiveCustomer,Adoption Test - Account 82 - stage4 - ActiveCustomer
Adoption Test - Account 83,104,stage5,InactiveCustomer,Adoption Test - Account 83 - stage5 - InactiveCustomer
Adoption Test - Account 84,5,stage6,ActiveCustomer,Adoption Test - Account 84 - stage6 - ActiveCustomer
Adoption Test - Account 85,66,stage1,InactiveCustomer,Adoption Test - Account 85 - stage1 - InactiveCustomer
Adoption Test - Account 86,96,stage2,ActiveCustomer,Adoption Test - Account 86 - stage2 - ActiveCustomer
Adoption Test - Account 87,25,stage3,InactiveCustomer,Adoption Test - Account 87 - stage3 - InactiveCustomer
Adoption Test - Account 88,96,stage4,ActiveCustomer,Adoption Test - Account 88 - stage4 - ActiveCustomer
Adoption Test - Account 89,5,stage5,InactiveCustomer,Adoption Test - Account 89 - stage5 - InactiveCustomer
Adoption Test - Account 90,6,stage6,ActiveCustomer,Adoption Test - Account 90 - stage6 - ActiveCustomer
Adoption Test - Account 91,105,stage1,InactiveCustomer,Adoption Test - Account 91 - stage1 - InactiveCustomer
Adoption Test - Account 92,139,stage2,ActiveCustomer,Adoption Test - Account 92 - stage2 - ActiveCustomer
Adoption Test - Account 93,4,stage3,InactiveCustomer,Adoption Test - Account 93 - stage3 - InactiveCustomer
Adoption Test - Account 94,45,stage4,ActiveCustomer,Adoption Test - Account 94 - stage4 - ActiveCustomer
Adoption Test - Account 95,26,stage5,InactiveCustomer,Adoption Test - Account 95 - stage5 - InactiveCustomer
Adoption Test - Account 96,107,stage6,ActiveCustomer,Adoption Test - Account 96 - stage6 - ActiveCustomer
Adoption Test - Account 97,87,stage1,InactiveCustomer,Adoption Test - Account 97 - stage1 - InactiveCustomer
Adoption Test - Account 98,91,stage2,ActiveCustomer,Adoption Test - Account 98 - stage2 - ActiveCustomer
Adoption Test - Account 99,120,stage3,InactiveCustomer,Adoption Test - Account 99 - stage3 - InactiveCustomer
Adoption Test - Account 100,94,stage4,ActiveCustomer,Adoption Test - Account 100 - stage4 - ActiveCustomer
Adoption Test - Account 101,115,stage5,InactiveCustomer,Adoption Test - Account 101 - stage5 - InactiveCustomer
Adoption Test - Account 102,91,stage6,ActiveCustomer,Adoption Test - Account 102 - stage6 - ActiveCustomer
Adoption Test - Account 103,4,stage1,InactiveCustomer,Adoption Test - Account 103 - stage1 - InactiveCustomer
Adoption Test - Account 104,112,stage2,ActiveCustomer,Adoption Test - Account 104 - stage2 - ActiveCustomer
Adoption Test - Account 105,1,stage3,InactiveCustomer,Adoption Test - Account 105 - stage3 - InactiveCustomer
Adoption Test - Account 106,96,stage4,ActiveCustomer,Adoption Test - Account 106 - stage4 - ActiveCustomer
Adoption Test - Account 107,7,stage5,InactiveCustomer,Adoption Test - Account 107 - stage5 - InactiveCustomer
Adoption Test - Account 108,47,stage6,ActiveCustomer,Adoption Test - Account 108 - stage6 - ActiveCustomer
Adoption Test - Account 109,99,stage1,InactiveCustomer,Adoption Test - Account 109 - stage1 - InactiveCustomer
Adoption Test - Account 110,145,stage2,ActiveCustomer,Adoption Test - Account 110 - stage2 - ActiveCustomer
Adoption Test - Account 111,120,stage3,InactiveCustomer,Adoption Test - Account 111 - stage3 - InactiveCustomer
Adoption Test - Account 112,72,stage4,ActiveCustomer,Adoption Test - Account 112 - stage4 - ActiveCustomer
Adoption Test - Account 113,135,stage5,InactiveCustomer,Adoption Test - Account 113 - stage5 - InactiveCustomer
Adoption Test - Account 114,134,stage6,ActiveCustomer,Adoption Test - Account 114 - stage6 - ActiveCustomer
Adoption Test - Account 115,9,stage1,InactiveCustomer,Adoption Test - Account 115 - stage1 - InactiveCustomer
Adoption Test - Account 116,67,stage2,ActiveCustomer,Adoption Test - Account 116 - stage2 - ActiveCustomer
Adoption Test - Account 117,62,stage3,InactiveCustomer,Adoption Test - Account 117 - stage3 - InactiveCustomer
Adoption Test - Account 118,46,stage4,ActiveCustomer,Adoption Test - Account 118 - stage4 - ActiveCustomer
Adoption Test - Account 119,,stage1,InactiveCustomer,Adoption Test - Account 119 - stage1 - InactiveCustomer
Adoption Test - Account 120,,stage2,ActiveCustomer,Adoption Test - Account 120 - stage2 - ActiveCustomer
Adoption Test - Account 121,,stage3,InactiveCustomer,Adoption Test - Account 121 - stage3 - InactiveCustomer
Adoption Test - Account 122,,stage4,ActiveCustomer,Adoption Test - Account 122 - stage4 - ActiveCustomer
Adoption Test - Account 123,,stage5,InactiveCustomer,Adoption Test - Account 123 - stage5 - InactiveCustomer
Adoption Test - Account 124,,stage6,ActiveCustomer,Adoption Test - Account 124 - stage6 - ActiveCustomer
Adoption Test - Account 125,,stage1,InactiveCustomer,Adoption Test - Account 125 - stage1 - InactiveCustomer
Adoption Test - Account 126,,stage2,ActiveCustomer,Adoption Test - Account 126 - stage2 - ActiveCustomer
Adoption Test - Account 127,,stage3,InactiveCustomer,Adoption Test - Account 127 - stage3 - InactiveCustomer
Adoption Test - Account 128,,stage4,ActiveCustomer,Adoption Test - Account 128 - stage4 - ActiveCustomer
Adoption Test - Account 129,,stage5,InactiveCustomer,Adoption Test - Account 129 - stage5 - InactiveCustomer
Adoption Test - Account 130,,stage6,ActiveCustomer,Adoption Test - Account 130 - stage6 - ActiveCustomer
Adoption Test - Account 131,,stage1,InactiveCustomer,Adoption Test - Account 131 - stage1 - InactiveCustomer
Adoption Test - Account 132,,stage2,ActiveCustomer,Adoption Test - Account 132 - stage2 - ActiveCustomer
Adoption Test - Account 133,,stage3,InactiveCustomer,Adoption Test - Account 133 - stage3 - InactiveCustomer
Adoption Test - Account 134,,stage4,ActiveCustomer,Adoption Test - Account 134 - stage4 - ActiveCustomer
Adoption Test - Account 135,,stage5,InactiveCustomer,Adoption Test - Account 135 - stage5 - InactiveCustomer
Adoption Test - Account 136,,stage6,ActiveCustomer,Adoption Test - Account 136 - stage6 - ActiveCustomer
Adoption Test - Account 137,,stage1,InactiveCustomer,Adoption Test - Account 137 - stage1 - InactiveCustomer
Adoption Test - Account 138,,stage2,ActiveCustomer,Adoption Test - Account 138 - stage2 - ActiveCustomer
Adoption Test - Account 139,,stage3,InactiveCustomer,Adoption Test - Account 139 - stage3 - InactiveCustomer
Adoption Test - Account 140,,stage4,ActiveCustomer,Adoption Test - Account 140 - stage4 - ActiveCustomer
Adoption Test - Account 141,,stage5,InactiveCustomer,Adoption Test - Account 141 - stage5 - InactiveCustomer
Adoption Test - Account 142,,stage6,ActiveCustomer,Adoption Test - Account 142 - stage6 - ActiveCustomer
Adoption Test - Account 143,,stage1,InactiveCustomer,Adoption Test - Account 143 - stage1 - InactiveCustomer
Adoption Test - Account 144,,stage2,ActiveCustomer,Adoption Test - Account 144 - stage2 - ActiveCustomer
Adoption Test - Account 145,,stage3,InactiveCustomer,Adoption Test - Account 145 - stage3 - InactiveCustomer
Adoption Test - Account 146,,stage4,ActiveCustomer,Adoption Test - Account 146 - stage4 - ActiveCustomer
Adoption Test - Account 147,,stage5,InactiveCustomer,Adoption Test - Account 147 - stage5 - InactiveCustomer
Adoption Test - Account 148,,stage6,ActiveCustomer,Adoption Test - Account 148 - stage6 - ActiveCustomer
Adoption Test - Account 149,,stage1,InactiveCustomer,Adoption Test - Account 149 - stage1 - InactiveCustomer
Adoption Test - Account 150,,stage2,ActiveCustomer,Adoption Test - Account 150 - stage2 - ActiveCustomer
