"C_Text__c","C_Currency__c","C_TextArea__c","C_Number__c","C_Percent__c"
"RULESUI Account 1","-86.74179648657608","240.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","238.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","236.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","234.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","232.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","230.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","228.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","226.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","234.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","232.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","230.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","228.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","226.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","224.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","222.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","220.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","218.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","216.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","214.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","212.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","210.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","208.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","206.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","100.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","100.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","100.0","-98.55103962906615","380.0"
"RULESUI Account 2","-86.66222074024675","350.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","96.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","218.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","294.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","292.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","290.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","251.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","249.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","253.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","251.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","249.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","247.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","245.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","243.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","241.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","239.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","268.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","266.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","264.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","262.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","260.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","258.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","256.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","244.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","242.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","240.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","238.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","236.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","234.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","232.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","230.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","228.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","226.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","234.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","232.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","230.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","228.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","226.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","224.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","222.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","220.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","218.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","216.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","214.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","212.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","210.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","208.0","-97.09976798143852","140.0"
"RULESUI Account 2","-86.66222074024675","206.0","-97.09976798143852","140.0"
